LKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_17.filtered_40.c3d	1			
 - 	2			
 - 	3	-0.001685	-0.001043	-0.000116
 - 	4	-0.001665	-0.001048	-0.000115
 - 	5	-0.001612	-0.001064	-0.000110
 - 	6	-0.001525	-0.001076	-0.000102
 - 	7	-0.001504	-0.001082	-0.000100
 - 	8	-0.001495	-0.001081	-0.000102
 - 	9	-0.001531	-0.001075	-0.000107
 - 	10	-0.001551	-0.001078	-0.000109
 - 	11	-0.001573	-0.001092	-0.000112
 - 	12	-0.001610	-0.001111	-0.000115
 - 	13	-0.001644	-0.001127	-0.000119
 - 	14	-0.001676	-0.001142	-0.000123
 - 	15	-0.001710	-0.001151	-0.000127
 - 	16	-0.001725	-0.001154	-0.000128
 - 	17	-0.001747	-0.001139	-0.000130
 - 	18	-0.001705	-0.001120	-0.000125
 - 	19	-0.001650	-0.001111	-0.000117
 - 	20	-0.001585	-0.001115	-0.000106
 - 	21	-0.001529	-0.001113	-0.000097
 - 	22	-0.001464	-0.001116	-0.000088
 - 	23	-0.001409	-0.001113	-0.000081
 - 	24	-0.001369	-0.001121	-0.000074
 - 	25	-0.001328	-0.001133	-0.000068
 - 	26	-0.001320	-0.001147	-0.000065
 - 	27	-0.001324	-0.001146	-0.000063
 - 	28	-0.001347	-0.001149	-0.000065
 - 	29	-0.001412	-0.001131	-0.000071
 - 	30	-0.001485	-0.001103	-0.000080
 - 	31	-0.001571	-0.001073	-0.000091
 - 	32	-0.001679	-0.001035	-0.000104
 - 	33	-0.001757	-0.000993	-0.000116
 - 	34	-0.001850	-0.000954	-0.000129
 - 	35	-0.001894	-0.000932	-0.000136
 - 	36	-0.001909	-0.000930	-0.000138
 - 	37	-0.001893	-0.000944	-0.000134
 - 	38	-0.001864	-0.000966	-0.000127
 - 	39	-0.001818	-0.001003	-0.000117
 - 	40	-0.001749	-0.001045	-0.000105
 - 	41	-0.001692	-0.001098	-0.000094
 - 	42	-0.001651	-0.001135	-0.000087
 - 	43	-0.001626	-0.001161	-0.000085
 - 	44	-0.001636	-0.001168	-0.000087
 - 	45	-0.001637	-0.001154	-0.000090
 - 	46	-0.001640	-0.001129	-0.000093
 - 	47	-0.001639	-0.001089	-0.000094
 - 	48	-0.001659	-0.001046	-0.000097
 - 	49	-0.001665	-0.000998	-0.000097
 - 	50	-0.001687	-0.000950	-0.000099
 - 	51	-0.001728	-0.000911	-0.000104
 - 	52	-0.001768	-0.000885	-0.000110
 - 	53	-0.001836	-0.000878	-0.000117
 - 	54	-0.001859	-0.000891	-0.000120
 - 	55	-0.001867	-0.000922	-0.000120
 - 	56	-0.001879	-0.000957	-0.000121
 - 	57	-0.001912	-0.000990	-0.000123
 - 	58	-0.001958	-0.001020	-0.000127
 - 	59	-0.001980	-0.001047	-0.000129
 - 	60	-0.001972	-0.001073	-0.000126
 - 	61	-0.001927	-0.001092	-0.000120
 - 	62	-0.001881	-0.001104	-0.000114
 - 	63	-0.001824	-0.001104	-0.000107
 - 	64	-0.001785	-0.001098	-0.000103
 - 	65	-0.001712	-0.001091	-0.000097
 - 	66	-0.001649	-0.001087	-0.000090
 - 	67	-0.001565	-0.001082	-0.000082
 - 	68	-0.001527	-0.001076	-0.000079
 - 	69	-0.001489	-0.001073	-0.000077
 - 	70	-0.001480	-0.001065	-0.000078
 - 	71	-0.001481	-0.001058	-0.000081
 - 	72	-0.001503	-0.001049	-0.000085
 - 	73	-0.001533	-0.001043	-0.000091
 - 	74	-0.001603	-0.001028	-0.000099
 - 	75	-0.001655	-0.001015	-0.000105
 - 	76	-0.001711	-0.000998	-0.000111
 - 	77	-0.001718	-0.000991	-0.000111
 - 	78	-0.001718	-0.000988	-0.000109
 - 	79	-0.001693	-0.000994	-0.000104
 - 	80	-0.001671	-0.001005	-0.000099
 - 	81	-0.001670	-0.001021	-0.000097
 - 	82	-0.001683	-0.001035	-0.000098
 - 	83	-0.001713	-0.001052	-0.000100
 - 	84	-0.001723	-0.001065	-0.000102
 - 	85	-0.001758	-0.001082	-0.000106
 - 	86	-0.001764	-0.001087	-0.000107
 - 	87	-0.001771	-0.001093	-0.000109
 - 	88	-0.001771	-0.001091	-0.000110
 - 	89	-0.001769	-0.001089	-0.000111
 - 	90	-0.001738	-0.001082	-0.000109
 - 	91	-0.001707	-0.001081	-0.000105
 - 	92	-0.001643	-0.001076	-0.000099
 - 	93	-0.001606	-0.001070	-0.000096
 - 	94	-0.001573	-0.001062	-0.000094
 - 	95	-0.001536	-0.001054	-0.000091
 - 	96	-0.001522	-0.001047	-0.000091
 - 	97	-0.001516	-0.001043	-0.000091
 - 	98	-0.001529	-0.001049	-0.000093
 - 	99	-0.001545	-0.001056	-0.000094
 - 	100	-0.001571	-0.001071	-0.000097
 - 	101	-0.001580	-0.001091	-0.000098
 - 	102	-0.001591	-0.001107	-0.000100
 - 	103	-0.001599	-0.001119	-0.000102
 - 	104	-0.001587	-0.001113	-0.000102
