LKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_2.filtered_40.c3d	1			
 - 	2			
 - 	3	0.001017	-0.000411	0.000067
 - 	4	0.001021	-0.000414	0.000068
 - 	5	0.001024	-0.000416	0.000069
 - 	6	0.001031	-0.000417	0.000071
 - 	7	0.001021	-0.000419	0.000072
 - 	8	0.001025	-0.000419	0.000074
 - 	9	0.001019	-0.000426	0.000076
 - 	10	0.001002	-0.000428	0.000075
 - 	11	0.001002	-0.000430	0.000075
 - 	12	0.000998	-0.000432	0.000074
 - 	13	0.001005	-0.000427	0.000071
 - 	14	0.000993	-0.000420	0.000069
 - 	15	0.001010	-0.000408	0.000068
 - 	16	0.001018	-0.000415	0.000067
 - 	17	0.001016	-0.000421	0.000068
 - 	18	0.001027	-0.000412	0.000068
 - 	19	0.001036	-0.000409	0.000069
 - 	20	0.001036	-0.000408	0.000070
 - 	21	0.001037	-0.000410	0.000071
 - 	22	0.001039	-0.000403	0.000071
 - 	23	0.001039	-0.000400	0.000070
 - 	24	0.001036	-0.000400	0.000071
 - 	25	0.001024	-0.000404	0.000069
 - 	26	0.001007	-0.000406	0.000069
 - 	27	0.001009	-0.000409	0.000069
 - 	28	0.000975	-0.000407	0.000066
 - 	29	0.000998	-0.000401	0.000069
 - 	30	0.000984	-0.000390	0.000068
 - 	31	0.000989	-0.000386	0.000069
 - 	32	0.000999	-0.000386	0.000070
 - 	33	0.001010	-0.000403	0.000073
 - 	34	0.001006	-0.000408	0.000072
 - 	35	0.001010	-0.000421	0.000071
 - 	36	0.001005	-0.000430	0.000074
 - 	37	0.001004	-0.000437	0.000072
 - 	38	0.001006	-0.000448	0.000070
 - 	39	0.000980	-0.000448	0.000073
 - 	40	0.000976	-0.000456	0.000072
 - 	41	0.000988	-0.000453	0.000067
 - 	42	0.001004	-0.000449	0.000065
 - 	43	0.000994	-0.000447	0.000066
 - 	44	0.000998	-0.000442	0.000067
 - 	45	0.001016	-0.000416	0.000067
 - 	46	0.001023	-0.000389	0.000069
 - 	47	0.001032	-0.000363	0.000071
 - 	48	0.001022	-0.000347	0.000072
 - 	49	0.001029	-0.000342	0.000073
 - 	50	0.001015	-0.000346	0.000072
 - 	51	0.001022	-0.000357	0.000071
 - 	52	0.001019	-0.000372	0.000072
 - 	53	0.001018	-0.000379	0.000073
 - 	54	0.001027	-0.000389	0.000073
 - 	55	0.001021	-0.000400	0.000073
 - 	56	0.001017	-0.000412	0.000073
 - 	57	0.001011	-0.000428	0.000074
 - 	58	0.001006	-0.000436	0.000073
 - 	59	0.001003	-0.000441	0.000072
 - 	60	0.000989	-0.000440	0.000070
 - 	61	0.000993	-0.000445	0.000070
 - 	62	0.000977	-0.000443	0.000068
 - 	63	0.000987	-0.000442	0.000068
 - 	64	0.000981	-0.000438	0.000067
 - 	65	0.000994	-0.000427	0.000066
 - 	66	0.000998	-0.000425	0.000066
 - 	67	0.001001	-0.000424	0.000065
 - 	68	0.000995	-0.000420	0.000070
 - 	69	0.001003	-0.000411	0.000066
 - 	70	0.001013	-0.000405	0.000062
 - 	71	0.000999	-0.000408	0.000068
 - 	72	0.000988	-0.000414	0.000069
 - 	73	0.000994	-0.000421	0.000072
 - 	74	0.000973	-0.000426	0.000074
 - 	75	0.000988	-0.000425	0.000075
 - 	76	0.000991	-0.000420	0.000076
 - 	77	0.001003	-0.000415	0.000078
 - 	78	0.001016	-0.000410	0.000079
 - 	79	0.001026	-0.000415	0.000079
 - 	80	0.001033	-0.000434	0.000077
 - 	81	0.001042	-0.000449	0.000076
 - 	82	0.001038	-0.000459	0.000073
 - 	83	0.001038	-0.000458	0.000071
 - 	84	0.001025	-0.000453	0.000069
 - 	85	0.001017	-0.000441	0.000068
 - 	86	0.000997	-0.000428	0.000067
 - 	87	0.000984	-0.000412	0.000066
 - 	88	0.000977	-0.000398	0.000066
 - 	89	0.000986	-0.000385	0.000066
 - 	90	0.000989	-0.000384	0.000066
 - 	91	0.001010	-0.000386	0.000067
 - 	92	0.001016	-0.000394	0.000069
 - 	93	0.001022	-0.000392	0.000071
 - 	94	0.001026	-0.000389	0.000072
 - 	95	0.001031	-0.000386	0.000072
