LKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_1.filtered_40.c3d	1			
 - 	2			
 - 	3	0.000100	0.000047	-0.000018
 - 	4	0.000104	0.000056	-0.000020
 - 	5	0.000100	0.000085	-0.000026
 - 	6	0.000092	0.000101	-0.000028
 - 	7	0.000072	0.000093	-0.000025
 - 	8	0.000055	0.000082	-0.000023
 - 	9	0.000055	0.000087	-0.000026
 - 	10	0.000078	0.000107	-0.000034
 - 	11	0.000104	0.000122	-0.000039
 - 	12	0.000118	0.000121	-0.000040
 - 	13	0.000117	0.000109	-0.000038
 - 	14	0.000107	0.000107	-0.000037
 - 	15	0.000105	0.000117	-0.000038
 - 	16	0.000120	0.000125	-0.000039
 - 	17	0.000138	0.000127	-0.000038
 - 	18	0.000142	0.000124	-0.000038
 - 	19	0.000131	0.000113	-0.000036
 - 	20	0.000115	0.000094	-0.000032
 - 	21	0.000101	0.000078	-0.000028
 - 	22	0.000093	0.000077	-0.000027
 - 	23	0.000087	0.000087	-0.000029
 - 	24	0.000099	0.000103	-0.000032
 - 	25	0.000121	0.000125	-0.000039
 - 	26	0.000141	0.000146	-0.000045
 - 	27	0.000143	0.000151	-0.000048
 - 	28	0.000129	0.000134	-0.000044
 - 	29	0.000110	0.000109	-0.000037
 - 	30	0.000100	0.000098	-0.000034
 - 	31	0.000092	0.000099	-0.000033
 - 	32	0.000077	0.000100	-0.000032
 - 	33	0.000068	0.000094	-0.000030
 - 	34	0.000072	0.000085	-0.000029
 - 	35	0.000091	0.000074	-0.000028
 - 	36	0.000111	0.000059	-0.000026
 - 	37	0.000126	0.000049	-0.000022
 - 	38	0.000125	0.000053	-0.000020
 - 	39	0.000111	0.000063	-0.000018
 - 	40	0.000095	0.000078	-0.000021
 - 	41	0.000090	0.000112	-0.000032
 - 	42	0.000109	0.000164	-0.000048
 - 	43	0.000126	0.000191	-0.000057
 - 	44	0.000119	0.000168	-0.000051
 - 	45	0.000100	0.000115	-0.000036
 - 	46	0.000094	0.000060	-0.000023
 - 	47	0.000110	0.000031	-0.000015
 - 	48	0.000128	0.000030	-0.000013
 - 	49	0.000139	0.000047	-0.000019
 - 	50	0.000139	0.000063	-0.000023
 - 	51	0.000138	0.000068	-0.000025
 - 	52	0.000123	0.000068	-0.000024
 - 	53	0.000100	0.000075	-0.000025
 - 	54	0.000079	0.000086	-0.000026
 - 	55	0.000076	0.000091	-0.000027
 - 	56	0.000090	0.000091	-0.000027
 - 	57	0.000117	0.000090	-0.000027
 - 	58	0.000143	0.000080	-0.000026
 - 	59	0.000146	0.000050	-0.000019
 - 	60	0.000111	0.000007	-0.000007
 - 	61	0.000071	-0.000021	0.000002
 - 	62	0.000065	-0.000015	0.000001
 - 	63	0.000102	0.000017	-0.000009
 - 	64	0.000150	0.000053	-0.000020
 - 	65	0.000159	0.000080	-0.000027
 - 	66	0.000122	0.000095	-0.000031
 - 	67	0.000073	0.000095	-0.000030
 - 	68	0.000050	0.000083	-0.000025
 - 	69	0.000066	0.000063	-0.000018
 - 	70	0.000107	0.000048	-0.000015
 - 	71	0.000144	0.000043	-0.000015
 - 	72	0.000151	0.000039	-0.000016
 - 	73	0.000129	0.000030	-0.000014
 - 	74	0.000093	0.000028	-0.000013
 - 	75	0.000063	0.000039	-0.000016
 - 	76	0.000053	0.000055	-0.000019
 - 	77	0.000060	0.000067	-0.000021
 - 	78	0.000077	0.000082	-0.000024
 - 	79	0.000078	0.000094	-0.000025
 - 	80	0.000066	0.000088	-0.000023
 - 	81	0.000055	0.000058	-0.000016
 - 	82	0.000053	0.000017	-0.000007
 - 	83	0.000062	-0.000010	-0.000000
 - 	84	0.000087	-0.000009	-0.000001
 - 	85	0.000122	0.000024	-0.000012
 - 	86	0.000136	0.000077	-0.000028
 - 	87	0.000119	0.000119	-0.000039
 - 	88	0.000083	0.000119	-0.000038
 - 	89	0.000062	0.000082	-0.000026
 - 	90	0.000060	0.000037	-0.000012
 - 	91	0.000060	0.000003	-0.000001
 - 	92	0.000057	-0.000008	0.000004
 - 	93	0.000063	0.000006	0.000000
 - 	94	0.000069	0.000029	-0.000007
 - 	95	0.000074	0.000034	-0.000010
 - 	96	0.000073	0.000010	-0.000005
 - 	97	0.000070	-0.000018	0.000002
 - 	98	0.000076	-0.000027	0.000004
 - 	99	0.000085	-0.000014	-0.000000
 - 	100	0.000089	0.000009	-0.000007
 - 	101	0.000076	0.000030	-0.000013
 - 	102	0.000042	0.000044	-0.000017
 - 	103	0.000008	0.000057	-0.000019
 - 	104	-0.000017	0.000075	-0.000023
 - 	105	-0.000022	0.000092	-0.000026
 - 	106	-0.000005	0.000103	-0.000028
 - 	107	0.000020	0.000104	-0.000029
 - 	108	0.000034	0.000091	-0.000026
 - 	109	0.000045	0.000070	-0.000022
 - 	110	0.000055	0.000053	-0.000018
 - 	111	0.000065	0.000045	-0.000016
 - 	112	0.000064	0.000040	-0.000015
 - 	113	0.000060	0.000045	-0.000015
 - 	114	0.000044	0.000065	-0.000020
 - 	115	0.000029	0.000093	-0.000027
 - 	116	0.000020	0.000107	-0.000031
 - 	117	0.000025	0.000102	-0.000029
 - 	118	0.000032	0.000087	-0.000025
 - 	119	0.000034	0.000067	-0.000020
 - 	120	0.000033	0.000044	-0.000014
