RKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_1.filtered_40.c3d	1			
 - 	2			
 - 	3	-0.001145	-0.000131	-0.000208
 - 	4	-0.001140	-0.000124	-0.000209
 - 	5	-0.001134	-0.000136	-0.000205
 - 	6	-0.001128	-0.000163	-0.000200
 - 	7	-0.001132	-0.000195	-0.000197
 - 	8	-0.001140	-0.000217	-0.000195
 - 	9	-0.001135	-0.000221	-0.000195
 - 	10	-0.001133	-0.000208	-0.000196
 - 	11	-0.001131	-0.000189	-0.000200
 - 	12	-0.001132	-0.000162	-0.000203
 - 	13	-0.001137	-0.000137	-0.000205
 - 	14	-0.001140	-0.000146	-0.000201
 - 	15	-0.001140	-0.000189	-0.000194
 - 	16	-0.001126	-0.000236	-0.000186
 - 	17	-0.001110	-0.000244	-0.000183
 - 	18	-0.001096	-0.000212	-0.000186
 - 	19	-0.001093	-0.000180	-0.000194
 - 	20	-0.001104	-0.000173	-0.000201
 - 	21	-0.001122	-0.000183	-0.000203
 - 	22	-0.001142	-0.000209	-0.000201
 - 	23	-0.001162	-0.000247	-0.000198
 - 	24	-0.001170	-0.000272	-0.000194
 - 	25	-0.001164	-0.000264	-0.000194
 - 	26	-0.001150	-0.000233	-0.000195
 - 	27	-0.001132	-0.000188	-0.000197
 - 	28	-0.001109	-0.000149	-0.000196
 - 	29	-0.001092	-0.000134	-0.000193
 - 	30	-0.001096	-0.000153	-0.000191
 - 	31	-0.001121	-0.000191	-0.000192
 - 	32	-0.001147	-0.000231	-0.000197
 - 	33	-0.001161	-0.000253	-0.000204
 - 	34	-0.001151	-0.000254	-0.000209
 - 	35	-0.001140	-0.000228	-0.000211
 - 	36	-0.001144	-0.000183	-0.000209
 - 	37	-0.001154	-0.000132	-0.000207
 - 	38	-0.001164	-0.000092	-0.000207
 - 	39	-0.001170	-0.000078	-0.000207
 - 	40	-0.001157	-0.000100	-0.000203
 - 	41	-0.001129	-0.000145	-0.000195
 - 	42	-0.001092	-0.000195	-0.000186
 - 	43	-0.001071	-0.000228	-0.000183
 - 	44	-0.001072	-0.000239	-0.000188
 - 	45	-0.001098	-0.000218	-0.000196
 - 	46	-0.001126	-0.000177	-0.000203
 - 	47	-0.001136	-0.000141	-0.000203
 - 	48	-0.001123	-0.000126	-0.000199
 - 	49	-0.001103	-0.000127	-0.000196
 - 	50	-0.001089	-0.000142	-0.000196
 - 	51	-0.001080	-0.000164	-0.000198
 - 	52	-0.001078	-0.000176	-0.000197
 - 	53	-0.001085	-0.000184	-0.000193
 - 	54	-0.001106	-0.000196	-0.000190
 - 	55	-0.001126	-0.000206	-0.000189
 - 	56	-0.001128	-0.000194	-0.000191
 - 	57	-0.001105	-0.000164	-0.000192
 - 	58	-0.001080	-0.000125	-0.000192
 - 	59	-0.001077	-0.000100	-0.000192
 - 	60	-0.001098	-0.000111	-0.000194
 - 	61	-0.001120	-0.000151	-0.000196
 - 	62	-0.001113	-0.000194	-0.000197
 - 	63	-0.001081	-0.000214	-0.000196
 - 	64	-0.001055	-0.000202	-0.000195
 - 	65	-0.001055	-0.000174	-0.000196
 - 	66	-0.001084	-0.000151	-0.000199
 - 	67	-0.001121	-0.000138	-0.000199
 - 	68	-0.001140	-0.000132	-0.000196
 - 	69	-0.001128	-0.000129	-0.000189
 - 	70	-0.001100	-0.000118	-0.000186
 - 	71	-0.001082	-0.000092	-0.000191
 - 	72	-0.001079	-0.000077	-0.000197
 - 	73	-0.001081	-0.000086	-0.000200
 - 	74	-0.001084	-0.000097	-0.000202
 - 	75	-0.001095	-0.000096	-0.000204
 - 	76	-0.001117	-0.000106	-0.000205
 - 	77	-0.001129	-0.000143	-0.000203
 - 	78	-0.001126	-0.000178	-0.000200
 - 	79	-0.001108	-0.000190	-0.000194
 - 	80	-0.001095	-0.000179	-0.000191
 - 	81	-0.001107	-0.000156	-0.000193
 - 	82	-0.001135	-0.000127	-0.000201
 - 	83	-0.001153	-0.000089	-0.000206
 - 	84	-0.001146	-0.000057	-0.000208
 - 	85	-0.001133	-0.000051	-0.000206
 - 	86	-0.001122	-0.000080	-0.000204
 - 	87	-0.001110	-0.000136	-0.000203
 - 	88	-0.001093	-0.000187	-0.000201
 - 	89	-0.001069	-0.000199	-0.000194
 - 	90	-0.001061	-0.000172	-0.000186
 - 	91	-0.001074	-0.000140	-0.000182
 - 	92	-0.001090	-0.000113	-0.000183
 - 	93	-0.001097	-0.000093	-0.000188
 - 	94	-0.001097	-0.000091	-0.000194
 - 	95	-0.001100	-0.000104	-0.000197
 - 	96	-0.001110	-0.000115	-0.000199
 - 	97	-0.001109	-0.000110	-0.000202
 - 	98	-0.001104	-0.000080	-0.000204
 - 	99	-0.001087	-0.000067	-0.000202
 - 	100	-0.001066	-0.000099	-0.000192
 - 	101	-0.001059	-0.000147	-0.000184
 - 	102	-0.001075	-0.000164	-0.000183
 - 	103	-0.001108	-0.000153	-0.000190
 - 	104	-0.001130	-0.000149	-0.000197
 - 	105	-0.001135	-0.000154	-0.000200
 - 	106	-0.001133	-0.000153	-0.000202
 - 	107	-0.001125	-0.000153	-0.000201
 - 	108	-0.001117	-0.000150	-0.000197
 - 	109	-0.001102	-0.000137	-0.000193
 - 	110	-0.001093	-0.000115	-0.000191
 - 	111	-0.001086	-0.000106	-0.000189
