RKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_2.filtered_40.c3d	1			
 - 	2			
 - 	3			
 - 	4			
 - 	5			
 - 	6			
 - 	7			
 - 	8			
 - 	9			
 - 	10			
 - 	11			
 - 	12			
 - 	13			
 - 	14			
 - 	15			
 - 	16			
 - 	17			
 - 	18			
 - 	19			
 - 	20			
 - 	21			
 - 	22			
 - 	23			
 - 	24			
 - 	25			
 - 	26			
 - 	27			
 - 	28			
 - 	29			
 - 	30			
 - 	31			
 - 	32			
 - 	33			
 - 	34			
 - 	35			
 - 	36			
 - 	37			
 - 	38			
 - 	39			
 - 	40			
 - 	41			
 - 	42			
 - 	43			
 - 	44			
 - 	45			
 - 	46			
 - 	47			
 - 	48			
 - 	49			
 - 	50			
 - 	51			
 - 	52			
 - 	53			
 - 	54			
 - 	55			
 - 	56			
 - 	57			
 - 	58			
 - 	59			
 - 	60			
 - 	61			
 - 	62			
 - 	63			
 - 	64			
 - 	65			
 - 	66			
 - 	67			
 - 	68			
 - 	69			
 - 	70			
 - 	71			
 - 	72			
 - 	73			
 - 	74			
 - 	75			
 - 	76			
 - 	77			
 - 	78			
 - 	79			
 - 	80			
 - 	81			
 - 	82			
 - 	83			
 - 	84			
 - 	85			
 - 	86			
 - 	87			
 - 	88			
 - 	89			
 - 	90			
 - 	91			
 - 	92			
 - 	93			
 - 	94			
 - 	95			
 - 	96			
 - 	97			
 - 	98			
 - 	99			
 - 	100			
 - 	101			
 - 	102			
 - 	103			
 - 	104			
 - 	105			
 - 	106			
 - 	107			
 - 	108			
 - 	109			
 - 	110			
 - 	111			
 - 	112			
 - 	113			
 - 	114			
 - 	115			
 - 	116			
 - 	117			
 - 	118			
 - 	119			
 - 	120			
 - 	121			
 - 	122			
 - 	123			
 - 	124			
 - 	125			
 - 	126			
 - 	127			
 - 	128			
 - 	129			
 - 	130			
 - 	131			
 - 	132			
 - 	133			
 - 	134			
 - 	135			
 - 	136			
 - 	137			
 - 	138			
 - 	139			
 - 	140			
 - 	141			
 - 	142			
 - 	143			
 - 	144			
 - 	145			
 - 	146			
 - 	147			
 - 	148			
 - 	149			
 - 	150			
 - 	151			
 - 	152			
 - 	153			
 - 	154			
 - 	155			
 - 	156			
 - 	157			
 - 	158			
 - 	159			
 - 	160			
 - 	161			
 - 	162			
 - 	163			
 - 	164			
 - 	165			
 - 	166			
 - 	167			
 - 	168			
 - 	169			
 - 	170			
 - 	171			
 - 	172			
 - 	173			
 - 	174			
 - 	175			
 - 	176			
 - 	177			
 - 	178			
 - 	179			
 - 	180			
 - 	181			
 - 	182			
 - 	183			
 - 	184	-0.001444	0.000642	-0.000281
 - 	185	-0.001561	0.000697	-0.000307
 - 	186	-0.001751	0.000749	-0.000320
 - 	187	-0.001966	0.000761	-0.000322
 - 	188	-0.002157	0.000771	-0.000323
 - 	189	-0.002265	0.000826	-0.000328
 - 	190	-0.002277	0.000904	-0.000333
 - 	191	-0.002238	0.000940	-0.000333
 - 	192	-0.002180	0.000933	-0.000327
 - 	193	-0.002078	0.000935	-0.000314
 - 	194	-0.001918	0.000957	-0.000300
 - 	195	-0.001753	0.000970	-0.000290
 - 	196	-0.001635	0.000952	-0.000287
 - 	197	-0.001568	0.000899	-0.000283
 - 	198	-0.001523	0.000813	-0.000270
 - 	199	-0.001458	0.000698	-0.000248
 - 	200	-0.001349	0.000563	-0.000224
 - 	201	-0.001206	0.000449	-0.000202
 - 	202	-0.001067	0.000392	-0.000183
 - 	203	-0.001044	0.000388	-0.000184
 - 	204	-0.001211	0.000396	-0.000227
 - 	205	-0.001509	0.000388	-0.000313
 - 	206	-0.001864	0.000366	-0.000425
 - 	207	-0.002238	0.000359	-0.000547
 - 	208	-0.002567	0.000367	-0.000664
 - 	209	-0.002782	0.000369	-0.000767
 - 	210	-0.002803	0.000367	-0.000827
 - 	211	-0.002545	0.000373	-0.000801
 - 	212	-0.001992	0.000376	-0.000660
 - 	213	-0.001207	0.000357	-0.000402
 - 	214	-0.000326	0.000308	-0.000065
 - 	215	0.000520	0.000211	0.000280
 - 	216	0.001207	0.000075	0.000571
 - 	217	0.001642	-0.000051	0.000782
