RKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_4.filtered_40_R1.c3d	1			
 - 	2			
 - 	3	-0.002543	-0.000165	-0.000029
 - 	4	-0.002581	-0.000181	-0.000035
 - 	5	-0.002874	-0.000173	-0.000044
 - 	6	-0.000575	-0.000192	-0.000092
 - 	7	-0.004862	-0.000119	0.000011
 - 	8	-0.002488	-0.000141	-0.000037
 - 	9	-0.002681	-0.000134	-0.000034
 - 	10	-0.002644	-0.000140	-0.000029
 - 	11	-0.002606	-0.000150	-0.000024
 - 	12	-0.002597	-0.000150	-0.000020
 - 	13	-0.002635	-0.000138	-0.000018
 - 	14	-0.002725	-0.000113	-0.000016
 - 	15	-0.002820	-0.000098	-0.000018
 - 	16	-0.002856	-0.000112	-0.000026
 - 	17	-0.002826	-0.000132	-0.000031
 - 	18	-0.002797	-0.000120	-0.000025
 - 	19	-0.002786	-0.000093	-0.000015
 - 	20	-0.002758	-0.000090	-0.000009
 - 	21	-0.002716	-0.000106	-0.000010
 - 	22	-0.002709	-0.000111	-0.000013
 - 	23	-0.002750	-0.000097	-0.000015
 - 	24	-0.002805	-0.000075	-0.000014
 - 	25	-0.002828	-0.000055	-0.000008
 - 	26	-0.002795	-0.000051	-0.000003
 - 	27	-0.002756	-0.000062	-0.000002
 - 	28	-0.002765	-0.000068	-0.000005
 - 	29	-0.002811	-0.000046	-0.000004
 - 	30	-0.002839	-0.000008	0.000004
 - 	31	-0.002813	0.000019	0.000015
 - 	32	-0.002765	0.000045	0.000030
 - 	33	-0.002744	0.000082	0.000047
 - 	34	-0.002752	0.000111	0.000054
 - 	35	-0.002766	0.000105	0.000047
 - 	36	-0.002758	0.000060	0.000030
 - 	37	-0.002753	0.000010	0.000018
 - 	38	-0.002800	-0.000017	0.000015
 - 	39	-0.002892	-0.000016	0.000021
 - 	40	-0.002943	-0.000008	0.000025
 - 	41	-0.002928	-0.000007	0.000024
 - 	42	-0.002896	-0.000007	0.000019
 - 	43	-0.002900	0.000014	0.000022
 - 	44	-0.002910	0.000055	0.000034
 - 	45	-0.002907	0.000107	0.000050
 - 	46	-0.002917	0.000155	0.000064
 - 	47	-0.002951	0.000167	0.000070
 - 	48	-0.003001	0.000154	0.000071
 - 	49	-0.003062	0.000158	0.000078
 - 	50	-0.003117	0.000192	0.000091
 - 	51	-0.003106	0.000214	0.000096
 - 	52	-0.003025	0.000205	0.000090
 - 	53	-0.002939	0.000179	0.000082
 - 	54	-0.002915	0.000166	0.000084
 - 	55	-0.002941	0.000192	0.000098
 - 	56	-0.002987	0.000258	0.000121
 - 	57	-0.003038	0.000321	0.000135
 - 	58	-0.003085	0.000338	0.000134
 - 	59	-0.003100	0.000306	0.000121
 - 	60	-0.003069	0.000253	0.000107
 - 	61	-0.003022	0.000212	0.000100
 - 	62	-0.002999	0.000206	0.000101
 - 	63	-0.003018	0.000236	0.000112
 - 	64	-0.003054	0.000283	0.000127
 - 	65	-0.003091	0.000327	0.000140
 - 	66	-0.003122	0.000355	0.000146
 - 	67	-0.003163	0.000381	0.000148
 - 	68	-0.003227	0.000414	0.000151
 - 	69	-0.003297	0.000429	0.000149
 - 	70	-0.003338	0.000406	0.000140
 - 	71	-0.003347	0.000368	0.000133
 - 	72	-0.003323	0.000323	0.000131
 - 	73	-0.003276	0.000273	0.000128
 - 	74	-0.003225	0.000235	0.000120
 - 	75	-0.003174	0.000224	0.000112
 - 	76	-0.003156	0.000264	0.000113
 - 	77	-0.003177	0.000352	0.000132
 - 	78	-0.003216	0.000458	0.000162
 - 	79	-0.003247	0.000542	0.000189
 - 	80	-0.003260	0.000580	0.000205
 - 	81	-0.003262	0.000581	0.000208
 - 	82	-0.003256	0.000553	0.000199
 - 	83	-0.003246	0.000512	0.000183
 - 	84	-0.003237	0.000474	0.000169
 - 	85	-0.003220	0.000443	0.000155
 - 	86	-0.003232	0.000430	0.000141
 - 	87	-0.003297	0.000436	0.000134
 - 	88	-0.003400	0.000445	0.000135
 - 	89	-0.003471	0.000445	0.000141
 - 	90	-0.003441	0.000430	0.000140
