LKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_9.filtered_40_L1.c3d	1			
 - 	2			
 - 	3	-0.002202	0.000173	0.000012
 - 	4	-0.002294	0.000144	0.000021
 - 	5	-0.002357	0.000137	0.000025
 - 	6	-0.002415	0.000152	0.000022
 - 	7	-0.002465	0.000174	0.000018
 - 	8	-0.002504	0.000200	0.000013
 - 	9	-0.002514	0.000226	0.000007
 - 	10	-0.002494	0.000249	0.000001
 - 	11	-0.002439	0.000261	-0.000004
 - 	12	-0.002360	0.000261	-0.000006
 - 	13	-0.002282	0.000257	-0.000007
 - 	14	-0.002225	0.000246	-0.000005
 - 	15	-0.002205	0.000227	0.000000
 - 	16	-0.002187	0.000205	0.000007
 - 	17	-0.002162	0.000185	0.000011
 - 	18	-0.002143	0.000165	0.000016
 - 	19	-0.002149	0.000149	0.000020
 - 	20	-0.002175	0.000136	0.000024
 - 	21	-0.002226	0.000130	0.000026
 - 	22	-0.002293	0.000136	0.000026
 - 	23	-0.002363	0.000153	0.000023
 - 	24	-0.002442	0.000170	0.000020
 - 	25	-0.002510	0.000176	0.000019
 - 	26	-0.002550	0.000181	0.000018
 - 	27	-0.002557	0.000193	0.000014
 - 	28	-0.002539	0.000204	0.000011
 - 	29	-0.002515	0.000214	0.000008
 - 	30	-0.002477	0.000214	0.000008
 - 	31	-0.002434	0.000209	0.000010
 - 	32	-0.002388	0.000204	0.000010
 - 	33	-0.002342	0.000206	0.000009
 - 	34	-0.002304	0.000218	0.000004
 - 	35	-0.002283	0.000235	-0.000003
 - 	36	-0.002290	0.000251	-0.000009
 - 	37	-0.002321	0.000265	-0.000014
 - 	38	-0.002355	0.000270	-0.000016
 - 	39	-0.002364	0.000262	-0.000016
 - 	40	-0.002335	0.000240	-0.000011
 - 	41	-0.002279	0.000222	-0.000006
 - 	42	-0.002226	0.000231	-0.000006
 - 	43	-0.002196	0.000271	-0.000015
 - 	44	-0.002189	0.000319	-0.000026
 - 	45	-0.002183	0.000340	-0.000032
 - 	46	-0.002196	0.000329	-0.000031
 - 	47	-0.002242	0.000295	-0.000022
 - 	48	-0.002327	0.000258	-0.000010
 - 	49	-0.002438	0.000223	0.000003
 - 	50	-0.002543	0.000186	0.000017
 - 	51	-0.002625	0.000156	0.000027
 - 	52	-0.002671	0.000137	0.000033
 - 	53	-0.002694	0.000142	0.000031
 - 	54	-0.002693	0.000171	0.000021
 - 	55	-0.002672	0.000223	0.000003
 - 	56	-0.002630	0.000278	-0.000016
 - 	57	-0.002575	0.000317	-0.000028
 - 	58	-0.002530	0.000329	-0.000032
 - 	59	-0.002510	0.000314	-0.000026
 - 	60	-0.002510	0.000280	-0.000014
 - 	61	-0.002522	0.000237	0.000000
 - 	62	-0.002529	0.000199	0.000013
 - 	63	-0.002517	0.000175	0.000020
 - 	64	-0.002481	0.000163	0.000023
 - 	65	-0.002413	0.000159	0.000023
 - 	66	-0.002337	0.000162	0.000020
 - 	67	-0.002269	0.000181	0.000012
 - 	68	-0.002222	0.000222	-0.000001
 - 	69	-0.002194	0.000279	-0.000017
 - 	70	-0.002193	0.000330	-0.000029
 - 	71	-0.002215	0.000359	-0.000034
 - 	72	-0.002239	0.000364	-0.000032
 - 	73	-0.002250	0.000345	-0.000025
 - 	74	-0.002242	0.000306	-0.000012
 - 	75	-0.002220	0.000264	0.000000
 - 	76	-0.002204	0.000233	0.000009
 - 	77	-0.002192	0.000209	0.000013
 - 	78	-0.002193	0.000191	0.000016
 - 	79	-0.002210	0.000178	0.000017
 - 	80	-0.002249	0.000174	0.000018
 - 	81	-0.002280	0.000170	0.000019
 - 	82	-0.002287	0.000160	0.000022
 - 	83	-0.002281	0.000151	0.000027
 - 	84	-0.002275	0.000157	0.000031
 - 	85	-0.002282	0.000171	0.000033
 - 	86	-0.002295	0.000181	0.000035
 - 	87	-0.002320	0.000186	0.000035
 - 	88	-0.002326	0.000184	0.000035
 - 	89	-0.002297	0.000178	0.000034
 - 	90	-0.002234	0.000172	0.000031
 - 	91	-0.002155	0.000166	0.000026
 - 	92	-0.002095	0.000169	0.000019
 - 	93	-0.002065	0.000186	0.000012
 - 	94	-0.002086	0.000229	0.000004
 - 	95	-0.002135	0.000274	-0.000001
 - 	96	-0.002202	0.000307	-0.000002
 - 	97	-0.002268	0.000326	0.000003
 - 	98	-0.002344	0.000343	0.000007
 - 	99	-0.002435	0.000357	0.000010
 - 	100	-0.002524	0.000366	0.000012
 - 	101	-0.002585	0.000374	0.000012
 - 	102	-0.002609	0.000394	0.000009
 - 	103	-0.002579	0.000409	0.000004
 - 	104	-0.002480	0.000401	0.000000
 - 	105	-0.002329	0.000377	-0.000003
 - 	106	-0.002154	0.000345	-0.000003
 - 	107	-0.001997	0.000312	-0.000000
 - 	108	-0.001875	0.000267	0.000006
 - 	109	-0.001801	0.000205	0.000017
 - 	110	-0.001777	0.000144	0.000031
 - 	111	-0.001796	0.000097	0.000045
 - 	112	-0.001830	0.000057	0.000056
 - 	113	-0.001872	0.000030	0.000062
 - 	114	-0.001923	0.000046	0.000058
 - 	115	-0.001975	0.000123	0.000042
 - 	116	-0.002005	0.000237	0.000018
 - 	117	-0.002018	0.000342	-0.000004
 - 	118	-0.002012	0.000400	-0.000018
 - 	119	-0.001992	0.000397	-0.000020
 - 	120	-0.001974	0.000342	-0.000014
 - 	121	-0.001953	0.000247	0.000002
 - 	122	-0.001934	0.000137	0.000023
 - 	123	-0.001917	0.000037	0.000043
 - 	124	-0.001909	-0.000043	0.000058
 - 	125	-0.001920	-0.000107	0.000070
 - 	126	-0.001938	-0.000152	0.000077
 - 	127	-0.001958	-0.000166	0.000078
 - 	128	-0.001974	-0.000148	0.000072
 - 	129	-0.001978	-0.000108	0.000062
 - 	130	-0.001966	-0.000066	0.000053
 - 	131	-0.001962	-0.000031	0.000048
 - 	132	-0.001963	-0.000009	0.000046
 - 	133	-0.001944	0.000005	0.000045
 - 	134	-0.001890	0.000004	0.000044
 - 	135	-0.001818	-0.000021	0.000046
 - 	136	-0.001777	-0.000052	0.000049
 - 	137	-0.001797	-0.000060	0.000051
 - 	138	-0.001889	-0.000030	0.000049
 - 	139	-0.002013	0.000009	0.000047
 - 	140	-0.002117	0.000015	0.000049
 - 	141	-0.002163	-0.000016	0.000058
 - 	142	-0.002123	-0.000054	0.000071
 - 	143	-0.001973	-0.000074	0.000083
 - 	144	-0.001718	-0.000064	0.000086
 - 	145	-0.001379	-0.000019	0.000075
 - 	146	-0.001014	0.000095	0.000044
 - 	147	-0.000660	0.000268	-0.000004
 - 	148	-0.000360	0.000466	-0.000061
 - 	149	-0.000117	0.000661	-0.000124
 - 	150	0.000065	0.000870	-0.000192
 - 	151	0.000144	0.001084	-0.000261
 - 	152	0.000094	0.001245	-0.000316
 - 	153	-0.000042	0.001309	-0.000347
 - 	154	-0.000161	0.001270	-0.000348
 - 	155	-0.000191	0.001160	-0.000319
 - 	156	-0.000135	0.001009	-0.000265
 - 	157	-0.000076	0.000824	-0.000189
 - 	158	-0.000114	0.000588	-0.000087
 - 	159	-0.000292	0.000306	0.000046
 - 	160	-0.000596	-0.000000	0.000204
 - 	161	-0.000958	-0.000342	0.000398
 - 	162	-0.001300	-0.000778	0.000654
 - 	163	-0.001538	-0.001330	0.000996
 - 	164	-0.001573	-0.001923	0.001397
 - 	165	-0.001312	-0.002411	0.001777
 - 	166	-0.000732	-0.002678	0.002043
 - 	167	0.000059	-0.002690	0.002140
 - 	168	0.000944	-0.002487	0.002068
 - 	169	0.001853	-0.002127	0.001851
 - 	170	0.002674	-0.001657	0.001519
 - 	171	0.003230	-0.001148	0.001128
 - 	172	0.003398	-0.000698	0.000772
 - 	173	0.003190	-0.000394	0.000535
 - 	174	0.002689	-0.000270	0.000442
 - 	175	0.001990	-0.000291	0.000453
 - 	176	0.001195	-0.000375	0.000488
 - 	177	0.000369	-0.000452	0.000491
 - 	178	-0.000429	-0.000497	0.000460
 - 	179	-0.001172	-0.000516	0.000418
 - 	180	-0.001834	-0.000528	0.000393
 - 	181	-0.002421	-0.000550	0.000406
 - 	182	-0.002954	-0.000586	0.000453
 - 	183	-0.003470	-0.000618	0.000506
 - 	184	-0.003988	-0.000635	0.000545
 - 	185	-0.004478	-0.000631	0.000565
 - 	186	-0.004872	-0.000601	0.000566
 - 	187	-0.005137	-0.000521	0.000532
 - 	188	-0.005299	-0.000374	0.000451
 - 	189	-0.005380	-0.000168	0.000332
 - 	190	-0.005377	0.000068	0.000197
 - 	191	-0.005318	0.000288	0.000081
 - 	192	-0.005230	0.000447	0.000012
 - 	193	-0.005115	0.000531	-0.000011
 - 	194	-0.004961	0.000542	-0.000001
 - 	195	-0.004802	0.000484	0.000031
 - 	196	-0.004748	0.000384	0.000070
 - 	197	-0.004879	0.000272	0.000107
 - 	198	-0.005208	0.000160	0.000148
 - 	199	-0.005661	0.000082	0.000193
 - 	200	-0.006214	0.000076	0.000238
 - 	201	-0.006869	0.000128	0.000291
 - 	202	-0.007580	0.000173	0.000358
 - 	203	-0.008206	0.000142	0.000432
 - 	204	-0.008497	0.000008	0.000492
 - 	205	-0.008162	-0.000202	0.000511
 - 	206	-0.006896	-0.000442	0.000465
 - 	207	-0.004542	-0.000636	0.000345
 - 	208	-0.001236	-0.000695	0.000157
 - 	209	0.002503	-0.000556	-0.000074
 - 	210	0.005746	-0.000250	-0.000297
 - 	211	-0.006750	-0.000139	0.001106
 - 	212	-0.016950	-0.000556	0.002069
 - 	213	-0.017679	-0.000671	0.002374
 - 	214	-0.009807	-0.000522	0.001940
 - 	215	-0.004740	-0.002335	0.001897
 - 	216	-0.006606	-0.004226	0.002678
 - 	217	-0.007094	-0.004045	0.002964
 - 	218	-0.004022	-0.003663	0.002907
 - 	219	-0.001340	-0.003492	0.003000
 - 	220	0.000050	-0.002924	0.002775
 - 	221	0.002196	-0.002142	0.002449
 - 	222	0.002781	-0.000715	0.001932
 - 	223	0.002177	0.002406	0.000908
 - 	224	0.003156	0.003930	0.000119
 - 	225	0.003603	0.004150	-0.000052
 - 	226	0.003243	0.004501	-0.000085
 - 	227	0.003563	0.004297	-0.000029
 - 	228	0.003421	0.004542	-0.000131
