LKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_6.filtered_40.c3d	1			
 - 	2			
 - 	3	-0.001730	-0.001465	-0.000746
 - 	4	-0.001733	-0.001454	-0.000749
 - 	5	-0.001731	-0.001443	-0.000749
 - 	6	-0.001726	-0.001439	-0.000747
 - 	7	-0.001724	-0.001441	-0.000745
 - 	8	-0.001727	-0.001445	-0.000746
 - 	9	-0.001741	-0.001439	-0.000749
 - 	10	-0.001750	-0.001433	-0.000750
 - 	11	-0.001757	-0.001423	-0.000750
 - 	12	-0.001749	-0.001426	-0.000747
 - 	13	-0.001736	-0.001441	-0.000744
 - 	14	-0.001722	-0.001463	-0.000741
 - 	15	-0.001711	-0.001477	-0.000738
 - 	16	-0.001699	-0.001477	-0.000733
 - 	17	-0.001689	-0.001460	-0.000728
 - 	18	-0.001683	-0.001425	-0.000724
 - 	19	-0.001677	-0.001385	-0.000718
 - 	20	-0.001676	-0.001353	-0.000711
 - 	21	-0.001683	-0.001346	-0.000706
 - 	22	-0.001700	-0.001367	-0.000707
 - 	23	-0.001722	-0.001403	-0.000715
 - 	24	-0.001739	-0.001439	-0.000725
 - 	25	-0.001750	-0.001457	-0.000732
 - 	26	-0.001744	-0.001459	-0.000730
 - 	27	-0.001730	-0.001447	-0.000725
 - 	28	-0.001717	-0.001435	-0.000722
 - 	29	-0.001720	-0.001428	-0.000727
 - 	30	-0.001727	-0.001430	-0.000734
 - 	31	-0.001733	-0.001436	-0.000739
 - 	32	-0.001740	-0.001442	-0.000742
 - 	33	-0.001741	-0.001446	-0.000741
 - 	34	-0.001731	-0.001448	-0.000736
 - 	35	-0.001712	-0.001445	-0.000728
 - 	36	-0.001685	-0.001437	-0.000718
 - 	37	-0.001665	-0.001431	-0.000711
 - 	38	-0.001659	-0.001433	-0.000710
 - 	39	-0.001660	-0.001444	-0.000711
 - 	40	-0.001665	-0.001458	-0.000714
 - 	41	-0.001676	-0.001466	-0.000719
 - 	42	-0.001698	-0.001468	-0.000729
 - 	43	-0.001724	-0.001463	-0.000742
 - 	44	-0.001744	-0.001451	-0.000751
 - 	45	-0.001739	-0.001438	-0.000747
 - 	46	-0.001724	-0.001421	-0.000735
 - 	47	-0.001713	-0.001406	-0.000725
 - 	48	-0.001714	-0.001401	-0.000721
 - 	49	-0.001728	-0.001408	-0.000725
 - 	50	-0.001743	-0.001431	-0.000732
 - 	51	-0.001747	-0.001459	-0.000736
 - 	52	-0.001745	-0.001480	-0.000737
 - 	53	-0.001735	-0.001499	-0.000736
 - 	54	-0.001720	-0.001514	-0.000734
 - 	55	-0.001695	-0.001529	-0.000730
 - 	56	-0.001679	-0.001535	-0.000727
 - 	57	-0.001675	-0.001529	-0.000727
 - 	58	-0.001681	-0.001518	-0.000728
 - 	59	-0.001689	-0.001505	-0.000728
 - 	60	-0.001695	-0.001485	-0.000725
 - 	61	-0.001692	-0.001465	-0.000716
