RKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_11.filtered_40.c3d	1			
 - 	2			
 - 	3	0.002148	0.000211	0.000443
 - 	4	0.002146	0.000189	0.000443
 - 	5	0.002129	0.000174	0.000443
 - 	6	0.002108	0.000170	0.000443
 - 	7	0.002088	0.000175	0.000442
 - 	8	0.002090	0.000183	0.000443
 - 	9	0.002102	0.000200	0.000444
 - 	10	0.002120	0.000224	0.000444
 - 	11	0.002129	0.000249	0.000441
 - 	12	0.002128	0.000267	0.000439
 - 	13	0.002125	0.000269	0.000439
 - 	14	0.002124	0.000261	0.000442
 - 	15	0.002123	0.000251	0.000447
 - 	16	0.002120	0.000248	0.000448
 - 	17	0.002119	0.000246	0.000446
 - 	18	0.002116	0.000237	0.000443
 - 	19	0.002116	0.000220	0.000443
 - 	20	0.002121	0.000205	0.000445
 - 	21	0.002114	0.000208	0.000448
 - 	22	0.002102	0.000232	0.000450
 - 	23	0.002099	0.000264	0.000451
 - 	24	0.002099	0.000293	0.000453
 - 	25	0.002092	0.000320	0.000454
 - 	26	0.002098	0.000332	0.000456
 - 	27	0.002141	0.000307	0.000457
 - 	28	0.002203	0.000258	0.000456
 - 	29	0.002226	0.000225	0.000452
 - 	30	0.002204	0.000217	0.000446
 - 	31	0.002191	0.000210	0.000444
 - 	32	0.002201	0.000203	0.000445
 - 	33	0.002215	0.000214	0.000450
 - 	34	0.002183	0.000253	0.000454
 - 	35	0.002115	0.000305	0.000458
 - 	36	0.002053	0.000346	0.000458
 - 	37	0.002073	0.000350	0.000458
 - 	38	0.002157	0.000325	0.000457
 - 	39	0.002229	0.000300	0.000452
 - 	40	0.002240	0.000295	0.000449
 - 	41	0.002208	0.000301	0.000448
 - 	42	0.002159	0.000309	0.000448
 - 	43	0.002132	0.000305	0.000447
 - 	44	0.002158	0.000283	0.000447
 - 	45	0.002181	0.000265	0.000445
 - 	46	0.002149	0.000270	0.000441
 - 	47	0.002082	0.000285	0.000439
 - 	48	0.002039	0.000281	0.000440
 - 	49	0.002053	0.000258	0.000443
 - 	50	0.002081	0.000257	0.000445
 - 	51	0.002118	0.000275	0.000447
 - 	52	0.002158	0.000285	0.000449
