LKNE_MOMENT				
File	Frame	X 	Y 	Z 
Trial_4.filtered_40.c3d	1			
 - 	2			
 - 	3	0.001149	-0.000439	0.000182
 - 	4	0.001135	-0.00045	0.000178
 - 	5	0.001116	-0.000461	0.000174
 - 	6	0.001102	-0.000465	0.000171
 - 	7	0.001084	-0.000465	0.000168
 - 	8	0.001072	-0.00046	0.000167
 - 	9	0.001065	-0.000448	0.000167
 - 	10	0.001069	-0.000434	0.000169
 - 	11	0.001069	-0.000429	0.000171
 - 	12	0.001067	-0.000435	0.000171
 - 	13	0.001065	-0.000445	0.000171
 - 	14	0.001064	-0.000457	0.000171
 - 	15	0.001071	-0.000468	0.00017
 - 	16	0.001081	-0.000471	0.00017
 - 	17	0.001088	-0.000466	0.00017
 - 	18	0.001085	-0.00046	0.000171
 - 	19	0.001073	-0.000456	0.000171
 - 	20	0.001053	-0.000453	0.00017
 - 	21	0.001042	-0.000445	0.000169
 - 	22	0.001038	-0.000436	0.000169
 - 	23	0.001039	-0.000428	0.000168
 - 	24	0.001029	-0.000429	0.000166
 - 	25	0.001016	-0.000437	0.000164
 - 	26	0.001004	-0.00045	0.000162
 - 	27	0.000994	-0.000465	0.000159
 - 	28	0.000997	-0.000475	0.000159
 - 	29	0.001	-0.000477	0.00016
 - 	30	0.001	-0.000475	0.000161
 - 	31	0.000988	-0.000473	0.000161
 - 	32	0.000976	-0.000475	0.00016
 - 	33	0.000971	-0.000481	0.000159
 - 	34	0.000972	-0.000479	0.000159
 - 	35	0.000979	-0.000469	0.000159
 - 	36	0.00098	-0.000452	0.000159
 - 	37	0.000981	-0.000435	0.000159
 - 	38	0.00098	-0.000422	0.000159
 - 	39	0.000978	-0.000425	0.000159
 - 	40	0.000982	-0.000439	0.000159
 - 	41	0.000983	-0.000458	0.000159
 - 	42	0.00099	-0.000473	0.000159
 - 	43	0.000994	-0.000488	0.000159
 - 	44	0.000995	-0.000496	0.000158
 - 	45	0.001	-0.000498	0.000158
 - 	46	0.001003	-0.000494	0.000159
 - 	47	0.00101	-0.000488	0.00016
 - 	48	0.001015	-0.000476	0.000161
 - 	49	0.001016	-0.00046	0.000162
 - 	50	0.00101	-0.000443	0.000161
 - 	51	0.000998	-0.000431	0.000159
 - 	52	0.000991	-0.000428	0.000157
 - 	53	0.000989	-0.000438	0.000156
 - 	54	0.000995	-0.000457	0.000158
 - 	55	0.000999	-0.000478	0.000158
 - 	56	0.001002	-0.000495	0.000157
 - 	57	0.000999	-0.000499	0.000156
 - 	58	0.000995	-0.000489	0.000155
 - 	59	0.000992	-0.00047	0.000156
 - 	60	0.001	-0.000454	0.000157
 - 	61	0.001009	-0.000457	0.000158
 - 	62	0.001016	-0.000471	0.000157
 - 	63	0.001008	-0.000486	0.000155
 - 	64	0.000998	-0.000496	0.000153
 - 	65	0.000992	-0.000503	0.000152
 - 	66	0.000993	-0.000504	0.000152
 - 	67	0.000993	-0.000487	0.000155
 - 	68	0.000987	-0.000454	0.000159
 - 	69	0.000986	-0.000425	0.000162
 - 	70	0.000982	-0.000415	0.000161
 - 	71	0.00098	-0.000423	0.000159
 - 	72	0.000976	-0.000441	0.000157
 - 	73	0.000977	-0.000461	0.000156
 - 	74	0.000979	-0.000481	0.000155
 - 	75	0.000974	-0.000496	0.000155
 - 	76	0.000968	-0.000503	0.000155
 - 	77	0.000968	-0.0005	0.000155
 - 	78	0.000979	-0.000493	0.000157
 - 	79	0.000989	-0.000484	0.000158
 - 	80	0.000993	-0.00048	0.000157
 - 	81	0.000989	-0.000478	0.000157
 - 	82	0.000986	-0.000479	0.000156
 - 	83	0.000989	-0.000484	0.000157
 - 	84	0.001	-0.000492	0.00016
 - 	85	0.001003	-0.000503	0.000161
 - 	86	0.001003	-0.000514	0.000161
 - 	87	0.00099	-0.000519	0.00016
 - 	88	0.000976	-0.000514	0.000158
 - 	89	0.000961	-0.000501	0.000157
 - 	90	0.000953	-0.000483	0.000156
 - 	91	0.000957	-0.00046	0.000156
 - 	92	0.000965	-0.000435	0.000156
 - 	93	0.000961	-0.000421	0.000155
 - 	94	0.000952	-0.000418	0.000154
 - 	95	0.000937	-0.000428	0.000153
 - 	96	0.000935	-0.000445	0.000155
 - 	97	0.000954	-0.000465	0.00016
 - 	98	0.000986	-0.000487	0.000167
 - 	99	0.001003	-0.000509	0.000172
 - 	100	0.001008	-0.000522	0.000173
 - 	101	0.001006	-0.000519	0.000172
 - 	102	0.001009	-0.000495	0.000171
 - 	103	0.001002	-0.000459	0.000167
 - 	104	0.000992	-0.000421	0.000163
 - 	105	0.00098	-0.000392	0.00016
 - 	106	0.000964	-0.000373	0.000156
 - 	107	0.000949	-0.000362	0.000152
 - 	108	0.000925	-0.000359	0.000148
 - 	109	0.000881	-0.000365	0.000142
 - 	110	0.000834	-0.000378	0.000138
 - 	111	0.000789	-0.000389	0.000135
 - 	112	0.000769	-0.000386	0.000135
 - 	113	0.000763	-0.000366	0.000133
 - 	114	0.000741	-0.00034	0.000128
 - 	115	0.000677	-0.000323	0.000119
 - 	116	0.000592	-0.00031	0.000109
 - 	117	0.000503	-0.000308	0.000101
 - 	118	0.000445	-0.000315	0.000098
 - 	119	0.000398	-0.000343	0.000101
 - 	120	0.000345	-0.000384	0.000106
 - 	121	0.000279	-0.000429	0.00011
 - 	122	0.000216	-0.000459	0.000112
 - 	123	0.000148	-0.000467	0.00011
 - 	124	0.000093	-0.000453	0.000104
 - 	125	0.000073	-0.000429	0.000099
 - 	126	0.000117	-0.000406	0.000099
 - 	127	0.000197	-0.000395	0.000105
 - 	128	0.000271	-0.000398	0.000112
 - 	129	0.000323	-0.000412	0.000121
 - 	130	0.000356	-0.000444	0.000134
 - 	131	0.000367	-0.000496	0.000151
 - 	132	0.000352	-0.00057	0.000172
 - 	133	0.00031	-0.000661	0.000196
 - 	134	0.000247	-0.000753	0.000219
 - 	135	0.000168	-0.000837	0.000242
 - 	136	0.000072	-0.000906	0.00026
 - 	137	-0.000049	-0.000959	0.000271
 - 	138	-0.00016	-0.000989	0.000278
 - 	139	-0.000281	-0.001008	0.000279
 - 	140	-0.000418	-0.001026	0.000275
 - 	141	-0.000576	-0.001039	0.000263
 - 	142	-0.000748	-0.001036	0.000241
 - 	143	-0.000921	-0.00101	0.000212
 - 	144	-0.001081	-0.000975	0.00018
 - 	145	-0.001212	-0.000941	0.000151
 - 	146	-0.001297	-0.000914	0.000128
 - 	147	-0.001359	-0.000889	0.000106
 - 	148	-0.001429	-0.000848	0.000077
 - 	149	-0.001514	-0.000797	0.000044
 - 	150	-0.001596	-0.000753	0.000016
 - 	151	-0.001647	-0.000738	0.000005
 - 	152	-0.001656	-0.000752	0.000013
 - 	153	-0.001627	-0.000779	0.000031
 - 	154	-0.001586	-0.000801	0.000049
 - 	155	-0.001538	-0.000796	0.000055
 - 	156	-0.001475	-0.000768	0.000052
 - 	157	-0.001389	-0.000744	0.000051
 - 	158	-0.001284	-0.000748	0.000061
 - 	159	-0.001185	-0.000779	0.000081
 - 	160	-0.001104	-0.000835	0.000111
 - 	161	-0.001041	-0.000909	0.000148
 - 	162	-0.001003	-0.000994	0.000184
 - 	163	-0.000978	-0.001067	0.000212
 - 	164	-0.000968	-0.001124	0.000229
 - 	165	-0.00097	-0.00116	0.000235
 - 	166	-0.000978	-0.001177	0.000234
 - 	167	-0.000999	-0.001174	0.000226
 - 	168	-0.001026	-0.00115	0.000212
 - 	169	-0.001073	-0.001118	0.000192
 - 	170	-0.001155	-0.001087	0.000166
 - 	171	-0.001268	-0.001069	0.000139
 - 	172	-0.001356	-0.001061	0.000119
 - 	173	-0.00139	-0.001072	0.000115
 - 	174	-0.001375	-0.001102	0.000126
 - 	175	-0.001327	-0.001143	0.000147
 - 	176	-0.001264	-0.001178	0.000169
 - 	177	-0.001213	-0.001193	0.00018
 - 	178	-0.001192	-0.001188	0.000177
 - 	179	-0.00118	-0.001175	0.000168
 - 	180	-0.001164	-0.001178	0.000166
 - 	181	-0.001145	-0.001202	0.000171
 - 	182	-0.001134	-0.001237	0.00018
 - 	183	-0.001137	-0.001264	0.000185
 - 	184	-0.001173	-0.001278	0.000182
 - 	185	-0.001228	-0.001276	0.000172
 - 	186	-0.001301	-0.001259	0.000155
 - 	187	-0.001384	-0.001228	0.000132
 - 	188	-0.001474	-0.00119	0.000107
 - 	189	-0.001549	-0.001148	0.000082
 - 	190	-0.001608	-0.001112	0.000061
 - 	191	-0.001662	-0.001091	0.000047
 - 	192	-0.001722	-0.001085	0.000037
 - 	193	-0.00178	-0.001086	0.000028
 - 	194	-0.001819	-0.00109	0.000022
 - 	195	-0.00183	-0.001092	0.000018
 - 	196	-0.001826	-0.001097	0.000019
 - 	197	-0.001817	-0.001102	0.00002
 - 	198	-0.001815	-0.00111	0.000021
 - 	199	-0.001817	-0.001122	0.000023
 - 	200	-0.001838	-0.001151	0.000026
 - 	201	-0.00188	-0.001198	0.000032
 - 	202	-0.001943	-0.001257	0.000039
 - 	203	-0.002019	-0.001311	0.000043
 - 	204	-0.002111	-0.00135	0.000039
 - 	205	-0.002215	-0.001378	0.00003
 - 	206	-0.002304	-0.001405	0.00002
 - 	207	-0.002355	-0.00143	0.000015
 - 	208	-0.00238	-0.001447	0.00001
 - 	209	-0.002391	-0.001447	0.000004
 - 	210	-0.002418	-0.001436	-0.000007
 - 	211	-0.002455	-0.001415	-0.00002
 - 	212	-0.002485	-0.001391	-0.000033
 - 	213	-0.00248	-0.001373	-0.00004
 - 	214	-0.002451	-0.001367	-0.00004
 - 	215	-0.002409	-0.001381	-0.000034
 - 	216	-0.002375	-0.001407	-0.000026
 - 	217	-0.002361	-0.001435	-0.000019
 - 	218	-0.002351	-0.001441	-0.000018
 - 	219	-0.002315	-0.001416	-0.000021
 - 	220	-0.002251	-0.00136	-0.000029
 - 	221	-0.002163	-0.001278	-0.000041
 - 	222	-0.002064	-0.001179	-0.000052
 - 	223	-0.001942	-0.001075	-0.00006
 - 	224	-0.001808	-0.00098	-0.00006
 - 	225	-0.001697	-0.000907	-0.000057
 - 	226	-0.001624	-0.000865	-0.000049
 - 	227	-0.001609	-0.000864	-0.000037
 - 	228	-0.00162	-0.000902	-0.000013
 - 	229	-0.001621	-0.000971	0.000023
 - 	230	-0.001582	-0.001043	0.000072
 - 	231	-0.001502	-0.001083	0.000122
 - 	232	-0.001386	-0.001076	0.000164
 - 	233	-0.00127	-0.001004	0.000181
 - 	234	-0.001195	-0.000848	0.000154
 - 	235	-0.001223	-0.000627	0.00008
 - 	236	-0.001405	-0.000412	-0.000017
 - 	237	-0.001703	-0.000272	-0.000098
 - 	238	-0.002008	-0.000229	-0.000127
 - 	239	-0.002188	-0.000246	-0.000096
 - 	240	-0.002203	-0.000271	-0.000021
 - 	241	-0.002052	-0.000295	0.000087
 - 	242	-0.001778	-0.000373	0.000248
 - 	243	-0.001495	-0.000568	0.000498
 - 	244	-0.001279	-0.000876	0.000839
 - 	245	-0.001077	-0.001197	0.001207
 - 	246	-0.000755	-0.001409	0.001497
 - 	247	-0.000198	-0.0014	0.001587
 - 	248	0.000565	-0.001132	0.001399
 - 	249	0.001317	-0.000708	0.000994
 - 	250	0.001799	-0.000295	0.000527
 - 	251	0.001938	0.000017	0.00011
 - 	252	0.001839	0.000221	-0.000227
 - 	253	0.001595	0.000317	-0.000459
 - 	254	0.001234	0.000275	-0.000533
 - 	255	0.00079	0.000085	-0.000415
 - 	256	0.000341	-0.000202	-0.000157
 - 	257	-0.000038	-0.000492	0.000137
 - 	258	-0.000335	-0.000725	0.000388
 - 	259	-0.000608	-0.000878	0.000566
 - 	260	-0.000922	-0.000936	0.000646
 - 	261	-0.001297	-0.000894	0.00062
 - 	262	-0.001671	-0.000762	0.0005
 - 	263	-0.001983	-0.000561	0.000308
 - 	264	-0.002239	-0.000356	0.00011
 - 	265	-0.002459	-0.000236	-0.000017
 - 	266	-0.002655	-0.00024	-0.000056
 - 	267	-0.002885	-0.000374	-0.000033
 - 	268	-0.003199	-0.000647	0.00004
 - 	269	-0.003531	-0.001047	0.000152
 - 	270	-0.003802	-0.001517	0.000271
 - 	271	-0.004002	-0.002001	0.000368
 - 	272	-0.004119	-0.002455	0.00043
 - 	273	-0.004143	-0.00283	0.00045
 - 	274	-0.004091	-0.003084	0.000429
 - 	275	-0.004015	-0.003212	0.000378
 - 	276	-0.003992	-0.00324	0.000307
 - 	277	-0.004131	-0.003195	0.000216
 - 	278	-0.004441	-0.003073	0.000108
 - 	279	-0.004859	-0.002854	-0.000001
 - 	280	-0.005315	-0.002538	-0.000098
 - 	281	-0.005757	-0.002156	-0.000178
 - 	282	-0.006135	-0.001737	-0.000244
 - 	283	-0.006398	-0.001312	-0.000302
 - 	284	-0.006504	-0.000945	-0.000352
 - 	285	-0.006442	-0.000727	-0.000393
 - 	286	-0.006264	-0.000736	-0.000418
 - 	287	-0.006028	-0.001009	-0.000422
 - 	288	-0.005755	-0.00153	-0.000393
 - 	289	-0.00537	-0.002218	-0.000317
 - 	290	-0.004722	-0.002925	-0.000188
 - 	291	-0.003678	-0.003464	-0.000029
 - 	292	-0.002278	-0.003623	0.000106
 - 	293	-0.000872	-0.003216	0.000142
 - 	294	-0.000029	-0.002183	0.000027
 - 	295	0.000016	0.000523	-0.000289
 - 	296	-0.001994	0.000999	-0.000193
 - 	297	0.002438	-0.000963	0.001169
 - 	298	0.011405	-0.00293	0.002137
 - 	299	0.018825	-0.002496	0.002585
 - 	300	0.020995	0.002092	0.001845
 - 	301	0.022974	0.008483	-0.0005
 - 	302	0.02647	0.01207	-0.002702
 - 	303	0.031634	0.017534	-0.005202
 - 	304	0.037018	0.023169	-0.007768
 - 	305	0.04204	0.024592	-0.008377
 - 	306	0.045449	0.025261	-0.008456
 - 	307	0.048592	0.026262	-0.008695
 - 	308	0.050627	0.027202	-0.008866
 - 	309	0.050737	0.028094	-0.009318
 - 	310	0.050016	0.028557	-0.009556
 - 	311	0.049687	0.028443	-0.009319
 - 	312	0.049313	0.028505	-0.008969
 - 	313	0.047844	0.028723	-0.00897
 - 	314	0.046073	0.028815	-0.009144
 - 	315	0.044377	0.02933	-0.009359
 - 	316	0.042371	0.029718	-0.009486
 - 	317	0.040255	0.030217	-0.00952
 - 	318	0.038129	0.030076	-0.009331
 - 	319	0.036919	0.02956	-0.008812
 - 	320	0.035469	0.028603	-0.008101
 - 	321	0.033733	0.027962	-0.007572
 - 	322	0.031885	0.026802	-0.007061
 - 	323	0.030347	0.025784	-0.006461
 - 	324	0.028855	0.025082	-0.005957
 - 	325	0.027486	0.024672	-0.005579
 - 	326	0.025908	0.023864	-0.005162
 - 	327	0.024676	0.023212	-0.004798
 - 	328	0.02342	0.022644	-0.004415
 - 	329	0.021908	0.02211	-0.003957
 - 	330	0.020264	0.021547	-0.00354
 - 	331	0.018749	0.020912	-0.0031
 - 	332	0.017257	0.020481	-0.002729
 - 	333	0.015804	0.020463	-0.002394
 - 	334	0.014137	0.020156	-0.002015
 - 	335	0.012252	0.020037	-0.001812
 - 	336	0.010156	0.019958	-0.001615
 - 	337	0.008347	0.02012	-0.001447
 - 	338	0.006523	0.019994	-0.001101
 - 	339	0.004816	0.01986	-0.000835
 - 	340	0.003261	0.019961	-0.000774
 - 	341	0.002237	0.019855	-0.000652
 - 	342	0.001514	0.019699	-0.000415
 - 	343	0.000793	0.019739	-0.000293
 - 	344	0.000007	0.019928	-0.000233
 - 	345	-0.000646	0.020405	-0.000266
 - 	346	-0.001155	0.020577	-0.000131
 - 	347	-0.001684	0.020978	0.000053
 - 	348	-0.00251	0.021451	0.000062
 - 	349	-0.003028	0.021998	0.00015
 - 	350	-0.003845	0.022067	0.000218
 - 	351	-0.004599	0.022106	0.000388
 - 	352	-0.005511	0.021928	0.000452
 - 	353	-0.00603	0.022076	0.000656
 - 	354	-0.006863	0.021956	0.000901
 - 	355	-0.007995	0.021868	0.000942
 - 	356	-0.00925	0.021657	0.000892
 - 	357	-0.010188	0.021758	0.000977
 - 	358	-0.011121	0.021345	0.001008
 - 	359	-0.012061	0.021171	0.001066
 - 	360	-0.012372	0.021029	0.001161
 - 	361	-0.01271	0.021095	0.001264
 - 	362	-0.012862	0.020974	0.001373
 - 	363	-0.013092	0.021061	0.001364
 - 	364	-0.012773	0.021107	0.001403
 - 	365	-0.01265	0.021217	0.001511
 - 	366	-0.012724	0.021285	0.001526
 - 	367	-0.012755	0.021263	0.001515
 - 	368	-0.013098	0.021244	0.001538
 - 	369	-0.013287	0.021515	0.001669
 - 	370	-0.013629	0.021265	0.001647
 - 	371	-0.01366	0.020969	0.001698
 - 	372	-0.013526	0.020732	0.001889
 - 	373	-0.013596	0.020611	0.002077
 - 	374	-0.013489	0.020113	0.002036
 - 	375	-0.013073	0.019387	0.001975
 - 	376	-0.012497	0.018046	0.001904
 - 	377	-0.01147	0.017264	0.0019
 - 	378	-0.010502	0.015754	0.001737
 - 	379	-0.009371	0.014287	0.001499
 - 	380	-0.007689	0.013118	0.001289
 - 	381	-0.00584	0.011865	0.001137
 - 	382	-0.00389	0.010179	0.000963
 - 	383	-0.002119	0.008876	0.000793
 - 	384	-0.000884	0.007374	0.000447
 - 	385	0.000222	0.006109	0.000098
 - 	386	0.001011	0.005025	-0.000187
 - 	387	0.002044	0.00396	-0.000331
 - 	388	0.002423	0.00306	-0.000571
 - 	389	0.002333	0.002559	-0.000798
 - 	390	0.002242	0.001692	-0.001024
 - 	391	0.002125	0.000786	-0.001013
 - 	392	0.001729	0.00022	-0.001002
 - 	393	0.001586	-0.00019	-0.001007
 - 	394	0.00044	-0.001167	-0.000966
 - 	395	-0.000666	-0.001612	-0.000891
 - 	396	-0.001081	-0.001487	-0.00096
 - 	397	-0.000873	-0.001391	-0.001028
 - 	398	-0.00252	-0.00013	-0.000236
 - 	399	-0.00243	-0.000115	-0.000203
 - 	400	-0.002425	-0.000235	-0.000101
 - 	401	-0.002526	-0.000414	0.000045
 - 	402	-0.002704	-0.000582	0.000185
 - 	403	-0.002926	-0.00076	0.000324
 - 	404	-0.003138	-0.001004	0.000505
 - 	405	-0.00317	-0.001279	0.000731
 - 	406	-0.002848	-0.001442	0.000917
 - 	407	-0.002243	-0.001371	0.000933
 - 	408	-0.001605	-0.001093	0.000747
 - 	409	-0.001111	-0.00075	0.000454
 - 	410	-0.000873	-0.00047	0.000172
 - 	411	-0.001001	-0.000294	-0.00006
 - 	412	-0.001475	-0.000208	-0.000254
 - 	413	-0.002018	-0.000209	-0.000381
 - 	414	-0.002357	-0.000298	-0.000398
 - 	415	-0.002542	-0.000454	-0.000318
 - 	416	-0.002794	-0.000613	-0.000215
 - 	417	-0.003154	-0.000702	-0.000164
 - 	418	-0.003491	-0.000701	-0.000177
 - 	419	-0.003717	-0.000649	-0.00021
 - 	420	-0.003865	-0.000578	-0.000241
 - 	421	-0.003999	-0.0005	-0.000279
 - 	422	-0.004186	-0.000418	-0.00034
 - 	423	-0.004489	-0.000325	-0.000441
 - 	424	-0.004932	-0.000238	-0.000569
 - 	425	-0.005448	-0.000216	-0.000664
 - 	426	-0.005888	-0.000314	-0.000667
 - 	427	-0.006183	-0.000525	-0.000588
 - 	428	-0.006419	-0.0008	-0.000487
 - 	429	-0.006689	-0.001097	-0.000402
 - 	430	-0.006984	-0.001389	-0.000338
 - 	431	-0.00723	-0.001637	-0.000294
 - 	432	-0.007386	-0.001813	-0.000269
 - 	433	-0.007462	-0.001928	-0.000253
 - 	434	-0.00744	-0.001989	-0.000235
 - 	435	-0.007303	-0.001994	-0.000214
 - 	436	-0.007083	-0.001933	-0.0002
 - 	437	-0.006829	-0.001821	-0.000196
 - 	438	-0.006584	-0.00169	-0.000199
 - 	439	-0.00637	-0.001582	-0.000205
 - 	440	-0.006171	-0.001523	-0.000213
 - 	441	-0.005956	-0.001521	-0.000219
 - 	442	-0.005721	-0.001588	-0.00022
 - 	443	-0.005515	-0.001726	-0.000216
 - 	444	-0.005406	-0.001865	-0.000223
 - 	445	-0.005399	-0.001846	-0.000262
 - 	446	-0.005362	-0.001503	-0.000339
 - 	447	-0.005093	-0.000757	-0.000441
 - 	448	-0.004453	0.000326	-0.000547
 - 	449	-0.003502	0.001537	-0.000632
 - 	450	-0.002489	0.002553	-0.000679
 - 	451	-0.001695	0.003072	-0.000679
 - 	452	-0.001233	0.002946	-0.000628
 - 	453	-0.00101	0.002251	-0.000521
 - 	454	-0.000884	0.001208	-0.000362
 - 	455	-0.000783	0.00007	-0.000176
 - 	456	-0.000693	-0.000926	0.000001
 - 	457	-0.000621	-0.001618	0.000133
 - 	458	-0.000562	-0.001963	0.000207
 - 	459	-0.000499	-0.002028	0.00023
 - 	460	-0.000424	-0.001917	0.00022
 - 	461	-0.000342	-0.001693	0.000188
 - 	462	-0.000278	-0.001383	0.00014
 - 	463	-0.000255	-0.001009	0.000081
 - 	464	-0.000278	-0.000615	0.000019
 - 	465	-0.000329	-0.000255	-0.000036
 - 	466	-0.000383	0.000003	-0.000076
 - 	467	-0.000413	0.000115	-0.000094
 - 	468	-0.0004	0.000067	-0.000092
 - 	469	-0.000334	-0.000117	-0.00007
 - 	470	-0.000228	-0.00038	-0.000037
 - 	471	-0.0001	-0.000648	-0.000002
 - 	472	0.000026	-0.000858	0.00003
 - 	473	0.000132	-0.000972	0.000051
 - 	474	0.000202	-0.000982	0.000061
 - 	475	0.00022	-0.000914	0.000058
 - 	476	0.000183	-0.000799	0.000044
 - 	477	0.000096	-0.000679	0.000022
 - 	478	-0.000023	-0.000583	-0.000004
 - 	479	-0.000164	-0.000534	-0.000031
 - 	480	-0.000313	-0.000537	-0.000056
 - 	481	-0.000432	-0.000578	-0.000074
 - 	482	-0.000481	-0.000634	-0.00008
 - 	483	-0.000482	-0.000691	-0.000077
 - 	484	-0.000478	-0.000748	-0.000073
 - 	485	-0.000498	-0.0008	-0.000073
 - 	486	-0.000545	-0.000842	-0.000079
 - 	487	-0.000592	-0.000864	-0.000088
 - 	488	-0.000603	-0.000856	-0.000092
 - 	489	-0.000562	-0.000818	-0.000088
 - 	490	-0.000487	-0.000767	-0.000079
 - 	491	-0.000417	-0.000726	-0.000069
 - 	492	-0.00038	-0.000717	-0.000064
 - 	493	-0.000371	-0.000738	-0.000063
 - 	494	-0.000372	-0.000777	-0.000063
 - 	495	-0.000355	-0.000813	-0.00006
 - 	496	-0.000312	-0.000829	-0.000054
 - 	497	-0.00027	-0.000828	-0.000048
 - 	498	-0.000264	-0.000824	-0.000048
 - 	499	-0.000289	-0.000819	-0.000054
 - 	500	-0.000322	-0.000812	-0.00006
 - 	501	-0.000334	-0.000795	-0.000063
 - 	502	-0.000322	-0.000762	-0.000063
 - 	503	-0.000303	-0.000725	-0.000061
 - 	504	-0.000309	-0.0007	-0.000063
 - 	505	-0.00033	-0.000691	-0.000067
 - 	506	-0.000345	-0.000696	-0.000069
 - 	507	-0.000376	-0.000718	-0.000074
 - 	508	-0.000442	-0.000755	-0.000084
 - 	509	-0.000499	-0.00079	-0.000093
 - 	510	-0.000511	-0.000812	-0.000095
 - 	511	-0.000464	-0.000813	-0.000086
 - 	512	-0.000383	-0.000799	-0.000072
 - 	513	-0.000321	-0.000785	-0.000061
 - 	514	-0.000325	-0.000783	-0.000062
 - 	515	-0.000404	-0.000803	-0.000074
 - 	516	-0.000518	-0.000839	-0.000091
 - 	517	-0.000593	-0.00087	-0.000102
 - 	518	-0.000589	-0.000881	-0.000101
 - 	519	-0.000541	-0.000872	-0.000093
 - 	520	-0.000492	-0.000858	-0.000085
 - 	521	-0.000459	-0.000846	-0.000079
 - 	522	-0.000456	-0.000839	-0.000079
 - 	523	-0.000468	-0.000842	-0.000082
 - 	524	-0.000473	-0.000845	-0.000083
 - 	525	-0.00048	-0.000848	-0.000085
 - 	526	-0.000501	-0.000849	-0.000089
 - 	527	-0.000524	-0.000853	-0.000095
 - 	528	-0.00053	-0.000855	-0.000097
 - 	529	-0.000491	-0.000847	-0.000092
 - 	530	-0.000421	-0.000834	-0.00008
 - 	531	-0.00037	-0.000827	-0.00007
 - 	532	-0.000364	-0.000833	-0.000068
 - 	533	-0.000396	-0.000851	-0.000071
 - 	534	-0.000446	-0.000882	-0.000079
 - 	535	-0.000476	-0.000911	-0.000082
 - 	536	-0.000455	-0.000927	-0.000078
 - 	537	-0.000405	-0.000929	-0.000069
 - 	538	-0.000355	-0.000919	-0.000061
 - 	539	-0.000315	-0.000903	-0.000056
 - 	540	-0.000281	-0.000881	-0.000054
 - 	541	-0.000265	-0.000859	-0.000053
 - 	542	-0.000277	-0.000846	-0.000055
 - 	543	-0.000307	-0.000848	-0.000059
 - 	544	-0.000326	-0.000858	-0.000062
 - 	545	-0.00032	-0.000864	-0.00006
 - 	546	-0.000288	-0.000866	-0.000054
 - 	547	-0.000233	-0.000871	-0.000043
 - 	548	-0.00016	-0.000886	-0.00003
 - 	549	-0.00009	-0.000905	-0.000018
 - 	550	-0.000055	-0.000912	-0.000013
 - 	551			
 - 	552			
