LKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_3.filtered_40.c3d Copy	1			
 - 	2			
 - 	3	0.001276	-0.000455	0.000203
 - 	4	0.001239	-0.000437	0.000196
 - 	5	0.001207	-0.000428	0.000191
 - 	6	0.001198	-0.000428	0.000189
 - 	7	0.001203	-0.000432	0.000190
 - 	8	0.001211	-0.000438	0.000191
 - 	9	0.001215	-0.000438	0.000191
 - 	10	0.001212	-0.000434	0.000191
 - 	11	0.001205	-0.000429	0.000191
 - 	12	0.001207	-0.000425	0.000192
 - 	13	0.001212	-0.000422	0.000193
 - 	14	0.001212	-0.000422	0.000193
 - 	15	0.001213	-0.000418	0.000193
 - 	16	0.001209	-0.000417	0.000192
 - 	17	0.001212	-0.000420	0.000193
 - 	18	0.001216	-0.000425	0.000194
 - 	19	0.001218	-0.000434	0.000194
 - 	20	0.001214	-0.000446	0.000194
 - 	21	0.001213	-0.000454	0.000194
 - 	22	0.001215	-0.000452	0.000194
 - 	23	0.001221	-0.000444	0.000195
 - 	24	0.001225	-0.000436	0.000196
 - 	25	0.001227	-0.000429	0.000196
 - 	26	0.001218	-0.000428	0.000195
 - 	27	0.001210	-0.000433	0.000194
 - 	28	0.001214	-0.000446	0.000195
 - 	29	0.001201	-0.000433	0.000193
 - 	30	0.001192	-0.000417	0.000190
 - 	31	0.001204	-0.000424	0.000192
 - 	32	0.001206	-0.000424	0.000192
 - 	33	0.001204	-0.000428	0.000192
 - 	34	0.001204	-0.000436	0.000194
 - 	35	0.001204	-0.000440	0.000194
 - 	36	0.001210	-0.000439	0.000195
 - 	37	0.001207	-0.000437	0.000194
 - 	38	0.001205	-0.000436	0.000192
 - 	39	0.001202	-0.000433	0.000191
 - 	40	0.001204	-0.000429	0.000191
 - 	41	0.001207	-0.000424	0.000192
 - 	42	0.001207	-0.000420	0.000192
 - 	43	0.001205	-0.000417	0.000192
 - 	44	0.001199	-0.000417	0.000192
 - 	45	0.001188	-0.000418	0.000191
 - 	46	0.001185	-0.000419	0.000190
 - 	47	0.001192	-0.000417	0.000190
 - 	48	0.001208	-0.000414	0.000191
 - 	49	0.001223	-0.000416	0.000194
 - 	50	0.001237	-0.000423	0.000197
 - 	51	0.001237	-0.000436	0.000198
 - 	52	0.001240	-0.000445	0.000198
 - 	53	0.001236	-0.000437	0.000197
 - 	54	0.001231	-0.000413	0.000195
 - 	55	0.001221	-0.000384	0.000193
 - 	56	0.001214	-0.000366	0.000191
 - 	57	0.001217	-0.000366	0.000191
 - 	58	0.001229	-0.000376	0.000193
 - 	59	0.001235	-0.000387	0.000193
 - 	60	0.001232	-0.000395	0.000192
 - 	61	0.001231	-0.000399	0.000192
 - 	62	0.001229	-0.000402	0.000193
 - 	63	0.001232	-0.000405	0.000194
