RKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_3.filtered_40.c3d Copy	1			
 - 	2			
 - 	3	-0.001752	-0.000752	0.000168
 - 	4	-0.001825	-0.000729	0.000173
 - 	5	-0.001882	-0.000697	0.000177
 - 	6	-0.001899	-0.000674	0.000178
 - 	7	-0.001854	-0.000679	0.000176
 - 	8	-0.001795	-0.000704	0.000174
 - 	9	-0.001763	-0.000736	0.000175
 - 	10	-0.001761	-0.000765	0.000179
 - 	11	-0.001789	-0.000783	0.000187
 - 	12	-0.001815	-0.000782	0.000191
 - 	13	-0.001830	-0.000764	0.000189
 - 	14	-0.001829	-0.000748	0.000180
 - 	15	-0.001837	-0.000747	0.000174
 - 	16	-0.001848	-0.000754	0.000171
 - 	17	-0.001862	-0.000758	0.000173
 - 	18	-0.001846	-0.000761	0.000176
 - 	19	-0.001797	-0.000762	0.000179
 - 	20	-0.001758	-0.000757	0.000183
 - 	21	-0.001757	-0.000749	0.000184
 - 	22	-0.001785	-0.000747	0.000182
 - 	23	-0.001811	-0.000748	0.000178
 - 	24	-0.001817	-0.000748	0.000175
 - 	25	-0.001808	-0.000744	0.000173
 - 	26	-0.001817	-0.000732	0.000173
 - 	27	-0.001849	-0.000726	0.000174
 - 	28	-0.001881	-0.000733	0.000175
 - 	29	-0.001895	-0.000747	0.000176
 - 	30	-0.001873	-0.000762	0.000176
 - 	31	-0.001809	-0.000777	0.000176
 - 	32	-0.001737	-0.000780	0.000173
 - 	33	-0.001719	-0.000760	0.000170
 - 	34	-0.001767	-0.000729	0.000170
 - 	35	-0.001835	-0.000716	0.000174
 - 	36	-0.001855	-0.000741	0.000178
 - 	37	-0.001825	-0.000785	0.000179
 - 	38	-0.001804	-0.000808	0.000181
 - 	39	-0.001806	-0.000798	0.000184
 - 	40	-0.001804	-0.000771	0.000186
 - 	41	-0.001793	-0.000743	0.000183
 - 	42	-0.001790	-0.000721	0.000177
 - 	43	-0.001796	-0.000710	0.000171
 - 	44	-0.001806	-0.000717	0.000169
 - 	45	-0.001826	-0.000727	0.000170
 - 	46	-0.001862	-0.000729	0.000174
 - 	47	-0.001857	-0.000740	0.000177
 - 	48	-0.001796	-0.000767	0.000176
 - 	49	-0.001726	-0.000788	0.000172
 - 	50	-0.001714	-0.000793	0.000170
 - 	51	-0.001749	-0.000792	0.000171
 - 	52	-0.001790	-0.000784	0.000171
 - 	53	-0.001821	-0.000759	0.000171
 - 	54	-0.001853	-0.000733	0.000175
 - 	55	-0.001877	-0.000730	0.000179
 - 	56	-0.001866	-0.000757	0.000182
 - 	57	-0.001807	-0.000798	0.000181
 - 	58	-0.001745	-0.000824	0.000181
 - 	59	-0.001751	-0.000816	0.000184
 - 	60	-0.001811	-0.000783	0.000186
 - 	61	-0.001879	-0.000746	0.000185
