LKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_6.filtered_40.c3d	1			
 - 	2			
 - 	3	-0.001083	-0.000092	0.000143
 - 	4	-0.001049	-0.000064	0.000139
 - 	5	-0.001032	-0.000019	0.000136
 - 	6	-0.001028	0.000027	0.000134
 - 	7	-0.001032	0.000066	0.000132
 - 	8	-0.001043	0.000078	0.000131
 - 	9	-0.001045	0.000063	0.000130
 - 	10	-0.001031	0.000034	0.000129
 - 	11	-0.001005	0.000011	0.000128
 - 	12	-0.000979	0.000005	0.000129
 - 	13	-0.000956	0.000011	0.000130
 - 	14	-0.000938	0.000027	0.000131
 - 	15	-0.000919	0.000047	0.000131
 - 	16	-0.000899	0.000066	0.000130
 - 	17	-0.000875	0.000079	0.000128
 - 	18	-0.000864	0.000089	0.000126
 - 	19	-0.000875	0.000101	0.000125
 - 	20	-0.000919	0.000104	0.000126
 - 	21	-0.000965	0.000083	0.000125
 - 	22	-0.000991	0.000046	0.000122
 - 	23	-0.000992	0.000014	0.000120
 - 	24	-0.000971	0.000004	0.000118
 - 	25	-0.000943	0.000010	0.000120
 - 	26	-0.000928	0.000023	0.000124
 - 	27	-0.000938	0.000044	0.000128
 - 	28	-0.000947	0.000067	0.000129
 - 	29	-0.000949	0.000087	0.000129
 - 	30	-0.000941	0.000096	0.000129
 - 	31	-0.000946	0.000091	0.000130
 - 	32	-0.000959	0.000072	0.000132
 - 	33	-0.000961	0.000048	0.000132
 - 	34	-0.000965	0.000031	0.000131
 - 	35	-0.000966	0.000028	0.000129
 - 	36	-0.000975	0.000035	0.000128
 - 	37	-0.000990	0.000041	0.000130
 - 	38	-0.000994	0.000044	0.000131
 - 	39	-0.000983	0.000050	0.000132
 - 	40	-0.000965	0.000058	0.000132
 - 	41	-0.000955	0.000068	0.000133
 - 	42	-0.000955	0.000076	0.000134
 - 	43	-0.000965	0.000082	0.000136
 - 	44	-0.000964	0.000086	0.000136
 - 	45	-0.000959	0.000086	0.000135
 - 	46	-0.000955	0.000079	0.000133
 - 	47	-0.000963	0.000066	0.000134
 - 	48	-0.000986	0.000053	0.000136
 - 	49	-0.001014	0.000043	0.000138
 - 	50	-0.001032	0.000039	0.000138
 - 	51	-0.001035	0.000044	0.000137
 - 	52	-0.001028	0.000056	0.000137
 - 	53	-0.001019	0.000070	0.000137
 - 	54	-0.001014	0.000083	0.000137
 - 	55	-0.001011	0.000098	0.000138
 - 	56	-0.000995	0.000113	0.000137
 - 	57	-0.000980	0.000120	0.000137
 - 	58	-0.000970	0.000108	0.000137
 - 	59	-0.000973	0.000081	0.000138
 - 	60	-0.000982	0.000057	0.000139
 - 	61	-0.000977	0.000041	0.000135
 - 	62	-0.000959	0.000029	0.000128
 - 	63	-0.000937	0.000015	0.000120
 - 	64	-0.000921	0.000002	0.000114
 - 	65	-0.000905	-0.000004	0.000111
 - 	66	-0.000891	0.000003	0.000111
