RKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_7.filtered_40.c3d	1			
 - 	2			
 - 	3	0.000733	0.000357	0.000116
 - 	4	0.000748	0.000317	0.000101
 - 	5	0.000766	0.000278	0.000090
 - 	6	0.000787	0.000245	0.000086
 - 	7	0.000804	0.000241	0.000093
 - 	8	0.000803	0.000279	0.000110
 - 	9	0.000786	0.000355	0.000133
 - 	10	0.000752	0.000441	0.000154
 - 	11	0.000674	0.000513	0.000164
 - 	12	0.000579	0.000559	0.000165
 - 	13	0.000528	0.000575	0.000165
 - 	14	0.000525	0.000564	0.000167
 - 	15	0.000519	0.000541	0.000169
 - 	16	0.000486	0.000522	0.000167
 - 	17	0.000435	0.000508	0.000162
 - 	18	0.000394	0.000494	0.000154
 - 	19	0.000375	0.000476	0.000142
 - 	20	0.000376	0.000456	0.000129
 - 	21	0.000358	0.000435	0.000116
 - 	22	0.000299	0.000424	0.000108
 - 	23	0.000216	0.000438	0.000109
 - 	24	0.000141	0.000467	0.000118
 - 	25	0.000081	0.000486	0.000130
 - 	26	0.000042	0.000485	0.000138
 - 	27	0.000028	0.000474	0.000141
 - 	28	0.000031	0.000469	0.000142
 - 	29	0.000044	0.000477	0.000145
 - 	30	0.000058	0.000496	0.000149
 - 	31	0.000073	0.000510	0.000152
 - 	32	0.000096	0.000505	0.000151
 - 	33	0.000114	0.000489	0.000150
 - 	34	0.000124	0.000481	0.000151
 - 	35	0.000124	0.000482	0.000153
 - 	36	0.000131	0.000482	0.000154
 - 	37	0.000159	0.000484	0.000152
 - 	38	0.000205	0.000487	0.000150
 - 	39	0.000256	0.000486	0.000146
 - 	40	0.000300	0.000483	0.000143
 - 	41	0.000343	0.000490	0.000143
 - 	42	0.000365	0.000503	0.000147
 - 	43	0.000378	0.000510	0.000151
 - 	44	0.000399	0.000514	0.000156
 - 	45	0.000434	0.000521	0.000161
 - 	46	0.000418	0.000520	0.000161
 - 	47	0.000373	0.000505	0.000156
 - 	48	0.000342	0.000489	0.000152
 - 	49	0.000343	0.000482	0.000151
 - 	50	0.000355	0.000478	0.000150
 - 	51	0.000362	0.000471	0.000146
 - 	52	0.000363	0.000456	0.000138
 - 	53	0.000371	0.000441	0.000131
 - 	54	0.000384	0.000434	0.000129
 - 	55	0.000401	0.000433	0.000131
 - 	56	0.000411	0.000434	0.000132
 - 	57	0.000425	0.000432	0.000132
 - 	58	0.000430	0.000427	0.000130
 - 	59	0.000430	0.000420	0.000127
 - 	60	0.000433	0.000415	0.000125
 - 	61	0.000432	0.000414	0.000125
 - 	62	0.000441	0.000418	0.000128
 - 	63	0.000444	0.000421	0.000130
 - 	64	0.000447	0.000417	0.000130
 - 	65	0.000442	0.000412	0.000128
 - 	66	0.000439	0.000413	0.000126
 - 	67	0.000441	0.000416	0.000126
 - 	68	0.000446	0.000420	0.000127
 - 	69	0.000446	0.000429	0.000131
 - 	70	0.000434	0.000445	0.000137
 - 	71	0.000414	0.000461	0.000143
 - 	72	0.000398	0.000467	0.000145
 - 	73	0.000388	0.000464	0.000143
 - 	74	0.000393	0.000457	0.000141
 - 	75	0.000405	0.000452	0.000139
 - 	76	0.000420	0.000456	0.000138
 - 	77	0.000451	0.000473	0.000143
 - 	78	0.000469	0.000490	0.000152
 - 	79	0.000437	0.000494	0.000159
 - 	80	0.000352	0.000482	0.000162
 - 	81	0.000272	0.000471	0.000163
 - 	82	0.000241	0.000465	0.000161
 - 	83	0.000273	0.000459	0.000153
 - 	84	0.000352	0.000448	0.000140
 - 	85	0.000422	0.000429	0.000127
 - 	86	0.000430	0.000413	0.000124
 - 	87	0.000357	0.000411	0.000134
 - 	88	0.000226	0.000419	0.000147
 - 	89	0.000143	0.000429	0.000157
 - 	90	0.000125	0.000437	0.000158
 - 	91	0.000128	0.000444	0.000157
 - 	92	0.000115	0.000450	0.000159
 - 	93	0.000091	0.000448	0.000163
 - 	94	0.000063	0.000437	0.000162
 - 	95	0.000019	0.000418	0.000155
 - 	96	-0.000038	0.000397	0.000144
 - 	97	-0.000094	0.000380	0.000137
 - 	98	-0.000143	0.000373	0.000137
 - 	99	-0.000189	0.000377	0.000144
 - 	100	-0.000256	0.000378	0.000146
 - 	101	-0.000317	0.000366	0.000142
 - 	102	-0.000348	0.000336	0.000131
 - 	103	-0.000342	0.000291	0.000116
 - 	104	-0.000334	0.000248	0.000102
 - 	105	-0.000368	0.000228	0.000095
 - 	106	-0.000450	0.000232	0.000095
 - 	107	-0.000552	0.000248	0.000098
 - 	108	-0.000650	0.000262	0.000100
 - 	109	-0.000742	0.000263	0.000097
 - 	110	-0.000800	0.000247	0.000090
 - 	111	-0.000814	0.000211	0.000075
 - 	112	-0.000786	0.000163	0.000057
 - 	113	-0.000775	0.000121	0.000043
 - 	114	-0.000819	0.000106	0.000041
 - 	115	-0.000897	0.000119	0.000050
 - 	116	-0.000973	0.000143	0.000062
 - 	117	-0.001036	0.000170	0.000077
 - 	118	-0.001094	0.000203	0.000100
 - 	119	-0.001146	0.000241	0.000133
 - 	120	-0.001203	0.000270	0.000161
 - 	121	-0.001313	0.000262	0.000155
 - 	122	-0.001496	0.000196	0.000091
 - 	123	-0.001712	0.000086	-0.000015
 - 	124	-0.001910	-0.000021	-0.000111
 - 	125	-0.002040	-0.000086	-0.000160
 - 	126	-0.002093	-0.000116	-0.000167
 - 	127	-0.002112	-0.000135	-0.000160
 - 	128	-0.002130	-0.000162	-0.000161
 - 	129	-0.002157	-0.000200	-0.000176
 - 	130	-0.002190	-0.000249	-0.000201
 - 	131	-0.002229	-0.000311	-0.000233
 - 	132	-0.002241	-0.000386	-0.000274
 - 	133	-0.002180	-0.000462	-0.000316
 - 	134	-0.002059	-0.000511	-0.000344
 - 	135	-0.001966	-0.000501	-0.000337
 - 	136	-0.001930	-0.000431	-0.000295
 - 	137	-0.001898	-0.000349	-0.000246
 - 	138	-0.001816	-0.000295	-0.000214
 - 	139	-0.001687	-0.000279	-0.000203
 - 	140	-0.001547	-0.000292	-0.000206
 - 	141	-0.001439	-0.000325	-0.000216
 - 	142	-0.001394	-0.000371	-0.000229
 - 	143	-0.001414	-0.000437	-0.000250
 - 	144	-0.001467	-0.000526	-0.000282
 - 	145	-0.001517	-0.000629	-0.000321
 - 	146	-0.001560	-0.000709	-0.000352
 - 	147	-0.001612	-0.000734	-0.000363
 - 	148	-0.001664	-0.000703	-0.000353
 - 	149	-0.001700	-0.000645	-0.000330
 - 	150	-0.001723	-0.000581	-0.000302
 - 	151	-0.001747	-0.000521	-0.000277
 - 	152	-0.001780	-0.000466	-0.000257
 - 	153	-0.001815	-0.000429	-0.000244
 - 	154	-0.001850	-0.000420	-0.000242
 - 	155	-0.001889	-0.000442	-0.000251
 - 	156	-0.001930	-0.000482	-0.000265
 - 	157	-0.001956	-0.000512	-0.000276
 - 	158	-0.001934	-0.000510	-0.000274
 - 	159	-0.001866	-0.000482	-0.000262
 - 	160	-0.001790	-0.000460	-0.000252
 - 	161	-0.001752	-0.000470	-0.000254
 - 	162	-0.001756	-0.000514	-0.000267
 - 	163	-0.001785	-0.000571	-0.000283
 - 	164	-0.001803	-0.000593	-0.000286
 - 	165	-0.001800	-0.000542	-0.000265
 - 	166	-0.001787	-0.000445	-0.000228
 - 	167	-0.001786	-0.000365	-0.000197
 - 	168	-0.001764	-0.000328	-0.000183
 - 	169	-0.001704	-0.000331	-0.000184
 - 	170	-0.001635	-0.000360	-0.000195
 - 	171	-0.001615	-0.000401	-0.000208
 - 	172	-0.001652	-0.000449	-0.000222
 - 	173	-0.001715	-0.000507	-0.000238
 - 	174	-0.001793	-0.000562	-0.000255
 - 	175	-0.001884	-0.000597	-0.000270
 - 	176	-0.001988	-0.000602	-0.000277
 - 	177	-0.002091	-0.000587	-0.000280
 - 	178	-0.002184	-0.000565	-0.000280
 - 	179	-0.002266	-0.000545	-0.000284
 - 	180	-0.002329	-0.000535	-0.000292
 - 	181	-0.002377	-0.000538	-0.000307
 - 	182	-0.002432	-0.000549	-0.000324
 - 	183	-0.002506	-0.000555	-0.000335
 - 	184	-0.002582	-0.000547	-0.000336
 - 	185	-0.002574	-0.000524	-0.000321
 - 	186	-0.002459	-0.000489	-0.000297
 - 	187	-0.002295	-0.000448	-0.000277
 - 	188	-0.002135	-0.000399	-0.000264
 - 	189	-0.001969	-0.000316	-0.000251
 - 	190	-0.001770	-0.000172	-0.000226
 - 	191	-0.001534	0.000040	-0.000183
 - 	192	-0.001259	0.000309	-0.000116
 - 	193	-0.000988	0.000607	-0.000021
 - 	194	-0.000748	0.000897	0.000102
 - 	195	-0.000530	0.001125	0.000246
 - 	196	-0.000300	0.001245	0.000389
 - 	197	-0.000095	0.001235	0.000492
 - 	198	-0.000013	0.001085	0.000512
 - 	199	-0.000125	0.000813	0.000429
 - 	200	-0.000433	0.000489	0.000264
 - 	201	-0.000890	0.000178	0.000058
 - 	202	-0.001440	-0.000101	-0.000162
 - 	203	-0.001960	-0.000341	-0.000381
 - 	204	-0.002307	-0.000522	-0.000579
 - 	205	-0.002406	-0.000616	-0.000729
 - 	206	-0.002293	-0.000595	-0.000794
 - 	207	-0.002082	-0.000476	-0.000758
 - 	208	-0.001932	-0.000329	-0.000655
 - 	209	-0.001974	-0.000220	-0.000541
 - 	210	-0.002214	-0.000179	-0.000464
 - 	211	-0.002562	-0.000233	-0.000466
 - 	212	-0.002810	-0.000388	-0.000562
 - 	213	-0.002696	-0.000602	-0.000714
 - 	214	-0.002104	-0.000784	-0.000838
 - 	215	-0.001205	-0.000842	-0.000843
 - 	216	-0.000339	-0.000743	-0.000685
 - 	217	0.000246	-0.000527	-0.000399
 - 	218	0.000480	-0.000280	-0.000080
 - 	219	0.000437	-0.000084	0.000162
 - 	220	0.000244	0.000013	0.000264
 - 	221	0.000039	0.000022	0.000242
 - 	222	-0.000096	-0.000004	0.000181
 - 	223	-0.000157	-0.000007	0.000170
 - 	224	-0.000178	0.000043	0.000245
 - 	225	-0.000200	0.000140	0.000383
 - 	226	-0.000222	0.000253	0.000525
 - 	227	-0.000251	0.000350	0.000620
 - 	228	-0.000317	0.000412	0.000653
 - 	229	-0.000435	0.000438	0.000637
 - 	230	-0.000609	0.000439	0.000594
 - 	231	-0.000882	0.000434	0.000558
 - 	232	-0.001320	0.000433	0.000542
 - 	233	-0.001933	0.000427	0.000530
 - 	234	-0.002662	0.000418	0.000515
 - 	235	-0.003467	0.000425	0.000497
 - 	236	-0.004314	0.000456	0.000459
 - 	237	-0.005123	0.000491	0.000369
 - 	238	-0.005843	0.000502	0.000211
 - 	239	-0.006491	0.000472	-0.000008
 - 	240	-0.007066	0.000408	-0.000258
 - 	241	-0.007533	0.000317	-0.000510
 - 	242	-0.007908	0.000194	-0.000742
 - 	243	-0.008271	0.000036	-0.000937
 - 	244	-0.008683	-0.000151	-0.001077
 - 	245	-0.009096	-0.000358	-0.001154
 - 	246	-0.009376	-0.000566	-0.001159
 - 	247	-0.009462	-0.000770	-0.001095
 - 	248	-0.009371	-0.000973	-0.000979
 - 	249	-0.008956	-0.001132	-0.000827
 - 	250	-0.007937	-0.001172	-0.000643
 - 	251	-0.006166	-0.001041	-0.000421
 - 	252	-0.003811	-0.000742	-0.000158
 - 	253	-0.001427	-0.000337	0.000106
 - 	254	0.000241	0.000070	0.000286
 - 	255	-0.012649	-0.000029	-0.000756
 - 	256	-0.010282	-0.000516	-0.000807
 - 	257	-0.003383	-0.000990	-0.000199
 - 	258	-0.001332	-0.002228	-0.000009
 - 	259	-0.001795	-0.001655	0.000169
 - 	260	0.000868	0.001942	0.000761
 - 	261	0.004349	0.003667	0.001631
 - 	262	0.003974	0.003355	0.001963
 - 	263	0.005232	0.005248	0.002664
 - 	264	0.006591	0.009412	0.003702
 - 	265	0.008112	0.012377	0.004679
 - 	266	0.008480	0.014210	0.005172
 - 	267	0.009089	0.015726	0.005644
 - 	268	0.009903	0.016917	0.006078
 - 	269	0.010752	0.017866	0.006371
 - 	270	0.011562	0.018551	0.006500
 - 	271	0.012090	0.019036	0.006627
 - 	272	0.012472	0.019676	0.006765
 - 	273	0.013281	0.020216	0.006752
 - 	274	0.013865	0.020127	0.006696
