RKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_3.filtered_40.c3d	1			
 - 	2			
 - 	3	-0.002483	0.000272	-0.000080
 - 	4	-0.002459	0.000285	-0.000078
 - 	5	-0.002433	0.000293	-0.000079
 - 	6	-0.002432	0.000301	-0.000082
 - 	7	-0.002454	0.000312	-0.000084
 - 	8	-0.002482	0.000315	-0.000084
 - 	9	-0.002496	0.000307	-0.000082
 - 	10	-0.002503	0.000296	-0.000082
 - 	11	-0.002500	0.000283	-0.000084
 - 	12	-0.002491	0.000272	-0.000087
 - 	13	-0.002482	0.000269	-0.000089
 - 	14	-0.002475	0.000272	-0.000089
 - 	15	-0.002474	0.000274	-0.000087
 - 	16	-0.002479	0.000276	-0.000084
 - 	17	-0.002487	0.000276	-0.000082
 - 	18	-0.002492	0.000267	-0.000082
 - 	19	-0.002481	0.000248	-0.000084
 - 	20	-0.002473	0.000239	-0.000087
 - 	21	-0.002478	0.000244	-0.000091
 - 	22	-0.002481	0.000250	-0.000094
 - 	23	-0.002483	0.000252	-0.000094
 - 	24	-0.002486	0.000255	-0.000091
 - 	25	-0.002493	0.000266	-0.000086
 - 	26	-0.002514	0.000294	-0.000081
 - 	27	-0.002523	0.000330	-0.000075
 - 	28	-0.002513	0.000344	-0.000071
 - 	29	-0.002485	0.000313	-0.000075
 - 	30	-0.002460	0.000260	-0.000087
 - 	31	-0.002449	0.000226	-0.000097
 - 	32	-0.002453	0.000220	-0.000099
 - 	33	-0.002463	0.000224	-0.000094
 - 	34	-0.002481	0.000232	-0.000088
 - 	35	-0.002504	0.000247	-0.000084
 - 	36	-0.002521	0.000265	-0.000083
 - 	37	-0.002529	0.000271	-0.000086
 - 	38	-0.002519	0.000256	-0.000090
 - 	39	-0.002510	0.000229	-0.000094
 - 	40	-0.002502	0.000211	-0.000100
 - 	41	-0.002490	0.000207	-0.000105
 - 	42	-0.002467	0.000207	-0.000104
 - 	43	-0.002459	0.000211	-0.000098
 - 	44	-0.002463	0.000216	-0.000090
 - 	45	-0.002476	0.000225	-0.000086
 - 	46	-0.002497	0.000239	-0.000086
 - 	47	-0.002520	0.000261	-0.000086
 - 	48	-0.002532	0.000286	-0.000084
 - 	49	-0.002530	0.000308	-0.000082
 - 	50	-0.002514	0.000312	-0.000082
 - 	51	-0.002502	0.000303	-0.000086
 - 	52	-0.002493	0.000280	-0.000090
 - 	53	-0.002497	0.000267	-0.000092
 - 	54	-0.002513	0.000267	-0.000093
 - 	55	-0.002514	0.000252	-0.000094
 - 	56	-0.002514	0.000236	-0.000096
 - 	57	-0.002517	0.000224	-0.000099
 - 	58	-0.002531	0.000226	-0.000105
 - 	59	-0.002517	0.000245	-0.000101
 - 	60	-0.002488	0.000251	-0.000096
 - 	61	-0.002472	0.000230	-0.000099
