LKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_9.filtered_40.c3d	1			
 - 	2			
 - 	3	-0.002182	-0.000312	0.000082
 - 	4	-0.002208	-0.000344	0.000077
 - 	5	-0.002206	-0.000355	0.000077
 - 	6	-0.002187	-0.000343	0.000083
 - 	7	-0.002183	-0.000326	0.000091
 - 	8	-0.002205	-0.000321	0.000093
 - 	9	-0.002222	-0.000315	0.000085
 - 	10	-0.002185	-0.000295	0.000069
 - 	11	-0.002099	-0.000258	0.000045
 - 	12	-0.002005	-0.000218	0.000020
 - 	13	-0.001993	-0.000208	0.000013
 - 	14	-0.002107	-0.000271	0.000041
 - 	15	-0.002313	-0.000395	0.000098
 - 	16	-0.002481	-0.000496	0.000147
 - 	17	-0.002510	-0.000516	0.000158
 - 	18	-0.002400	-0.000455	0.000130
 - 	19	-0.002231	-0.000363	0.000086
 - 	20	-0.002105	-0.000299	0.000053
 - 	21	-0.002059	-0.000280	0.000042
 - 	22	-0.002065	-0.000284	0.000047
 - 	23	-0.002088	-0.000291	0.000057
 - 	24	-0.002108	-0.000298	0.000066
 - 	25	-0.002138	-0.000310	0.000070
 - 	26	-0.002170	-0.000328	0.000070
 - 	27	-0.002193	-0.000345	0.000067
 - 	28	-0.002209	-0.000355	0.000065
 - 	29	-0.002226	-0.000360	0.000063
 - 	30	-0.002227	-0.000360	0.000064
 - 	31	-0.002211	-0.000351	0.000069
 - 	32	-0.002182	-0.000341	0.000077
 - 	33	-0.002154	-0.000334	0.000084
 - 	34	-0.002146	-0.000328	0.000085
 - 	35	-0.002151	-0.000318	0.000082
 - 	36	-0.002164	-0.000309	0.000077
 - 	37	-0.002162	-0.000299	0.000071
 - 	38	-0.002152	-0.000296	0.000070
 - 	39	-0.002151	-0.000309	0.000070
 - 	40	-0.002169	-0.000331	0.000072
 - 	41	-0.002205	-0.000358	0.000074
 - 	42	-0.002237	-0.000381	0.000074
 - 	43	-0.002255	-0.000393	0.000074
 - 	44	-0.002245	-0.000398	0.000075
 - 	45	-0.002216	-0.000396	0.000076
 - 	46	-0.002206	-0.000385	0.000077
 - 	47	-0.002196	-0.000369	0.000078
 - 	48	-0.002189	-0.000354	0.000079
 - 	49	-0.002185	-0.000346	0.000080
 - 	50	-0.002189	-0.000349	0.000079
 - 	51	-0.002204	-0.000355	0.000075
 - 	52	-0.002214	-0.000363	0.000073
 - 	53	-0.002216	-0.000373	0.000073
 - 	54	-0.002216	-0.000380	0.000074
 - 	55	-0.002214	-0.000388	0.000076
 - 	56	-0.002218	-0.000393	0.000077
 - 	57	-0.002218	-0.000400	0.000077
 - 	58	-0.002210	-0.000409	0.000078
 - 	59	-0.002193	-0.000418	0.000081
 - 	60	-0.002175	-0.000425	0.000084
 - 	61	-0.002161	-0.000424	0.000085
 - 	62	-0.002153	-0.000421	0.000085
 - 	63	-0.002153	-0.000420	0.000084
 - 	64	-0.002148	-0.000425	0.000083
 - 	65	-0.002140	-0.000434	0.000081
 - 	66	-0.002126	-0.000441	0.000079
 - 	67	-0.002114	-0.000440	0.000077
 - 	68	-0.002107	-0.000427	0.000074
 - 	69	-0.002104	-0.000407	0.000073
 - 	70	-0.002099	-0.000383	0.000076
 - 	71	-0.002068	-0.000365	0.000082
 - 	72	-0.002053	-0.000363	0.000086
 - 	73	-0.002073	-0.000376	0.000085
 - 	74	-0.002114	-0.000391	0.000080
 - 	75	-0.002141	-0.000397	0.000076
 - 	76	-0.002167	-0.000403	0.000075
 - 	77	-0.002190	-0.000413	0.000075
 - 	78	-0.002208	-0.000421	0.000075
 - 	79	-0.002218	-0.000419	0.000074
 - 	80	-0.002196	-0.000403	0.000076
 - 	81	-0.002149	-0.000371	0.000084
 - 	82	-0.002104	-0.000335	0.000096
 - 	83	-0.002104	-0.000305	0.000104
 - 	84	-0.002139	-0.000280	0.000103
 - 	85	-0.002191	-0.000251	0.000095
 - 	86	-0.002221	-0.000211	0.000086
 - 	87	-0.002230	-0.000163	0.000082
 - 	88	-0.002222	-0.000112	0.000078
 - 	89	-0.002209	-0.000067	0.000073
 - 	90	-0.002173	-0.000029	0.000067
 - 	91	-0.002108	-0.000002	0.000065
 - 	92	-0.002031	0.000009	0.000065
 - 	93	-0.001964	0.000005	0.000065
 - 	94	-0.001906	-0.000008	0.000066
 - 	95	-0.001825	-0.000014	0.000068
 - 	96	-0.001710	0.000008	0.000069
 - 	97	-0.001559	0.000054	0.000066
 - 	98	-0.001395	0.000098	0.000060
 - 	99	-0.001218	0.000126	0.000051
 - 	100	-0.001028	0.000139	0.000038
 - 	101	-0.000845	0.000135	0.000022
 - 	102	-0.000726	0.000140	0.000005
 - 	103	-0.000661	0.000190	-0.000016
 - 	104	-0.000626	0.000304	-0.000045
 - 	105	-0.000641	0.000456	-0.000087
 - 	106	-0.000781	0.000581	-0.000134
 - 	107	-0.001098	0.000627	-0.000171
 - 	108	-0.001555	0.000561	-0.000175
 - 	109	-0.002031	0.000366	-0.000119
 - 	110	-0.002374	0.000074	0.000011
 - 	111	-0.002472	-0.000248	0.000201
 - 	112	-0.002278	-0.000553	0.000424
 - 	113	-0.001772	-0.000822	0.000653
 - 	114	-0.000907	-0.001031	0.000846
 - 	115	0.000264	-0.001136	0.000955
 - 	116	0.001521	-0.001107	0.000953
 - 	117	0.002635	-0.000976	0.000850
 - 	118	0.003490	-0.000820	0.000694
 - 	119	0.004042	-0.000706	0.000538
 - 	120	0.004245	-0.000665	0.000419
