LKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_9.filtered_40.c3d	1			
 - 	2			
 - 	3	-0.001911	-0.000684	0.000195
 - 	4	-0.001904	-0.000683	0.000195
 - 	5	-0.001887	-0.000683	0.000195
 - 	6	-0.001885	-0.000677	0.000195
 - 	7	-0.001881	-0.000679	0.000196
 - 	8	-0.001892	-0.000686	0.000197
 - 	9	-0.001906	-0.000699	0.000199
 - 	10	-0.001915	-0.000716	0.000202
 - 	11	-0.001918	-0.000727	0.000203
 - 	12	-0.001923	-0.000728	0.000204
 - 	13	-0.001923	-0.000720	0.000203
 - 	14	-0.001916	-0.000706	0.000200
 - 	15	-0.001908	-0.000690	0.000197
 - 	16	-0.001894	-0.000674	0.000194
 - 	17	-0.001885	-0.000664	0.000191
 - 	18	-0.001878	-0.000664	0.000191
 - 	19	-0.001880	-0.000672	0.000193
 - 	20	-0.001886	-0.000680	0.000195
 - 	21	-0.001895	-0.000688	0.000196
 - 	22	-0.001901	-0.000698	0.000198
 - 	23	-0.001908	-0.000709	0.000200
 - 	24	-0.001918	-0.000719	0.000203
 - 	25	-0.001927	-0.000726	0.000206
 - 	26	-0.001940	-0.000726	0.000208
 - 	27	-0.001942	-0.000719	0.000207
 - 	28	-0.001933	-0.000702	0.000203
 - 	29	-0.001911	-0.000686	0.000197
 - 	30	-0.001896	-0.000676	0.000193
 - 	31	-0.001893	-0.000676	0.000192
 - 	32	-0.001911	-0.000678	0.000193
 - 	33	-0.001929	-0.000679	0.000194
 - 	34	-0.001943	-0.000680	0.000196
 - 	35	-0.001943	-0.000686	0.000198
 - 	36	-0.001938	-0.000701	0.000200
 - 	37	-0.001931	-0.000716	0.000203
 - 	38	-0.001921	-0.000728	0.000205
 - 	39	-0.001912	-0.000729	0.000205
 - 	40	-0.001920	-0.000721	0.000202
 - 	41	-0.001920	-0.000713	0.000201
 - 	42	-0.001926	-0.000705	0.000200
 - 	43	-0.001926	-0.000699	0.000200
 - 	44	-0.001921	-0.000688	0.000199
 - 	45	-0.001904	-0.000678	0.000197
 - 	46	-0.001888	-0.000672	0.000195
 - 	47	-0.001876	-0.000675	0.000196
 - 	48	-0.001881	-0.000681	0.000198
 - 	49	-0.001900	-0.000691	0.000200
 - 	50	-0.001923	-0.000703	0.000202
 - 	51	-0.001943	-0.000717	0.000203
 - 	52	-0.001959	-0.000724	0.000204
 - 	53	-0.001961	-0.000725	0.000203
 - 	54	-0.001948	-0.000722	0.000202
 - 	55	-0.001920	-0.000719	0.000200
 - 	56	-0.001891	-0.000706	0.000197
 - 	57	-0.001877	-0.000683	0.000192
 - 	58	-0.001887	-0.000650	0.000186
 - 	59	-0.001922	-0.000622	0.000182
 - 	60	-0.001958	-0.000614	0.000181
 - 	61	-0.001979	-0.000636	0.000187
 - 	62	-0.001974	-0.000680	0.000197
 - 	63	-0.001943	-0.000728	0.000207
 - 	64	-0.001907	-0.000759	0.000212
 - 	65	-0.001873	-0.000768	0.000213
 - 	66	-0.001850	-0.000757	0.000209
 - 	67	-0.001839	-0.000738	0.000204
 - 	68	-0.001835	-0.000719	0.000199
 - 	69	-0.001836	-0.000701	0.000196
 - 	70	-0.001840	-0.000686	0.000193
 - 	71	-0.001842	-0.000677	0.000190
 - 	72	-0.001841	-0.000675	0.000189
 - 	73	-0.001850	-0.000682	0.000189
 - 	74	-0.001861	-0.000694	0.000190
 - 	75	-0.001873	-0.000704	0.000192
 - 	76	-0.001880	-0.000716	0.000193
 - 	77	-0.001879	-0.000723	0.000194
 - 	78	-0.001880	-0.000730	0.000195
 - 	79	-0.001875	-0.000733	0.000196
 - 	80	-0.001870	-0.000730	0.000197
 - 	81	-0.001858	-0.000714	0.000195
 - 	82	-0.001843	-0.000693	0.000192
 - 	83	-0.001837	-0.000676	0.000190
 - 	84	-0.001822	-0.000673	0.000188
 - 	85	-0.001811	-0.000680	0.000188
 - 	86	-0.001808	-0.000690	0.000190
 - 	87	-0.001817	-0.000697	0.000191
 - 	88	-0.001840	-0.000696	0.000192
 - 	89	-0.001867	-0.000692	0.000193
 - 	90	-0.001890	-0.000684	0.000191
 - 	91	-0.001906	-0.000673	0.000190
 - 	92	-0.001912	-0.000657	0.000188
 - 	93	-0.001914	-0.000638	0.000187
 - 	94	-0.001906	-0.000625	0.000186
 - 	95	-0.001887	-0.000620	0.000184
 - 	96	-0.001872	-0.000620	0.000181
 - 	97	-0.001866	-0.000617	0.000179
 - 	98	-0.001870	-0.000605	0.000177
 - 	99	-0.001880	-0.000591	0.000175
 - 	100	-0.001899	-0.000583	0.000173
 - 	101	-0.001930	-0.000586	0.000174
 - 	102	-0.001970	-0.000594	0.000176
 - 	103	-0.002011	-0.000602	0.000179
 - 	104	-0.002035	-0.000597	0.000181
 - 	105	-0.002039	-0.000579	0.000180
 - 	106	-0.002010	-0.000551	0.000174
 - 	107	-0.001961	-0.000521	0.000166
 - 	108	-0.001905	-0.000491	0.000157
 - 	109	-0.001866	-0.000459	0.000151
 - 	110	-0.001861	-0.000421	0.000145
 - 	111	-0.001895	-0.000374	0.000139
 - 	112	-0.001945	-0.000318	0.000131
 - 	113	-0.001997	-0.000257	0.000120
 - 	114	-0.002037	-0.000199	0.000109
 - 	115	-0.002066	-0.000154	0.000100
 - 	116	-0.002097	-0.000123	0.000092
 - 	117	-0.002138	-0.000105	0.000087
 - 	118	-0.002161	-0.000097	0.000083
 - 	119	-0.002131	-0.000094	0.000081
