LKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_4.filtered_40.c3d	1			
 - 	2			
 - 	3	0.000832	-0.000547	0.000047
 - 	4	0.000810	-0.000564	0.000049
 - 	5	0.000820	-0.000561	0.000052
 - 	6	0.000827	-0.000554	0.000055
 - 	7	0.000827	-0.000550	0.000057
 - 	8	0.000825	-0.000547	0.000059
 - 	9	0.000830	-0.000547	0.000060
 - 	10	0.000841	-0.000543	0.000061
 - 	11	0.000852	-0.000529	0.000060
 - 	12	0.000863	-0.000510	0.000059
 - 	13	0.000866	-0.000494	0.000056
 - 	14	0.000875	-0.000488	0.000054
 - 	15	0.000881	-0.000494	0.000053
 - 	16	0.000896	-0.000513	0.000053
 - 	17	0.000905	-0.000542	0.000055
 - 	18	0.000907	-0.000577	0.000059
 - 	19	0.000897	-0.000599	0.000062
 - 	20	0.000893	-0.000595	0.000064
 - 	21	0.000895	-0.000573	0.000063
 - 	22	0.000910	-0.000547	0.000061
 - 	23	0.000911	-0.000519	0.000058
 - 	24	0.000895	-0.000483	0.000055
 - 	25	0.000867	-0.000453	0.000053
 - 	26	0.000849	-0.000445	0.000052
 - 	27	0.000851	-0.000465	0.000053
 - 	28	0.000866	-0.000501	0.000055
 - 	29	0.000881	-0.000540	0.000058
 - 	30	0.000886	-0.000573	0.000062
 - 	31	0.000887	-0.000598	0.000067
 - 	32	0.000893	-0.000616	0.000072
 - 	33	0.000910	-0.000629	0.000075
 - 	34	0.000927	-0.000635	0.000078
 - 	35	0.000940	-0.000629	0.000079
 - 	36	0.000950	-0.000598	0.000076
 - 	37	0.000954	-0.000541	0.000069
 - 	38	0.000951	-0.000484	0.000062
 - 	39	0.000949	-0.000465	0.000059
 - 	40	0.000939	-0.000490	0.000061
 - 	41	0.000913	-0.000543	0.000069
 - 	42	0.000880	-0.000606	0.000078
 - 	43	0.000850	-0.000663	0.000087
 - 	44	0.000836	-0.000699	0.000093
 - 	45	0.000827	-0.000707	0.000096
 - 	46	0.000813	-0.000683	0.000094
 - 	47	0.000791	-0.000628	0.000087
 - 	48	0.000776	-0.000554	0.000077
 - 	49	0.000775	-0.000479	0.000066
 - 	50	0.000785	-0.000429	0.000058
 - 	51	0.000794	-0.000410	0.000054
 - 	52	0.000799	-0.000422	0.000054
 - 	53	0.000807	-0.000456	0.000058
 - 	54	0.000818	-0.000497	0.000064
 - 	55	0.000831	-0.000532	0.000069
 - 	56	0.000846	-0.000554	0.000071
 - 	57	0.000843	-0.000565	0.000070
 - 	58	0.000824	-0.000568	0.000067
 - 	59	0.000802	-0.000560	0.000064
 - 	60	0.000795	-0.000539	0.000059
 - 	61	0.000820	-0.000505	0.000055
 - 	62	0.000875	-0.000471	0.000053
 - 	63	0.000930	-0.000455	0.000052
 - 	64	0.000967	-0.000454	0.000051
 - 	65	0.000986	-0.000450	0.000049
 - 	66	0.000994	-0.000435	0.000046
 - 	67	0.001012	-0.000412	0.000043
 - 	68	0.001021	-0.000391	0.000042
 - 	69	0.001014	-0.000386	0.000042
 - 	70	0.000966	-0.000404	0.000042
 - 	71	0.000899	-0.000431	0.000041
 - 	72	0.000839	-0.000433	0.000037
 - 	73	0.000813	-0.000403	0.000030
 - 	74	0.000830	-0.000377	0.000025
 - 	75	0.000874	-0.000382	0.000024
 - 	76	0.000919	-0.000404	0.000027
 - 	77	0.000957	-0.000422	0.000029
 - 	78	0.000983	-0.000434	0.000030
 - 	79	0.001004	-0.000445	0.000030
 - 	80	0.001035	-0.000459	0.000034
 - 	81	0.001078	-0.000480	0.000043
 - 	82	0.001118	-0.000505	0.000054
 - 	83	0.001126	-0.000524	0.000062
 - 	84	0.001097	-0.000534	0.000062
 - 	85	0.001047	-0.000543	0.000057
 - 	86	0.001001	-0.000558	0.000054
 - 	87	0.000965	-0.000575	0.000054
 - 	88	0.000930	-0.000588	0.000057
 - 	89	0.000897	-0.000580	0.000059
 - 	90	0.000851	-0.000540	0.000061
 - 	91	0.000805	-0.000482	0.000063
 - 	92	0.000744	-0.000442	0.000069
 - 	93	0.000670	-0.000441	0.000078
 - 	94	0.000575	-0.000479	0.000092
 - 	95	0.000461	-0.000531	0.000105
 - 	96	0.000333	-0.000576	0.000113
 - 	97	0.000219	-0.000597	0.000115
 - 	98	0.000119	-0.000587	0.000112
 - 	99	0.000033	-0.000550	0.000107
 - 	100	-0.000050	-0.000503	0.000103
 - 	101	-0.000132	-0.000470	0.000104
 - 	102	-0.000185	-0.000468	0.000110
 - 	103	-0.000190	-0.000501	0.000121
 - 	104	-0.000170	-0.000568	0.000139
 - 	105	-0.000152	-0.000675	0.000164
 - 	106	-0.000146	-0.000826	0.000196
 - 	107	-0.000159	-0.000988	0.000226
 - 	108	-0.000202	-0.001109	0.000247
 - 	109	-0.000293	-0.001156	0.000255
 - 	110	-0.000396	-0.001132	0.000251
 - 	111	-0.000493	-0.001060	0.000237
 - 	112	-0.000573	-0.000977	0.000220
 - 	113	-0.000635	-0.000909	0.000204
 - 	114	-0.000670	-0.000865	0.000192
 - 	115	-0.000673	-0.000840	0.000182
 - 	116	-0.000663	-0.000833	0.000177
 - 	117	-0.000671	-0.000845	0.000176
 - 	118	-0.000694	-0.000868	0.000180
 - 	119	-0.000722	-0.000882	0.000184
 - 	120	-0.000735	-0.000873	0.000182
 - 	121	-0.000733	-0.000846	0.000175
 - 	122	-0.000714	-0.000809	0.000162
 - 	123	-0.000628	-0.000911	0.000183
 - 	124	-0.000625	-0.000704	0.000116
 - 	125	-0.000602	-0.000839	0.000145
 - 	126	-0.000592	-0.000871	0.000147
 - 	127	-0.000598	-0.000918	0.000151
 - 	128	-0.000628	-0.000954	0.000152
 - 	129	-0.000683	-0.000967	0.000147
 - 	130	-0.000752	-0.000956	0.000138
 - 	131	-0.000805	-0.000932	0.000130
 - 	132	-0.000827	-0.000912	0.000126
 - 	133	-0.000818	-0.000906	0.000125
 - 	134	-0.000790	-0.000911	0.000127
 - 	135	-0.000762	-0.000913	0.000131
 - 	136	-0.000764	-0.000912	0.000133
 - 	137	-0.000797	-0.000925	0.000130
 - 	138	-0.000847	-0.000963	0.000123
 - 	139	-0.000888	-0.001017	0.000116
 - 	140	-0.000907	-0.001054	0.000111
 - 	141	-0.000899	-0.001043	0.000111
 - 	142	-0.000885	-0.000984	0.000113
 - 	143	-0.000880	-0.000904	0.000112
 - 	144	-0.000882	-0.000835	0.000108
 - 	145	-0.000875	-0.000797	0.000100
 - 	146	-0.000858	-0.000797	0.000089
 - 	147	-0.000831	-0.000828	0.000081
 - 	148	-0.000802	-0.000859	0.000078
 - 	149	-0.000787	-0.000872	0.000082
 - 	150	-0.000809	-0.000884	0.000088
 - 	151	-0.000893	-0.000909	0.000094
 - 	152	-0.001030	-0.000943	0.000098
 - 	153	-0.001197	-0.000973	0.000104
 - 	154	-0.001357	-0.000992	0.000112
 - 	155	-0.001474	-0.000993	0.000119
 - 	156	-0.001527	-0.000972	0.000121
 - 	157	-0.001536	-0.000944	0.000122
 - 	158	-0.001528	-0.000911	0.000124
 - 	159	-0.001515	-0.000858	0.000121
 - 	160	-0.001511	-0.000792	0.000112
 - 	161	-0.001529	-0.000745	0.000099
 - 	162	-0.001566	-0.000749	0.000087
 - 	163	-0.001609	-0.000806	0.000080
 - 	164	-0.001689	-0.000892	0.000078
 - 	165	-0.001833	-0.000972	0.000085
 - 	166	-0.002043	-0.001016	0.000101
 - 	167	-0.002265	-0.000994	0.000120
 - 	168	-0.002406	-0.000910	0.000129
 - 	169	-0.002398	-0.000793	0.000124
 - 	170	-0.002287	-0.000671	0.000109
 - 	171	-0.002159	-0.000558	0.000093
 - 	172	-0.002087	-0.000462	0.000082
 - 	173	-0.002086	-0.000384	0.000078
 - 	174	-0.002131	-0.000312	0.000076
 - 	175	-0.002191	-0.000237	0.000072
 - 	176	-0.002244	-0.000183	0.000068
 - 	177	-0.002267	-0.000173	0.000065
 - 	178	-0.002255	-0.000198	0.000063
 - 	179	-0.002216	-0.000221	0.000065
 - 	180	-0.002183	-0.000220	0.000078
 - 	181	-0.002182	-0.000210	0.000102
 - 	182	-0.002193	-0.000227	0.000130
 - 	183	-0.002176	-0.000269	0.000153
 - 	184	-0.002032	-0.000327	0.000162
 - 	185	-0.001679	-0.000405	0.000141
 - 	186	-0.001115	-0.000529	0.000071
 - 	187	-0.000435	-0.000724	-0.000056
 - 	188	0.000241	-0.000978	-0.000215
 - 	189	0.000719	-0.001213	-0.000346
 - 	190	0.000647	-0.001333	-0.000356
 - 	191	-0.000099	-0.001295	-0.000189
 - 	192	-0.001148	-0.001111	0.000108
 - 	193	-0.001965	-0.000820	0.000413
 - 	194	-0.002284	-0.000482	0.000630
 - 	195	-0.002132	-0.000157	0.000730
 - 	196	-0.001663	0.000110	0.000728
 - 	197	-0.001080	0.000295	0.000663
 - 	198	-0.000563	0.000406	0.000572
 - 	199	-0.000222	0.000475	0.000476
 - 	200	-0.000093	0.000523	0.000400
 - 	201	-0.000164	0.000559	0.000367
 - 	202	-0.000390	0.000599	0.000381
 - 	203	-0.000746	0.000671	0.000424
 - 	204	-0.001191	0.000793	0.000458
 - 	205	-0.001671	0.000952	0.000450
 - 	206	-0.002064	0.001071	0.000380
 - 	207	-0.002189	0.001025	0.000251
 - 	208	-0.001864	0.000716	0.000059
 - 	209	-0.001008	0.000137	-0.000182
 - 	210	0.000302	-0.000599	-0.000426
 - 	211	0.001673	-0.001268	-0.000596
 - 	212	0.002371	-0.001601	-0.000651
 - 	213	0.001941	-0.001464	-0.000623
 - 	214	0.000677	-0.000963	-0.000577
 - 	215	-0.000779	-0.000334	-0.000538
 - 	216	-0.002014	0.000223	-0.000480
 - 	217	-0.002917	0.000612	-0.000383
 - 	218	-0.003447	0.000833	-0.000287
 - 	219	-0.003538	0.000933	-0.000253
 - 	220	-0.003260	0.000944	-0.000280
 - 	221	-0.002851	0.000885	-0.000316
 - 	222	-0.002497	0.000794	-0.000329
 - 	223	-0.002267	0.000698	-0.000307
 - 	224	-0.002160	0.000583	-0.000243
 - 	225	-0.002142	0.000435	-0.000146
 - 	226	-0.002190	0.000258	-0.000042
 - 	227	-0.002300	0.000077	0.000055
 - 	228	-0.002441	-0.000068	0.000140
 - 	229	-0.002588	-0.000126	0.000211
 - 	230	-0.002745	-0.000077	0.000273
 - 	231	-0.002932	0.000055	0.000326
 - 	232	-0.003152	0.000227	0.000368
 - 	233	-0.003356	0.000389	0.000394
 - 	234	-0.003462	0.000500	0.000397
 - 	235	-0.003390	0.000558	0.000371
 - 	236	-0.003129	0.000583	0.000318
 - 	237	-0.002745	0.000594	0.000246
 - 	238	-0.002341	0.000588	0.000168
 - 	239	-0.002015	0.000554	0.000097
 - 	240	-0.001829	0.000485	0.000045
 - 	241	-0.001813	0.000393	0.000019
 - 	242	-0.001960	0.000290	0.000019
 - 	243	-0.002212	0.000165	0.000030
 - 	244	-0.002496	-0.000000	0.000036
 - 	245	-0.002747	-0.000207	0.000030
 - 	246	-0.002882	-0.000445	0.000011
 - 	247	-0.002819	-0.000695	-0.000012
 - 	248	-0.002480	-0.000938	-0.000028
 - 	249	-0.001804	-0.001158	-0.000026
 - 	250	-0.000742	-0.001330	-0.000008
 - 	251	0.000640	-0.001391	0.000016
 - 	252	0.002035	-0.001228	0.000032
 - 	253	0.002994	-0.000788	0.000032
 - 	254	0.003238	-0.000152	0.000013
 - 	255	-0.001223	-0.004883	0.003068
 - 	256	0.003189	-0.005095	0.003044
 - 	257	0.006937	-0.004766	0.002869
 - 	258	0.008935	-0.004218	0.002677
 - 	259	0.012957	-0.003721	0.002464
 - 	260	0.016228	-0.002850	0.001806
 - 	261	0.017983	-0.001218	0.001024
 - 	262	0.020467	0.002002	-0.000141
 - 	263	0.022625	0.006270	-0.001531
 - 	264	0.025093	0.011492	-0.003030
 - 	265	0.027117	0.013132	-0.003645
 - 	266	0.027230	0.015213	-0.004386
 - 	267	0.027227	0.018115	-0.005291
 - 	268	0.027563	0.019860	-0.005866
 - 	269	0.026750	0.021064	-0.006316
 - 	270	0.025603	0.022081	-0.006780
 - 	271	0.024813	0.022863	-0.007029
 - 	272	0.023732	0.023392	-0.007317
 - 	273	0.022915	0.023994	-0.007377
 - 	274	0.022928	0.024210	-0.007390
 - 	275	0.022133	0.024513	-0.007566
 - 	276	0.021868	0.025255	-0.007573
 - 	277	0.021624	0.026146	-0.007641
 - 	278	0.021011	0.027036	-0.007849
 - 	279	0.020357	0.027969	-0.007851
 - 	280	0.020412	0.028408	-0.007594
 - 	281	0.020111	0.028820	-0.007188
 - 	282	0.019434	0.029473	-0.006955
 - 	283	0.019305	0.029760	-0.006534
 - 	284	0.018710	0.029799	-0.006256
 - 	285	0.018206	0.030457	-0.005882
 - 	286	0.017914	0.030797	-0.005525
 - 	287	0.017406	0.030838	-0.005208
 - 	288	0.016834	0.031035	-0.004933
 - 	289	0.016702	0.030863	-0.004570
 - 	290	0.016370	0.030725	-0.004369
 - 	291	0.016537	0.030912	-0.003934
 - 	292	0.016337	0.031101	-0.003760
 - 	293	0.015974	0.031356	-0.003339
 - 	294	0.016247	0.031556	-0.003096
 - 	295	0.015855	0.031508	-0.002624
 - 	296	0.016209	0.031320	-0.002397
 - 	297	0.016055	0.031338	-0.002184
 - 	298	0.016585	0.031054	-0.001878
 - 	299	0.016544	0.031036	-0.001767
 - 	300	0.016696	0.030791	-0.001412
 - 	301	0.016794	0.030440	-0.001215
 - 	302	0.016989	0.030576	-0.001054
 - 	303	0.017460	0.030863	-0.000820
 - 	304	0.017576	0.030858	-0.000672
 - 	305	0.017991	0.030667	-0.000527
 - 	306	0.017697	0.030719	-0.000278
 - 	307	0.017638	0.030513	0.000014
 - 	308	0.017643	0.030167	0.000318
 - 	309	0.017108	0.030634	0.000740
 - 	310	0.016754	0.030511	0.001130
 - 	311	0.016154	0.029947	0.001371
 - 	312	0.015746	0.029711	0.001782
 - 	313	0.015730	0.029480	0.002139
 - 	314	0.015747	0.029155	0.002412
 - 	315	0.015602	0.028797	0.002789
 - 	316	0.014894	0.028471	0.003187
 - 	317	0.014308	0.028107	0.003426
 - 	318	0.013865	0.028242	0.003771
 - 	319	0.012694	0.027814	0.004158
 - 	320	0.011755	0.027585	0.004432
 - 	321	0.010593	0.027923	0.004811
 - 	322	0.009775	0.027200	0.004971
 - 	323	0.008915	0.026700	0.005305
 - 	324	0.008492	0.026515	0.005613
 - 	325	0.008536	0.026014	0.006012
 - 	326	0.008552	0.025497	0.006138
 - 	327	0.008389	0.025395	0.006574
 - 	328	0.008219	0.025043	0.007207
 - 	329	0.000115	0.030163	0.008141
 - 	330	-0.017349	0.042284	0.010662
 - 	331	-0.036025	0.063304	0.022266
 - 	332	-0.043286	0.080505	0.037253
 - 	333	-0.042498	0.082861	0.042293
 - 	334	-0.040752	0.076635	0.037436
 - 	335	-0.038605	0.069143	0.031283
 - 	336	-0.036393	0.065274	0.029097
 - 	337	-0.036869	0.065518	0.028758
 - 	338	-0.039956	0.068395	0.028302
 - 	339	-0.041206	0.068217	0.027190
 - 	340	-0.040868	0.067287	0.026330
 - 	341	-0.042623	0.067975	0.024936
 - 	342	-0.042949	0.068415	0.023162
 - 	343	-0.041913	0.066987	0.020960
 - 	344	-0.041557	0.065834	0.018674
 - 	345	-0.040344	0.065010	0.016528
 - 	346	-0.037387	0.064676	0.014887
 - 	347	-0.033723	0.063731	0.013239
 - 	348	-0.030781	0.063227	0.011931
 - 	349	-0.030464	0.063594	0.010980
 - 	350	-0.029283	0.064568	0.009877
 - 	351	-0.027264	0.064851	0.008778
 - 	352	-0.023723	0.064827	0.007815
 - 	353	-0.019489	0.064348	0.006996
 - 	354	-0.014895	0.063588	0.006235
 - 	355	-0.010955	0.062832	0.005328
 - 	356	-0.007377	0.061861	0.004384
 - 	357	-0.003292	0.060566	0.003468
 - 	358	0.000175	0.058849	0.002387
 - 	359	0.003066	0.057007	0.001383
 - 	360	0.005702	0.055835	0.000401
 - 	361	0.008005	0.054571	-0.000516
 - 	362	0.010458	0.053253	-0.001489
 - 	363	0.012514	0.052042	-0.002290
 - 	364	0.015288	0.050558	-0.002716
 - 	365	0.017448	0.049050	-0.003254
 - 	366	0.019878	0.048207	-0.004005
 - 	367	0.022542	0.047134	-0.004631
 - 	368	0.025074	0.046372	-0.005667
 - 	369	0.029033	0.045229	-0.006704
 - 	370	0.033434	0.044065	-0.007956
 - 	371	0.037533	0.042582	-0.009035
 - 	372	0.040929	0.041527	-0.009785
 - 	373	0.043291	0.041419	-0.010680
 - 	374	0.045430	0.041968	-0.011683
 - 	375	0.046207	0.042002	-0.012534
 - 	376	0.046174	0.041874	-0.013267
 - 	377	0.046612	0.041304	-0.013960
 - 	378	0.045520	0.040448	-0.014438
 - 	379	0.044190	0.038993	-0.014873
 - 	380	0.042438	0.037502	-0.015378
 - 	381	0.039137	0.035379	-0.015368
 - 	382	0.036363	0.033063	-0.015191
 - 	383	0.033674	0.030807	-0.014710
 - 	384	0.032046	0.029100	-0.014936
 - 	385	0.029412	0.026994	-0.014167
 - 	386	0.026581	0.025111	-0.013428
 - 	387	0.023675	0.023190	-0.012678
 - 	388	0.020973	0.021262	-0.011814
 - 	389	0.017632	0.019255	-0.010860
 - 	390	0.014971	0.017511	-0.010147
 - 	391	0.011809	0.015103	-0.008448
 - 	392	0.007874	0.013095	-0.007466
 - 	393	0.004480	0.011144	-0.006179
 - 	394	-0.003233	0.000389	0.000251
 - 	395	-0.003397	0.000200	0.000215
 - 	396	-0.003447	-0.000020	0.000161
 - 	397	-0.003480	-0.000257	0.000100
 - 	398	-0.003575	-0.000491	0.000053
 - 	399	-0.003726	-0.000710	0.000031
 - 	400	-0.003844	-0.000891	0.000033
 - 	401	-0.003810	-0.000998	0.000046
 - 	402	-0.003480	-0.000984	0.000055
 - 	403	-0.002731	-0.000790	0.000050
 - 	404	-0.001612	-0.000350	0.000030
 - 	405	-0.000436	0.000354	0.000001
 - 	406	0.000395	0.001198	-0.000023
 - 	407	0.000660	0.001909	-0.000039
 - 	408	0.000391	0.002203	-0.000053
 - 	409	-0.000166	0.001979	-0.000077
 - 	410	-0.000654	0.001387	-0.000098
 - 	411	-0.000858	0.000627	-0.000079
 - 	412	-0.000815	-0.000192	0.000009
 - 	413	-0.000633	-0.000983	0.000149
 - 	414	-0.000384	-0.001599	0.000286
 - 	415	-0.000111	-0.001927	0.000374
 - 	416	0.000130	-0.001975	0.000408
 - 	417	0.000267	-0.001840	0.000413
 - 	418	0.000274	-0.001639	0.000416
 - 	419	0.000201	-0.001458	0.000422
 - 	420	0.000182	-0.001321	0.000403
 - 	421	0.000459	-0.001181	0.000308
 - 	422	0.001187	-0.000985	0.000111
 - 	423	0.002103	-0.000757	-0.000126
 - 	424	0.002676	-0.000577	-0.000287
 - 	425	0.002598	-0.000515	-0.000289
 - 	426	0.001924	-0.000578	-0.000137
 - 	427	0.001013	-0.000707	0.000077
 - 	428	0.000324	-0.000825	0.000242
 - 	429	0.000024	-0.000890	0.000312
 - 	430	-0.000055	-0.000917	0.000319
 - 	431	-0.000103	-0.000928	0.000309
 - 	432	-0.000167	-0.000938	0.000302
 - 	433	-0.000153	-0.000937	0.000277
 - 	434	0.000149	-0.000905	0.000192
 - 	435	0.000880	-0.000822	0.000032
 - 	436	0.001770	-0.000739	-0.000139
 - 	437	0.002223	-0.000745	-0.000202
 - 	438	0.001902	-0.000869	-0.000095
 - 	439	0.001092	-0.001029	0.000123
 - 	440	0.000337	-0.001123	0.000325
 - 	441	-0.000071	-0.001125	0.000424
 - 	442	-0.000071	-0.001062	0.000393
 - 	443	0.000351	-0.000960	0.000250
 - 	444	0.000996	-0.000855	0.000062
 - 	445	0.001483	-0.000803	-0.000084
 - 	446	0.001655	-0.000816	-0.000150
 - 	447	0.001397	-0.000838	-0.000162
 - 	448	0.003710	-0.000987	-0.000125
 - 	449	-0.000969	-0.000713	-0.000034
 - 	450	0.000941	-0.000847	0.000109
 - 	451	0.000087	-0.000850	0.000233
 - 	452	-0.000137	-0.000834	0.000283
 - 	453	0.000145	-0.000778	0.000235
 - 	454	0.000488	-0.000746	0.000171
 - 	455	0.000539	-0.000781	0.000157
 - 	456	0.000575	-0.000810	0.000144
 - 	457	0.000913	-0.000745	0.000076
 - 	458	0.001247	-0.000631	0.000002
 - 	459	0.001152	-0.000565	0.000002
 - 	460	0.000774	-0.000544	0.000060
 - 	461	0.000491	-0.000524	0.000109
 - 	462	0.000403	-0.000508	0.000121
 - 	463	0.000434	-0.000515	0.000109
 - 	464	0.000527	-0.000542	0.000093
 - 	465	0.000649	-0.000572	0.000081
 - 	466	0.000764	-0.000601	0.000074
 - 	467	0.000843	-0.000622	0.000072
 - 	468	0.000882	-0.000633	0.000071
 - 	469	0.000888	-0.000628	0.000072
 - 	470	0.000872	-0.000612	0.000074
 - 	471	0.000853	-0.000591	0.000076
 - 	472	0.000845	-0.000575	0.000079
 - 	473	0.000852	-0.000571	0.000081
 - 	474	0.000876	-0.000579	0.000084
 - 	475	0.000915	-0.000585	0.000085
 - 	476	0.000961	-0.000586	0.000081
 - 	477	0.000994	-0.000582	0.000073
 - 	478	0.001024	-0.000578	0.000063
 - 	479	0.001055	-0.000580	0.000056
 - 	480	0.001071	-0.000593	0.000057
 - 	481	0.001059	-0.000614	0.000065
 - 	482	0.001032	-0.000632	0.000075
 - 	483	0.001010	-0.000634	0.000079
 - 	484	0.001023	-0.000607	0.000071
 - 	485	0.001085	-0.000555	0.000052
 - 	486	0.001164	-0.000497	0.000032
 - 	487	0.001206	-0.000465	0.000025
 - 	488	0.001193	-0.000464	0.000035
 - 	489	0.001145	-0.000487	0.000053
 - 	490	0.001110	-0.000507	0.000064
 - 	491	0.001132	-0.000511	0.000056
 - 	492	0.001197	-0.000508	0.000040
 - 	493	0.001237	-0.000523	0.000032
 - 	494	0.001217	-0.000555	0.000039
 - 	495	0.001179	-0.000574	0.000049
 - 	496	0.001168	-0.000561	0.000050
 - 	497	0.001181	-0.000523	0.000043
 - 	498	0.001197	-0.000485	0.000036
 - 	499	0.001208	-0.000460	0.000033
 - 	500	0.001220	-0.000449	0.000031
 - 	501	0.001228	-0.000448	0.000029
 - 	502	0.001237	-0.000445	0.000026
 - 	503	0.001253	-0.000442	0.000022
 - 	504	0.001281	-0.000443	0.000018
 - 	505	0.001319	-0.000454	0.000015
 - 	506	0.001348	-0.000477	0.000019
 - 	507	0.001348	-0.000504	0.000032
 - 	508	0.001323	-0.000516	0.000049
 - 	509	0.001305	-0.000492	0.000056
 - 	510	0.001312	-0.000431	0.000050
 - 	511	0.001334	-0.000365	0.000035
 - 	512	0.001362	-0.000335	0.000022
 - 	513	0.001409	-0.000367	0.000016
 - 	514	0.001497	-0.000460	0.000018
 - 	515	0.001631	-0.000591	0.000027
 - 	516	0.001781	-0.000714	0.000039
 - 	517	0.001877	-0.000766	0.000046
 - 	518			
 - 	519			
