RKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_9.filtered_40.c3d	1			
 - 	2			
 - 	3	0.001409	-0.000039	-0.000233
 - 	4	0.001437	-0.000082	-0.000241
 - 	5	0.001463	-0.000131	-0.000248
 - 	6	0.001473	-0.000162	-0.000254
 - 	7	0.001454	-0.000167	-0.000256
 - 	8	0.001443	-0.000156	-0.000258
 - 	9	0.001443	-0.000142	-0.000258
 - 	10	0.001450	-0.000124	-0.000255
 - 	11	0.001445	-0.000106	-0.000250
 - 	12	0.001436	-0.000093	-0.000245
 - 	13	0.001426	-0.000088	-0.000242
 - 	14	0.001421	-0.000090	-0.000243
 - 	15	0.001420	-0.000095	-0.000246
 - 	16	0.001420	-0.000104	-0.000250
 - 	17	0.001428	-0.000113	-0.000254
 - 	18	0.001437	-0.000122	-0.000257
 - 	19	0.001451	-0.000132	-0.000260
 - 	20	0.001466	-0.000148	-0.000264
 - 	21	0.001486	-0.000170	-0.000269
 - 	22	0.001490	-0.000189	-0.000271
 - 	23	0.001485	-0.000194	-0.000269
 - 	24	0.001477	-0.000182	-0.000266
 - 	25	0.001472	-0.000161	-0.000264
 - 	26	0.001466	-0.000141	-0.000262
 - 	27	0.001457	-0.000128	-0.000261
 - 	28	0.001444	-0.000122	-0.000259
 - 	29	0.001440	-0.000122	-0.000257
 - 	30	0.001443	-0.000128	-0.000258
 - 	31	0.001444	-0.000139	-0.000260
 - 	32	0.001439	-0.000154	-0.000263
 - 	33	0.001426	-0.000163	-0.000262
 - 	34	0.001417	-0.000160	-0.000259
 - 	35	0.001413	-0.000149	-0.000256
 - 	36	0.001419	-0.000137	-0.000255
 - 	37	0.001415	-0.000133	-0.000255
 - 	38	0.001410	-0.000136	-0.000255
 - 	39	0.001407	-0.000139	-0.000255
 - 	40	0.001419	-0.000136	-0.000255
 - 	41	0.001445	-0.000128	-0.000258
 - 	42	0.001465	-0.000121	-0.000261
 - 	43	0.001475	-0.000119	-0.000262
 - 	44	0.001472	-0.000125	-0.000261
 - 	45	0.001465	-0.000133	-0.000259
 - 	46	0.001449	-0.000134	-0.000255
 - 	47	0.001443	-0.000132	-0.000254
 - 	48	0.001443	-0.000133	-0.000256
 - 	49	0.001448	-0.000137	-0.000259
 - 	50	0.001450	-0.000142	-0.000261
 - 	51	0.001448	-0.000143	-0.000259
 - 	52	0.001446	-0.000138	-0.000256
 - 	53	0.001456	-0.000128	-0.000254
 - 	54	0.001461	-0.000117	-0.000253
 - 	55	0.001467	-0.000112	-0.000255
 - 	56	0.001466	-0.000115	-0.000259
 - 	57	0.001463	-0.000127	-0.000262
 - 	58	0.001455	-0.000146	-0.000263
 - 	59	0.001446	-0.000164	-0.000263
 - 	60	0.001438	-0.000174	-0.000263
 - 	61	0.001442	-0.000179	-0.000263
 - 	62	0.001451	-0.000180	-0.000264
 - 	63	0.001466	-0.000179	-0.000265
 - 	64	0.001478	-0.000173	-0.000267
 - 	65	0.001487	-0.000161	-0.000267
 - 	66	0.001491	-0.000146	-0.000264
 - 	67	0.001485	-0.000132	-0.000259
 - 	68	0.001486	-0.000128	-0.000254
 - 	69	0.001493	-0.000133	-0.000252
 - 	70	0.001523	-0.000134	-0.000254
 - 	71	0.001557	-0.000120	-0.000254
 - 	72	0.001580	-0.000101	-0.000249
 - 	73	0.001572	-0.000089	-0.000243
 - 	74	0.001540	-0.000083	-0.000239
 - 	75	0.001502	-0.000079	-0.000238
 - 	76	0.001465	-0.000074	-0.000233
 - 	77	0.001416	-0.000062	-0.000219
 - 	78	0.001381	-0.000044	-0.000208
 - 	79	0.001394	-0.000029	-0.000212
 - 	80	0.001450	-0.000020	-0.000225
 - 	81	0.001492	-0.000008	-0.000232
 - 	82	0.001482	0.000015	-0.000222
 - 	83	0.001426	0.000038	-0.000202
 - 	84	0.001365	0.000044	-0.000188
 - 	85	0.001299	0.000030	-0.000184
 - 	86	0.001244	-0.000003	-0.000188
 - 	87	0.001213	-0.000046	-0.000197
 - 	88	0.001207	-0.000089	-0.000205
 - 	89	0.001216	-0.000123	-0.000213
 - 	90	0.001213	-0.000140	-0.000216
 - 	91	0.001193	-0.000133	-0.000212
 - 	92	0.001159	-0.000107	-0.000203
 - 	93	0.001115	-0.000078	-0.000192
 - 	94	0.001076	-0.000065	-0.000186
 - 	95	0.001051	-0.000076	-0.000187
 - 	96	0.001030	-0.000102	-0.000190
 - 	97	0.000997	-0.000129	-0.000189
 - 	98	0.000941	-0.000151	-0.000181
 - 	99	0.000874	-0.000166	-0.000170
 - 	100	0.000802	-0.000177	-0.000159
 - 	101	0.000737	-0.000191	-0.000152
 - 	102	0.000667	-0.000220	-0.000153
 - 	103	0.000586	-0.000263	-0.000160
 - 	104	0.000487	-0.000308	-0.000169
 - 	105	0.000373	-0.000342	-0.000173
 - 	106	0.000254	-0.000363	-0.000172
 - 	107	0.000141	-0.000383	-0.000171
 - 	108	0.000036	-0.000412	-0.000173
 - 	109	-0.000079	-0.000460	-0.000176
 - 	110	-0.000196	-0.000524	-0.000183
 - 	111	-0.000309	-0.000594	-0.000194
 - 	112	-0.000385	-0.000652	-0.000214
 - 	113	-0.000414	-0.000684	-0.000238
 - 	114	-0.000441	-0.000693	-0.000252
 - 	115	-0.000509	-0.000699	-0.000246
 - 	116	-0.000613	-0.000722	-0.000226
 - 	117	-0.000707	-0.000766	-0.000214
 - 	118	-0.000782	-0.000832	-0.000217
 - 	119	-0.000869	-0.000915	-0.000228
