RKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_10.filtered_40.c3d	1			
 - 	2			
 - 	3	0.000385	-0.000292	-0.000006
 - 	4	0.000366	-0.000284	-0.000003
 - 	5	0.000354	-0.000289	-0.000001
 - 	6	0.000365	-0.000310	-0.000005
 - 	7	0.000381	-0.000330	-0.000011
 - 	8	0.000387	-0.000332	-0.000015
 - 	9	0.000391	-0.000323	-0.000014
 - 	10	0.000395	-0.000319	-0.000010
 - 	11	0.000404	-0.000327	-0.000006
 - 	12	0.000408	-0.000333	-0.000005
 - 	13	0.000410	-0.000334	-0.000007
 - 	14	0.000403	-0.000323	-0.000011
 - 	15	0.000392	-0.000306	-0.000014
 - 	16	0.000380	-0.000293	-0.000014
 - 	17	0.000376	-0.000299	-0.000011
 - 	18	0.000373	-0.000314	-0.000004
 - 	19	0.000374	-0.000327	-0.000001
 - 	20	0.000383	-0.000335	-0.000005
 - 	21	0.000393	-0.000338	-0.000014
 - 	22	0.000390	-0.000336	-0.000020
 - 	23	0.000371	-0.000327	-0.000017
 - 	24	0.000347	-0.000315	-0.000007
 - 	25	0.000334	-0.000312	0.000002
 - 	26	0.000343	-0.000324	0.000006
 - 	27	0.000373	-0.000342	0.000003
 - 	28	0.000398	-0.000350	-0.000004
 - 	29	0.000408	-0.000344	-0.000011
 - 	30	0.000398	-0.000332	-0.000014
 - 	31	0.000386	-0.000335	-0.000016
 - 	32	0.000382	-0.000350	-0.000017
 - 	33	0.000386	-0.000360	-0.000015
 - 	34	0.000386	-0.000355	-0.000012
 - 	35	0.000388	-0.000353	-0.000010
 - 	36	0.000381	-0.000357	-0.000011
 - 	37	0.000369	-0.000368	-0.000011
 - 	38	0.000355	-0.000377	-0.000011
 - 	39	0.000352	-0.000374	-0.000010
 - 	40	0.000361	-0.000357	-0.000008
 - 	41	0.000374	-0.000339	-0.000006
 - 	42	0.000379	-0.000333	-0.000005
 - 	43	0.000369	-0.000340	-0.000005
 - 	44	0.000359	-0.000356	-0.000005
 - 	45	0.000358	-0.000367	-0.000007
 - 	46	0.000369	-0.000368	-0.000011
 - 	47	0.000386	-0.000363	-0.000014
 - 	48	0.000396	-0.000356	-0.000016
 - 	49	0.000396	-0.000355	-0.000015
 - 	50	0.000381	-0.000363	-0.000010
 - 	51	0.000362	-0.000380	-0.000005
 - 	52	0.000344	-0.000392	-0.000002
 - 	53	0.000342	-0.000394	-0.000003
 - 	54	0.000359	-0.000384	-0.000006
 - 	55	0.000386	-0.000366	-0.000011
 - 	56	0.000407	-0.000344	-0.000015
 - 	57	0.000422	-0.000335	-0.000018
 - 	58	0.000418	-0.000344	-0.000016
 - 	59	0.000409	-0.000371	-0.000012
 - 	60	0.000391	-0.000394	-0.000007
 - 	61	0.000375	-0.000396	-0.000006
 - 	62	0.000369	-0.000379	-0.000008
 - 	63	0.000371	-0.000354	-0.000010
 - 	64	0.000382	-0.000340	-0.000011
 - 	65	0.000389	-0.000334	-0.000011
 - 	66	0.000389	-0.000339	-0.000010
 - 	67	0.000386	-0.000349	-0.000010
 - 	68	0.000388	-0.000357	-0.000012
 - 	69	0.000394	-0.000355	-0.000015
 - 	70	0.000410	-0.000347	-0.000017
 - 	71	0.000428	-0.000335	-0.000017
 - 	72	0.000441	-0.000319	-0.000014
 - 	73	0.000444	-0.000297	-0.000012
 - 	74	0.000449	-0.000277	-0.000012
 - 	75	0.000455	-0.000265	-0.000015
 - 	76	0.000447	-0.000258	-0.000015
 - 	77	0.000427	-0.000257	-0.000012
 - 	78	0.000412	-0.000269	-0.000008
 - 	79	0.000413	-0.000298	-0.000006
 - 	80	0.000437	-0.000346	-0.000008
 - 	81	0.000489	-0.000423	-0.000017
 - 	82	0.000544	-0.000511	-0.000027
 - 	83	0.000576	-0.000575	-0.000033
 - 	84	0.000561	-0.000576	-0.000029
 - 	85	0.000508	-0.000514	-0.000020
 - 	86	0.000422	-0.000415	-0.000012
 - 	87	0.000323	-0.000317	-0.000006
 - 	88	0.000232	-0.000242	-0.000002
 - 	89	0.000157	-0.000195	-0.000000
 - 	90	0.000092	-0.000171	-0.000002
 - 	91	0.000035	-0.000162	-0.000008
 - 	92	-0.000012	-0.000159	-0.000015
 - 	93	-0.000052	-0.000159	-0.000022
 - 	94	-0.000074	-0.000175	-0.000029
 - 	95	-0.000097	-0.000199	-0.000036
 - 	96	-0.000128	-0.000219	-0.000044
 - 	97	-0.000169	-0.000225	-0.000053
 - 	98	-0.000209	-0.000215	-0.000060
 - 	99	-0.000251	-0.000191	-0.000063
 - 	100	-0.000277	-0.000171	-0.000064
 - 	101	-0.000286	-0.000152	-0.000060
 - 	102	-0.000263	-0.000134	-0.000049
 - 	103	-0.000221	-0.000115	-0.000030
 - 	104	-0.000182	-0.000088	-0.000007
 - 	105	-0.000168	-0.000040	0.000015
 - 	106	-0.000195	0.000039	0.000036
 - 	107	-0.000259	0.000140	0.000055
 - 	108	-0.000352	0.000246	0.000070
