LKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_1.filtered_40.c3d	1			
 - 	2			
 - 	3	0.000774	0.000522	0.000023
 - 	4	0.000778	0.000552	0.000028
 - 	5	0.000780	0.000550	0.000026
 - 	6	0.000787	0.000535	0.000021
 - 	7	0.000798	0.000513	0.000014
 - 	8	0.000803	0.000487	0.000008
 - 	9	0.000800	0.000467	0.000004
 - 	10	0.000785	0.000461	0.000007
 - 	11	0.000765	0.000474	0.000015
 - 	12	0.000742	0.000498	0.000026
 - 	13	0.000730	0.000520	0.000032
 - 	14	0.000732	0.000529	0.000031
 - 	15	0.000755	0.000526	0.000022
 - 	16	0.000785	0.000521	0.000013
 - 	17	0.000790	0.000524	0.000013
 - 	18	0.000760	0.000537	0.000022
 - 	19	0.000705	0.000553	0.000036
 - 	20	0.000662	0.000561	0.000046
 - 	21	0.000666	0.000557	0.000046
 - 	22	0.000692	0.000549	0.000039
 - 	23	0.000714	0.000542	0.000034
 - 	24	0.000735	0.000534	0.000029
 - 	25	0.000750	0.000532	0.000027
 - 	26	0.000754	0.000537	0.000027
 - 	27	0.000736	0.000549	0.000030
 - 	28	0.000713	0.000561	0.000034
 - 	29	0.000708	0.000566	0.000037
 - 	30	0.000727	0.000563	0.000035
 - 	31	0.000754	0.000556	0.000031
 - 	32	0.000773	0.000546	0.000027
 - 	33	0.000772	0.000538	0.000024
 - 	34	0.000755	0.000530	0.000024
 - 	35	0.000719	0.000516	0.000026
 - 	36	0.000680	0.000499	0.000028
 - 	37	0.000676	0.000487	0.000026
 - 	38	0.000705	0.000502	0.000026
 - 	39	0.000754	0.000549	0.000030
 - 	40	0.000795	0.000610	0.000036
 - 	41	0.000816	0.000648	0.000040
 - 	42	0.000807	0.000646	0.000040
 - 	43	0.000772	0.000619	0.000039
 - 	44	0.000722	0.000588	0.000039
 - 	45	0.000682	0.000563	0.000039
 - 	46	0.000667	0.000544	0.000037
 - 	47	0.000677	0.000527	0.000033
 - 	48	0.000716	0.000514	0.000026
 - 	49	0.000752	0.000524	0.000023
 - 	50	0.000768	0.000543	0.000024
 - 	51	0.000772	0.000553	0.000027
 - 	52	0.000757	0.000571	0.000034
 - 	53	0.000744	0.000582	0.000039
 - 	54	0.000734	0.000586	0.000041
 - 	55	0.000735	0.000578	0.000038
 - 	56	0.000745	0.000557	0.000032
 - 	57	0.000750	0.000540	0.000027
 - 	58	0.000753	0.000545	0.000026
 - 	59	0.000749	0.000556	0.000028
 - 	60	0.000743	0.000558	0.000030
 - 	61	0.000740	0.000552	0.000031
 - 	62	0.000740	0.000549	0.000032
 - 	63	0.000737	0.000550	0.000033
 - 	64	0.000730	0.000555	0.000034
 - 	65	0.000727	0.000563	0.000034
 - 	66	0.000727	0.000569	0.000033
 - 	67	0.000721	0.000569	0.000033
 - 	68	0.000720	0.000563	0.000033
 - 	69	0.000728	0.000553	0.000032
 - 	70	0.000744	0.000542	0.000029
 - 	71	0.000767	0.000532	0.000024
 - 	72	0.000781	0.000515	0.000018
 - 	73	0.000781	0.000486	0.000013
 - 	74	0.000762	0.000460	0.000010
 - 	75	0.000731	0.000461	0.000014
 - 	76	0.000719	0.000494	0.000022
 - 	77	0.000734	0.000552	0.000030
 - 	78	0.000754	0.000619	0.000039
 - 	79	0.000759	0.000666	0.000046
 - 	80	0.000735	0.000673	0.000051
 - 	81	0.000691	0.000650	0.000054
 - 	82	0.000650	0.000614	0.000053
 - 	83	0.000636	0.000570	0.000046
 - 	84	0.000667	0.000528	0.000034
 - 	85	0.000716	0.000498	0.000022
 - 	86	0.000755	0.000481	0.000013
 - 	87	0.000772	0.000479	0.000010
 - 	88	0.000768	0.000506	0.000016
 - 	89	0.000748	0.000577	0.000030
 - 	90	0.000700	0.000622	0.000045
 - 	91	0.000656	0.000647	0.000056
 - 	92	0.000643	0.000672	0.000063
 - 	93	0.000665	0.000655	0.000057
 - 	94	0.000708	0.000617	0.000045
 - 	95	0.000756	0.000571	0.000032
 - 	96	0.000773	0.000535	0.000024
 - 	97	0.000754	0.000514	0.000022
 - 	98	0.000722	0.000513	0.000025
 - 	99	0.000705	0.000530	0.000026
 - 	100	0.000705	0.000544	0.000027
 - 	101	0.000725	0.000551	0.000026
 - 	102	0.000755	0.000555	0.000024
 - 	103	0.000760	0.000556	0.000027
 - 	104	0.000730	0.000571	0.000035
 - 	105	0.000684	0.000594	0.000045
 - 	106	0.000653	0.000611	0.000050
 - 	107	0.000661	0.000618	0.000049
 - 	108	0.000706	0.000626	0.000045
 - 	109	0.000756	0.000628	0.000039
 - 	110	0.000790	0.000600	0.000030
 - 	111	0.000796	0.000544	0.000018
 - 	112	0.000795	0.000482	0.000006
 - 	113	0.000824	0.000422	-0.000011
 - 	114	0.000889	0.000365	-0.000031
 - 	115	0.000991	0.000319	-0.000053
 - 	116	0.001125	0.000303	-0.000073
 - 	117	0.001273	0.000324	-0.000087
 - 	118	0.001356	0.000386	-0.000092
 - 	119	0.001325	0.000501	-0.000089
 - 	120	0.001212	0.000661	-0.000082
 - 	121	0.001068	0.000814	-0.000077
 - 	122	0.000903	0.000913	-0.000068
 - 	123	0.000698	0.000955	-0.000050
 - 	124	0.000431	0.000952	-0.000023
 - 	125	0.000093	0.000914	0.000006
 - 	126	-0.000272	0.000859	0.000031
