RKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_3.filtered_40.c3d	1			
 - 	2			
 - 	3	-0.001109	-0.000458	-0.000034
 - 	4	-0.001112	-0.000465	-0.000031
 - 	5	-0.001123	-0.000468	-0.000030
 - 	6	-0.001131	-0.000468	-0.000030
 - 	7	-0.001133	-0.000464	-0.000031
 - 	8	-0.001124	-0.000458	-0.000032
 - 	9	-0.001116	-0.000455	-0.000033
 - 	10	-0.001119	-0.000456	-0.000032
 - 	11	-0.001134	-0.000460	-0.000031
 - 	12	-0.001142	-0.000467	-0.000030
 - 	13	-0.001136	-0.000473	-0.000031
 - 	14	-0.001121	-0.000473	-0.000033
 - 	15	-0.001111	-0.000466	-0.000036
 - 	16	-0.001116	-0.000457	-0.000037
 - 	17	-0.001130	-0.000451	-0.000035
 - 	18	-0.001142	-0.000451	-0.000033
 - 	19	-0.001140	-0.000454	-0.000031
 - 	20	-0.001131	-0.000456	-0.000030
 - 	21	-0.001128	-0.000458	-0.000029
 - 	22	-0.001131	-0.000460	-0.000030
 - 	23	-0.001137	-0.000464	-0.000032
 - 	24	-0.001140	-0.000470	-0.000033
 - 	25	-0.001135	-0.000480	-0.000032
 - 	26	-0.001128	-0.000488	-0.000029
 - 	27	-0.001128	-0.000488	-0.000027
 - 	28	-0.001135	-0.000484	-0.000029
 - 	29	-0.001143	-0.000475	-0.000032
 - 	30	-0.001139	-0.000462	-0.000034
 - 	31	-0.001131	-0.000452	-0.000036
 - 	32	-0.001120	-0.000451	-0.000038
 - 	33	-0.001107	-0.000458	-0.000037
 - 	34	-0.001109	-0.000468	-0.000035
 - 	35	-0.001131	-0.000472	-0.000033
 - 	36	-0.001169	-0.000469	-0.000030
 - 	37	-0.001197	-0.000465	-0.000029
 - 	38	-0.001192	-0.000467	-0.000028
 - 	39	-0.001167	-0.000473	-0.000028
 - 	40	-0.001150	-0.000479	-0.000029
 - 	41	-0.001154	-0.000486	-0.000031
 - 	42	-0.001167	-0.000494	-0.000034
 - 	43	-0.001174	-0.000490	-0.000037
 - 	44	-0.001166	-0.000470	-0.000037
 - 	45	-0.001149	-0.000444	-0.000037
 - 	46	-0.001133	-0.000429	-0.000037
 - 	47	-0.001117	-0.000432	-0.000037
 - 	48	-0.001107	-0.000447	-0.000038
 - 	49	-0.001104	-0.000463	-0.000040
 - 	50	-0.001116	-0.000471	-0.000039
 - 	51	-0.001138	-0.000472	-0.000034
 - 	52	-0.001162	-0.000471	-0.000029
 - 	53	-0.001174	-0.000468	-0.000025
 - 	54	-0.001176	-0.000466	-0.000025
 - 	55	-0.001167	-0.000473	-0.000026
 - 	56	-0.001155	-0.000489	-0.000028
 - 	57	-0.001147	-0.000498	-0.000030
 - 	58	-0.001144	-0.000488	-0.000033
 - 	59	-0.001148	-0.000466	-0.000037
