RKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_5.filtered_40.c3d	1			
 - 	2			
 - 	3	-0.003041	-0.000645	-0.000241
 - 	4	-0.002994	-0.000656	-0.000244
 - 	5	-0.002969	-0.000673	-0.000246
 - 	6	-0.002963	-0.000690	-0.000249
 - 	7	-0.002979	-0.000699	-0.000250
 - 	8	-0.003018	-0.000702	-0.000251
 - 	9	-0.003061	-0.000700	-0.000251
 - 	10	-0.003095	-0.000688	-0.000248
 - 	11	-0.003104	-0.000672	-0.000243
 - 	12	-0.003080	-0.000664	-0.000242
 - 	13	-0.003043	-0.000664	-0.000244
 - 	14	-0.003024	-0.000670	-0.000245
 - 	15	-0.003026	-0.000684	-0.000246
 - 	16	-0.003038	-0.000698	-0.000246
 - 	17	-0.003040	-0.000705	-0.000247
 - 	18	-0.003046	-0.000692	-0.000249
 - 	19	-0.003057	-0.000664	-0.000249
 - 	20	-0.003078	-0.000637	-0.000247
 - 	21	-0.003084	-0.000632	-0.000245
 - 	22	-0.003075	-0.000641	-0.000242
 - 	23	-0.003054	-0.000652	-0.000241
 - 	24	-0.003054	-0.000653	-0.000239
 - 	25	-0.003063	-0.000654	-0.000239
 - 	26	-0.003070	-0.000664	-0.000242
 - 	27	-0.003064	-0.000676	-0.000247
 - 	28	-0.003058	-0.000672	-0.000248
 - 	29	-0.003058	-0.000657	-0.000245
 - 	30	-0.003052	-0.000643	-0.000241
 - 	31	-0.003050	-0.000640	-0.000241
 - 	32	-0.003041	-0.000646	-0.000243
 - 	33	-0.003026	-0.000657	-0.000247
 - 	34	-0.003009	-0.000670	-0.000251
 - 	35	-0.003003	-0.000673	-0.000251
 - 	36	-0.003023	-0.000666	-0.000246
 - 	37	-0.003065	-0.000662	-0.000242
 - 	38	-0.003087	-0.000669	-0.000244
 - 	39	-0.003085	-0.000673	-0.000249
 - 	40	-0.003079	-0.000662	-0.000254
 - 	41	-0.003085	-0.000634	-0.000254
 - 	42	-0.003102	-0.000597	-0.000247
 - 	43	-0.003108	-0.000580	-0.000240
 - 	44	-0.003089	-0.000603	-0.000238
 - 	45	-0.003058	-0.000652	-0.000238
 - 	46	-0.003038	-0.000695	-0.000240
 - 	47	-0.003026	-0.000715	-0.000241
 - 	48	-0.003015	-0.000726	-0.000245
 - 	49	-0.003009	-0.000731	-0.000249
 - 	50	-0.003017	-0.000718	-0.000248
 - 	51	-0.003027	-0.000691	-0.000246
 - 	52	-0.003027	-0.000662	-0.000248
 - 	53	-0.003019	-0.000639	-0.000249
 - 	54	-0.003011	-0.000623	-0.000246
 - 	55	-0.003014	-0.000610	-0.000237
 - 	56	-0.003045	-0.000594	-0.000225
 - 	57	-0.003085	-0.000585	-0.000218
 - 	58	-0.003098	-0.000596	-0.000223
 - 	59	-0.003085	-0.000623	-0.000237
 - 	60	-0.003056	-0.000645	-0.000248
 - 	61	-0.003033	-0.000647	-0.000252
 - 	62	-0.003026	-0.000633	-0.000249
 - 	63	-0.003029	-0.000620	-0.000243
 - 	64	-0.003028	-0.000619	-0.000239
 - 	65	-0.003025	-0.000626	-0.000236
 - 	66	-0.003011	-0.000624	-0.000233
 - 	67	-0.003000	-0.000610	-0.000229
 - 	68	-0.002991	-0.000598	-0.000230
 - 	69	-0.002994	-0.000591	-0.000231
 - 	70	-0.003005	-0.000590	-0.000233
 - 	71	-0.003023	-0.000598	-0.000234
 - 	72	-0.003024	-0.000620	-0.000235
 - 	73	-0.003014	-0.000640	-0.000233
 - 	74	-0.003013	-0.000643	-0.000225
 - 	75	-0.003027	-0.000620	-0.000214
 - 	76	-0.003047	-0.000580	-0.000206
 - 	77	-0.003045	-0.000557	-0.000204
 - 	78	-0.003005	-0.000593	-0.000216
 - 	79	-0.002923	-0.000679	-0.000238
 - 	80	-0.002850	-0.000763	-0.000260
 - 	81	-0.002825	-0.000787	-0.000268
 - 	82	-0.002872	-0.000727	-0.000255
 - 	83	-0.002989	-0.000611	-0.000224
 - 	84	-0.003116	-0.000508	-0.000197
 - 	85	-0.003162	-0.000467	-0.000192
 - 	86	-0.003145	-0.000467	-0.000199
 - 	87	-0.003115	-0.000481	-0.000203
 - 	88	-0.003105	-0.000497	-0.000203
 - 	89	-0.003111	-0.000515	-0.000202
 - 	90	-0.003111	-0.000538	-0.000206
 - 	91	-0.003077	-0.000566	-0.000214
 - 	92	-0.003014	-0.000600	-0.000227
 - 	93	-0.002966	-0.000632	-0.000238
 - 	94	-0.002940	-0.000658	-0.000244
 - 	95	-0.002921	-0.000674	-0.000246
 - 	96	-0.002892	-0.000672	-0.000246
 - 	97	-0.002890	-0.000648	-0.000241
 - 	98	-0.002931	-0.000596	-0.000228
 - 	99	-0.003007	-0.000545	-0.000215
 - 	100	-0.003026	-0.000543	-0.000222
 - 	101	-0.002983	-0.000570	-0.000238
 - 	102	-0.002943	-0.000570	-0.000241
 - 	103	-0.002935	-0.000537	-0.000232
 - 	104	-0.002927	-0.000511	-0.000224
 - 	105	-0.002918	-0.000505	-0.000225
 - 	106	-0.002914	-0.000516	-0.000231
 - 	107	-0.002914	-0.000528	-0.000237
 - 	108	-0.002893	-0.000544	-0.000239
 - 	109	-0.002803	-0.000583	-0.000247
 - 	110	-0.002710	-0.000617	-0.000256
 - 	111	-0.002716	-0.000599	-0.000252
 - 	112	-0.002796	-0.000557	-0.000244
 - 	113	-0.002858	-0.000532	-0.000242
 - 	114	-0.002912	-0.000505	-0.000238
 - 	115	-0.002964	-0.000464	-0.000227
 - 	116	-0.002957	-0.000453	-0.000225
 - 	117	-0.002911	-0.000477	-0.000235
 - 	118	-0.002932	-0.000485	-0.000243
 - 	119	-0.003009	-0.000464	-0.000243
 - 	120	-0.003066	-0.000433	-0.000238
 - 	121	-0.003043	-0.000408	-0.000230
 - 	122	-0.002956	-0.000378	-0.000212
 - 	123	-0.002880	-0.000326	-0.000183
 - 	124	-0.002856	-0.000264	-0.000150
 - 	125	-0.002848	-0.000214	-0.000122
 - 	126	-0.002854	-0.000151	-0.000096
 - 	127	-0.002876	-0.000056	-0.000066
 - 	128	-0.002859	0.000025	-0.000045
 - 	129	-0.002784	0.000039	-0.000046
 - 	130	-0.002689	0.000006	-0.000058
 - 	131	-0.002630	-0.000016	-0.000061
 - 	132	-0.002620	0.000010	-0.000040
 - 	133	-0.002659	0.000089	0.000004
 - 	134	-0.002685	0.000184	0.000052
 - 	135	-0.002607	0.000233	0.000080
 - 	136	-0.002465	0.000237	0.000095
 - 	137	-0.002369	0.000252	0.000124
 - 	138	-0.002308	0.000267	0.000157
 - 	139	-0.002203	0.000221	0.000158
 - 	140	-0.002061	0.000112	0.000121
 - 	141	-0.001957	-0.000009	0.000071
 - 	142	-0.001947	-0.000105	0.000030
 - 	143	-0.002069	-0.000183	0.000003
 - 	144	-0.002356	-0.000271	-0.000016
 - 	145	-0.002805	-0.000389	-0.000033
 - 	146	-0.003369	-0.000552	-0.000060
 - 	147	-0.003928	-0.000779	-0.000128
 - 	148	-0.004298	-0.001049	-0.000257
 - 	149	-0.004345	-0.001299	-0.000424
 - 	150	-0.003940	-0.001465	-0.000600
 - 	151	-0.003057	-0.001505	-0.000757
 - 	152	-0.001804	-0.001399	-0.000864
 - 	153	-0.000463	-0.001167	-0.000898
 - 	154	0.000704	-0.000845	-0.000857
 - 	155	0.001571	-0.000467	-0.000756
 - 	156	0.002134	-0.000083	-0.000635
 - 	157	0.002419	0.000240	-0.000537
 - 	158	0.002415	0.000453	-0.000464
 - 	159	0.002084	0.000528	-0.000403
 - 	160	0.001472	0.000465	-0.000352
 - 	161	0.000722	0.000306	-0.000303
 - 	162	-0.000028	0.000097	-0.000246
 - 	163	-0.000710	-0.000147	-0.000212
 - 	164	-0.001332	-0.000427	-0.000232
 - 	165	-0.001927	-0.000723	-0.000291
 - 	166	-0.002517	-0.000995	-0.000347
 - 	167	-0.003067	-0.001218	-0.000381
 - 	168	-0.003501	-0.001378	-0.000403
 - 	169	-0.003771	-0.001464	-0.000411
 - 	170	-0.003884	-0.001464	-0.000386
 - 	171	-0.003876	-0.001380	-0.000323
 - 	172	-0.003778	-0.001234	-0.000238
 - 	173	-0.003615	-0.001047	-0.000144
 - 	174	-0.003377	-0.000834	-0.000055
 - 	175	-0.003051	-0.000611	0.000018
 - 	176	-0.002735	-0.000387	0.000092
 - 	177	-0.002520	-0.000180	0.000167
 - 	178	-0.002360	-0.000018	0.000214
 - 	179	-0.002160	0.000091	0.000225
 - 	180	-0.001890	0.000166	0.000216
 - 	181	-0.001612	0.000221	0.000206
 - 	182	-0.001410	0.000251	0.000196
 - 	183	-0.001385	0.000261	0.000191
 - 	184	-0.001540	0.000252	0.000184
 - 	185	-0.001841	0.000219	0.000169
 - 	186	-0.002251	0.000136	0.000137
 - 	187	-0.002712	0.000002	0.000093
 - 	188	-0.003212	-0.000146	0.000047
 - 	189	-0.003755	-0.000263	0.000002
 - 	190	-0.004273	-0.000344	-0.000048
 - 	191	-0.004580	-0.000392	-0.000094
 - 	192	-0.004581	-0.000386	-0.000119
 - 	193	-0.004336	-0.000309	-0.000107
 - 	194	-0.003965	-0.000180	-0.000059
 - 	195	-0.003563	-0.000046	0.000009
 - 	196	-0.003158	0.000029	0.000066
 - 	197	-0.002773	0.000010	0.000087
 - 	198	-0.002471	-0.000083	0.000073
 - 	199	-0.002287	-0.000217	0.000033
 - 	200	-0.002204	-0.000357	-0.000015
 - 	201	-0.002184	-0.000474	-0.000060
 - 	202	-0.002111	-0.000516	-0.000081
 - 	203	-0.001779	-0.000425	-0.000061
 - 	204	-0.001040	-0.000167	0.000004
 - 	205	0.000018	0.000223	0.000105
 - 	206	0.001117	0.000663	0.000225
 - 	207	0.001936	0.001066	0.000349
 - 	208	-0.002898	-0.003283	-0.001515
 - 	209	-0.003124	-0.003856	-0.001791
 - 	210	-0.002192	-0.004794	-0.002297
 - 	211	-0.000524	-0.005569	-0.002564
 - 	212	0.001353	-0.005578	-0.002406
 - 	213	0.002660	-0.005653	-0.002462
 - 	214	0.004403	-0.005596	-0.002411
 - 	215	0.005831	-0.005050	-0.002216
 - 	216	0.006669	-0.004472	-0.001878
 - 	217	0.007708	-0.003504	-0.001332
 - 	218	0.009542	-0.002287	-0.000675
 - 	219	0.011422	-0.000352	0.000260
 - 	220	0.013885	0.002607	0.001546
 - 	221	0.016555	0.005237	0.002787
 - 	222	0.018869	0.006732	0.003578
 - 	223	0.020522	0.007438	0.004063
 - 	224	0.022034	0.008533	0.004534
 - 	225	0.023646	0.009502	0.005068
 - 	226	0.024860	0.010364	0.005448
 - 	227	0.025790	0.011433	0.005977
 - 	228	0.026560	0.012606	0.006345
 - 	229	0.027041	0.014146	0.006937
 - 	230	0.027079	0.015704	0.007408
 - 	231	0.027216	0.017502	0.008025
 - 	232	0.026863	0.019061	0.008437
 - 	233	0.026898	0.020410	0.008851
