RKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_9.filtered_40.c3d	1			
 - 	2			
 - 	3	0.001721	0.000111	-0.000012
 - 	4	0.001456	0.000119	0.000009
 - 	5	0.001289	0.000142	0.000019
 - 	6	0.001328	0.000171	0.000008
 - 	7	0.001549	0.000204	-0.000021
 - 	8	0.001827	0.000225	-0.000047
 - 	9	0.001948	0.000229	-0.000051
 - 	10	0.001802	0.000234	-0.000028
 - 	11	0.001514	0.000255	0.000002
 - 	12	0.001269	0.000277	0.000017
 - 	13	0.001251	0.000263	0.000010
 - 	14	0.001495	0.000199	-0.000016
 - 	15	0.001806	0.000122	-0.000042
 - 	16	0.001869	0.000079	-0.000044
 - 	17	0.001656	0.000084	-0.000021
 - 	18	0.001358	0.000124	0.000008
 - 	19	0.001177	0.000176	0.000027
 - 	20	0.001211	0.000216	0.000028
 - 	21	0.001436	0.000235	0.000011
 - 	22	0.001720	0.000246	-0.000019
 - 	23	0.001918	0.000257	-0.000048
 - 	24	0.001933	0.000261	-0.000058
 - 	25	0.001786	0.000243	-0.000043
 - 	26	0.001590	0.000203	-0.000013
 - 	27	0.001430	0.000161	0.000014
 - 	28	0.001322	0.000137	0.000025
 - 	29	0.001319	0.000129	0.000015
 - 	30	0.001426	0.000136	-0.000009
 - 	31	0.001551	0.000160	-0.000031
 - 	32	0.001577	0.000189	-0.000034
 - 	33	0.001566	0.000200	-0.000020
 - 	34	0.001588	0.000199	-0.000006
 - 	35	0.001586	0.000214	0.000003
 - 	36	0.001498	0.000254	0.000007
 - 	37	0.001434	0.000282	0.000004
 - 	38	0.001498	0.000269	-0.000007
 - 	39	0.001637	0.000230	-0.000023
 - 	40	0.001725	0.000186	-0.000032
 - 	41	0.001709	0.000147	-0.000029
 - 	42	0.001628	0.000118	-0.000018
 - 	43	0.001522	0.000117	-0.000006
 - 	44	0.001394	0.000154	0.000004
 - 	45	0.001313	0.000210	0.000010
 - 	46	0.001364	0.000250	0.000007
 - 	47	0.001522	0.000267	-0.000006
 - 	48	0.001714	0.000275	-0.000024
 - 	49	0.001820	0.000278	-0.000035
 - 	50	0.001756	0.000276	-0.000031
 - 	51	0.001578	0.000272	-0.000017
 - 	52	0.001443	0.000259	-0.000005
 - 	53	0.001441	0.000229	-0.000001
 - 	54	0.001515	0.000191	-0.000002
 - 	55	0.001583	0.000163	-0.000006
 - 	56	0.001615	0.000150	-0.000011
 - 	57	0.001608	0.000145	-0.000015
 - 	58	0.001585	0.000138	-0.000016
 - 	59	0.001560	0.000134	-0.000014
 - 	60	0.001536	0.000141	-0.000009
 - 	61	0.001576	0.000154	-0.000005
 - 	62	0.001676	0.000172	-0.000004
 - 	63	0.001739	0.000216	-0.000004
 - 	64	0.001723	0.000285	-0.000003
 - 	65	0.001707	0.000347	-0.000003
 - 	66	0.001734	0.000375	-0.000001
 - 	67	0.001721	0.000379	0.000004
 - 	68	0.001646	0.000377	0.000011
 - 	69	0.001576	0.000371	0.000017
 - 	70	0.001538	0.000356	0.000021
 - 	71	0.001447	0.000344	0.000022
 - 	72	0.001323	0.000333	0.000020
 - 	73	0.001321	0.000307	0.000014
 - 	74	0.001425	0.000267	0.000006
 - 	75	0.001491	0.000234	0.000000
 - 	76	0.001462	0.000216	0.000001
 - 	77	0.001379	0.000205	0.000005
 - 	78	0.001288	0.000200	0.000011
 - 	79	0.001239	0.000198	0.000015
 - 	80	0.001285	0.000192	0.000015
 - 	81	0.001376	0.000187	0.000013
 - 	82	0.001440	0.000182	0.000011
 - 	83	0.001449	0.000168	0.000011
 - 	84	0.001401	0.000147	0.000014
 - 	85	0.001269	0.000132	0.000017
 - 	86	0.001133	0.000134	0.000022
 - 	87	0.001091	0.000149	0.000024
 - 	88	0.001154	0.000172	0.000025
 - 	89	0.001222	0.000201	0.000026
 - 	90	0.001212	0.000243	0.000031
 - 	91	0.001112	0.000290	0.000039
 - 	92	0.000967	0.000332	0.000048
 - 	93	0.000810	0.000368	0.000057
 - 	94	0.000632	0.000385	0.000063
 - 	95	0.000450	0.000370	0.000065
 - 	96	0.000323	0.000338	0.000062
 - 	97	0.000330	0.000309	0.000056
 - 	98	0.000480	0.000287	0.000046
 - 	99	0.000636	0.000277	0.000037
 - 	100	0.000671	0.000294	0.000040
 - 	101	0.000556	0.000330	0.000056
 - 	102	0.000337	0.000355	0.000074
 - 	103	0.000111	0.000343	0.000079
 - 	104	-0.000012	0.000292	0.000066
 - 	105	-0.000017	0.000222	0.000043
 - 	106	0.000002	0.000161	0.000026
 - 	107	-0.000025	0.000128	0.000022
 - 	108	-0.000067	0.000119	0.000027
 - 	109	-0.000095	0.000116	0.000034
 - 	110	-0.000143	0.000101	0.000037
 - 	111	-0.000232	0.000065	0.000032
 - 	112	-0.000324	-0.000006	0.000017
 - 	113	-0.000374	-0.000120	-0.000008
 - 	114	-0.000339	-0.000269	-0.000041
 - 	115	-0.000225	-0.000426	-0.000075
 - 	116	-0.000132	-0.000544	-0.000100
 - 	117	-0.000150	-0.000583	-0.000105
 - 	118	-0.000234	-0.000536	-0.000090
 - 	119	-0.000282	-0.000432	-0.000064
 - 	120	-0.000233	-0.000299	-0.000032
 - 	121	-0.000111	-0.000179	-0.000005
 - 	122	0.000058	-0.000106	0.000011
 - 	123	0.000205	-0.000079	0.000013
 - 	124	0.000264	-0.000073	0.000006
 - 	125	0.000266	-0.000088	-0.000003
 - 	126	0.000255	-0.000149	-0.000016
