LKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_1.filtered_40_L2.c3d	1			
 - 	2			
 - 	3	0.000993	0.000256	-0.000024
 - 	4	0.000993	0.000245	-0.000024
 - 	5	0.000986	0.000238	-0.000025
 - 	6	0.000999	0.000240	-0.000027
 - 	7	0.000997	0.000237	-0.000027
 - 	8	0.000967	0.000222	-0.000021
 - 	9	0.001016	0.000218	-0.000029
 - 	10	0.001059	0.000215	-0.000035
 - 	11	0.001027	0.000200	-0.000028
 - 	12	0.001020	0.000193	-0.000027
 - 	13	0.001019	0.000195	-0.000027
 - 	14	0.001006	0.000200	-0.000026
 - 	15	0.001008	0.000211	-0.000026
 - 	16	0.001019	0.000250	-0.000027
 - 	17	0.001008	0.000251	-0.000024
 - 	18	0.001024	0.000251	-0.000022
 - 	19	0.001013	0.000287	-0.000022
 - 	20	0.001016	0.000298	-0.000022
 - 	21	0.001007	0.000299	-0.000023
 - 	22	0.001003	0.000301	-0.000024
 - 	23	0.001005	0.000299	-0.000025
 - 	24	0.000997	0.000287	-0.000024
 - 	25	0.000998	0.000271	-0.000022
 - 	26	0.001000	0.000267	-0.000024
 - 	27	0.001003	0.000265	-0.000025
 - 	28	0.001005	0.000262	-0.000024
 - 	29	0.001003	0.000259	-0.000023
 - 	30	0.001005	0.000246	-0.000024
 - 	31	0.001006	0.000239	-0.000025
 - 	32	0.000997	0.000232	-0.000025
 - 	33	0.001002	0.000230	-0.000025
 - 	34	0.000984	0.000221	-0.000022
 - 	35	0.001000	0.000219	-0.000025
 - 	36	0.000992	0.000220	-0.000025
 - 	37	0.000999	0.000216	-0.000025
 - 	38	0.001011	0.000228	-0.000027
 - 	39	0.001006	0.000232	-0.000025
 - 	40	0.001015	0.000238	-0.000026
 - 	41	0.001022	0.000246	-0.000026
 - 	42	0.001009	0.000246	-0.000025
 - 	43	0.001013	0.000249	-0.000025
 - 	44	0.001008	0.000250	-0.000024
 - 	45	0.000997	0.000247	-0.000024
 - 	46	0.001000	0.000249	-0.000025
 - 	47	0.000992	0.000251	-0.000025
 - 	48	0.001009	0.000273	-0.000028
 - 	49	0.001009	0.000278	-0.000024
 - 	50	0.000996	0.000279	-0.000019
 - 	51	0.001004	0.000293	-0.000022
 - 	52	0.000999	0.000292	-0.000023
 - 	53	0.001002	0.000292	-0.000023
 - 	54	0.001006	0.000283	-0.000024
 - 	55	0.001005	0.000276	-0.000024
 - 	56	0.001018	0.000256	-0.000024
 - 	57	0.001004	0.000232	-0.000025
 - 	58	0.001018	0.000219	-0.000026
 - 	59	0.001019	0.000211	-0.000027
 - 	60	0.001016	0.000214	-0.000028
 - 	61	0.001026	0.000225	-0.000029
 - 	62	0.001014	0.000232	-0.000028
 - 	63	0.001023	0.000236	-0.000028
 - 	64	0.001043	0.000264	-0.000027
 - 	65	0.001007	0.000244	-0.000027
 - 	66	0.000993	0.000223	-0.000028
 - 	67	0.000998	0.000244	-0.000025
 - 	68	0.000986	0.000243	-0.000023
 - 	69	0.000978	0.000244	-0.000022
 - 	70	0.000976	0.000246	-0.000022
 - 	71	0.000978	0.000251	-0.000022
 - 	72	0.000974	0.000251	-0.000022
 - 	73	0.000985	0.000251	-0.000022
 - 	74	0.000994	0.000253	-0.000023
 - 	75	0.001005	0.000260	-0.000023
 - 	76	0.001006	0.000270	-0.000023
 - 	77	0.001022	0.000272	-0.000023
 - 	78	0.001019	0.000270	-0.000023
 - 	79	0.001016	0.000262	-0.000022
 - 	80	0.001011	0.000252	-0.000023
 - 	81	0.001008	0.000246	-0.000023
 - 	82	0.000997	0.000239	-0.000023
 - 	83	0.000985	0.000233	-0.000023
 - 	84	0.000999	0.000223	-0.000025
 - 	85	0.001011	0.000200	-0.000026
 - 	86	0.001017	0.000186	-0.000027
 - 	87	0.001024	0.000185	-0.000027
 - 	88	0.000987	0.000194	-0.000026
 - 	89	0.000994	0.000194	-0.000026
 - 	90	0.001023	0.000186	-0.000025
 - 	91	0.001024	0.000193	-0.000025
 - 	92	0.001011	0.000202	-0.000024
 - 	93	0.001009	0.000208	-0.000024
 - 	94	0.000985	0.000217	-0.000023
 - 	95	0.000980	0.000224	-0.000023
 - 	96	0.000963	0.000230	-0.000023
 - 	97	0.000972	0.000235	-0.000024
 - 	98	0.000975	0.000262	-0.000023
 - 	99	0.000973	0.000286	-0.000022
 - 	100	0.000983	0.000307	-0.000022
 - 	101	0.000994	0.000321	-0.000023
 - 	102	0.001002	0.000331	-0.000024
 - 	103	0.001005	0.000333	-0.000024
 - 	104	0.001015	0.000324	-0.000026
 - 	105	0.001013	0.000313	-0.000026
 - 	106	0.001005	0.000293	-0.000026
 - 	107	0.001019	0.000279	-0.000027
 - 	108	0.001025	0.000268	-0.000026
 - 	109	0.001013	0.000241	-0.000027
 - 	110	0.000987	0.000219	-0.000026
 - 	111	0.000999	0.000217	-0.000025
 - 	112	0.000982	0.000213	-0.000023
