LKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_2.filtered_40.c3d	1			
 - 	2			
 - 	3	0.002324	0.000757	0.000117
 - 	4	0.001637	0.000092	0.000069
 - 	5	0.001722	0.000155	0.000073
 - 	6	0.001706	0.000197	0.000070
 - 	7	0.001718	0.000136	0.000072
 - 	8	0.001755	0.000081	0.000075
 - 	9	0.001712	0.000117	0.000072
 - 	10	0.001710	0.000107	0.000073
 - 	11	0.001697	0.000156	0.000068
 - 	12	0.001701	0.000101	0.000075
 - 	13	0.001723	0.000055	0.000083
 - 	14	0.001713	0.000110	0.000076
 - 	15	0.001722	0.000113	0.000074
 - 	16	0.001732	0.000118	0.000073
 - 	17	0.001749	0.000127	0.000073
 - 	18	0.001738	0.000132	0.000073
 - 	19	0.001748	0.000136	0.000074
 - 	20	0.001731	0.000135	0.000073
 - 	21	0.001726	0.000134	0.000073
 - 	22	0.001721	0.000134	0.000073
 - 	23	0.001713	0.000130	0.000071
 - 	24	0.001720	0.000130	0.000070
 - 	25	0.001718	0.000130	0.000069
 - 	26	0.001732	0.000129	0.000070
 - 	27	0.001730	0.000129	0.000070
 - 	28	0.001730	0.000125	0.000071
 - 	29	0.001732	0.000121	0.000072
 - 	30	0.001735	0.000118	0.000073
 - 	31	0.001730	0.000112	0.000073
 - 	32	0.001731	0.000107	0.000073
 - 	33	0.001729	0.000104	0.000073
 - 	34	0.001722	0.000103	0.000074
 - 	35	0.001712	0.000103	0.000074
 - 	36	0.001706	0.000107	0.000075
 - 	37	0.001710	0.000109	0.000075
 - 	38	0.001706	0.000111	0.000074
 - 	39	0.001721	0.000115	0.000074
 - 	40	0.001721	0.000120	0.000074
 - 	41	0.001722	0.000121	0.000073
 - 	42	0.001731	0.000121	0.000073
 - 	43	0.001716	0.000118	0.000071
 - 	44	0.001720	0.000119	0.000070
 - 	45	0.001716	0.000107	0.000070
 - 	46	0.001704	0.000099	0.000070
 - 	47	0.001689	0.000140	0.000065
 - 	48	0.001706	0.000093	0.000069
 - 	49	0.001739	0.000046	0.000073
 - 	50	0.001726	0.000100	0.000070
 - 	51	0.001728	0.000104	0.000071
 - 	52	0.001729	0.000110	0.000072
 - 	53	0.001738	0.000117	0.000073
 - 	54	0.001737	0.000124	0.000073
 - 	55	0.001742	0.000126	0.000074
 - 	56	0.001735	0.000130	0.000075
 - 	57	0.001731	0.000129	0.000077
 - 	58	0.001719	0.000125	0.000078
 - 	59	0.001709	0.000117	0.000077
 - 	60	0.001711	0.000108	0.000078
 - 	61	0.001705	0.000103	0.000077
 - 	62	0.001715	0.000093	0.000077
 - 	63	0.001707	0.000083	0.000075
 - 	64	0.001718	0.000078	0.000075
 - 	65	0.001723	0.000073	0.000073
 - 	66	0.001742	0.000071	0.000073
 - 	67	0.001742	0.000069	0.000072
 - 	68	0.001752	0.000069	0.000072
 - 	69	0.001763	0.000066	0.000073
 - 	70	0.001763	0.000068	0.000073
 - 	71	0.001763	0.000069	0.000073
 - 	72	0.001767	0.000068	0.000074
 - 	73	0.001772	0.000070	0.000075
 - 	74	0.001761	0.000071	0.000075
 - 	75	0.001771	0.000071	0.000076
 - 	76	0.001770	0.000076	0.000076
 - 	77	0.001765	0.000083	0.000076
 - 	78	0.001760	0.000089	0.000076
 - 	79	0.001753	0.000084	0.000075
 - 	80	0.001743	0.000090	0.000075
 - 	81	0.001735	0.000100	0.000075
 - 	82	0.001741	0.000099	0.000074
 - 	83	0.001719	0.000099	0.000072
 - 	84	0.001730	0.000101	0.000073
 - 	85	0.001714	0.000101	0.000072
 - 	86	0.001717	0.000101	0.000072
 - 	87	0.001722	0.000101	0.000073
 - 	88	0.001719	0.000094	0.000073
 - 	89	0.001722	0.000086	0.000074
 - 	90	0.001737	0.000080	0.000075
 - 	91	0.001742	0.000072	0.000075
 - 	92	0.001752	0.000069	0.000076
 - 	93	0.001755	0.000067	0.000076
 - 	94	0.001746	0.000063	0.000075
 - 	95	0.001752	0.000061	0.000075
 - 	96	0.001746	0.000065	0.000075
 - 	97	0.001743	0.000066	0.000074
 - 	98	0.001746	0.000077	0.000075
 - 	99	0.001751	0.000084	0.000075
 - 	100	0.001758	0.000091	0.000075
