LKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_13.filtered_40_L2.c3d	1			
 - 	2			
 - 	3	-0.002391	-0.000314	0.000146
 - 	4	-0.002415	-0.000332	0.000150
 - 	5	-0.002381	-0.000319	0.000150
 - 	6	-0.002336	-0.000309	0.000146
 - 	7	-0.002376	-0.000323	0.000148
 - 	8	-0.002385	-0.000321	0.000148
 - 	9	-0.002375	-0.000322	0.000148
 - 	10	-0.002388	-0.000316	0.000148
 - 	11	-0.002387	-0.000310	0.000147
 - 	12	-0.002383	-0.000307	0.000147
 - 	13	-0.002384	-0.000301	0.000146
 - 	14	-0.002382	-0.000298	0.000145
 - 	15	-0.002393	-0.000295	0.000144
 - 	16	-0.002389	-0.000295	0.000142
 - 	17	-0.002414	-0.000293	0.000141
 - 	18	-0.002429	-0.000292	0.000139
 - 	19	-0.002447	-0.000290	0.000138
 - 	20	-0.002446	-0.000286	0.000137
 - 	21	-0.002440	-0.000286	0.000138
 - 	22	-0.002437	-0.000282	0.000139
 - 	23	-0.002419	-0.000289	0.000140
 - 	24	-0.002416	-0.000288	0.000141
 - 	25	-0.002403	-0.000293	0.000142
 - 	26	-0.002399	-0.000296	0.000143
 - 	27	-0.002394	-0.000300	0.000145
 - 	28	-0.002387	-0.000301	0.000146
 - 	29	-0.002384	-0.000299	0.000146
 - 	30	-0.002382	-0.000294	0.000145
 - 	31	-0.002380	-0.000285	0.000144
 - 	32	-0.002388	-0.000279	0.000142
 - 	33	-0.002376	-0.000279	0.000140
 - 	34	-0.002382	-0.000274	0.000140
 - 	35	-0.002383	-0.000274	0.000140
 - 	36	-0.002396	-0.000277	0.000141
 - 	37	-0.002411	-0.000281	0.000141
 - 	38	-0.002425	-0.000293	0.000142
 - 	39	-0.002450	-0.000303	0.000142
 - 	40	-0.002453	-0.000316	0.000143
 - 	41	-0.002453	-0.000320	0.000144
 - 	42	-0.002464	-0.000304	0.000145
 - 	43	-0.002427	-0.000315	0.000145
 - 	44	-0.002415	-0.000305	0.000145
 - 	45	-0.002407	-0.000306	0.000143
 - 	46	-0.002398	-0.000318	0.000140
 - 	47	-0.002401	-0.000293	0.000140
 - 	48	-0.002405	-0.000288	0.000138
 - 	49	-0.002399	-0.000286	0.000137
 - 	50	-0.002397	-0.000285	0.000138
 - 	51	-0.002391	-0.000285	0.000138
 - 	52	-0.002390	-0.000287	0.000139
 - 	53	-0.002381	-0.000289	0.000142
 - 	54	-0.002373	-0.000292	0.000144
 - 	55	-0.002377	-0.000295	0.000146
 - 	56	-0.002381	-0.000297	0.000146
 - 	57	-0.002385	-0.000296	0.000147
 - 	58	-0.002396	-0.000294	0.000146
 - 	59	-0.002403	-0.000294	0.000145
 - 	60	-0.002407	-0.000296	0.000145
 - 	61	-0.002413	-0.000298	0.000145
 - 	62	-0.002417	-0.000303	0.000145
 - 	63	-0.002410	-0.000308	0.000144
 - 	64	-0.002403	-0.000311	0.000144
 - 	65	-0.002403	-0.000315	0.000145
 - 	66	-0.002401	-0.000316	0.000145
 - 	67	-0.002395	-0.000317	0.000145
 - 	68	-0.002395	-0.000311	0.000144
 - 	69	-0.002392	-0.000306	0.000143
 - 	70	-0.002390	-0.000299	0.000140
 - 	71	-0.002395	-0.000293	0.000138
 - 	72	-0.002398	-0.000287	0.000137
 - 	73	-0.002404	-0.000288	0.000137
 - 	74	-0.002397	-0.000293	0.000138
 - 	75	-0.002401	-0.000292	0.000138
 - 	76	-0.002400	-0.000296	0.000140
 - 	77	-0.002398	-0.000297	0.000142
 - 	78	-0.002408	-0.000284	0.000145
 - 	79	-0.002396	-0.000307	0.000145
 - 	80	-0.002386	-0.000315	0.000143
 - 	81	-0.002385	-0.000321	0.000147
 - 	82	-0.002384	-0.000328	0.000145
 - 	83	-0.002380	-0.000326	0.000146
 - 	84	-0.002369	-0.000335	0.000150
 - 	85	-0.002368	-0.000326	0.000144
 - 	86	-0.002371	-0.000326	0.000144
 - 	87	-0.002382	-0.000321	0.000145
 - 	88	-0.002388	-0.000319	0.000142
 - 	89	-0.002410	-0.000313	0.000143
 - 	90	-0.002419	-0.000310	0.000145
 - 	91	-0.002433	-0.000310	0.000146
 - 	92	-0.002439	-0.000311	0.000148
 - 	93	-0.002434	-0.000313	0.000148
 - 	94	-0.002432	-0.000310	0.000148
 - 	95	-0.002417	-0.000309	0.000146
 - 	96	-0.002396	-0.000304	0.000144
 - 	97	-0.002376	-0.000303	0.000143
 - 	98	-0.002362	-0.000298	0.000142
 - 	99	-0.002365	-0.000307	0.000139
 - 	100	-0.002346	-0.000298	0.000142
 - 	101	-0.002352	-0.000287	0.000145
 - 	102	-0.002364	-0.000299	0.000143
