RKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_6.filtered_40.c3d	1			
 - 	2			
 - 	3	-0.001708	-0.000454	-0.000247
 - 	4	-0.001709	-0.000446	-0.000245
 - 	5	-0.001700	-0.000448	-0.000242
 - 	6	-0.001688	-0.000446	-0.000239
 - 	7	-0.001682	-0.000444	-0.000237
 - 	8	-0.001674	-0.000443	-0.000234
 - 	9	-0.001662	-0.000444	-0.000229
 - 	10	-0.001654	-0.000447	-0.000224
 - 	11	-0.001648	-0.000449	-0.000219
 - 	12	-0.001638	-0.000453	-0.000214
 - 	13	-0.001638	-0.000453	-0.000211
 - 	14	-0.001621	-0.000461	-0.000207
 - 	15	-0.001601	-0.000463	-0.000204
 - 	16	-0.001581	-0.000466	-0.000202
 - 	17	-0.001565	-0.000470	-0.000200
 - 	18	-0.001553	-0.000476	-0.000200
 - 	19	-0.001557	-0.000476	-0.000202
 - 	20	-0.001570	-0.000472	-0.000205
 - 	21	-0.001573	-0.000472	-0.000208
 - 	22	-0.001594	-0.000466	-0.000211
 - 	23	-0.001605	-0.000461	-0.000214
 - 	24	-0.001623	-0.000454	-0.000218
 - 	25	-0.001638	-0.000444	-0.000222
 - 	26	-0.001661	-0.000436	-0.000228
 - 	27	-0.001684	-0.000427	-0.000234
 - 	28	-0.001695	-0.000424	-0.000240
 - 	29	-0.001706	-0.000423	-0.000244
 - 	30	-0.001715	-0.000420	-0.000245
 - 	31	-0.001708	-0.000425	-0.000243
 - 	32	-0.001717	-0.000423	-0.000244
 - 	33	-0.001759	-0.000433	-0.000243
 - 	34	-0.001721	-0.000426	-0.000241
 - 	35	-0.001683	-0.000414	-0.000241
 - 	36	-0.001716	-0.000426	-0.000237
 - 	37	-0.001696	-0.000427	-0.000233
 - 	38	-0.001686	-0.000428	-0.000230
 - 	39	-0.001659	-0.000437	-0.000227
 - 	40	-0.001649	-0.000440	-0.000224
 - 	41	-0.001633	-0.000452	-0.000223
 - 	42	-0.001621	-0.000463	-0.000221
 - 	43	-0.001610	-0.000472	-0.000220
 - 	44	-0.001605	-0.000479	-0.000220
 - 	45	-0.001607	-0.000475	-0.000221
 - 	46	-0.001598	-0.000476	-0.000221
 - 	47	-0.001599	-0.000469	-0.000222
 - 	48	-0.001598	-0.000463	-0.000223
 - 	49	-0.001601	-0.000457	-0.000224
 - 	50	-0.001590	-0.000464	-0.000225
 - 	51	-0.001597	-0.000461	-0.000225
 - 	52	-0.001590	-0.000468	-0.000224
 - 	53	-0.001607	-0.000463	-0.000224
 - 	54	-0.001610	-0.000463	-0.000220
 - 	55	-0.001613	-0.000457	-0.000222
 - 	56	-0.001602	-0.000456	-0.000223
 - 	57	-0.001608	-0.000444	-0.000218
 - 	58	-0.001604	-0.000441	-0.000218
 - 	59	-0.001605	-0.000439	-0.000219
 - 	60	-0.001620	-0.000436	-0.000221
 - 	61	-0.001633	-0.000437	-0.000224
