LKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_1.filtered_40.c3d	1			
 - 	2			
 - 	3	0.001155	0.000534	-0.000063
 - 	4	0.001156	0.000526	-0.000062
 - 	5	0.001142	0.000510	-0.000059
 - 	6	0.001137	0.000495	-0.000057
 - 	7	0.001129	0.000480	-0.000056
 - 	8	0.001144	0.000484	-0.000060
 - 	9	0.001146	0.000474	-0.000059
 - 	10	0.001171	0.000448	-0.000053
 - 	11	0.001191	0.000450	-0.000056
 - 	12	0.001189	0.000470	-0.000060
 - 	13	0.001190	0.000477	-0.000060
 - 	14	0.001181	0.000491	-0.000061
 - 	15	0.001164	0.000499	-0.000060
 - 	16	0.001155	0.000510	-0.000061
 - 	17	0.001142	0.000519	-0.000061
 - 	18	0.001147	0.000534	-0.000062
 - 	19	0.001124	0.000559	-0.000063
 - 	20	0.001160	0.000564	-0.000064
 - 	21	0.001197	0.000563	-0.000065
 - 	22	0.001175	0.000585	-0.000066
 - 	23	0.001179	0.000584	-0.000066
 - 	24	0.001184	0.000587	-0.000066
 - 	25	0.001188	0.000586	-0.000067
 - 	26	0.001196	0.000580	-0.000067
 - 	27	0.001198	0.000572	-0.000066
 - 	28	0.001200	0.000560	-0.000066
 - 	29	0.001214	0.000573	-0.000073
 - 	30	0.001190	0.000520	-0.000062
 - 	31	0.001188	0.000499	-0.000060
 - 	32	0.001174	0.000485	-0.000059
 - 	33	0.001153	0.000437	-0.000051
 - 	34	0.001162	0.000454	-0.000056
 - 	35	0.001166	0.000440	-0.000055
 - 	36	0.001166	0.000436	-0.000055
 - 	37	0.001165	0.000432	-0.000055
 - 	38	0.001167	0.000441	-0.000055
 - 	39	0.001165	0.000448	-0.000056
 - 	40	0.001174	0.000464	-0.000057
 - 	41	0.001170	0.000473	-0.000058
 - 	42	0.001168	0.000486	-0.000059
 - 	43	0.001160	0.000499	-0.000060
 - 	44	0.001155	0.000502	-0.000060
 - 	45	0.001122	0.000501	-0.000059
 - 	46	0.001105	0.000493	-0.000057
 - 	47	0.001066	0.000485	-0.000055
 - 	48	0.001058	0.000480	-0.000055
 - 	49	0.001019	0.000477	-0.000055
 - 	50	0.001081	0.000490	-0.000057
 - 	51	0.001094	0.000488	-0.000057
 - 	52	0.001135	0.000503	-0.000061
 - 	53	0.001229	0.000535	-0.000065
 - 	54	0.001161	0.000524	-0.000063
 - 	55	0.001169	0.000535	-0.000065
 - 	56	0.001171	0.000546	-0.000065
 - 	57	0.001179	0.000548	-0.000065
 - 	58	0.001190	0.000546	-0.000064
 - 	59	0.001199	0.000533	-0.000062
 - 	60	0.001197	0.000515	-0.000059
 - 	61	0.001199	0.000496	-0.000057
 - 	62	0.001202	0.000472	-0.000054
 - 	63	0.001206	0.000460	-0.000052
 - 	64	0.001197	0.000448	-0.000051
 - 	65	0.001195	0.000446	-0.000052
 - 	66	0.001194	0.000449	-0.000053
 - 	67	0.001186	0.000452	-0.000054
 - 	68	0.001170	0.000453	-0.000055
 - 	69	0.001163	0.000459	-0.000057
 - 	70	0.001154	0.000467	-0.000059
 - 	71	0.001139	0.000480	-0.000062
 - 	72	0.001157	0.000486	-0.000061
 - 	73	0.001125	0.000511	-0.000066
 - 	74	0.001117	0.000541	-0.000071
 - 	75	0.001135	0.000535	-0.000066
 - 	76	0.001132	0.000536	-0.000065
 - 	77	0.001146	0.000536	-0.000063
 - 	78	0.001141	0.000534	-0.000062
 - 	79	0.001154	0.000531	-0.000061
 - 	80	0.001160	0.000531	-0.000061
 - 	81	0.001164	0.000530	-0.000060
 - 	82	0.001170	0.000532	-0.000061
 - 	83	0.001168	0.000529	-0.000061
 - 	84	0.001153	0.000521	-0.000060
 - 	85	0.001147	0.000517	-0.000059
 - 	86	0.001146	0.000514	-0.000059
 - 	87	0.001125	0.000508	-0.000059
 - 	88	0.001139	0.000510	-0.000060
 - 	89	0.001160	0.000512	-0.000061
 - 	90	0.001164	0.000512	-0.000061
 - 	91	0.001169	0.000503	-0.000061
 - 	92	0.001187	0.000495	-0.000061
 - 	93	0.001185	0.000488	-0.000061
 - 	94	0.001195	0.000480	-0.000060
 - 	95	0.001198	0.000474	-0.000059
 - 	96	0.001198	0.000469	-0.000058
 - 	97	0.001186	0.000469	-0.000058
 - 	98	0.001186	0.000476	-0.000059
 - 	99	0.001177	0.000491	-0.000059
 - 	100	0.001165	0.000502	-0.000060
 - 	101	0.001153	0.000522	-0.000061
 - 	102	0.001146	0.000535	-0.000062
 - 	103	0.001147	0.000555	-0.000063
 - 	104	0.001116	0.000550	-0.000058
 - 	105	0.001123	0.000577	-0.000064
 - 	106	0.001133	0.000594	-0.000070
 - 	107	0.001125	0.000576	-0.000064
 - 	108	0.001147	0.000568	-0.000064
 - 	109	0.001147	0.000549	-0.000064
 - 	110	0.001163	0.000533	-0.000063
 - 	111	0.001173	0.000510	-0.000060
 - 	112	0.001191	0.000506	-0.000065
 - 	113	0.001191	0.000481	-0.000060
 - 	114	0.001197	0.000466	-0.000057
 - 	115	0.001190	0.000456	-0.000057
 - 	116	0.001181	0.000450	-0.000055
 - 	117	0.001176	0.000446	-0.000055
 - 	118	0.001174	0.000456	-0.000056
 - 	119	0.001162	0.000466	-0.000057
 - 	120	0.001153	0.000478	-0.000058
 - 	121	0.001140	0.000489	-0.000058
