RKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_4.filtered_40.c3d	1			
 - 	2			
 - 	3	-0.001950	-0.000547	-0.000009
 - 	4	-0.001939	-0.000576	-0.000010
 - 	5	-0.001942	-0.000615	-0.000011
 - 	6	-0.001928	-0.000655	-0.000012
 - 	7	-0.001917	-0.000688	-0.000012
 - 	8	-0.001921	-0.000711	-0.000012
 - 	9	-0.001897	-0.000722	-0.000012
 - 	10	-0.001890	-0.000726	-0.000011
 - 	11	-0.001883	-0.000726	-0.000012
 - 	12	-0.001877	-0.000725	-0.000012
 - 	13	-0.001872	-0.000721	-0.000013
 - 	14	-0.001869	-0.000716	-0.000012
 - 	15	-0.001866	-0.000708	-0.000012
 - 	16	-0.001856	-0.000700	-0.000010
 - 	17	-0.001856	-0.000694	-0.000007
 - 	18	-0.001847	-0.000688	-0.000004
 - 	19	-0.001837	-0.000685	-0.000002
 - 	20	-0.001851	-0.000686	-0.000000
 - 	21	-0.001850	-0.000685	0.000000
 - 	22	-0.001858	-0.000685	-0.000000
 - 	23	-0.001859	-0.000686	-0.000001
 - 	24	-0.001856	-0.000687	-0.000002
 - 	25	-0.001842	-0.000688	-0.000002
 - 	26	-0.001837	-0.000684	-0.000002
 - 	27	-0.001848	-0.000682	-0.000002
 - 	28	-0.001842	-0.000684	-0.000002
 - 	29	-0.001851	-0.000694	-0.000002
 - 	30	-0.001859	-0.000706	-0.000002
 - 	31	-0.001857	-0.000711	-0.000002
 - 	32	-0.001848	-0.000717	-0.000001
 - 	33	-0.001844	-0.000716	-0.000002
 - 	34	-0.001843	-0.000714	-0.000002
 - 	35	-0.001838	-0.000707	-0.000003
 - 	36	-0.001840	-0.000703	-0.000003
 - 	37	-0.001843	-0.000702	-0.000002
 - 	38	-0.001838	-0.000704	-0.000002
 - 	39	-0.001840	-0.000713	-0.000001
 - 	40	-0.001826	-0.000723	-0.000000
 - 	41	-0.001828	-0.000734	-0.000001
 - 	42	-0.001810	-0.000737	-0.000002
 - 	43	-0.001813	-0.000739	-0.000003
 - 	44	-0.001814	-0.000737	-0.000003
 - 	45	-0.001809	-0.000735	-0.000003
 - 	46	-0.001812	-0.000732	-0.000003
 - 	47	-0.001820	-0.000728	-0.000002
 - 	48	-0.001825	-0.000719	-0.000002
 - 	49	-0.001827	-0.000709	-0.000001
 - 	50	-0.001837	-0.000701	0.000000
 - 	51	-0.001835	-0.000699	0.000001
 - 	52	-0.001829	-0.000704	0.000002
 - 	53	-0.001825	-0.000716	0.000003
 - 	54	-0.001829	-0.000731	0.000004
 - 	55	-0.001846	-0.000745	0.000003
 - 	56	-0.001836	-0.000753	0.000003
 - 	57	-0.001846	-0.000757	0.000003
 - 	58	-0.001837	-0.000753	0.000004
 - 	59	-0.001848	-0.000750	0.000004
 - 	60	-0.001860	-0.000748	0.000003
 - 	61	-0.001852	-0.000742	0.000002
 - 	62	-0.001859	-0.000736	0.000001
 - 	63	-0.001859	-0.000728	0.000000
 - 	64	-0.001851	-0.000723	0.000000
 - 	65	-0.001870	-0.000723	-0.000000
 - 	66	-0.001865	-0.000722	-0.000001
 - 	67	-0.001882	-0.000721	-0.000002
 - 	68	-0.001875	-0.000718	-0.000002
 - 	69	-0.001866	-0.000712	-0.000000
 - 	70	-0.001859	-0.000706	0.000002
 - 	71	-0.001839	-0.000698	0.000003
 - 	72	-0.001835	-0.000690	0.000003
 - 	73	-0.001835	-0.000685	0.000003
 - 	74	-0.001843	-0.000680	0.000002
 - 	75	-0.001838	-0.000675	0.000003
 - 	76	-0.001837	-0.000668	0.000004
 - 	77	-0.001846	-0.000660	0.000004
 - 	78	-0.001841	-0.000657	0.000004
 - 	79	-0.001866	-0.000657	0.000003
 - 	80	-0.001867	-0.000662	0.000000
 - 	81	-0.001870	-0.000672	-0.000002
 - 	82	-0.001888	-0.000691	-0.000003
 - 	83	-0.001887	-0.000710	-0.000004
 - 	84	-0.001882	-0.000727	-0.000004
 - 	85	-0.001885	-0.000739	-0.000004
 - 	86	-0.001873	-0.000746	-0.000003
 - 	87	-0.001857	-0.000752	-0.000002
 - 	88	-0.001846	-0.000752	-0.000001
 - 	89	-0.001847	-0.000753	-0.000000
 - 	90	-0.001839	-0.000756	0.000002
 - 	91	-0.001842	-0.000764	0.000006
 - 	92	-0.001845	-0.000769	0.000009
 - 	93	-0.001844	-0.000770	0.000010
 - 	94	-0.001845	-0.000768	0.000011
 - 	95	-0.001839	-0.000769	0.000010
 - 	96	-0.001830	-0.000776	0.000010
 - 	97	-0.001805	-0.000774	0.000014
 - 	98	-0.001806	-0.000790	0.000009
 - 	99	-0.001800	-0.000805	0.000005
 - 	100	-0.001769	-0.000781	0.000009
 - 	101	-0.001770	-0.000793	0.000009
 - 	102	-0.001775	-0.000796	0.000008
 - 	103	-0.001782	-0.000759	0.000005
 - 	104	-0.001825	-0.000740	0.000003
 - 	105	-0.001835	-0.000731	0.000001
 - 	106	-0.001869	-0.000731	0.000001
 - 	107	-0.001865	-0.000734	0.000001
 - 	108	-0.001876	-0.000742	0.000001
 - 	109	-0.001873	-0.000757	0.000003
 - 	110	-0.001874	-0.000773	0.000004
 - 	111	-0.001864	-0.000789	0.000006
 - 	112	-0.001874	-0.000805	0.000006
 - 	113	-0.001855	-0.000815	0.000006
 - 	114	-0.001866	-0.000820	0.000006
 - 	115	-0.001862	-0.000816	0.000006
 - 	116	-0.001857	-0.000807	0.000005
 - 	117	-0.001849	-0.000793	0.000005
 - 	118	-0.001848	-0.000777	0.000005
 - 	119	-0.001838	-0.000758	0.000005
 - 	120	-0.001826	-0.000737	0.000005
 - 	121	-0.001825	-0.000719	0.000003
 - 	122	-0.001810	-0.000703	0.000002
 - 	123	-0.001798	-0.000695	-0.000000
 - 	124	-0.001792	-0.000693	-0.000001
 - 	125	-0.001788	-0.000696	-0.000002
 - 	126	-0.001793	-0.000703	-0.000002
 - 	127	-0.001801	-0.000716	-0.000000
 - 	128	-0.001829	-0.000738	0.000001
 - 	129	-0.001835	-0.000755	0.000003
 - 	130	-0.001851	-0.000767	0.000003
 - 	131	-0.001870	-0.000771	0.000002
 - 	132	-0.001888	-0.000772	0.000002
 - 	133	-0.001901	-0.000769	0.000001
 - 	134	-0.001911	-0.000764	0.000001
 - 	135	-0.001940	-0.000758	-0.000000
 - 	136	-0.001939	-0.000747	-0.000001
 - 	137	-0.001945	-0.000739	-0.000002
 - 	138	-0.001953	-0.000732	-0.000002
 - 	139	-0.001947	-0.000726	-0.000002
 - 	140	-0.001941	-0.000724	-0.000001
 - 	141	-0.001929	-0.000728	-0.000001
 - 	142	-0.001892	-0.000736	0.000000
 - 	143	-0.001863	-0.000745	0.000001
 - 	144	-0.001838	-0.000753	0.000003
 - 	145	-0.001804	-0.000757	0.000005
 - 	146	-0.001788	-0.000757	0.000006
 - 	147	-0.001755	-0.000753	0.000007
 - 	148	-0.001743	-0.000753	0.000008
 - 	149	-0.001719	-0.000755	0.000008
 - 	150	-0.001702	-0.000760	0.000007
 - 	151	-0.001681	-0.000765	0.000004
 - 	152	-0.001671	-0.000773	0.000001
 - 	153	-0.001657	-0.000785	-0.000004
 - 	154	-0.001643	-0.000806	-0.000009
 - 	155	-0.001636	-0.000831	-0.000013
 - 	156	-0.001628	-0.000856	-0.000017
 - 	157	-0.001642	-0.000885	-0.000021
 - 	158	-0.001648	-0.000909	-0.000024
 - 	159	-0.001661	-0.000925	-0.000026
 - 	160	-0.001683	-0.000934	-0.000028
 - 	161	-0.001709	-0.000935	-0.000029
 - 	162	-0.001724	-0.000931	-0.000029
 - 	163	-0.001738	-0.000928	-0.000028
 - 	164	-0.001746	-0.000922	-0.000028
 - 	165	-0.001741	-0.000917	-0.000029
 - 	166	-0.001736	-0.000915	-0.000031
 - 	167	-0.001722	-0.000914	-0.000035
 - 	168	-0.001718	-0.000917	-0.000039
 - 	169	-0.001712	-0.000913	-0.000043
 - 	170	-0.001710	-0.000904	-0.000047
 - 	171	-0.001722	-0.000889	-0.000051
 - 	172	-0.001746	-0.000868	-0.000054
 - 	173	-0.001799	-0.000842	-0.000056
 - 	174	-0.001844	-0.000809	-0.000055
 - 	175	-0.001917	-0.000777	-0.000052
 - 	176	-0.001985	-0.000743	-0.000047
 - 	177	-0.002044	-0.000710	-0.000043
 - 	178	-0.002086	-0.000678	-0.000041
 - 	179	-0.002113	-0.000649	-0.000042
 - 	180	-0.002115	-0.000626	-0.000043
 - 	181	-0.002121	-0.000617	-0.000046
 - 	182	-0.002110	-0.000626	-0.000049
 - 	183	-0.002102	-0.000654	-0.000054
 - 	184	-0.002079	-0.000698	-0.000060
 - 	185	-0.002044	-0.000758	-0.000067
 - 	186	-0.002016	-0.000829	-0.000073
 - 	187	-0.001961	-0.000901	-0.000080
 - 	188	-0.001929	-0.000974	-0.000086
 - 	189	-0.001915	-0.001040	-0.000092
 - 	190	-0.001923	-0.001092	-0.000098
 - 	191	-0.001924	-0.001120	-0.000105
 - 	192	-0.001961	-0.001138	-0.000113
 - 	193	-0.001981	-0.001141	-0.000120
 - 	194	-0.001991	-0.001133	-0.000124
 - 	195	-0.002000	-0.001114	-0.000125
 - 	196	-0.002022	-0.001081	-0.000122
 - 	197	-0.002085	-0.001034	-0.000113
 - 	198	-0.002183	-0.000969	-0.000101
 - 	199	-0.002299	-0.000892	-0.000086
 - 	200	-0.002398	-0.000801	-0.000074
 - 	201	-0.002464	-0.000693	-0.000066
 - 	202	-0.002488	-0.000572	-0.000062
 - 	203	-0.002479	-0.000442	-0.000063
 - 	204	-0.002450	-0.000312	-0.000069
 - 	205	-0.002359	-0.000187	-0.000077
 - 	206	-0.002284	-0.000081	-0.000087
 - 	207	-0.002214	0.000005	-0.000092
 - 	208	-0.002192	0.000068	-0.000091
 - 	209	-0.002209	0.000108	-0.000085
 - 	210	-0.002243	0.000124	-0.000076
 - 	211	-0.002301	0.000115	-0.000068
 - 	212	-0.002318	0.000086	-0.000062
 - 	213	-0.002310	0.000039	-0.000061
 - 	214	-0.002287	-0.000027	-0.000063
 - 	215	-0.002265	-0.000114	-0.000069
 - 	216	-0.002241	-0.000209	-0.000074
 - 	217	-0.002222	-0.000299	-0.000079
 - 	218	-0.002201	-0.000376	-0.000083
 - 	219	-0.002208	-0.000446	-0.000086
 - 	220	-0.002200	-0.000502	-0.000085
 - 	221	-0.002210	-0.000546	-0.000083
 - 	222	-0.002223	-0.000579	-0.000080
 - 	223	-0.002239	-0.000612	-0.000078
 - 	224	-0.002254	-0.000653	-0.000078
 - 	225	-0.002287	-0.000701	-0.000082
 - 	226	-0.002324	-0.000750	-0.000089
 - 	227	-0.002359	-0.000796	-0.000101
 - 	228	-0.002389	-0.000841	-0.000114
 - 	229	-0.002411	-0.000898	-0.000128
 - 	230	-0.002418	-0.000968	-0.000143
 - 	231	-0.002415	-0.001045	-0.000157
 - 	232	-0.002391	-0.001125	-0.000169
 - 	233	-0.002360	-0.001205	-0.000180
 - 	234	-0.002325	-0.001266	-0.000188
 - 	235	-0.002337	-0.001296	-0.000197
 - 	236	-0.002386	-0.001291	-0.000204
 - 	237	-0.002462	-0.001265	-0.000207
 - 	238	-0.002550	-0.001218	-0.000209
 - 	239	-0.002629	-0.001155	-0.000209
 - 	240	-0.002698	-0.001080	-0.000208
 - 	241	-0.002750	-0.000996	-0.000203
 - 	242	-0.002767	-0.000912	-0.000191
 - 	243	-0.002746	-0.000823	-0.000173
 - 	244	-0.002740	-0.000721	-0.000150
 - 	245	-0.002754	-0.000594	-0.000127
 - 	246	-0.002780	-0.000455	-0.000103
 - 	247	-0.002827	-0.000324	-0.000080
 - 	248	-0.002869	-0.000209	-0.000059
 - 	249	-0.002936	-0.000099	-0.000040
 - 	250	-0.003000	0.000002	-0.000025
 - 	251	-0.003082	0.000089	-0.000014
 - 	252	-0.003155	0.000151	-0.000007
 - 	253	-0.003214	0.000187	-0.000005
 - 	254	-0.003262	0.000206	-0.000007
 - 	255	-0.003286	0.000228	-0.000012
 - 	256	-0.003309	0.000256	-0.000018
 - 	257	-0.003337	0.000282	-0.000025
 - 	258	-0.003361	0.000291	-0.000032
 - 	259	-0.003370	0.000280	-0.000036
 - 	260	-0.003382	0.000253	-0.000038
 - 	261	-0.003361	0.000220	-0.000038
 - 	262	-0.003345	0.000186	-0.000039
 - 	263	-0.003316	0.000142	-0.000041
 - 	264	-0.003264	0.000092	-0.000046
 - 	265	-0.003229	0.000047	-0.000051
 - 	266	-0.003171	0.000015	-0.000054
 - 	267	-0.003122	-0.000015	-0.000056
 - 	268	-0.003056	-0.000049	-0.000058
 - 	269	-0.002996	-0.000102	-0.000063
 - 	270	-0.002930	-0.000170	-0.000072
 - 	271	-0.002863	-0.000254	-0.000085
 - 	272	-0.002808	-0.000345	-0.000102
 - 	273	-0.002751	-0.000436	-0.000120
 - 	274	-0.002708	-0.000525	-0.000139
 - 	275	-0.002648	-0.000617	-0.000156
 - 	276	-0.002595	-0.000715	-0.000171
 - 	277	-0.002540	-0.000813	-0.000183
 - 	278	-0.002512	-0.000900	-0.000191
 - 	279	-0.002503	-0.000966	-0.000195
 - 	280	-0.002536	-0.001007	-0.000196
 - 	281	-0.002575	-0.001023	-0.000194
 - 	282	-0.002640	-0.001019	-0.000189
 - 	283	-0.002676	-0.000989	-0.000180
 - 	284	-0.002719	-0.000942	-0.000168
 - 	285	-0.002738	-0.000876	-0.000154
 - 	286	-0.002784	-0.000789	-0.000140
 - 	287	-0.002812	-0.000685	-0.000125
 - 	288	-0.002860	-0.000577	-0.000112
 - 	289	-0.002886	-0.000474	-0.000098
 - 	290	-0.002914	-0.000384	-0.000086
 - 	291	-0.002933	-0.000307	-0.000075
 - 	292	-0.002948	-0.000248	-0.000066
 - 	293	-0.002970	-0.000210	-0.000061
 - 	294	-0.003003	-0.000193	-0.000059
 - 	295	-0.003025	-0.000189	-0.000060
 - 	296	-0.003074	-0.000194	-0.000065
 - 	297	-0.003117	-0.000204	-0.000071
 - 	298	-0.003159	-0.000218	-0.000078
 - 	299	-0.003208	-0.000233	-0.000085
 - 	300	-0.003230	-0.000249	-0.000091
 - 	301	-0.003268	-0.000264	-0.000097
 - 	302	-0.003252	-0.000275	-0.000100
 - 	303	-0.003244	-0.000273	-0.000101
 - 	304	-0.003219	-0.000256	-0.000101
 - 	305	-0.003198	-0.000225	-0.000098
 - 	306	-0.003144	-0.000177	-0.000092
 - 	307	-0.003112	-0.000118	-0.000082
 - 	308	-0.003051	-0.000060	-0.000070
 - 	309	-0.003009	-0.000029	-0.000060
 - 	310	-0.002946	-0.000029	-0.000052
 - 	311	-0.002908	-0.000042	-0.000046
 - 	312	-0.002879	-0.000042	-0.000042
 - 	313	-0.002891	-0.000020	-0.000040
 - 	314	-0.002914	0.000002	-0.000041
 - 	315	-0.002947	-0.000002	-0.000046
 - 	316	-0.002978	-0.000032	-0.000055
 - 	317	-0.002996	-0.000069	-0.000064
 - 	318	-0.003036	-0.000102	-0.000074
 - 	319	-0.003059	-0.000130	-0.000083
 - 	320	-0.003087	-0.000156	-0.000090
 - 	321	-0.003096	-0.000179	-0.000095
 - 	322	-0.003109	-0.000189	-0.000097
 - 	323	-0.003111	-0.000182	-0.000097
 - 	324	-0.003129	-0.000150	-0.000093
 - 	325	-0.003129	-0.000098	-0.000085
 - 	326	-0.003127	-0.000034	-0.000075
 - 	327	-0.003113	0.000025	-0.000063
 - 	328	-0.003091	0.000059	-0.000052
 - 	329	-0.003078	0.000065	-0.000044
 - 	330	-0.003083	0.000070	-0.000039
 - 	331	-0.003124	0.000085	-0.000038
 - 	332	-0.003177	0.000102	-0.000040
 - 	333	-0.003234	0.000106	-0.000044
 - 	334	-0.003263	0.000097	-0.000048
 - 	335	-0.003273	0.000081	-0.000054
 - 	336	-0.003291	0.000065	-0.000061
 - 	337	-0.003281	0.000044	-0.000067
 - 	338	-0.003273	0.000017	-0.000072
 - 	339	-0.003246	-0.000017	-0.000074
 - 	340	-0.003198	-0.000063	-0.000074
 - 	341	-0.003133	-0.000115	-0.000072
 - 	342	-0.003088	-0.000148	-0.000070
 - 	343	-0.003085	-0.000138	-0.000069
 - 	344	-0.003133	-0.000089	-0.000070
 - 	345	-0.003209	-0.000028	-0.000073
 - 	346	-0.003254	0.000025	-0.000075
 - 	347	-0.003305	0.000066	-0.000077
 - 	348	-0.003317	0.000094	-0.000077
 - 	349	-0.003344	0.000115	-0.000077
 - 	350	-0.003347	0.000141	-0.000075
 - 	351	-0.003358	0.000168	-0.000074
 - 	352	-0.003338	0.000188	-0.000070
 - 	353	-0.003297	0.000184	-0.000065
 - 	354	-0.003221	0.000154	-0.000060
 - 	355	-0.003143	0.000099	-0.000055
 - 	356	-0.003060	0.000039	-0.000051
 - 	357	-0.003017	-0.000007	-0.000052
 - 	358	-0.003002	-0.000019	-0.000055
 - 	359	-0.003022	0.000000	-0.000060
 - 	360	-0.003060	0.000030	-0.000067
 - 	361	-0.003099	0.000056	-0.000074
 - 	362	-0.003134	0.000074	-0.000081
 - 	363	-0.003173	0.000081	-0.000089
 - 	364	-0.003222	0.000076	-0.000098
 - 	365	-0.003282	0.000059	-0.000108
 - 	366	-0.003327	0.000028	-0.000118
 - 	367	-0.003369	-0.000017	-0.000126
 - 	368	-0.003402	-0.000077	-0.000132
 - 	369	-0.003387	-0.000150	-0.000133
 - 	370	-0.003340	-0.000231	-0.000133
 - 	371	-0.003255	-0.000313	-0.000130
 - 	372	-0.003159	-0.000374	-0.000126
 - 	373	-0.003090	-0.000404	-0.000122
 - 	374	-0.003017	-0.000426	-0.000119
 - 	375	-0.002959	-0.000473	-0.000116
 - 	376	-0.002904	-0.000537	-0.000115
 - 	377	-0.002880	-0.000585	-0.000115
 - 	378	-0.002930	-0.000583	-0.000117
 - 	379	-0.003014	-0.000541	-0.000119
 - 	380	-0.003124	-0.000476	-0.000122
 - 	381	-0.003242	-0.000396	-0.000125
 - 	382	-0.003352	-0.000318	-0.000128
 - 	383	-0.003425	-0.000260	-0.000130
 - 	384	-0.003483	-0.000224	-0.000132
 - 	385	-0.003530	-0.000211	-0.000134
 - 	386	-0.003553	-0.000215	-0.000134
 - 	387	-0.003584	-0.000239	-0.000134
 - 	388	-0.003581	-0.000280	-0.000133
 - 	389	-0.003553	-0.000336	-0.000130
 - 	390	-0.003518	-0.000386	-0.000127
 - 	391	-0.003511	-0.000404	-0.000126
 - 	392	-0.003524	-0.000387	-0.000125
 - 	393	-0.003563	-0.000353	-0.000124
 - 	394	-0.003589	-0.000320	-0.000122
 - 	395	-0.003611	-0.000295	-0.000118
 - 	396	-0.003637	-0.000276	-0.000115
 - 	397	-0.003646	-0.000250	-0.000112
 - 	398	-0.003654	-0.000215	-0.000109
 - 	399	-0.003655	-0.000176	-0.000106
 - 	400	-0.003646	-0.000138	-0.000105
 - 	401	-0.003640	-0.000103	-0.000104
 - 	402	-0.003626	-0.000083	-0.000105
 - 	403	-0.003600	-0.000082	-0.000108
 - 	404	-0.003577	-0.000095	-0.000112
 - 	405	-0.003556	-0.000113	-0.000116
 - 	406	-0.003557	-0.000128	-0.000117
 - 	407	-0.003587	-0.000136	-0.000120
 - 	408	-0.003624	-0.000128	-0.000121
 - 	409	-0.003678	-0.000107	-0.000124
 - 	410	-0.003733	-0.000081	-0.000125
 - 	411	-0.003807	-0.000067	-0.000126
 - 	412	-0.003845	-0.000070	-0.000124
 - 	413	-0.003873	-0.000086	-0.000122
 - 	414	-0.003827	-0.000113	-0.000121
 - 	415	-0.003748	-0.000154	-0.000123
 - 	416	-0.003646	-0.000213	-0.000130
 - 	417	-0.003545	-0.000286	-0.000141
 - 	418	-0.003471	-0.000367	-0.000155
 - 	419	-0.003399	-0.000448	-0.000170
 - 	420	-0.003318	-0.000516	-0.000181
 - 	421	-0.003261	-0.000558	-0.000187
 - 	422	-0.003215	-0.000562	-0.000188
 - 	423	-0.003184	-0.000526	-0.000182
 - 	424	-0.003168	-0.000458	-0.000170
 - 	425	-0.003140	-0.000367	-0.000151
 - 	426	-0.003112	-0.000255	-0.000127
 - 	427	-0.003074	-0.000117	-0.000102
 - 	428	-0.003059	0.000040	-0.000080
 - 	429	-0.003061	0.000202	-0.000063
 - 	430	-0.003062	0.000346	-0.000054
 - 	431	-0.003068	0.000454	-0.000051
 - 	432	-0.003054	0.000515	-0.000048
 - 	433	-0.003023	0.000530	-0.000047
 - 	434	-0.002996	0.000509	-0.000046
 - 	435	-0.002947	0.000454	-0.000047
 - 	436	-0.002925	0.000368	-0.000051
 - 	437	-0.002879	0.000259	-0.000058
 - 	438	-0.002861	0.000140	-0.000068
 - 	439	-0.002820	0.000024	-0.000077
 - 	440	-0.002796	-0.000079	-0.000086
 - 	441	-0.002759	-0.000166	-0.000094
 - 	442	-0.002711	-0.000241	-0.000101
 - 	443	-0.002674	-0.000309	-0.000107
 - 	444	-0.002610	-0.000366	-0.000110
 - 	445	-0.002566	-0.000409	-0.000111
 - 	446	-0.002509	-0.000433	-0.000109
 - 	447	-0.002492	-0.000436	-0.000104
 - 	448	-0.002467	-0.000420	-0.000098
 - 	449	-0.002457	-0.000390	-0.000089
 - 	450	-0.002428	-0.000352	-0.000079
 - 	451	-0.002411	-0.000317	-0.000070
 - 	452	-0.002373	-0.000284	-0.000061
 - 	453	-0.002350	-0.000250	-0.000055
 - 	454	-0.002304	-0.000211	-0.000051
 - 	455	-0.002262	-0.000165	-0.000047
 - 	456	-0.002213	-0.000108	-0.000044
 - 	457	-0.002160	-0.000035	-0.000040
 - 	458	-0.002136	0.000053	-0.000037
 - 	459	-0.002111	0.000160	-0.000033
 - 	460	-0.002107	0.000286	-0.000028
 - 	461	-0.002087	0.000426	-0.000024
 - 	462	-0.002052	0.000573	-0.000019
 - 	463	-0.002013	0.000706	-0.000014
 - 	464	-0.001933	0.000810	-0.000008
 - 	465	-0.001882	0.000883	-0.000002
 - 	466	-0.001830	0.000922	0.000005
 - 	467	-0.001813	0.000917	0.000011
 - 	468	-0.001782	0.000863	0.000016
 - 	469	-0.001764	0.000764	0.000019
 - 	470	-0.001739	0.000633	0.000018
 - 	471	-0.001719	0.000478	0.000014
 - 	472	-0.001696	0.000304	0.000007
 - 	473	-0.001640	0.000107	0.000002
 - 	474	-0.001600	-0.000103	-0.000002
 - 	475	-0.001520	-0.000309	-0.000004
 - 	476	-0.001448	-0.000504	-0.000004
 - 	477	-0.001362	-0.000676	-0.000004
 - 	478	-0.001289	-0.000814	-0.000002
 - 	479	-0.001238	-0.000911	0.000000
 - 	480	-0.001198	-0.000970	0.000003
 - 	481	-0.001173	-0.000996	0.000007
 - 	482	-0.001156	-0.000991	0.000010
 - 	483	-0.001154	-0.000964	0.000012
 - 	484	-0.001172	-0.000919	0.000013
 - 	485	-0.001213	-0.000856	0.000012
 - 	486	-0.001279	-0.000787	0.000009
 - 	487	-0.001347	-0.000711	0.000004
 - 	488	-0.001417	-0.000648	-0.000001
 - 	489	-0.001480	-0.000602	-0.000004
 - 	490	-0.001505	-0.000586	-0.000003
 - 	491	-0.001533	-0.000594	0.000001
 - 	492	-0.001543	-0.000621	0.000007
 - 	493	-0.001538	-0.000663	0.000014
 - 	494	-0.001532	-0.000706	0.000019
 - 	495	-0.001512	-0.000747	0.000022
 - 	496	-0.001486	-0.000782	0.000023
 - 	497	-0.001469	-0.000800	0.000023
 - 	498	-0.001456	-0.000794	0.000020
 - 	499	-0.001454	-0.000759	0.000015
 - 	500	-0.001453	-0.000701	0.000008
 - 	501	-0.001475	-0.000632	0.000002
 - 	502	-0.001491	-0.000566	-0.000002
 - 	503	-0.001539	-0.000516	-0.000003
 - 	504	-0.001588	-0.000486	-0.000003
 - 	505	-0.001644	-0.000477	-0.000002
 - 	506	-0.001713	-0.000486	-0.000000
 - 	507	-0.001782	-0.000505	-0.000000
 - 	508	-0.001855	-0.000527	-0.000002
 - 	509	-0.001949	-0.000553	-0.000006
 - 	510	-0.002010	-0.000581	-0.000009
 - 	511	-0.002081	-0.000610	-0.000013
 - 	512	-0.002125	-0.000640	-0.000016
 - 	513	-0.002136	-0.000665	-0.000017
 - 	514	-0.002127	-0.000681	-0.000016
 - 	515	-0.002086	-0.000687	-0.000015
 - 	516	-0.002050	-0.000685	-0.000014
 - 	517	-0.001996	-0.000679	-0.000015
 - 	518	-0.001953	-0.000674	-0.000016
 - 	519	-0.001908	-0.000670	-0.000017
 - 	520	-0.001854	-0.000664	-0.000019
 - 	521	-0.001825	-0.000661	-0.000020
 - 	522	-0.001789	-0.000660	-0.000020
 - 	523	-0.001768	-0.000664	-0.000020
 - 	524	-0.001762	-0.000674	-0.000020
 - 	525	-0.001768	-0.000684	-0.000021
 - 	526	-0.001776	-0.000694	-0.000022
 - 	527	-0.001806	-0.000703	-0.000024
 - 	528	-0.001836	-0.000711	-0.000025
 - 	529	-0.001869	-0.000721	-0.000026
 - 	530	-0.001883	-0.000728	-0.000026
 - 	531	-0.001910	-0.000742	-0.000025
 - 	532	-0.001909	-0.000756	-0.000023
 - 	533	-0.001899	-0.000771	-0.000022
 - 	534	-0.001885	-0.000783	-0.000020
 - 	535	-0.001856	-0.000791	-0.000019
