RKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_6.filtered_40.c3d	1			
 - 	2			
 - 	3	-0.001875	-0.000052	-0.000136
 - 	4	-0.001838	-0.000068	-0.000133
 - 	5	-0.001820	-0.000077	-0.000131
 - 	6	-0.001810	-0.000079	-0.000131
 - 	7	-0.001810	-0.000072	-0.000132
 - 	8	-0.001816	-0.000062	-0.000134
 - 	9	-0.001826	-0.000052	-0.000135
 - 	10	-0.001835	-0.000044	-0.000136
 - 	11	-0.001861	-0.000035	-0.000136
 - 	12	-0.001872	-0.000031	-0.000136
 - 	13	-0.001880	-0.000025	-0.000135
 - 	14	-0.001910	-0.000004	-0.000138
 - 	15	-0.001888	-0.000014	-0.000135
 - 	16	-0.001884	-0.000027	-0.000135
 - 	17	-0.001881	-0.000026	-0.000136
 - 	18	-0.001865	-0.000038	-0.000132
 - 	19	-0.001856	-0.000048	-0.000129
 - 	20	-0.001846	-0.000055	-0.000127
 - 	21	-0.001841	-0.000060	-0.000126
 - 	22	-0.001849	-0.000050	-0.000128
 - 	23	-0.001840	-0.000055	-0.000128
 - 	24	-0.001842	-0.000058	-0.000131
 - 	25	-0.001859	-0.000050	-0.000137
 - 	26	-0.001870	-0.000054	-0.000140
 - 	27	-0.001878	-0.000059	-0.000142
 - 	28	-0.001890	-0.000060	-0.000142
 - 	29	-0.001901	-0.000053	-0.000141
 - 	30	-0.001903	-0.000045	-0.000141
 - 	31	-0.001901	-0.000042	-0.000141
 - 	32	-0.001902	-0.000044	-0.000141
 - 	33	-0.001887	-0.000048	-0.000142
 - 	34	-0.001884	-0.000049	-0.000142
 - 	35	-0.001872	-0.000051	-0.000140
 - 	36	-0.001855	-0.000053	-0.000135
 - 	37	-0.001838	-0.000048	-0.000133
 - 	38	-0.001833	-0.000042	-0.000132
 - 	39	-0.001827	-0.000043	-0.000130
 - 	40	-0.001822	-0.000041	-0.000129
 - 	41	-0.001837	-0.000031	-0.000129
 - 	42	-0.001839	-0.000024	-0.000129
 - 	43	-0.001876	0.000008	-0.000126
 - 	44	-0.001882	-0.000021	-0.000133
 - 	45	-0.001884	-0.000053	-0.000140
 - 	46	-0.001911	-0.000033	-0.000138
 - 	47	-0.001918	-0.000033	-0.000139
 - 	48	-0.001915	-0.000028	-0.000139
 - 	49	-0.001923	-0.000022	-0.000141
 - 	50	-0.001906	-0.000027	-0.000142
 - 	51	-0.001891	-0.000036	-0.000141
 - 	52	-0.001911	-0.000030	-0.000138
 - 	53	-0.001876	-0.000059	-0.000137
 - 	54	-0.001832	-0.000088	-0.000135
 - 	55	-0.001842	-0.000079	-0.000132
 - 	56	-0.001861	-0.000054	-0.000127
 - 	57	-0.001830	-0.000074	-0.000131
 - 	58	-0.001819	-0.000089	-0.000136
 - 	59	-0.001838	-0.000063	-0.000133
 - 	60	-0.001858	-0.000056	-0.000135
 - 	61	-0.001863	-0.000044	-0.000136
