LKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_8.filtered_40.c3d	1			
 - 	2			
 - 	3	-0.001397	-0.000618	0.000129
 - 	4	-0.001394	-0.000620	0.000128
 - 	5	-0.001383	-0.000624	0.000126
 - 	6	-0.001381	-0.000633	0.000126
 - 	7	-0.001390	-0.000636	0.000126
 - 	8	-0.001397	-0.000638	0.000126
 - 	9	-0.001401	-0.000644	0.000127
 - 	10	-0.001425	-0.000656	0.000129
 - 	11	-0.001418	-0.000658	0.000129
 - 	12	-0.001418	-0.000657	0.000129
 - 	13	-0.001409	-0.000655	0.000129
 - 	14	-0.001413	-0.000651	0.000129
 - 	15	-0.001401	-0.000650	0.000128
 - 	16	-0.001401	-0.000645	0.000127
 - 	17	-0.001399	-0.000642	0.000127
 - 	18	-0.001392	-0.000636	0.000127
 - 	19	-0.001393	-0.000639	0.000126
 - 	20	-0.001384	-0.000638	0.000125
 - 	21	-0.001381	-0.000642	0.000126
 - 	22	-0.001376	-0.000648	0.000126
 - 	23	-0.001374	-0.000652	0.000126
 - 	24	-0.001384	-0.000659	0.000128
 - 	25	-0.001389	-0.000662	0.000129
 - 	26	-0.001404	-0.000667	0.000131
 - 	27	-0.001412	-0.000673	0.000132
 - 	28	-0.001411	-0.000675	0.000133
 - 	29	-0.001424	-0.000679	0.000134
 - 	30	-0.001421	-0.000678	0.000134
 - 	31	-0.001424	-0.000680	0.000133
 - 	32	-0.001416	-0.000679	0.000132
 - 	33	-0.001406	-0.000668	0.000130
 - 	34	-0.001396	-0.000657	0.000128
 - 	35	-0.001378	-0.000639	0.000125
 - 	36	-0.001373	-0.000625	0.000123
 - 	37	-0.001368	-0.000618	0.000122
 - 	38	-0.001360	-0.000615	0.000122
 - 	39	-0.001356	-0.000614	0.000122
 - 	40	-0.001363	-0.000619	0.000124
 - 	41	-0.001361	-0.000624	0.000124
 - 	42	-0.001362	-0.000629	0.000125
 - 	43	-0.001354	-0.000626	0.000124
 - 	44	-0.001348	-0.000626	0.000124
 - 	45	-0.001357	-0.000624	0.000124
 - 	46	-0.001377	-0.000631	0.000126
 - 	47	-0.001398	-0.000638	0.000128
 - 	48	-0.001399	-0.000640	0.000129
 - 	49	-0.001397	-0.000631	0.000127
 - 	50	-0.001365	-0.000618	0.000124
 - 	51	-0.001353	-0.000600	0.000121
 - 	52	-0.001344	-0.000590	0.000119
 - 	53	-0.001327	-0.000585	0.000118
 - 	54	-0.001328	-0.000585	0.000118
 - 	55	-0.001341	-0.000590	0.000120
 - 	56	-0.001358	-0.000606	0.000123
 - 	57	-0.001393	-0.000618	0.000128
 - 	58	-0.001417	-0.000631	0.000131
 - 	59	-0.001454	-0.000635	0.000133
 - 	60	-0.001463	-0.000637	0.000134
 - 	61	-0.001470	-0.000633	0.000133
 - 	62	-0.001480	-0.000632	0.000133
 - 	63	-0.001468	-0.000630	0.000132
 - 	64	-0.001468	-0.000631	0.000132
 - 	65	-0.001460	-0.000636	0.000133
 - 	66	-0.001449	-0.000639	0.000133
 - 	67	-0.001440	-0.000641	0.000132
 - 	68	-0.001435	-0.000639	0.000131
 - 	69	-0.001426	-0.000633	0.000129
 - 	70	-0.001426	-0.000628	0.000128
 - 	71	-0.001408	-0.000621	0.000126
 - 	72	-0.001416	-0.000619	0.000127
 - 	73	-0.001410	-0.000616	0.000127
 - 	74	-0.001414	-0.000613	0.000128
 - 	75	-0.001410	-0.000613	0.000128
 - 	76	-0.001409	-0.000611	0.000127
 - 	77	-0.001416	-0.000610	0.000127
 - 	78	-0.001408	-0.000605	0.000126
 - 	79	-0.001415	-0.000603	0.000126
 - 	80	-0.001401	-0.000599	0.000124
 - 	81	-0.001411	-0.000598	0.000124
 - 	82	-0.001405	-0.000600	0.000123
 - 	83	-0.001401	-0.000601	0.000123
 - 	84	-0.001419	-0.000609	0.000124
 - 	85	-0.001409	-0.000611	0.000125
 - 	86	-0.001428	-0.000614	0.000127
 - 	87	-0.001423	-0.000615	0.000128
 - 	88	-0.001439	-0.000617	0.000130
 - 	89	-0.001429	-0.000619	0.000130
 - 	90	-0.001428	-0.000613	0.000131
 - 	91	-0.001431	-0.000611	0.000132
 - 	92	-0.001420	-0.000608	0.000130
 - 	93	-0.001427	-0.000606	0.000130
 - 	94	-0.001423	-0.000605	0.000129
 - 	95	-0.001419	-0.000606	0.000127
 - 	96	-0.001442	-0.000598	0.000123
 - 	97	-0.001431	-0.000602	0.000126
 - 	98	-0.001424	-0.000603	0.000129
 - 	99	-0.001440	-0.000592	0.000125
 - 	100	-0.001443	-0.000591	0.000125
 - 	101	-0.001437	-0.000592	0.000124
 - 	102	-0.001442	-0.000597	0.000125
 - 	103	-0.001433	-0.000609	0.000126
 - 	104	-0.001433	-0.000614	0.000127
 - 	105	-0.001432	-0.000627	0.000129
 - 	106	-0.001421	-0.000630	0.000129
 - 	107	-0.001415	-0.000638	0.000129
 - 	108	-0.001408	-0.000639	0.000128
 - 	109	-0.001379	-0.000654	0.000129
 - 	110	-0.001395	-0.000652	0.000130
 - 	111	-0.001433	-0.000615	0.000125
 - 	112	-0.001436	-0.000620	0.000127
 - 	113	-0.001433	-0.000613	0.000126
 - 	114	-0.001431	-0.000588	0.000121
 - 	115	-0.001423	-0.000599	0.000124
 - 	116	-0.001429	-0.000595	0.000124
 - 	117	-0.001419	-0.000593	0.000123
 - 	118	-0.001420	-0.000588	0.000123
 - 	119	-0.001417	-0.000582	0.000123
 - 	120	-0.001416	-0.000580	0.000123
 - 	121	-0.001412	-0.000576	0.000123
 - 	122	-0.001415	-0.000579	0.000123
 - 	123	-0.001412	-0.000580	0.000124
 - 	124	-0.001414	-0.000581	0.000124
 - 	125	-0.001412	-0.000584	0.000124
 - 	126	-0.001387	-0.000562	0.000118
 - 	127	-0.001412	-0.000593	0.000123
 - 	128	-0.001430	-0.000629	0.000128
 - 	129	-0.001413	-0.000610	0.000124
 - 	130	-0.001416	-0.000619	0.000124
 - 	131	-0.001419	-0.000626	0.000124
 - 	132	-0.001435	-0.000629	0.000126
 - 	133	-0.001434	-0.000632	0.000127
 - 	134	-0.001444	-0.000634	0.000129
 - 	135	-0.001436	-0.000631	0.000129
 - 	136	-0.001441	-0.000631	0.000130
 - 	137	-0.001433	-0.000627	0.000131
 - 	138	-0.001420	-0.000629	0.000131
 - 	139	-0.001425	-0.000631	0.000132
 - 	140	-0.001416	-0.000636	0.000132
 - 	141	-0.001409	-0.000647	0.000132
 - 	142	-0.001418	-0.000652	0.000133
 - 	143	-0.001393	-0.000673	0.000134
 - 	144	-0.001427	-0.000657	0.000134
 - 	145	-0.001418	-0.000657	0.000133
 - 	146	-0.001437	-0.000628	0.000130
 - 	147	-0.001448	-0.000578	0.000124
 - 	148	-0.001436	-0.000581	0.000124
 - 	149	-0.001432	-0.000569	0.000122
 - 	150	-0.001416	-0.000560	0.000121
 - 	151	-0.001421	-0.000560	0.000122
 - 	152	-0.001408	-0.000565	0.000122
 - 	153	-0.001405	-0.000571	0.000123
 - 	154	-0.001407	-0.000581	0.000123
 - 	155	-0.001394	-0.000592	0.000124
 - 	156	-0.001393	-0.000604	0.000125
 - 	157	-0.001388	-0.000608	0.000125
 - 	158	-0.001384	-0.000613	0.000126
 - 	159	-0.001371	-0.000613	0.000125
 - 	160	-0.001357	-0.000615	0.000124
 - 	161	-0.001357	-0.000613	0.000123
 - 	162	-0.001355	-0.000615	0.000123
 - 	163	-0.001364	-0.000616	0.000124
 - 	164	-0.001393	-0.000621	0.000125
 - 	165	-0.001422	-0.000633	0.000129
 - 	166	-0.001458	-0.000646	0.000131
 - 	167	-0.001495	-0.000655	0.000135
 - 	168	-0.001513	-0.000671	0.000136
 - 	169	-0.001527	-0.000683	0.000138
 - 	170	-0.001534	-0.000689	0.000140
 - 	171	-0.001526	-0.000696	0.000141
 - 	172	-0.001526	-0.000697	0.000142
 - 	173	-0.001504	-0.000699	0.000141
 - 	174	-0.001490	-0.000690	0.000141
 - 	175	-0.001483	-0.000680	0.000140
 - 	176	-0.001455	-0.000664	0.000136
 - 	177	-0.001438	-0.000647	0.000133
 - 	178	-0.001414	-0.000633	0.000129
 - 	179	-0.001395	-0.000622	0.000126
 - 	180	-0.001373	-0.000616	0.000123
 - 	181	-0.001366	-0.000614	0.000122
 - 	182	-0.001358	-0.000610	0.000122
 - 	183	-0.001351	-0.000612	0.000121
 - 	184	-0.001337	-0.000619	0.000119
 - 	185	-0.001339	-0.000613	0.000120
 - 	186	-0.001332	-0.000614	0.000120
 - 	187	-0.001341	-0.000608	0.000120
 - 	188	-0.001341	-0.000607	0.000120
 - 	189	-0.001342	-0.000609	0.000119
 - 	190	-0.001364	-0.000612	0.000121
 - 	191	-0.001374	-0.000621	0.000123
 - 	192	-0.001406	-0.000632	0.000126
 - 	193	-0.001419	-0.000646	0.000129
 - 	194	-0.001439	-0.000652	0.000131
 - 	195	-0.001433	-0.000659	0.000131
 - 	196	-0.001440	-0.000662	0.000132
 - 	197	-0.001431	-0.000666	0.000132
 - 	198	-0.001424	-0.000666	0.000132
 - 	199	-0.001436	-0.000667	0.000133
 - 	200	-0.001439	-0.000668	0.000134
 - 	201	-0.001445	-0.000668	0.000136
 - 	202	-0.001455	-0.000666	0.000137
 - 	203	-0.001464	-0.000664	0.000138
