LKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_1.filtered_40.c3d	1			
 - 	2			
 - 	3	0.002028	-0.000343	0.000163
 - 	4	0.002036	-0.000168	0.000161
 - 	5	0.001973	-0.000126	0.000157
 - 	6	0.001926	-0.000078	0.000153
 - 	7	0.001870	-0.000028	0.000149
 - 	8	0.001838	0.000026	0.000145
 - 	9	0.001809	0.000070	0.000141
 - 	10	0.001795	0.000101	0.000136
 - 	11	0.001790	0.000117	0.000132
 - 	12	0.001778	0.000117	0.000127
 - 	13	0.001768	0.000102	0.000123
 - 	14	0.001761	0.000080	0.000120
 - 	15	0.001733	0.000053	0.000117
 - 	16	0.001704	0.000029	0.000115
 - 	17	0.001671	0.000007	0.000113
 - 	18	0.001635	-0.000008	0.000110
 - 	19	0.001620	-0.000017	0.000109
 - 	20	0.001610	-0.000017	0.000108
 - 	21	0.001583	-0.000010	0.000105
 - 	22	0.001566	0.000000	0.000104
 - 	23	0.001554	0.000012	0.000102
 - 	24	0.001534	0.000029	0.000101
 - 	25	0.001504	0.000043	0.000099
 - 	26	0.001494	0.000067	0.000098
 - 	27	0.001467	0.000087	0.000096
 - 	28	0.001452	0.000110	0.000093
 - 	29	0.001447	0.000133	0.000090
 - 	30	0.001427	0.000146	0.000086
 - 	31	0.001424	0.000163	0.000083
 - 	32	0.001415	0.000176	0.000080
 - 	33	0.001406	0.000192	0.000077
 - 	34	0.001403	0.000201	0.000075
 - 	35	0.001396	0.000198	0.000073
 - 	36	0.001392	0.000191	0.000071
 - 	37	0.001380	0.000174	0.000071
 - 	38	0.001386	0.000156	0.000072
 - 	39	0.001374	0.000130	0.000072
 - 	40	0.001367	0.000108	0.000072
 - 	41	0.001362	0.000091	0.000073
 - 	42	0.001361	0.000078	0.000073
 - 	43	0.001365	0.000072	0.000073
 - 	44	0.001375	0.000075	0.000071
 - 	45	0.001383	0.000083	0.000070
 - 	46	0.001383	0.000094	0.000068
 - 	47	0.001365	0.000106	0.000065
 - 	48	0.001355	0.000122	0.000063
 - 	49	0.001332	0.000136	0.000059
 - 	50	0.001300	0.000146	0.000056
 - 	51	0.001285	0.000153	0.000053
 - 	52	0.001255	0.000162	0.000049
 - 	53	0.001236	0.000162	0.000048
 - 	54	0.001205	0.000162	0.000045
 - 	55	0.001187	0.000159	0.000044
 - 	56	0.001154	0.000155	0.000043
 - 	57	0.001141	0.000155	0.000042
 - 	58	0.001130	0.000157	0.000042
 - 	59	0.001123	0.000162	0.000042
 - 	60	0.001126	0.000170	0.000042
 - 	61	0.001124	0.000176	0.000043
 - 	62	0.001122	0.000186	0.000044
 - 	63	0.001122	0.000192	0.000045
 - 	64	0.001121	0.000194	0.000046
 - 	65	0.001128	0.000191	0.000048
 - 	66	0.001125	0.000183	0.000049
 - 	67	0.001131	0.000168	0.000050
 - 	68	0.001128	0.000155	0.000051
 - 	69	0.001134	0.000144	0.000053
 - 	70	0.001148	0.000127	0.000055
 - 	71	0.001165	0.000109	0.000057
 - 	72	0.001185	0.000093	0.000059
 - 	73	0.001201	0.000076	0.000060
 - 	74	0.001221	0.000066	0.000061
 - 	75	0.001239	0.000060	0.000061
 - 	76	0.001253	0.000061	0.000060
 - 	77	0.001261	0.000061	0.000059
 - 	78	0.001267	0.000071	0.000058
 - 	79	0.001270	0.000079	0.000058
 - 	80	0.001263	0.000088	0.000057
 - 	81	0.001266	0.000094	0.000058
 - 	82	0.001253	0.000107	0.000056
 - 	83	0.001260	0.000116	0.000055
 - 	84	0.001255	0.000129	0.000053
 - 	85	0.001247	0.000141	0.000050
 - 	86	0.001231	0.000149	0.000048
 - 	87	0.001214	0.000158	0.000046
 - 	88	0.001200	0.000169	0.000045
 - 	89	0.001169	0.000182	0.000044
 - 	90	0.001150	0.000195	0.000043
 - 	91	0.001129	0.000198	0.000042
 - 	92	0.001110	0.000201	0.000041
 - 	93	0.001085	0.000196	0.000040
 - 	94	0.001062	0.000191	0.000038
 - 	95	0.001048	0.000185	0.000038
 - 	96	0.001031	0.000183	0.000038
 - 	97	0.001029	0.000179	0.000038
 - 	98	0.001039	0.000179	0.000038
 - 	99	0.001038	0.000180	0.000037
 - 	100	0.001064	0.000184	0.000036
 - 	101	0.001083	0.000180	0.000036
 - 	102	0.001098	0.000176	0.000036
 - 	103	0.001122	0.000176	0.000037
 - 	104	0.001134	0.000184	0.000038
 - 	105	0.001156	0.000200	0.000038
 - 	106	0.001155	0.000217	0.000038
 - 	107	0.001175	0.000230	0.000039
 - 	108	0.001157	0.000233	0.000038
 - 	109	0.001173	0.000232	0.000038
 - 	110	0.001153	0.000223	0.000037
 - 	111	0.001148	0.000209	0.000036
 - 	112	0.001138	0.000197	0.000034
 - 	113	0.001129	0.000189	0.000031
 - 	114	0.001127	0.000187	0.000031
 - 	115	0.001120	0.000195	0.000030
 - 	116	0.001124	0.000206	0.000032
 - 	117	0.001121	0.000218	0.000032
 - 	118	0.001123	0.000227	0.000032
 - 	119	0.001120	0.000237	0.000032
 - 	120	0.001120	0.000247	0.000031
 - 	121	0.001121	0.000251	0.000030
 - 	122	0.001129	0.000257	0.000030
 - 	123	0.001124	0.000261	0.000030
 - 	124	0.001140	0.000259	0.000030
 - 	125	0.001135	0.000253	0.000030
 - 	126	0.001143	0.000244	0.000030
