LKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_5.filtered_40.c3d	1			
 - 	2			
 - 	3	0.002549	0.001094	-0.000243
 - 	4	0.002562	0.001092	-0.000244
 - 	5	0.002546	0.001085	-0.000241
 - 	6	0.002554	0.001084	-0.000241
 - 	7	0.002540	0.001088	-0.000240
 - 	8	0.002542	0.001098	-0.000240
 - 	9	0.002534	0.001113	-0.000240
 - 	10	0.002525	0.001123	-0.000240
 - 	11	0.002534	0.001133	-0.000241
 - 	12	0.002538	0.001136	-0.000242
 - 	13	0.002512	0.001128	-0.000240
 - 	14	0.002521	0.001118	-0.000240
 - 	15	0.002501	0.001108	-0.000237
 - 	16	0.002495	0.001100	-0.000235
 - 	17	0.002492	0.001096	-0.000233
 - 	18	0.002489	0.001082	-0.000232
 - 	19	0.002499	0.001070	-0.000234
 - 	20	0.002501	0.001052	-0.000235
 - 	21	0.002514	0.001040	-0.000237
 - 	22	0.002516	0.001032	-0.000238
 - 	23	0.002533	0.001036	-0.000239
 - 	24	0.002526	0.001051	-0.000238
 - 	25	0.002547	0.001049	-0.000242
 - 	26	0.002568	0.001049	-0.000242
 - 	27	0.002578	0.001057	-0.000246
 - 	28	0.002597	0.001061	-0.000251
 - 	29	0.002604	0.001074	-0.000248
 - 	30	0.002597	0.001078	-0.000246
 - 	31	0.002601	0.001077	-0.000246
 - 	32	0.002582	0.001080	-0.000242
 - 	33	0.002563	0.001080	-0.000239
 - 	34	0.002547	0.001083	-0.000236
 - 	35	0.002530	0.001088	-0.000234
 - 	36	0.002517	0.001097	-0.000233
 - 	37	0.002522	0.001107	-0.000235
 - 	38	0.002514	0.001115	-0.000235
 - 	39	0.002510	0.001116	-0.000237
 - 	40	0.002514	0.001111	-0.000239
 - 	41	0.002514	0.001101	-0.000241
 - 	42	0.002519	0.001087	-0.000243
 - 	43	0.002525	0.001076	-0.000244
 - 	44	0.002540	0.001067	-0.000246
 - 	45	0.002550	0.001066	-0.000247
 - 	46	0.002561	0.001068	-0.000248
 - 	47	0.002570	0.001069	-0.000249
 - 	48	0.002554	0.001072	-0.000247
 - 	49	0.002562	0.001079	-0.000247
 - 	50	0.002560	0.001085	-0.000244
 - 	51	0.002568	0.001083	-0.000243
 - 	52	0.002564	0.001085	-0.000240
 - 	53	0.002583	0.001082	-0.000237
 - 	54	0.002592	0.001086	-0.000241
 - 	55	0.002586	0.001089	-0.000244
 - 	56	0.002571	0.001082	-0.000241
 - 	57	0.002565	0.001067	-0.000246
 - 	58	0.002537	0.001070	-0.000241
 - 	59	0.002528	0.001074	-0.000239
 - 	60	0.002511	0.001073	-0.000239
 - 	61	0.002502	0.001084	-0.000236
 - 	62	0.002514	0.001085	-0.000237
 - 	63	0.002522	0.001089	-0.000238
 - 	64	0.002524	0.001090	-0.000238
 - 	65	0.002527	0.001092	-0.000239
 - 	66	0.002538	0.001091	-0.000241
 - 	67	0.002533	0.001088	-0.000242
 - 	68	0.002560	0.001092	-0.000249
 - 	69	0.002536	0.001075	-0.000244
 - 	70	0.002527	0.001071	-0.000244
 - 	71	0.002513	0.001060	-0.000243
 - 	72	0.002491	0.001047	-0.000237
 - 	73	0.002511	0.001058	-0.000242
 - 	74	0.002515	0.001064	-0.000241
 - 	75	0.002522	0.001087	-0.000241
 - 	76	0.002556	0.001113	-0.000249
 - 	77	0.002547	0.001111	-0.000242
 - 	78	0.002551	0.001101	-0.000237
 - 	79	0.002568	0.001112	-0.000246
 - 	80	0.002561	0.001118	-0.000246
 - 	81	0.002556	0.001123	-0.000246
 - 	82	0.002554	0.001120	-0.000247
 - 	83	0.002539	0.001111	-0.000245
 - 	84	0.002540	0.001101	-0.000245
 - 	85	0.002536	0.001088	-0.000243
 - 	86	0.002535	0.001076	-0.000242
 - 	87	0.002532	0.001065	-0.000241
 - 	88	0.002532	0.001060	-0.000241
 - 	89	0.002541	0.001058	-0.000242
 - 	90	0.002541	0.001057	-0.000242
 - 	91	0.002551	0.001050	-0.000244
 - 	92	0.002556	0.001047	-0.000251
 - 	93	0.002547	0.001035	-0.000245
 - 	94	0.002546	0.001026	-0.000240
 - 	95	0.002528	0.001028	-0.000246
 - 	96	0.002513	0.001042	-0.000245
 - 	97	0.002501	0.001059	-0.000243
 - 	98	0.002498	0.001074	-0.000242
 - 	99	0.002506	0.001085	-0.000242
 - 	100	0.002511	0.001096	-0.000240
 - 	101	0.002519	0.001108	-0.000239
 - 	102	0.002524	0.001110	-0.000239
 - 	103	0.002546	0.001108	-0.000241
 - 	104	0.002535	0.001099	-0.000240
 - 	105	0.002547	0.001089	-0.000243
 - 	106	0.002545	0.001079	-0.000243
 - 	107	0.002543	0.001063	-0.000243
 - 	108	0.002541	0.001049	-0.000243
 - 	109	0.002547	0.001040	-0.000244
 - 	110	0.002533	0.001037	-0.000243
 - 	111	0.002533	0.001047	-0.000244
 - 	112	0.002515	0.001065	-0.000243
 - 	113	0.002517	0.001078	-0.000243
 - 	114	0.002521	0.001097	-0.000243
 - 	115	0.002522	0.001088	-0.000244
 - 	116	0.002539	0.001087	-0.000244
 - 	117	0.002538	0.001088	-0.000245
 - 	118	0.002542	0.001077	-0.000248
 - 	119	0.002559	0.001081	-0.000248
 - 	120	0.002556	0.001075	-0.000247
 - 	121	0.002567	0.001076	-0.000244
 - 	122	0.002563	0.001081	-0.000246
 - 	123	0.002560	0.001088	-0.000249
 - 	124	0.002546	0.001090	-0.000242
 - 	125	0.002546	0.001094	-0.000243
 - 	126	0.002544	0.001093	-0.000243
 - 	127	0.002545	0.001092	-0.000243
 - 	128	0.002535	0.001091	-0.000242
 - 	129	0.002550	0.001090	-0.000246
 - 	130	0.002545	0.001085	-0.000248
 - 	131	0.002552	0.001080	-0.000250
 - 	132	0.002537	0.001069	-0.000249
 - 	133	0.002553	0.001062	-0.000252
 - 	134	0.002529	0.001051	-0.000250
 - 	135	0.002526	0.001043	-0.000249
 - 	136	0.002514	0.001040	-0.000246
 - 	137	0.002495	0.001042	-0.000243
 - 	138	0.002504	0.001047	-0.000242
 - 	139	0.002501	0.001063	-0.000239
 - 	140	0.002522	0.001074	-0.000240
 - 	141	0.002525	0.001084	-0.000239
 - 	142	0.002527	0.001093	-0.000238
 - 	143	0.002544	0.001103	-0.000240
 - 	144	0.002530	0.001106	-0.000239
 - 	145	0.002526	0.001106	-0.000240
 - 	146	0.002522	0.001104	-0.000240
 - 	147	0.002513	0.001102	-0.000246
 - 	148	0.002524	0.001116	-0.000242
 - 	149	0.002539	0.001126	-0.000238
 - 	150	0.002542	0.001108	-0.000245
 - 	151	0.002551	0.001098	-0.000246
 - 	152	0.002548	0.001088	-0.000247
 - 	153	0.002552	0.001079	-0.000248
 - 	154	0.002541	0.001068	-0.000247
 - 	155	0.002531	0.001056	-0.000246
 - 	156	0.002524	0.001048	-0.000247
 - 	157	0.002507	0.001041	-0.000246
 - 	158	0.002502	0.001041	-0.000245
 - 	159	0.002483	0.001047	-0.000243
 - 	160	0.002484	0.001055	-0.000242
 - 	161	0.002492	0.001069	-0.000243
 - 	162	0.002487	0.001070	-0.000241
 - 	163	0.002516	0.001074	-0.000244
 - 	164	0.002534	0.001071	-0.000245
 - 	165	0.002548	0.001068	-0.000247
 - 	166	0.002572	0.001068	-0.000249
 - 	167	0.002575	0.001075	-0.000249
 - 	168	0.002581	0.001079	-0.000250
 - 	169	0.002574	0.001091	-0.000250
 - 	170	0.002575	0.001096	-0.000250
 - 	171	0.002575	0.001098	-0.000251
 - 	172	0.002571	0.001094	-0.000250
 - 	173	0.002577	0.001085	-0.000249
 - 	174	0.002594	0.001076	-0.000249
 - 	175	0.002591	0.001066	-0.000248
 - 	176	0.002598	0.001062	-0.000246
 - 	177	0.002581	0.001055	-0.000240
 - 	178	0.002565	0.001048	-0.000237
 - 	179	0.002556	0.001042	-0.000237
 - 	180	0.002542	0.001032	-0.000236
 - 	181	0.002555	0.001024	-0.000238
 - 	182	0.002558	0.001018	-0.000239
 - 	183	0.002573	0.001009	-0.000242
 - 	184	0.002583	0.001008	-0.000245
 - 	185	0.002581	0.001001	-0.000247
 - 	186	0.002591	0.000996	-0.000250
 - 	187	0.002577	0.000990	-0.000252
 - 	188	0.002584	0.000987	-0.000255
 - 	189	0.002577	0.000987	-0.000257
 - 	190	0.002575	0.000996	-0.000258
 - 	191	0.002587	0.001005	-0.000260
 - 	192	0.002587	0.001024	-0.000258
 - 	193	0.002623	0.001042	-0.000260
 - 	194	0.002658	0.001060	-0.000262
 - 	195	0.002711	0.001075	-0.000266
 - 	196	0.002734	0.001085	-0.000267
 - 	197	0.002758	0.001083	-0.000270
 - 	198	0.002731	0.001074	-0.000268
 - 	199	0.002706	0.001064	-0.000267
 - 	200	0.002655	0.001055	-0.000265
 - 	201	0.002596	0.001056	-0.000261
 - 	202	0.002569	0.001051	-0.000262
 - 	203	0.002532	0.001050	-0.000262
 - 	204	0.002505	0.001044	-0.000264
 - 	205	0.002482	0.001042	-0.000265
 - 	206	0.002457	0.001043	-0.000265
 - 	207	0.002443	0.001050	-0.000265
 - 	208	0.002451	0.001050	-0.000267
 - 	209	0.002463	0.001051	-0.000269
 - 	210	0.002490	0.001051	-0.000272
 - 	211	0.002509	0.001046	-0.000275
 - 	212	0.002502	0.001044	-0.000275
 - 	213	0.002487	0.001045	-0.000274
 - 	214	0.002479	0.001047	-0.000275
 - 	215	0.002483	0.001056	-0.000277
 - 	216	0.002506	0.001061	-0.000282
 - 	217	0.002531	0.001066	-0.000286
 - 	218	0.002570	0.001065	-0.000292
 - 	219	0.002571	0.001059	-0.000294
 - 	220	0.002567	0.001056	-0.000295
 - 	221	0.002553	0.001054	-0.000295
 - 	222	0.002529	0.001061	-0.000293
 - 	223	0.002507	0.001072	-0.000293
 - 	224	0.002484	0.001090	-0.000292
 - 	225	0.002466	0.001112	-0.000291
 - 	226	0.002455	0.001131	-0.000293
 - 	227	0.002447	0.001147	-0.000293
 - 	228	0.002437	0.001156	-0.000294
 - 	229	0.002433	0.001158	-0.000295
 - 	230	0.002394	0.001153	-0.000291
 - 	231	0.002355	0.001141	-0.000288
 - 	232	0.002321	0.001130	-0.000283
 - 	233	0.002292	0.001117	-0.000280
 - 	234	0.002302	0.001105	-0.000280
 - 	235	0.002315	0.001094	-0.000280
 - 	236	0.002343	0.001086	-0.000283
 - 	237	0.002396	0.001081	-0.000290
 - 	238	0.002434	0.001083	-0.000295
 - 	239	0.002485	0.001079	-0.000301
 - 	240	0.002517	0.001075	-0.000305
 - 	241	0.002539	0.001071	-0.000307
 - 	242	0.002560	0.001065	-0.000310
 - 	243	0.002556	0.001061	-0.000309
 - 	244	0.002560	0.001057	-0.000310
 - 	245	0.002537	0.001057	-0.000306
 - 	246	0.002513	0.001063	-0.000301
 - 	247	0.002493	0.001076	-0.000297
 - 	248	0.002484	0.001091	-0.000294
