RKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_1.filtered_40.c3d	1			
 - 	2			
 - 	3			
 - 	4			
 - 	5			
 - 	6			
 - 	7			
 - 	8			
 - 	9			
 - 	10			
 - 	11			
 - 	12			
 - 	13			
 - 	14			
 - 	15			
 - 	16			
 - 	17			
 - 	18			
 - 	19			
 - 	20			
 - 	21			
 - 	22			
 - 	23			
 - 	24			
 - 	25			
 - 	26			
 - 	27			
 - 	28			
 - 	29			
 - 	30			
 - 	31			
 - 	32			
 - 	33			
 - 	34			
 - 	35			
 - 	36			
 - 	37			
 - 	38			
 - 	39			
 - 	40			
 - 	41			
 - 	42			
 - 	43			
 - 	44			
 - 	45			
 - 	46			
 - 	47			
 - 	48			
 - 	49			
 - 	50			
 - 	51			
 - 	52			
 - 	53			
 - 	54			
 - 	55			
 - 	56			
 - 	57			
 - 	58			
 - 	59			
 - 	60			
 - 	61			
 - 	62			
 - 	63			
 - 	64			
 - 	65			
 - 	66			
 - 	67			
 - 	68			
 - 	69			
 - 	70			
 - 	71			
 - 	72			
 - 	73			
 - 	74			
 - 	75			
 - 	76			
 - 	77			
 - 	78			
 - 	79			
 - 	80			
 - 	81			
 - 	82			
 - 	83			
 - 	84			
 - 	85			
 - 	86			
 - 	87			
 - 	88			
 - 	89			
 - 	90			
 - 	91			
 - 	92			
 - 	93			
 - 	94			
 - 	95			
 - 	96			
 - 	97			
 - 	98			
 - 	99			
 - 	100			
 - 	101			
 - 	102			
 - 	103			
 - 	104			
 - 	105			
 - 	106			
 - 	107			
 - 	108			
 - 	109			
 - 	110			
 - 	111			
 - 	112			
 - 	113			
 - 	114			
 - 	115			
 - 	116			
 - 	117			
 - 	118			
 - 	119			
 - 	120			
 - 	121			
 - 	122			
 - 	123			
 - 	124			
 - 	125			
 - 	126			
 - 	127			
 - 	128			
 - 	129			
 - 	130			
 - 	131			
 - 	132			
 - 	133			
 - 	134			
 - 	135			
 - 	136			
 - 	137			
 - 	138			
 - 	139			
 - 	140			
 - 	141			
 - 	142			
 - 	143			
 - 	144			
 - 	145			
 - 	146			
 - 	147			
 - 	148			
 - 	149			
 - 	150			
 - 	151			
 - 	152			
 - 	153			
 - 	154			
 - 	155			
 - 	156			
 - 	157			
 - 	158			
 - 	159			
 - 	160			
 - 	161			
 - 	162			
 - 	163			
 - 	164			
 - 	165			
 - 	166			
 - 	167			
 - 	168			
 - 	169			
 - 	170			
 - 	171			
 - 	172			
 - 	173			
 - 	174			
 - 	175			
 - 	176			
 - 	177			
 - 	178			
 - 	179			
 - 	180			
 - 	181			
 - 	182			
 - 	183			
 - 	184			
 - 	185			
 - 	186			
 - 	187			
 - 	188			
 - 	189			
 - 	190			
 - 	191			
 - 	192			
 - 	193			
 - 	194			
 - 	195			
 - 	196			
 - 	197			
 - 	198			
 - 	199	-0.002390	0.000009	-0.000019
 - 	200	-0.002281	0.000057	-0.000008
 - 	201	-0.002184	0.000091	-0.000002
 - 	202	-0.002084	0.000103	-0.000002
 - 	203	-0.001979	0.000091	-0.000010
 - 	204	-0.001897	0.000076	-0.000017
 - 	205	-0.001808	0.000055	-0.000026
 - 	206	-0.001728	0.000043	-0.000032
 - 	207	-0.001656	0.000031	-0.000040
 - 	208	-0.001599	0.000019	-0.000048
 - 	209	-0.001555	0.000005	-0.000056
 - 	210	-0.001540	-0.000008	-0.000061
 - 	211	-0.001552	-0.000025	-0.000065
 - 	212	-0.001594	-0.000046	-0.000066
 - 	213	-0.001674	-0.000078	-0.000068
 - 	214	-0.001767	-0.000130	-0.000075
 - 	215	-0.001878	-0.000203	-0.000088
 - 	216	-0.001974	-0.000303	-0.000110
 - 	217	-0.002078	-0.000419	-0.000138
 - 	218	-0.002142	-0.000566	-0.000176
 - 	219	-0.002174	-0.000734	-0.000222
 - 	220	-0.002125	-0.000928	-0.000279
 - 	221	-0.001977	-0.001133	-0.000339
 - 	222	-0.001687	-0.001342	-0.000401
 - 	223	-0.001209	-0.001549	-0.000462
 - 	224	-0.000498	-0.001756	-0.000528
 - 	225	0.000416	-0.001955	-0.000598
 - 	226	0.001517	-0.002149	-0.000684
 - 	227	0.002741	-0.002324	-0.000789
 - 	228	0.004034	-0.002459	-0.000917
 - 	229	0.005280	-0.002513	-0.001050
 - 	230	0.006443	-0.002469	-0.001174
 - 	231	0.007435	-0.002306	-0.001260
 - 	232	0.008269	-0.002048	-0.001298
 - 	233	0.008922	-0.001731	-0.001283
 - 	234	0.009382	-0.001409	-0.001229
 - 	235	0.009649	-0.001118	-0.001148
 - 	236	0.009745	-0.000869	-0.001043
 - 	237	0.009662	-0.000673	-0.000920
 - 	238	0.009414	-0.000539	-0.000796
 - 	239	0.009044	-0.000471	-0.000686
 - 	240	0.008593	-0.000456	-0.000599
 - 	241	0.008088	-0.000468	-0.000528
 - 	242	0.007547	-0.000493	-0.000473
 - 	243	0.006984	-0.000524	-0.000433
 - 	244	0.006391	-0.000559	-0.000412
 - 	245	0.005803	-0.000595	-0.000408
 - 	246	0.005222	-0.000620	-0.000408
 - 	247	0.004625	-0.000628	-0.000405
 - 	248	0.004047	-0.000636	-0.000411
 - 	249	0.003459	-0.000646	-0.000422
 - 	250	0.002865	-0.000663	-0.000442
 - 	251	0.002276	-0.000685	-0.000464
