LKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_8.filtered_40.c3d	1			
 - 	2			
 - 	3			
 - 	4			
 - 	5			
 - 	6			
 - 	7			
 - 	8			
 - 	9			
 - 	10			
 - 	11			
 - 	12			
 - 	13			
 - 	14			
 - 	15			
 - 	16			
 - 	17			
 - 	18			
 - 	19			
 - 	20			
 - 	21			
 - 	22			
 - 	23			
 - 	24			
 - 	25			
 - 	26			
 - 	27			
 - 	28			
 - 	29			
 - 	30			
 - 	31			
 - 	32			
 - 	33			
 - 	34			
 - 	35			
 - 	36			
 - 	37			
 - 	38			
 - 	39			
 - 	40			
 - 	41			
 - 	42			
 - 	43			
 - 	44			
 - 	45			
 - 	46			
 - 	47			
 - 	48			
 - 	49			
 - 	50			
 - 	51			
 - 	52			
 - 	53			
 - 	54			
 - 	55			
 - 	56			
 - 	57			
 - 	58			
 - 	59			
 - 	60			
 - 	61			
 - 	62			
 - 	63			
 - 	64			
 - 	65			
 - 	66			
 - 	67			
 - 	68			
 - 	69			
 - 	70			
 - 	71			
 - 	72			
 - 	73			
 - 	74			
 - 	75			
 - 	76			
 - 	77			
 - 	78			
 - 	79			
 - 	80			
 - 	81			
 - 	82			
 - 	83			
 - 	84			
 - 	85			
 - 	86			
 - 	87			
 - 	88			
 - 	89	-0.001808	-0.000775	0.000201
 - 	90	-0.001776	-0.000768	0.000197
 - 	91	-0.001762	-0.000763	0.000193
 - 	92	-0.001756	-0.000762	0.000187
 - 	93	-0.001753	-0.000758	0.000182
 - 	94	-0.001742	-0.000755	0.000177
 - 	95	-0.001742	-0.000757	0.000175
 - 	96	-0.001749	-0.000776	0.000177
 - 	97	-0.001748	-0.000805	0.000179
 - 	98	-0.001755	-0.000838	0.000181
 - 	99	-0.001746	-0.000873	0.000184
 - 	100	-0.001740	-0.000903	0.000187
 - 	101	-0.001724	-0.000920	0.000190
 - 	102	-0.001713	-0.000916	0.000193
 - 	103	-0.001694	-0.000904	0.000195
 - 	104	-0.001692	-0.000884	0.000198
 - 	105	-0.001688	-0.000870	0.000200
 - 	106	-0.001703	-0.000857	0.000202
 - 	107	-0.001714	-0.000854	0.000203
 - 	108	-0.001737	-0.000853	0.000206
 - 	109	-0.001769	-0.000852	0.000207
 - 	110	-0.001804	-0.000841	0.000207
 - 	111	-0.001821	-0.000832	0.000204
 - 	112	-0.001839	-0.000822	0.000202
 - 	113	-0.001853	-0.000820	0.000200
 - 	114	-0.001878	-0.000821	0.000199
 - 	115	-0.001890	-0.000820	0.000197
 - 	116	-0.001918	-0.000814	0.000196
 - 	117	-0.001932	-0.000815	0.000196
 - 	118	-0.001940	-0.000809	0.000195
 - 	119	-0.001941	-0.000792	0.000192
 - 	120	-0.001901	-0.000768	0.000186
 - 	121	-0.001860	-0.000729	0.000179
 - 	122	-0.001781	-0.000685	0.000169
 - 	123	-0.001742	-0.000636	0.000160
 - 	124	-0.001725	-0.000592	0.000155
 - 	125	-0.001730	-0.000552	0.000153
 - 	126	-0.001779	-0.000526	0.000156
 - 	127	-0.001830	-0.000516	0.000162
 - 	128	-0.001910	-0.000518	0.000170
 - 	129	-0.001982	-0.000528	0.000177
 - 	130	-0.002046	-0.000527	0.000181
 - 	131	-0.002100	-0.000522	0.000183
 - 	132	-0.002124	-0.000516	0.000183
 - 	133	-0.002135	-0.000503	0.000182
 - 	134	-0.002140	-0.000481	0.000179
 - 	135	-0.002146	-0.000452	0.000175
 - 	136	-0.002166	-0.000422	0.000171
 - 	137	-0.002189	-0.000382	0.000166
 - 	138	-0.002238	-0.000329	0.000162
 - 	139	-0.002269	-0.000273	0.000156
 - 	140	-0.002324	-0.000230	0.000154
 - 	141	-0.002379	-0.000198	0.000152
 - 	142	-0.002434	-0.000185	0.000153
 - 	143	-0.002468	-0.000195	0.000156
 - 	144	-0.002487	-0.000218	0.000161
 - 	145	-0.002461	-0.000252	0.000168
 - 	146	-0.002397	-0.000284	0.000175
 - 	147	-0.002307	-0.000329	0.000183
 - 	148	-0.002176	-0.000389	0.000191
 - 	149	-0.002025	-0.000450	0.000197
 - 	150	-0.001841	-0.000508	0.000199
 - 	151	-0.001637	-0.000539	0.000196
 - 	152	-0.001428	-0.000533	0.000187
 - 	153	-0.001220	-0.000494	0.000171
 - 	154	-0.001052	-0.000410	0.000150
 - 	155	-0.000910	-0.000292	0.000123
 - 	156	-0.000793	-0.000149	0.000090
 - 	157	-0.000687	0.000009	0.000052
 - 	158	-0.000589	0.000146	0.000014
 - 	159	-0.000486	0.000265	-0.000023
 - 	160	-0.000367	0.000349	-0.000051
 - 	161	-0.000251	0.000415	-0.000071
 - 	162	-0.000106	0.000478	-0.000088
 - 	163	0.000079	0.000529	-0.000103
 - 	164	0.000297	0.000562	-0.000118
 - 	165	0.000534	0.000562	-0.000130
 - 	166	0.000786	0.000539	-0.000138
 - 	167	0.001024	0.000503	-0.000141
 - 	168	0.001247	0.000447	-0.000136
 - 	169	0.001435	0.000358	-0.000120
 - 	170	0.001562	0.000236	-0.000089
 - 	171	0.001621	0.000087	-0.000046
 - 	172	0.001618	-0.000094	0.000012
 - 	173	0.001498	-0.000297	0.000091
 - 	174	0.001249	-0.000519	0.000195
 - 	175	0.000848	-0.000764	0.000340
 - 	176	0.000329	-0.001033	0.000528
 - 	177	-0.000227	-0.001324	0.000762
 - 	178	-0.000707	-0.001601	0.001019
 - 	179	-0.001008	-0.001846	0.001280
 - 	180	-0.001019	-0.002056	0.001534
 - 	181	-0.000670	-0.002233	0.001771
 - 	182	0.000057	-0.002381	0.001986
 - 	183	0.001165	-0.002516	0.002183
 - 	184	0.002571	-0.002650	0.002369
 - 	185	0.004165	-0.002774	0.002536
 - 	186	0.005789	-0.002871	0.002674
 - 	187	0.007312	-0.002919	0.002762
 - 	188	0.008639	-0.002900	0.002778
 - 	189	0.009751	-0.002793	0.002687
 - 	190	0.010646	-0.002605	0.002479
 - 	191	0.011329	-0.002364	0.002171
 - 	192	0.011786	-0.002106	0.001804
 - 	193	0.012017	-0.001863	0.001429
 - 	194	0.012020	-0.001642	0.001069
 - 	195	0.011865	-0.001449	0.000745
 - 	196	0.011541	-0.001268	0.000441
 - 	197	0.011116	-0.001097	0.000157
 - 	198	0.010590	-0.000933	-0.000105
 - 	199	0.009976	-0.000770	-0.000348
 - 	200	0.009321	-0.000610	-0.000571
 - 	201	0.008595	-0.000458	-0.000762
 - 	202	0.007840	-0.000315	-0.000920
 - 	203	0.007064	-0.000177	-0.001052
 - 	204	0.006247	-0.000044	-0.001148
 - 	205	0.005401	0.000093	-0.001223
 - 	206	0.004482	0.000241	-0.001276
 - 	207	0.003485	0.000396	-0.001303
 - 	208	0.002449	0.000557	-0.001312
 - 	209	0.001395	0.000714	-0.001296
 - 	210	0.000361	0.000862	-0.001260
 - 	211	-0.000651	0.000990	-0.001188
 - 	212	-0.001683	0.001104	-0.001087
 - 	213	-0.002752	0.001192	-0.000945
 - 	214	-0.003857	0.001253	-0.000766
 - 	215	-0.005016	0.001292	-0.000561
 - 	216	-0.006228	0.001334	-0.000351
 - 	217	-0.007477	0.001385	-0.000142
 - 	218	-0.008795	0.001475	0.000050
 - 	219	-0.010143	0.001601	0.000227
 - 	220	-0.011545	0.001771	0.000386
 - 	221	-0.012986	0.001969	0.000534
 - 	222	-0.014489	0.002189	0.000672
 - 	223	-0.016027	0.002407	0.000803
 - 	224	-0.017560	0.002600	0.000927
 - 	225	-0.019072	0.002729	0.001048
 - 	226	-0.020500	0.002756	0.001165
 - 	227	-0.021837	0.002653	0.001276
 - 	228	-0.023007	0.002393	0.001376
 - 	229	-0.023961	0.001989	0.001456
 - 	230	-0.024643	0.001458	0.001509
 - 	231	-0.024981	0.000818	0.001535
 - 	232	-0.024930	0.000102	0.001534
 - 	233	-0.024407	-0.000660	0.001510
 - 	234	-0.023355	-0.001448	0.001471
 - 	235	-0.021765	-0.002235	0.001422
 - 	236	-0.019599	-0.003003	0.001370
 - 	237	-0.016947	-0.003706	0.001318
 - 	238	-0.013900	-0.004288	0.001268
 - 	239	-0.010654	-0.004683	0.001220
 - 	240	-0.007465	-0.004803	0.001166
 - 	241	-0.004592	-0.004570	0.001093
 - 	242	-0.002332	-0.003883	0.000982
 - 	243	-0.018037	0.003466	0.000904
 - 	244	-0.023207	0.008000	-0.000021
 - 	245	-0.022724	0.009737	-0.000594
 - 	246	-0.015660	0.008416	-0.000727
 - 	247	-0.004664	0.004683	-0.000282
 - 	248	0.007216	0.000430	0.000339
 - 	249	0.016748	-0.002153	0.000591
 - 	250	0.021864	-0.003328	0.000517
 - 	251	0.023929	-0.003224	0.000044
 - 	252	0.025765	-0.001506	-0.001003
 - 	253	0.028719	0.001185	-0.002316
 - 	254	0.032189	0.003070	-0.003338
 - 	255	0.034113	0.004302	-0.004202
 - 	256	0.034608	0.006132	-0.005410
 - 	257	0.036196	0.009339	-0.007210
 - 	258	0.039497	0.013604	-0.009476
 - 	259	0.043219	0.017968	-0.011712
 - 	260	0.045964	0.021216	-0.013441
 - 	261	0.047198	0.023224	-0.014576
 - 	262	0.047152	0.024430	-0.015165
 - 	263	0.046453	0.025022	-0.015339
 - 	264	0.045412	0.025659	-0.015438
 - 	265	0.043985	0.026290	-0.015375
 - 	266	0.042379	0.026800	-0.015206
