LKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_3.filtered_40.c3d	1			
 - 	2			
 - 	3	0.001532	0.000244	-0.000004
 - 	4	0.001544	0.000257	-0.000014
 - 	5	0.001552	0.000251	-0.000015
 - 	6	0.001574	0.000241	-0.000016
 - 	7	0.001589	0.000232	-0.000018
 - 	8	0.001588	0.000222	-0.000020
 - 	9	0.001589	0.000215	-0.000022
 - 	10	0.001587	0.000208	-0.000023
 - 	11	0.001580	0.000203	-0.000024
 - 	12	0.001576	0.000198	-0.000025
 - 	13	0.001567	0.000193	-0.000024
 - 	14	0.001572	0.000198	-0.000024
 - 	15	0.001576	0.000199	-0.000023
 - 	16	0.001586	0.000207	-0.000022
 - 	17	0.001595	0.000210	-0.000021
 - 	18	0.001607	0.000215	-0.000021
 - 	19	0.001611	0.000221	-0.000020
 - 	20	0.001615	0.000226	-0.000020
 - 	21	0.001616	0.000233	-0.000018
 - 	22	0.001614	0.000240	-0.000017
 - 	23	0.001593	0.000243	-0.000014
 - 	24	0.001565	0.000254	-0.000010
 - 	25	0.001544	0.000258	-0.000007
 - 	26	0.001521	0.000258	-0.000006
 - 	27	0.001510	0.000253	-0.000007
 - 	28	0.001506	0.000250	-0.000009
 - 	29	0.001510	0.000256	-0.000011
 - 	30	0.001494	0.000263	-0.000007
 - 	31	0.001524	0.000272	-0.000015
 - 	32	0.001522	0.000269	-0.000012
 - 	33	0.001545	0.000282	-0.000017
 - 	34	0.001575	0.000282	-0.000026
 - 	35	0.001556	0.000269	-0.000014
 - 	36	0.001551	0.000258	-0.000012
 - 	37	0.001537	0.000246	-0.000009
 - 	38	0.001544	0.000238	-0.000008
 - 	39	0.001546	0.000229	-0.000009
 - 	40	0.001566	0.000220	-0.000011
 - 	41	0.001580	0.000213	-0.000015
 - 	42	0.001592	0.000209	-0.000018
 - 	43	0.001598	0.000212	-0.000020
 - 	44	0.001596	0.000217	-0.000022
 - 	45	0.001598	0.000224	-0.000025
 - 	46	0.001603	0.000232	-0.000026
 - 	47	0.001599	0.000235	-0.000027
 - 	48	0.001618	0.000236	-0.000028
 - 	49	0.001619	0.000234	-0.000027
 - 	50	0.001613	0.000230	-0.000025
 - 	51	0.001589	0.000226	-0.000021
 - 	52	0.001564	0.000231	-0.000017
 - 	53	0.001545	0.000229	-0.000014
 - 	54	0.001546	0.000229	-0.000013
 - 	55	0.001543	0.000227	-0.000013
 - 	56	0.001556	0.000228	-0.000013
 - 	57	0.001558	0.000228	-0.000012
 - 	58	0.001557	0.000230	-0.000011
 - 	59	0.001548	0.000237	-0.000008
 - 	60	0.001545	0.000244	-0.000006
 - 	61	0.001536	0.000249	-0.000005
 - 	62	0.001555	0.000254	-0.000006
 - 	63	0.001553	0.000249	-0.000007
 - 	64	0.001563	0.000245	-0.000008
