RKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_5.filtered_40.c3d	1			
 - 	2			
 - 	3			
 - 	4			
 - 	5			
 - 	6			
 - 	7			
 - 	8			
 - 	9			
 - 	10			
 - 	11			
 - 	12			
 - 	13			
 - 	14			
 - 	15			
 - 	16			
 - 	17			
 - 	18			
 - 	19			
 - 	20			
 - 	21	-0.003224	-0.000134	-0.000454
 - 	22	-0.003221	-0.000121	-0.000452
 - 	23	-0.003199	-0.000116	-0.000449
 - 	24	-0.003191	-0.000116	-0.000448
 - 	25	-0.003177	-0.000128	-0.000447
 - 	26	-0.003169	-0.000138	-0.000446
 - 	27	-0.003166	-0.000150	-0.000447
 - 	28	-0.003165	-0.000160	-0.000448
 - 	29	-0.003188	-0.000171	-0.000450
 - 	30	-0.003197	-0.000185	-0.000453
 - 	31	-0.003213	-0.000170	-0.000458
 - 	32	-0.003251	-0.000201	-0.000460
 - 	33	-0.003262	-0.000227	-0.000460
 - 	34	-0.003262	-0.000194	-0.000463
 - 	35	-0.003256	-0.000177	-0.000462
 - 	36	-0.003233	-0.000152	-0.000459
 - 	37	-0.003205	-0.000124	-0.000455
 - 	38	-0.003198	-0.000096	-0.000452
 - 	39	-0.003168	-0.000065	-0.000444
 - 	40	-0.003171	-0.000056	-0.000440
 - 	41	-0.003197	-0.000090	-0.000453
 - 	42	-0.003183	-0.000105	-0.000456
 - 	43	-0.003202	-0.000104	-0.000453
 - 	44	-0.003194	-0.000124	-0.000451
 - 	45	-0.003195	-0.000143	-0.000451
 - 	46	-0.003189	-0.000166	-0.000451
 - 	47	-0.003179	-0.000185	-0.000450
 - 	48	-0.003187	-0.000194	-0.000450
 - 	49	-0.003184	-0.000201	-0.000451
 - 	50	-0.003203	-0.000199	-0.000453
 - 	51	-0.003205	-0.000200	-0.000454
 - 	52	-0.003221	-0.000195	-0.000456
 - 	53	-0.003223	-0.000191	-0.000456
 - 	54	-0.003222	-0.000185	-0.000457
 - 	55	-0.003225	-0.000175	-0.000460
 - 	56	-0.003210	-0.000168	-0.000456
 - 	57	-0.003214	-0.000152	-0.000454
 - 	58	-0.003191	-0.000141	-0.000455
 - 	59	-0.003194	-0.000123	-0.000455
 - 	60	-0.003182	-0.000112	-0.000453
 - 	61	-0.003177	-0.000106	-0.000453
 - 	62	-0.003179	-0.000102	-0.000451
 - 	63	-0.003169	-0.000102	-0.000448
 - 	64	-0.003186	-0.000097	-0.000450
 - 	65	-0.003183	-0.000100	-0.000448
 - 	66	-0.003190	-0.000109	-0.000448
 - 	67	-0.003212	-0.000125	-0.000451
 - 	68	-0.003225	-0.000149	-0.000453
 - 	69	-0.003248	-0.000168	-0.000458
 - 	70	-0.003253	-0.000187	-0.000460
 - 	71	-0.003252	-0.000198	-0.000462
 - 	72	-0.003249	-0.000198	-0.000463
 - 	73	-0.003230	-0.000192	-0.000460
 - 	74	-0.003208	-0.000177	-0.000458
 - 	75	-0.003193	-0.000156	-0.000455
 - 	76	-0.003175	-0.000136	-0.000450
 - 	77	-0.003160	-0.000119	-0.000447
 - 	78	-0.003165	-0.000105	-0.000446
 - 	79	-0.003169	-0.000104	-0.000446
 - 	80	-0.003183	-0.000112	-0.000447
 - 	81	-0.003206	-0.000124	-0.000450
 - 	82	-0.003216	-0.000133	-0.000452
 - 	83	-0.003239	-0.000121	-0.000452
 - 	84	-0.003246	-0.000123	-0.000456
 - 	85	-0.003206	-0.000155	-0.000456
 - 	86	-0.003218	-0.000135	-0.000456
 - 	87	-0.003213	-0.000123	-0.000454
 - 	88	-0.003209	-0.000134	-0.000452
 - 	89	-0.003251	-0.000132	-0.000457
 - 	90	-0.003198	-0.000175	-0.000458
 - 	91	-0.003236	-0.000186	-0.000460
 - 	92	-0.003237	-0.000203	-0.000463
 - 	93	-0.003214	-0.000220	-0.000467
 - 	94	-0.003237	-0.000207	-0.000463
 - 	95	-0.003229	-0.000202	-0.000461
 - 	96	-0.003236	-0.000171	-0.000456
 - 	97	-0.003204	-0.000171	-0.000454
 - 	98	-0.003183	-0.000170	-0.000453
 - 	99	-0.003187	-0.000147	-0.000448
 - 	100	-0.003183	-0.000142	-0.000447
 - 	101	-0.003174	-0.000144	-0.000445
 - 	102	-0.003171	-0.000148	-0.000445
 - 	103	-0.003168	-0.000156	-0.000446
 - 	104	-0.003165	-0.000167	-0.000448
 - 	105	-0.003170	-0.000174	-0.000450
 - 	106	-0.003170	-0.000181	-0.000453
 - 	107	-0.003177	-0.000180	-0.000456
 - 	108	-0.003172	-0.000180	-0.000456
 - 	109	-0.003183	-0.000174	-0.000458
 - 	110	-0.003184	-0.000170	-0.000459
 - 	111	-0.003193	-0.000170	-0.000459
 - 	112	-0.003214	-0.000163	-0.000460
 - 	113	-0.003216	-0.000162	-0.000460
 - 	114	-0.003240	-0.000152	-0.000461
 - 	115	-0.003233	-0.000146	-0.000458
 - 	116	-0.003237	-0.000141	-0.000457
 - 	117	-0.003233	-0.000149	-0.000456
 - 	118	-0.003237	-0.000155	-0.000456
 - 	119	-0.003204	-0.000151	-0.000453
 - 	120	-0.003202	-0.000143	-0.000452
 - 	121	-0.003175	-0.000128	-0.000446
 - 	122	-0.003163	-0.000107	-0.000446
 - 	123	-0.003152	-0.000107	-0.000447
 - 	124	-0.003154	-0.000109	-0.000446
 - 	125	-0.003168	-0.000124	-0.000449
 - 	126	-0.003184	-0.000144	-0.000453
 - 	127	-0.003208	-0.000165	-0.000457
 - 	128	-0.003245	-0.000181	-0.000463
 - 	129	-0.003262	-0.000199	-0.000465
 - 	130	-0.003278	-0.000209	-0.000467
 - 	131	-0.003272	-0.000212	-0.000465
 - 	132	-0.003257	-0.000202	-0.000467
 - 	133	-0.003226	-0.000189	-0.000463
 - 	134	-0.003197	-0.000171	-0.000457
 - 	135	-0.003172	-0.000155	-0.000453
 - 	136	-0.003149	-0.000139	-0.000446
 - 	137	-0.003172	-0.000144	-0.000451
 - 	138	-0.003214	-0.000148	-0.000457
 - 	139	-0.003196	-0.000139	-0.000452
 - 	140	-0.003214	-0.000133	-0.000454
 - 	141	-0.003203	-0.000128	-0.000452
 - 	142	-0.003206	-0.000122	-0.000452
 - 	143	-0.003199	-0.000125	-0.000451
 - 	144	-0.003195	-0.000131	-0.000451
 - 	145	-0.003164	-0.000134	-0.000445
 - 	146	-0.003181	-0.000134	-0.000451
 - 	147	-0.003183	-0.000134	-0.000454
 - 	148	-0.003160	-0.000134	-0.000450
 - 	149	-0.003177	-0.000131	-0.000452
 - 	150	-0.003198	-0.000134	-0.000454
 - 	151	-0.003225	-0.000135	-0.000457
 - 	152	-0.003256	-0.000137	-0.000460
 - 	153	-0.003278	-0.000147	-0.000462
 - 	154	-0.003306	-0.000166	-0.000467
 - 	155	-0.003298	-0.000191	-0.000468
 - 	156	-0.003287	-0.000208	-0.000468
 - 	157	-0.003265	-0.000215	-0.000466
 - 	158	-0.003253	-0.000211	-0.000466
 - 	159	-0.003212	-0.000204	-0.000462
 - 	160	-0.003204	-0.000194	-0.000459
 - 	161	-0.003180	-0.000183	-0.000456
 - 	162	-0.003190	-0.000169	-0.000455
 - 	163	-0.003187	-0.000160	-0.000454
 - 	164	-0.003205	-0.000143	-0.000454
 - 	165	-0.003218	-0.000126	-0.000454
 - 	166	-0.003223	-0.000116	-0.000455
 - 	167	-0.003223	-0.000108	-0.000456
 - 	168	-0.003211	-0.000104	-0.000454
 - 	169	-0.003209	-0.000095	-0.000454
 - 	170	-0.003181	-0.000090	-0.000452
 - 	171	-0.003164	-0.000087	-0.000451
 - 	172	-0.003159	-0.000096	-0.000452
 - 	173	-0.003149	-0.000117	-0.000453
 - 	174	-0.003174	-0.000144	-0.000457
 - 	175	-0.003186	-0.000175	-0.000459
 - 	176	-0.003223	-0.000187	-0.000462
 - 	177	-0.003225	-0.000192	-0.000460
 - 	178	-0.003237	-0.000187	-0.000460
 - 	179	-0.003253	-0.000191	-0.000461
 - 	180	-0.003271	-0.000201	-0.000462
 - 	181	-0.003274	-0.000206	-0.000463
 - 	182	-0.003268	-0.000192	-0.000462
 - 	183	-0.003242	-0.000168	-0.000459
 - 	184	-0.003213	-0.000136	-0.000455
 - 	185	-0.003189	-0.000107	-0.000452
 - 	186	-0.003175	-0.000087	-0.000451
 - 	187	-0.003168	-0.000086	-0.000451
 - 	188	-0.003212	-0.000058	-0.000447
 - 	189	-0.003193	-0.000099	-0.000454
 - 	190	-0.003175	-0.000137	-0.000462
 - 	191	-0.003214	-0.000107	-0.000456
 - 	192	-0.003222	-0.000126	-0.000458
 - 	193	-0.003248	-0.000154	-0.000462
 - 	194	-0.003257	-0.000190	-0.000464
 - 	195	-0.003270	-0.000214	-0.000466
 - 	196	-0.003258	-0.000225	-0.000465
 - 	197	-0.003235	-0.000223	-0.000463
 - 	198	-0.003216	-0.000211	-0.000462
 - 	199	-0.003201	-0.000196	-0.000459
 - 	200	-0.003196	-0.000184	-0.000458
 - 	201	-0.003197	-0.000172	-0.000457
 - 	202	-0.003208	-0.000162	-0.000457
 - 	203	-0.003228	-0.000151	-0.000458
 - 	204	-0.003238	-0.000140	-0.000457
 - 	205	-0.003256	-0.000128	-0.000457
 - 	206	-0.003245	-0.000135	-0.000454
 - 	207	-0.003247	-0.000149	-0.000454
 - 	208	-0.003237	-0.000167	-0.000453
 - 	209	-0.003221	-0.000177	-0.000452
 - 	210	-0.003202	-0.000178	-0.000450
 - 	211	-0.003192	-0.000177	-0.000450
 - 	212	-0.003187	-0.000177	-0.000452
 - 	213	-0.003195	-0.000185	-0.000454
 - 	214	-0.003215	-0.000204	-0.000458
 - 	215	-0.003241	-0.000222	-0.000461
 - 	216	-0.003259	-0.000235	-0.000462
 - 	217	-0.003284	-0.000238	-0.000464
 - 	218	-0.003286	-0.000236	-0.000464
 - 	219	-0.003284	-0.000229	-0.000465
 - 	220	-0.003269	-0.000207	-0.000460
 - 	221	-0.003240	-0.000182	-0.000455
 - 	222	-0.003191	-0.000159	-0.000449
 - 	223	-0.003170	-0.000133	-0.000443
 - 	224	-0.003134	-0.000128	-0.000440
 - 	225	-0.003129	-0.000130	-0.000439
 - 	226	-0.003118	-0.000140	-0.000438
 - 	227	-0.003118	-0.000152	-0.000438
 - 	228	-0.003126	-0.000162	-0.000439
 - 	229	-0.003151	-0.000168	-0.000442
 - 	230	-0.003161	-0.000179	-0.000443
 - 	231	-0.003183	-0.000192	-0.000446
 - 	232	-0.003187	-0.000212	-0.000448
 - 	233	-0.003195	-0.000228	-0.000451
 - 	234	-0.003178	-0.000248	-0.000452
 - 	235	-0.003154	-0.000267	-0.000452
 - 	236	-0.003135	-0.000283	-0.000453
 - 	237	-0.003108	-0.000293	-0.000453
 - 	238	-0.003081	-0.000292	-0.000450
 - 	239	-0.003077	-0.000280	-0.000449
 - 	240	-0.003059	-0.000265	-0.000444
