LKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_6.filtered_40.c3d	1			
 - 	2			
 - 	3			
 - 	4			
 - 	5			
 - 	6			
 - 	7			
 - 	8			
 - 	9			
 - 	10			
 - 	11			
 - 	12	-0.002778	-0.001533	0.000346
 - 	13	-0.002775	-0.001542	0.000348
 - 	14	-0.002757	-0.001552	0.000353
 - 	15	-0.002752	-0.001561	0.000357
 - 	16	-0.002739	-0.001571	0.000362
 - 	17	-0.002742	-0.001583	0.000368
 - 	18	-0.002727	-0.001588	0.000371
 - 	19	-0.002734	-0.001596	0.000374
 - 	20	-0.002730	-0.001593	0.000373
 - 	21	-0.002732	-0.001588	0.000371
 - 	22	-0.002732	-0.001589	0.000370
 - 	23	-0.002734	-0.001576	0.000365
 - 	24	-0.002726	-0.001570	0.000362
 - 	25	-0.002730	-0.001561	0.000357
 - 	26	-0.002715	-0.001550	0.000354
 - 	27	-0.002723	-0.001549	0.000353
 - 	28	-0.002718	-0.001543	0.000352
 - 	29	-0.002720	-0.001531	0.000350
 - 	30	-0.002709	-0.001533	0.000353
 - 	31	-0.002732	-0.001504	0.000346
 - 	32	-0.002742	-0.001480	0.000340
 - 	33	-0.002743	-0.001500	0.000346
 - 	34	-0.002742	-0.001500	0.000346
 - 	35	-0.002733	-0.001500	0.000345
 - 	36	-0.002716	-0.001496	0.000344
 - 	37	-0.002701	-0.001487	0.000343
 - 	38	-0.002696	-0.001482	0.000341
 - 	39	-0.002689	-0.001476	0.000339
 - 	40	-0.002690	-0.001476	0.000338
 - 	41	-0.002691	-0.001476	0.000337
 - 	42	-0.002709	-0.001489	0.000339
 - 	43	-0.002720	-0.001495	0.000340
 - 	44	-0.002740	-0.001512	0.000344
 - 	45	-0.002760	-0.001522	0.000346
 - 	46	-0.002775	-0.001538	0.000351
 - 	47	-0.002789	-0.001552	0.000355
 - 	48	-0.002760	-0.001554	0.000358
 - 	49	-0.002792	-0.001574	0.000362
 - 	50	-0.002788	-0.001589	0.000369
 - 	51	-0.002767	-0.001576	0.000365
 - 	52	-0.002775	-0.001580	0.000363
 - 	53	-0.002719	-0.001566	0.000363
 - 	54	-0.002693	-0.001555	0.000361
 - 	55	-0.002676	-0.001542	0.000358
 - 	56	-0.002679	-0.001532	0.000354
 - 	57	-0.002683	-0.001525	0.000352
 - 	58	-0.002701	-0.001515	0.000348
 - 	59	-0.002724	-0.001510	0.000346
 - 	60	-0.002759	-0.001503	0.000342
 - 	61	-0.002780	-0.001499	0.000340
 - 	62	-0.002804	-0.001506	0.000341
 - 	63	-0.002809	-0.001512	0.000343
 - 	64	-0.002814	-0.001524	0.000346
 - 	65	-0.002802	-0.001536	0.000350
 - 	66	-0.002790	-0.001521	0.000338
 - 	67	-0.002757	-0.001547	0.000355
 - 	68	-0.002744	-0.001559	0.000360
 - 	69	-0.002709	-0.001550	0.000357
 - 	70	-0.002713	-0.001571	0.000370
