LKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_12.filtered_40.c3d	1			
 - 	2			
 - 	3			
 - 	4			
 - 	5	-0.001718	-0.001046	-0.000109
 - 	6	-0.001693	-0.001055	-0.000108
 - 	7	-0.001678	-0.001064	-0.000107
 - 	8	-0.001680	-0.001066	-0.000107
 - 	9	-0.001689	-0.001053	-0.000108
 - 	10	-0.001711	-0.001037	-0.000111
 - 	11	-0.001717	-0.001019	-0.000113
 - 	12	-0.001746	-0.001001	-0.000116
 - 	13	-0.001758	-0.000981	-0.000119
 - 	14	-0.001772	-0.000960	-0.000123
 - 	15	-0.001790	-0.000941	-0.000126
 - 	16	-0.001807	-0.000929	-0.000128
 - 	17	-0.001816	-0.000924	-0.000130
 - 	18	-0.001820	-0.000920	-0.000129
 - 	19	-0.001805	-0.000914	-0.000127
 - 	20	-0.001802	-0.000912	-0.000124
 - 	21	-0.001785	-0.000909	-0.000120
 - 	22	-0.001766	-0.000914	-0.000116
 - 	23	-0.001760	-0.000925	-0.000113
 - 	24	-0.001759	-0.000940	-0.000111
 - 	25	-0.001781	-0.000960	-0.000112
 - 	26	-0.001781	-0.000992	-0.000111
 - 	27	-0.001825	-0.001021	-0.000113
 - 	28	-0.001847	-0.001052	-0.000114
 - 	29	-0.001870	-0.001065	-0.000115
 - 	30	-0.001889	-0.001072	-0.000116
 - 	31	-0.001904	-0.001063	-0.000117
 - 	32	-0.001901	-0.001048	-0.000117
 - 	33	-0.001903	-0.001035	-0.000117
 - 	34	-0.001893	-0.001011	-0.000116
 - 	35	-0.001883	-0.000996	-0.000116
 - 	36	-0.001875	-0.000979	-0.000117
 - 	37	-0.001855	-0.000972	-0.000117
 - 	38	-0.001837	-0.000961	-0.000119
 - 	39	-0.001809	-0.000955	-0.000119
 - 	40	-0.001785	-0.000955	-0.000119
 - 	41	-0.001778	-0.000961	-0.000121
 - 	42	-0.001784	-0.000970	-0.000121
 - 	43	-0.001799	-0.000986	-0.000121
 - 	44	-0.001823	-0.001001	-0.000120
 - 	45	-0.001848	-0.001016	-0.000119
 - 	46	-0.001877	-0.001032	-0.000117
 - 	47	-0.001926	-0.001034	-0.000117
 - 	48	-0.001950	-0.001040	-0.000116
 - 	49	-0.001987	-0.001041	-0.000117
 - 	50	-0.001998	-0.001046	-0.000116
 - 	51	-0.001997	-0.001047	-0.000116
 - 	52	-0.001983	-0.001039	-0.000116
 - 	53	-0.001945	-0.001026	-0.000116
 - 	54	-0.001892	-0.001005	-0.000115
 - 	55	-0.001828	-0.000980	-0.000116
 - 	56	-0.001750	-0.000946	-0.000116
 - 	57	-0.001687	-0.000914	-0.000117
 - 	58	-0.001637	-0.000888	-0.000117
 - 	59	-0.001630	-0.000879	-0.000117
 - 	60	-0.001637	-0.000880	-0.000116
 - 	61	-0.001656	-0.000889	-0.000115
 - 	62	-0.001679	-0.000908	-0.000112
 - 	63	-0.001721	-0.000918	-0.000111
 - 	64	-0.001765	-0.000939	-0.000109
 - 	65	-0.001782	-0.000958	-0.000106
 - 	66	-0.001798	-0.000980	-0.000105
 - 	67	-0.001808	-0.001010	-0.000103
 - 	68	-0.001832	-0.001039	-0.000103
 - 	69	-0.001858	-0.001071	-0.000104
 - 	70	-0.001876	-0.001105	-0.000104
 - 	71	-0.001894	-0.001127	-0.000105
 - 	72	-0.001875	-0.001139	-0.000104
 - 	73	-0.001868	-0.001132	-0.000106
 - 	74	-0.001822	-0.001116	-0.000106
 - 	75	-0.001810	-0.001083	-0.000109
 - 	76	-0.001787	-0.001035	-0.000113
 - 	77	-0.001793	-0.000988	-0.000121
 - 	78	-0.001790	-0.000944	-0.000127
 - 	79	-0.001805	-0.000911	-0.000134
 - 	80	-0.001817	-0.000897	-0.000139
 - 	81	-0.001850	-0.000898	-0.000142
 - 	82	-0.001878	-0.000917	-0.000143
 - 	83	-0.001883	-0.000948	-0.000140
 - 	84	-0.001889	-0.000978	-0.000136
 - 	85	-0.001878	-0.000993	-0.000132
 - 	86	-0.001867	-0.000990	-0.000130
 - 	87	-0.001868	-0.000979	-0.000130
 - 	88	-0.001852	-0.000967	-0.000129
 - 	89	-0.001843	-0.000954	-0.000129
 - 	90	-0.001811	-0.000939	-0.000127
 - 	91	-0.001798	-0.000920	-0.000127
 - 	92	-0.001760	-0.000898	-0.000123
 - 	93	-0.001723	-0.000879	-0.000120
 - 	94	-0.001677	-0.000866	-0.000116
 - 	95	-0.001638	-0.000874	-0.000111
 - 	96	-0.001632	-0.000907	-0.000108
 - 	97	-0.001622	-0.000959	-0.000104
 - 	98	-0.001635	-0.001013	-0.000101
 - 	99	-0.001630	-0.001070	-0.000098
 - 	100	-0.001652	-0.001109	-0.000098
 - 	101	-0.001676	-0.001128	-0.000100
 - 	102	-0.001719	-0.001126	-0.000105
 - 	103	-0.001760	-0.001116	-0.000111
 - 	104	-0.001796	-0.001095	-0.000116
 - 	105	-0.001818	-0.001079	-0.000119
 - 	106	-0.001821	-0.001060	-0.000121
 - 	107	-0.001828	-0.001043	-0.000124
 - 	108	-0.001806	-0.001038	-0.000124
 - 	109	-0.001791	-0.001035	-0.000124
 - 	110	-0.001761	-0.001033	-0.000122
 - 	111	-0.001735	-0.001029	-0.000121
 - 	112	-0.001734	-0.001022	-0.000122
 - 	113	-0.001722	-0.001020	-0.000123
 - 	114	-0.001719	-0.001019	-0.000124
 - 	115	-0.001716	-0.001026	-0.000125
 - 	116	-0.001713	-0.001043	-0.000125
 - 	117	-0.001701	-0.001065	-0.000123
 - 	118	-0.001724	-0.001086	-0.000123
 - 	119	-0.001741	-0.001103	-0.000122
 - 	120	-0.001753	-0.001110	-0.000122
 - 	121	-0.001771	-0.001113	-0.000123
 - 	122	-0.001784	-0.001116	-0.000124
 - 	123	-0.001788	-0.001112	-0.000125
 - 	124	-0.001794	-0.001104	-0.000127
 - 	125	-0.001802	-0.001081	-0.000129
 - 	126	-0.001820	-0.001047	-0.000133
 - 	127	-0.001834	-0.000999	-0.000138
 - 	128	-0.001849	-0.000951	-0.000143
 - 	129	-0.001827	-0.000922	-0.000144
 - 	130	-0.001804	-0.000914	-0.000144
 - 	131	-0.001757	-0.000926	-0.000140
 - 	132	-0.001731	-0.000947	-0.000138
 - 	133	-0.001715	-0.000973	-0.000135
 - 	134	-0.001714	-0.001015	-0.000133
 - 	135	-0.001720	-0.001051	-0.000133
 - 	136	-0.001740	-0.001085	-0.000135
 - 	137	-0.001750	-0.001114	-0.000136
 - 	138	-0.001769	-0.001130	-0.000140
 - 	139	-0.001759	-0.001137	-0.000140
 - 	140	-0.001742	-0.001134	-0.000140
 - 	141	-0.001678	-0.001125	-0.000134
 - 	142	-0.001640	-0.001103	-0.000130
 - 	143	-0.001624	-0.001068	-0.000127
 - 	144	-0.001633	-0.001036	-0.000126
 - 	145	-0.001633	-0.001017	-0.000124
 - 	146	-0.001625	-0.001020	-0.000120
 - 	147	-0.001624	-0.001039	-0.000117
 - 	148	-0.001604	-0.001072	-0.000112
 - 	149	-0.001598	-0.001112	-0.000108
 - 	150	-0.001588	-0.001148	-0.000103
 - 	151	-0.001586	-0.001170	-0.000101
 - 	152	-0.001609	-0.001167	-0.000103
 - 	153	-0.001624	-0.001148	-0.000107
 - 	154	-0.001660	-0.001105	-0.000114
 - 	155	-0.001703	-0.001056	-0.000124
 - 	156	-0.001745	-0.001000	-0.000134
 - 	157	-0.001782	-0.000955	-0.000144
 - 	158	-0.001782	-0.000931	-0.000147
 - 	159	-0.001785	-0.000912	-0.000149
 - 	160	-0.001771	-0.000906	-0.000147
 - 	161	-0.001771	-0.000894	-0.000147
 - 	162	-0.001782	-0.000887	-0.000149
 - 	163	-0.001805	-0.000877	-0.000154
 - 	164	-0.001845	-0.000865	-0.000160
 - 	165	-0.001924	-0.000852	-0.000171
 - 	166	-0.001987	-0.000831	-0.000178
 - 	167	-0.002054	-0.000816	-0.000184
 - 	168	-0.002091	-0.000802	-0.000185
 - 	169	-0.002111	-0.000794	-0.000184
 - 	170	-0.002113	-0.000789	-0.000180
 - 	171	-0.002060	-0.000792	-0.000170
 - 	172	-0.001977	-0.000810	-0.000158
 - 	173	-0.001894	-0.000846	-0.000147
 - 	174	-0.001838	-0.000892	-0.000140
 - 	175	-0.001821	-0.000940	-0.000138
 - 	176	-0.001848	-0.000974	-0.000141
 - 	177	-0.001881	-0.000998	-0.000144
 - 	178	-0.001898	-0.001007	-0.000148
 - 	179	-0.001826	-0.001012	-0.000143
 - 	180	-0.001699	-0.001022	-0.000135
 - 	181	-0.001528	-0.001047	-0.000124
 - 	182	-0.001352	-0.001078	-0.000114
 - 	183	-0.001200	-0.001108	-0.000106
 - 	184	-0.001125	-0.001132	-0.000101
 - 	185	-0.001120	-0.001151	-0.000099
 - 	186	-0.001166	-0.001177	-0.000102
 - 	187	-0.001244	-0.001208	-0.000111
 - 	188	-0.001318	-0.001245	-0.000122
 - 	189			
 - 	190			
 - 	191			
 - 	192			
 - 	193			
 - 	194			
 - 	195			
 - 	196			
 - 	197			
 - 	198			
 - 	199			
 - 	200			
 - 	201			
 - 	202			
 - 	203			
 - 	204			
 - 	205			
 - 	206			
 - 	207			
 - 	208			
 - 	209			
 - 	210			
 - 	211			
 - 	212			
 - 	213			
 - 	214			
 - 	215			
 - 	216			
 - 	217	-0.001533	-0.001048	-0.000113
 - 	218	-0.002015	-0.000907	-0.000177
 - 	219	-0.002483	-0.000756	-0.000242
 - 	220	-0.002925	-0.000603	-0.000305
 - 	221	-0.003256	-0.000451	-0.000356
 - 	222	-0.003477	-0.000331	-0.000393
 - 	223	-0.003469	-0.000281	-0.000399
 - 	224			
 - 	225			
 - 	226			
 - 	227			
 - 	228			
 - 	229			
 - 	230			
 - 	231			
 - 	232			
 - 	233	0.000035	-0.001077	0.000217
 - 	234	-0.000282	-0.000851	0.000163
 - 	235	-0.000562	-0.000590	0.000100
 - 	236	-0.000784	-0.000302	0.000031
 - 	237	-0.001005	-0.000003	-0.000042
 - 	238	-0.001235	0.000272	-0.000114
 - 	239	-0.001459	0.000504	-0.000180
 - 	240	-0.001691	0.000694	-0.000242
 - 	241	-0.001877	0.000847	-0.000298
 - 	242	-0.002032	0.000959	-0.000348
 - 	243	-0.002109	0.001025	-0.000387
 - 	244	-0.002126	0.001039	-0.000414
 - 	245	-0.002076	0.000990	-0.000420
 - 	246	-0.001972	0.000884	-0.000405
 - 	247	-0.001855	0.000734	-0.000370
 - 	248	-0.001727	0.000548	-0.000316
 - 	249	-0.001622	0.000348	-0.000247
 - 	250	-0.001519	0.000144	-0.000167
 - 	251	-0.001467	-0.000037	-0.000085
 - 	252	-0.001452	-0.000182	-0.000008
 - 	253	-0.001471	-0.000267	0.000052
 - 	254	-0.001553	-0.000299	0.000091
 - 	255	-0.001690	-0.000295	0.000109
 - 	256	-0.001872	-0.000285	0.000118
 - 	257	-0.002050	-0.000285	0.000127
 - 	258	-0.002226	-0.000304	0.000140
 - 	259	-0.002368	-0.000343	0.000161
 - 	260	-0.002486	-0.000402	0.000196
 - 	261	-0.002647	-0.000469	0.000238
 - 	262	-0.002819	-0.000533	0.000285
 - 	263	-0.003014	-0.000593	0.000336
 - 	264	-0.003192	-0.000649	0.000392
 - 	265	-0.003369	-0.000714	0.000460
 - 	266	-0.003509	-0.000794	0.000551
 - 	267	-0.003606	-0.000869	0.000644
 - 	268	-0.003635	-0.000940	0.000741
 - 	269	-0.003584	-0.001003	0.000843
 - 	270	-0.003490	-0.001056	0.000949
 - 	271	-0.003324	-0.001093	0.001046
 - 	272	-0.003087	-0.001101	0.001121
 - 	273	-0.002788	-0.001079	0.001170
 - 	274	-0.002468	-0.001028	0.001188
 - 	275	-0.002109	-0.000958	0.001180
 - 	276	-0.001740	-0.000870	0.001141
 - 	277	-0.001336	-0.000784	0.001089
 - 	278	-0.000896	-0.000717	0.001046
 - 	279	-0.000472	-0.000665	0.001011
 - 	280	-0.000061	-0.000625	0.000979
 - 	281	0.000353	-0.000588	0.000934
 - 	282	0.000768	-0.000553	0.000882
 - 	283	0.001178	-0.000523	0.000831
 - 	284	0.001580	-0.000492	0.000775
 - 	285	0.001946	-0.000456	0.000710
 - 	286	0.002277	-0.000411	0.000629
 - 	287	0.002536	-0.000365	0.000554
 - 	288	0.002717	-0.000314	0.000483
 - 	289	0.002794	-0.000260	0.000422
 - 	290	0.002813	-0.000193	0.000351
 - 	291	0.002782	-0.000125	0.000282
 - 	292	0.002674	-0.000064	0.000225
 - 	293	0.002523	-0.000016	0.000186
 - 	294	0.002313	0.000019	0.000160
 - 	295	0.002090	0.000041	0.000140
 - 	296	0.001856	0.000057	0.000114
 - 	297	0.001603	0.000064	0.000089
 - 	298	0.001339	0.000069	0.000061
 - 	299	0.001062	0.000067	0.000040
 - 	300	0.000812	0.000064	0.000015
 - 	301	0.000585	0.000065	-0.000014
 - 	302	0.000357	0.000078	-0.000060
 - 	303	0.000124	0.000104	-0.000117
 - 	304	-0.000132	0.000145	-0.000185
 - 	305	-0.000361	0.000185	-0.000244
 - 	306	-0.000603	0.000223	-0.000293
 - 	307	-0.000843	0.000255	-0.000326
 - 	308	-0.001094	0.000291	-0.000362
 - 	309	-0.001343	0.000329	-0.000396
 - 	310	-0.001622	0.000371	-0.000433
 - 	311	-0.001904	0.000411	-0.000468
 - 	312	-0.002164	0.000439	-0.000492
 - 	313	-0.002400	0.000456	-0.000511
 - 	314	-0.002614	0.000467	-0.000530
 - 	315	-0.002778	0.000477	-0.000552
 - 	316	-0.002914	0.000497	-0.000591
 - 	317	-0.003017	0.000532	-0.000647
 - 	318	-0.003090	0.000577	-0.000709
 - 	319	-0.003126	0.000629	-0.000774
 - 	320	-0.003130	0.000683	-0.000836
