RKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_4.filtered_40.c3d	1			
 - 	2			
 - 	3	-0.001382	-0.000697	0.000127
 - 	4	-0.001375	-0.000690	0.000127
 - 	5	-0.001379	-0.000673	0.000126
 - 	6	-0.001376	-0.000650	0.000124
 - 	7	-0.001387	-0.000617	0.000122
 - 	8	-0.001374	-0.000586	0.000118
 - 	9	-0.001395	-0.000552	0.000116
 - 	10	-0.001367	-0.000528	0.000110
 - 	11	-0.001380	-0.000507	0.000110
 - 	12	-0.001386	-0.000501	0.000109
 - 	13	-0.001395	-0.000505	0.000111
 - 	14	-0.001423	-0.000523	0.000114
 - 	15	-0.001456	-0.000545	0.000119
 - 	16	-0.001498	-0.000575	0.000124
 - 	17	-0.001534	-0.000606	0.000131
 - 	18	-0.001577	-0.000633	0.000137
 - 	19	-0.001590	-0.000654	0.000141
 - 	20	-0.001594	-0.000668	0.000143
 - 	21	-0.001592	-0.000674	0.000143
 - 	22	-0.001581	-0.000677	0.000142
 - 	23	-0.001545	-0.000677	0.000138
 - 	24	-0.001545	-0.000660	0.000135
 - 	25	-0.001519	-0.000641	0.000130
 - 	26	-0.001517	-0.000617	0.000127
 - 	27	-0.001519	-0.000593	0.000124
 - 	28	-0.001513	-0.000571	0.000122
 - 	29	-0.001516	-0.000548	0.000121
 - 	30	-0.001511	-0.000536	0.000118
 - 	31	-0.001515	-0.000534	0.000118
 - 	32	-0.001505	-0.000542	0.000117
 - 	33	-0.001503	-0.000557	0.000117
 - 	34	-0.001507	-0.000574	0.000118
 - 	35	-0.001511	-0.000595	0.000119
 - 	36	-0.001535	-0.000612	0.000122
 - 	37	-0.001544	-0.000626	0.000124
 - 	38	-0.001574	-0.000634	0.000127
 - 	39	-0.001598	-0.000634	0.000130
 - 	40	-0.001630	-0.000626	0.000132
 - 	41	-0.001640	-0.000607	0.000131
 - 	42	-0.001646	-0.000585	0.000130
 - 	43	-0.001648	-0.000560	0.000128
 - 	44	-0.001637	-0.000541	0.000126
 - 	45	-0.001636	-0.000527	0.000127
 - 	46	-0.001614	-0.000526	0.000126
 - 	47	-0.001627	-0.000528	0.000130
 - 	48	-0.001617	-0.000540	0.000132
 - 	49	-0.001634	-0.000548	0.000136
 - 	50	-0.001630	-0.000561	0.000138
 - 	51	-0.001655	-0.000568	0.000141
 - 	52	-0.001635	-0.000586	0.000139
 - 	53	-0.001645	-0.000601	0.000138
 - 	54	-0.001627	-0.000621	0.000135
 - 	55	-0.001609	-0.000638	0.000131
 - 	56	-0.001595	-0.000645	0.000127
 - 	57	-0.001588	-0.000640	0.000125
 - 	58	-0.001596	-0.000626	0.000124
 - 	59	-0.001620	-0.000598	0.000126
 - 	60	-0.001630	-0.000576	0.000127
 - 	61	-0.001642	-0.000559	0.000127
 - 	62	-0.001627	-0.000560	0.000125
 - 	63	-0.001594	-0.000566	0.000120
 - 	64	-0.001565	-0.000569	0.000116
 - 	65	-0.001534	-0.000571	0.000112
 - 	66	-0.001514	-0.000575	0.000112
 - 	67	-0.001507	-0.000580	0.000113
 - 	68	-0.001501	-0.000583	0.000115
 - 	69	-0.001508	-0.000569	0.000117
 - 	70	-0.001516	-0.000553	0.000119
 - 	71	-0.001522	-0.000535	0.000119
 - 	72	-0.001530	-0.000519	0.000120
 - 	73	-0.001542	-0.000503	0.000121
 - 	74	-0.001553	-0.000504	0.000122
 - 	75	-0.001567	-0.000520	0.000124
 - 	76	-0.001564	-0.000556	0.000125
 - 	77	-0.001571	-0.000595	0.000128
 - 	78	-0.001578	-0.000630	0.000131
 - 	79	-0.001583	-0.000655	0.000134
 - 	80	-0.001590	-0.000664	0.000137
 - 	81	-0.001606	-0.000652	0.000138
 - 	82	-0.001595	-0.000635	0.000138
 - 	83	-0.001592	-0.000609	0.000135
 - 	84	-0.001576	-0.000585	0.000132
 - 	85	-0.001566	-0.000562	0.000129
 - 	86	-0.001548	-0.000544	0.000127
 - 	87	-0.001547	-0.000531	0.000126
 - 	88	-0.001542	-0.000529	0.000126
 - 	89	-0.001546	-0.000536	0.000127
 - 	90	-0.001536	-0.000548	0.000129
 - 	91	-0.001533	-0.000561	0.000130
 - 	92	-0.001532	-0.000576	0.000130
 - 	93	-0.001523	-0.000595	0.000130
 - 	94	-0.001506	-0.000615	0.000129
 - 	95	-0.001510	-0.000614	0.000128
 - 	96	-0.001500	-0.000613	0.000126
 - 	97	-0.001493	-0.000611	0.000124
 - 	98	-0.001502	-0.000604	0.000125
 - 	99	-0.001498	-0.000602	0.000126
 - 	100	-0.001512	-0.000598	0.000127
 - 	101	-0.001498	-0.000600	0.000128
 - 	102	-0.001511	-0.000599	0.000130
 - 	103	-0.001524	-0.000595	0.000133
 - 	104	-0.001528	-0.000597	0.000135
 - 	105	-0.001544	-0.000598	0.000137
 - 	106	-0.001538	-0.000605	0.000137
 - 	107	-0.001532	-0.000604	0.000135
 - 	108	-0.001525	-0.000593	0.000134
 - 	109	-0.001504	-0.000580	0.000132
 - 	110	-0.001510	-0.000561	0.000132
 - 	111	-0.001488	-0.000556	0.000130
 - 	112	-0.001489	-0.000554	0.000131
 - 	113	-0.001498	-0.000568	0.000134
 - 	114	-0.001505	-0.000584	0.000137
 - 	115	-0.001506	-0.000603	0.000139
 - 	116	-0.001529	-0.000620	0.000144
 - 	117	-0.001529	-0.000631	0.000145
 - 	118	-0.001530	-0.000635	0.000144
 - 	119	-0.001510	-0.000635	0.000141
 - 	120	-0.001484	-0.000631	0.000136
 - 	121	-0.001467	-0.000624	0.000133
 - 	122	-0.001443	-0.000615	0.000131
 - 	123	-0.001431	-0.000603	0.000132
 - 	124	-0.001431	-0.000588	0.000132
 - 	125	-0.001403	-0.000582	0.000130
 - 	126	-0.001396	-0.000578	0.000129
 - 	127	-0.001389	-0.000576	0.000130
 - 	128	-0.001394	-0.000575	0.000130
 - 	129	-0.001379	-0.000570	0.000129
 - 	130	-0.001388	-0.000558	0.000127
 - 	131	-0.001377	-0.000548	0.000123
 - 	132	-0.001380	-0.000544	0.000121
 - 	133	-0.001388	-0.000544	0.000120
 - 	134	-0.001397	-0.000553	0.000122
 - 	135	-0.001410	-0.000570	0.000125
 - 	136	-0.001406	-0.000592	0.000129
 - 	137	-0.001420	-0.000614	0.000133
 - 	138	-0.001421	-0.000636	0.000138
 - 	139	-0.001435	-0.000650	0.000143
 - 	140	-0.001438	-0.000656	0.000146
 - 	141	-0.001454	-0.000650	0.000149
 - 	142	-0.001459	-0.000634	0.000150
 - 	143	-0.001474	-0.000607	0.000151
 - 	144	-0.001469	-0.000571	0.000149
 - 	145	-0.001451	-0.000540	0.000145
 - 	146	-0.001425	-0.000511	0.000141
 - 	147	-0.001412	-0.000491	0.000137
 - 	148	-0.001379	-0.000480	0.000133
 - 	149	-0.001360	-0.000472	0.000128
 - 	150	-0.001345	-0.000474	0.000123
 - 	151	-0.001336	-0.000489	0.000121
 - 	152	-0.001335	-0.000510	0.000120
 - 	153	-0.001334	-0.000539	0.000119
 - 	154	-0.001335	-0.000571	0.000119
 - 	155	-0.001349	-0.000601	0.000121
 - 	156	-0.001355	-0.000629	0.000124
 - 	157	-0.001360	-0.000644	0.000125
 - 	158	-0.001364	-0.000641	0.000126
 - 	159	-0.001338	-0.000622	0.000121
 - 	160	-0.001340	-0.000587	0.000118
 - 	161	-0.001319	-0.000549	0.000114
 - 	162	-0.001310	-0.000510	0.000112
 - 	163	-0.001311	-0.000473	0.000112
 - 	164	-0.001334	-0.000436	0.000115
 - 	165	-0.001355	-0.000409	0.000118
 - 	166	-0.001386	-0.000392	0.000123
 - 	167	-0.001420	-0.000395	0.000129
 - 	168	-0.001462	-0.000427	0.000139
 - 	169	-0.001515	-0.000475	0.000150
 - 	170	-0.001560	-0.000526	0.000161
 - 	171	-0.001611	-0.000558	0.000168
 - 	172	-0.001654	-0.000578	0.000173
 - 	173	-0.001690	-0.000582	0.000174
 - 	174	-0.001729	-0.000572	0.000172
 - 	175	-0.001746	-0.000555	0.000166
 - 	176	-0.001770	-0.000527	0.000158
 - 	177	-0.001767	-0.000509	0.000149
 - 	178	-0.001784	-0.000498	0.000142
 - 	179	-0.001770	-0.000504	0.000136
 - 	180	-0.001750	-0.000515	0.000131
 - 	181	-0.001726	-0.000522	0.000129
 - 	182	-0.001701	-0.000525	0.000128
 - 	183	-0.001674	-0.000525	0.000128
 - 	184	-0.001658	-0.000524	0.000131
 - 	185	-0.001634	-0.000532	0.000134
 - 	186	-0.001646	-0.000533	0.000140
 - 	187	-0.001639	-0.000537	0.000144
 - 	188	-0.001645	-0.000542	0.000147
 - 	189	-0.001634	-0.000556	0.000147
 - 	190	-0.001620	-0.000577	0.000145
 - 	191	-0.001610	-0.000599	0.000142
 - 	192	-0.001595	-0.000621	0.000138
 - 	193	-0.001607	-0.000634	0.000137
 - 	194	-0.001612	-0.000641	0.000138
 - 	195	-0.001640	-0.000629	0.000141
 - 	196	-0.001648	-0.000619	0.000144
 - 	197	-0.001659	-0.000609	0.000146
 - 	198	-0.001632	-0.000610	0.000145
 - 	199	-0.001600	-0.000608	0.000141
 - 	200	-0.001558	-0.000595	0.000133
 - 	201	-0.001519	-0.000566	0.000125
 - 	202	-0.001489	-0.000510	0.000118
 - 	203	-0.001464	-0.000441	0.000113
 - 	204	-0.001441	-0.000371	0.000110
 - 	205	-0.001399	-0.000319	0.000107
 - 	206	-0.001353	-0.000282	0.000107
 - 	207	-0.001299	-0.000265	0.000106
 - 	208	-0.001251	-0.000271	0.000107
 - 	209	-0.001207	-0.000300	0.000109
 - 	210	-0.001175	-0.000361	0.000112
 - 	211	-0.001144	-0.000448	0.000116
 - 	212	-0.001112	-0.000559	0.000122
 - 	213	-0.001105	-0.000659	0.000128
 - 	214	-0.001078	-0.000742	0.000134
 - 	215	-0.001054	-0.000808	0.000137
 - 	216	-0.001019	-0.000858	0.000138
 - 	217	-0.000937	-0.000901	0.000135
 - 	218	-0.000831	-0.000927	0.000128
 - 	219	-0.000673	-0.000938	0.000115
 - 	220	-0.000499	-0.000936	0.000099
 - 	221	-0.000310	-0.000932	0.000083
 - 	222	-0.000140	-0.000928	0.000070
 - 	223	0.000038	-0.000930	0.000058
 - 	224	0.000197	-0.000933	0.000047
 - 	225	0.000367	-0.000944	0.000035
 - 	226	0.000496	-0.000956	0.000027
 - 	227	0.000620	-0.000979	0.000017
 - 	228	0.000703	-0.001010	0.000009
 - 	229	0.000768	-0.001048	-0.000003
 - 	230	0.000795	-0.001083	-0.000017
 - 	231	0.000806	-0.001111	-0.000036
 - 	232	0.000776	-0.001119	-0.000055
 - 	233	0.000733	-0.001110	-0.000076
 - 	234	0.000657	-0.001070	-0.000099
 - 	235	0.000614	-0.001014	-0.000127
 - 	236	0.000540	-0.000940	-0.000154
 - 	237	0.000486	-0.000871	-0.000178
 - 	238	0.000371	-0.000792	-0.000192
 - 	239	0.000247	-0.000706	-0.000199
 - 	240	0.000078	-0.000592	-0.000196
 - 	241	-0.000098	-0.000449	-0.000188
 - 	242	-0.000326	-0.000255	-0.000168
 - 	243	-0.000543	-0.000029	-0.000137
 - 	244	-0.000803	0.000234	-0.000088
 - 	245	-0.001019	0.000510	-0.000026
 - 	246	-0.001209	0.000811	0.000053
 - 	247	-0.001356	0.001122	0.000148
 - 	248	-0.001516	0.001427	0.000259
 - 	249	-0.001649	0.001674	0.000374
 - 	250	-0.001793	0.001848	0.000486
 - 	251	-0.001905	0.001927	0.000583
 - 	252	-0.001983	0.001928	0.000660
 - 	253	-0.002027	0.001865	0.000714
 - 	254	-0.002015	0.001756	0.000743
 - 	255	-0.001963	0.001608	0.000748
 - 	256	-0.001906	0.001418	0.000725
 - 	257	-0.001842	0.001170	0.000667
 - 	258	-0.001806	0.000867	0.000572
 - 	259	-0.001777	0.000498	0.000431
 - 	260	-0.001775	0.000081	0.000249
 - 	261	-0.001805	-0.000367	0.000032
 - 	262	-0.001903	-0.000806	-0.000201
 - 	263	-0.002030	-0.001209	-0.000438
 - 	264	-0.002181	-0.001547	-0.000658
 - 	265	-0.002332	-0.001792	-0.000843
 - 	266	-0.002439	-0.001935	-0.000982
 - 	267	-0.002496	-0.001971	-0.001060
 - 	268	-0.002473	-0.001910	-0.001074
 - 	269	-0.002324	-0.001781	-0.001035
 - 	270	-0.002072	-0.001600	-0.000942
 - 	271	-0.001729	-0.001398	-0.000817
 - 	272	-0.001287	-0.001204	-0.000687
 - 	273	-0.000789	-0.001032	-0.000570
 - 	274	-0.000272	-0.000887	-0.000476
 - 	275	0.000246	-0.000777	-0.000421
 - 	276	0.000728	-0.000696	-0.000405
 - 	277	0.001164	-0.000637	-0.000422
 - 	278	0.001527	-0.000579	-0.000452
 - 	279	0.001819	-0.000521	-0.000492
 - 	280	0.002041	-0.000454	-0.000530
 - 	281	0.002191	-0.000372	-0.000552
 - 	282	0.002295	-0.000273	-0.000550
 - 	283	0.002351	-0.000167	-0.000530
 - 	284	0.002372	-0.000066	-0.000503
 - 	285	0.002347	0.000024	-0.000472
 - 	286	0.002304	0.000098	-0.000444
 - 	287	0.002207	0.000158	-0.000411
 - 	288	0.002093	0.000198	-0.000382
 - 	289	0.001954	0.000218	-0.000359
 - 	290	0.001781	0.000220	-0.000340
 - 	291	0.001602	0.000208	-0.000321
 - 	292	0.001399	0.000186	-0.000301
 - 	293	0.001195	0.000156	-0.000277
 - 	294	0.000967	0.000123	-0.000247
 - 	295	0.000743	0.000087	-0.000216
 - 	296	0.000499	0.000053	-0.000175
 - 	297	0.000266	0.000023	-0.000127
 - 	298	0.000051	-0.000005	-0.000079
 - 	299	-0.000168	-0.000038	-0.000037
 - 	300	-0.000368	-0.000077	-0.000010
 - 	301	-0.000547	-0.000124	0.000001
 - 	302	-0.000712	-0.000175	-0.000003
 - 	303	-0.000884	-0.000230	-0.000020
 - 	304	-0.001048	-0.000285	-0.000044
 - 	305	-0.001203	-0.000337	-0.000072
 - 	306	-0.001372	-0.000392	-0.000108
 - 	307	-0.001516	-0.000449	-0.000157
 - 	308	-0.001655	-0.000504	-0.000206
 - 	309	-0.001776	-0.000550	-0.000250
 - 	310	-0.001898	-0.000584	-0.000283
 - 	311	-0.002021	-0.000607	-0.000307
 - 	312	-0.002141	-0.000623	-0.000328
 - 	313	-0.002261	-0.000647	-0.000358
 - 	314	-0.002380	-0.000685	-0.000398
 - 	315	-0.002510	-0.000739	-0.000448
 - 	316	-0.002619	-0.000814	-0.000510
 - 	317	-0.002744	-0.000910	-0.000580
 - 	318	-0.002855	-0.001019	-0.000652
 - 	319	-0.002993	-0.001135	-0.000716
 - 	320	-0.003138	-0.001249	-0.000771
 - 	321	-0.003291	-0.001363	-0.000816
 - 	322	-0.003452	-0.001472	-0.000853
 - 	323	-0.003616	-0.001567	-0.000873
 - 	324	-0.003797	-0.001636	-0.000872
 - 	325	-0.003992	-0.001676	-0.000848
 - 	326	-0.004223	-0.001683	-0.000800
 - 	327	-0.004461	-0.001651	-0.000729
 - 	328	-0.004739	-0.001576	-0.000632
 - 	329	-0.005014	-0.001453	-0.000515
 - 	330	-0.005239	-0.001286	-0.000390
 - 	331	-0.005438	-0.001090	-0.000268
 - 	332	-0.005580	-0.000875	-0.000158
 - 	333	-0.005698	-0.000664	-0.000065
 - 	334	-0.005765	-0.000470	0.000007
 - 	335	-0.005825	-0.000326	0.000053
 - 	336	-0.005869	-0.000251	0.000069
 - 	337	-0.005956	-0.000263	0.000055
 - 	338	-0.006039	-0.000333	0.000024
 - 	339	-0.006199	-0.000452	-0.000016
 - 	340	-0.006410	-0.000600	-0.000059
 - 	341	-0.006660	-0.000762	-0.000102
 - 	342	-0.006939	-0.000924	-0.000144
 - 	343	-0.007243	-0.001071	-0.000181
 - 	344	-0.007521	-0.001175	-0.000212
 - 	345	-0.007801	-0.001240	-0.000234
 - 	346	-0.008051	-0.001265	-0.000246
 - 	347	-0.008290	-0.001270	-0.000245
 - 	348	-0.008463	-0.001258	-0.000233
 - 	349	-0.008561	-0.001247	-0.000212
 - 	350	-0.008535	-0.001245	-0.000185
 - 	351	-0.008362	-0.001268	-0.000155
 - 	352	-0.008014	-0.001319	-0.000122
 - 	353	-0.007488	-0.001399	-0.000089
 - 	354	-0.006757	-0.001482	-0.000057
 - 	355	-0.005839	-0.001549	-0.000027
 - 	356	-0.004701	-0.001569	-0.000002
 - 	357	-0.003397	-0.001509	0.000020
 - 	358	-0.001934	-0.001342	0.000034
 - 	359	-0.000398	-0.001078	0.000044
 - 	360	0.001146	-0.000734	0.000055
 - 	361	0.002534	-0.000350	0.000078
 - 	362	0.003616	0.000028	0.000117
 - 	363	-0.007767	0.000638	0.000720
 - 	364	-0.012956	-0.000726	0.000751
 - 	365	-0.016466	-0.002872	0.000481
 - 	366	-0.016412	-0.004564	0.000072
 - 	367	-0.013670	-0.005817	-0.000375
 - 	368	-0.011230	-0.006378	-0.000703
 - 	369	-0.010863	-0.004518	-0.000768
 - 	370	-0.009744	-0.001241	-0.000605
 - 	371	-0.005763	-0.000842	-0.000473
 - 	372	-0.000414	-0.002252	-0.000729
 - 	373	0.001261	-0.001255	-0.001196
 - 	374	-0.000737	0.002891	-0.001376
 - 	375	-0.001549	0.006552	-0.001156
 - 	376	-0.000444	0.007577	-0.000716
 - 	377	0.000184	0.007108	-0.000485
 - 	378	0.000323	0.007696	-0.000385
 - 	379	0.000529	0.009861	-0.000183
 - 	380	0.000361	0.012468	0.000114
 - 	381	0.000013	0.014655	0.000421
 - 	382	-0.000363	0.015869	0.000645
 - 	383	-0.000551	0.016669	0.000777
 - 	384	-0.000649	0.017569	0.000939
 - 	385	-0.000681	0.018166	0.001126
 - 	386	-0.000884	0.018344	0.001240
 - 	387	-0.001120	0.018613	0.001310
 - 	388	-0.001374	0.018967	0.001365
 - 	389	-0.001693	0.019322	0.001490
 - 	390	-0.002019	0.019476	0.001620
 - 	391	-0.002374	0.019260	0.001631
 - 	392	-0.002791	0.019102	0.001624
 - 	393	-0.002965	0.019014	0.001498
 - 	394	-0.002996	0.018890	0.001326
 - 	395	-0.002982	0.018743	0.001222
 - 	396	-0.002762	0.018701	0.001053
 - 	397	-0.002302	0.018930	0.000803
 - 	398	-0.001808	0.019041	0.000568
 - 	399	-0.001663	0.019261	0.000361
 - 	400	-0.001688	0.019944	0.000247
 - 	401	-0.001673	0.020851	0.000285
 - 	402	-0.001551	0.021870	0.000368
 - 	403	-0.001285	0.023393	0.000456
 - 	404	-0.000948	0.025030	0.000489
 - 	405	-0.000489	0.026465	0.000550
 - 	406	-0.000110	0.027702	0.000589
 - 	407	-0.000048	0.028861	0.000486
 - 	408	-0.000104	0.029787	0.000444
 - 	409	-0.000094	0.030751	0.000464
 - 	410	0.000031	0.031632	0.000305
 - 	411	-0.000032	0.032123	0.000186
 - 	412	-0.000076	0.032407	0.000090
 - 	413	-0.000158	0.032645	-0.000059
 - 	414	-0.000319	0.032954	-0.000215
 - 	415	-0.000572	0.033307	-0.000349
 - 	416	-0.000716	0.033330	-0.000457
 - 	417	-0.000824	0.033133	-0.000611
 - 	418	-0.001197	0.033104	-0.000868
 - 	419	-0.001761	0.033259	-0.001054
 - 	420	-0.002272	0.033372	-0.001098
 - 	421	-0.002563	0.033343	-0.001237
 - 	422	-0.003008	0.033174	-0.001459
 - 	423	-0.003436	0.032897	-0.001601
 - 	424	-0.003992	0.032684	-0.001695
 - 	425	-0.004346	0.032356	-0.001868
 - 	426	-0.004504	0.032103	-0.002035
 - 	427	-0.004868	0.032007	-0.002105
 - 	428	-0.005562	0.031917	-0.002125
 - 	429	-0.006080	0.031918	-0.002188
 - 	430	-0.006324	0.031806	-0.002298
 - 	431	-0.006595	0.031624	-0.002406
 - 	432	-0.006845	0.031525	-0.002558
 - 	433	-0.006996	0.031296	-0.002697
 - 	434	-0.006915	0.030779	-0.002768
 - 	435	-0.006655	0.030267	-0.002835
 - 	436	-0.006437	0.029992	-0.002972
 - 	437	-0.006255	0.029517	-0.003105
 - 	438	-0.005985	0.029036	-0.003112
 - 	439	-0.005908	0.028546	-0.003065
 - 	440	-0.005841	0.028557	-0.003092
 - 	441	-0.005532	0.028926	-0.003188
 - 	442	-0.005244	0.029042	-0.003250
 - 	443	-0.005139	0.029226	-0.003260
 - 	444	-0.005046	0.029371	-0.003281
 - 	445	-0.004887	0.029406	-0.003347
 - 	446	-0.004994	0.029480	-0.003367
 - 	447	-0.005126	0.029719	-0.003435
 - 	448	-0.005190	0.029978	-0.003581
 - 	449	-0.005325	0.030171	-0.003704
 - 	450	-0.005429	0.030251	-0.003837
 - 	451	-0.005486	0.030337	-0.004005
 - 	452	-0.005589	0.030407	-0.004124
 - 	453	-0.005733	0.030208	-0.004222
 - 	454	-0.005697	0.030117	-0.004387
 - 	455	-0.005539	0.030139	-0.004601
 - 	456	-0.005272	0.030140	-0.004768
 - 	457	-0.005015	0.030237	-0.004887
 - 	458	-0.004762	0.030122	-0.005004
 - 	459	-0.004481	0.030099	-0.005121
 - 	460	-0.004398	0.030581	-0.005292
 - 	461	-0.004550	0.031069	-0.005432
 - 	462	-0.004656	0.031413	-0.005570
 - 	463	-0.004679	0.031989	-0.005761
 - 	464	-0.004698	0.032631	-0.005973
 - 	465	-0.004791	0.033188	-0.006154
 - 	466	-0.004909	0.033628	-0.006289
 - 	467	-0.005115	0.033972	-0.006401
 - 	468	-0.005356	0.034265	-0.006565
 - 	469	-0.005296	0.034361	-0.006767
 - 	470	-0.005265	0.034487	-0.006904
 - 	471	-0.005247	0.034704	-0.007052
 - 	472	-0.005361	0.034814	-0.007276
 - 	473	-0.005559	0.034890	-0.007410
 - 	474	-0.005801	0.034918	-0.007643
 - 	475	-0.006002	0.034781	-0.007931
 - 	476	-0.006263	0.034636	-0.008167
 - 	477	-0.006525	0.034458	-0.008461
 - 	478	-0.006728	0.034076	-0.008695
 - 	479	-0.006980	0.033953	-0.008868
 - 	480	-0.007226	0.033991	-0.009073
 - 	481	-0.007454	0.033907	-0.009255
 - 	482	-0.007672	0.033820	-0.009399
 - 	483	-0.007778	0.033706	-0.009565
 - 	484	-0.007805	0.033439	-0.009685
 - 	485	-0.007849	0.033041	-0.009759
 - 	486	-0.007894	0.032776	-0.009818
 - 	487	-0.007652	0.032585	-0.009899
 - 	488	-0.007475	0.032601	-0.009921
 - 	489	-0.007421	0.032797	-0.009916
 - 	490	-0.007416	0.032696	-0.009842
 - 	491	-0.007253	0.032132	-0.009712
 - 	492	-0.006931	0.031279	-0.009670
 - 	493	-0.006602	0.030497	-0.009780
 - 	494	-0.006181	0.029904	-0.009844
 - 	495	-0.006172	0.029424	-0.009716
 - 	496	-0.006289	0.029051	-0.009606
 - 	497	-0.005837	0.028903	-0.009548
 - 	498	-0.005014	0.028859	-0.009469
 - 	499	-0.004235	0.028696	-0.009354
 - 	500	-0.003624	0.028465	-0.009156
 - 	501	-0.003104	0.028375	-0.008930
 - 	502	-0.002573	0.028261	-0.008737
 - 	503	-0.001964	0.027959	-0.008507
 - 	504	-0.001216	0.027461	-0.008186
 - 	505	-0.000128	0.026958	-0.007867
 - 	506	0.000774	0.026225	-0.007507
 - 	507	0.001782	0.025466	-0.007093
 - 	508	0.002873	0.024608	-0.006618
 - 	509	0.004019	0.023560	-0.006113
 - 	510	0.004961	0.022528	-0.005557
 - 	511	0.005605	0.021246	-0.004942
 - 	512	0.005933	0.019506	-0.004298
 - 	513	0.006245	0.017749	-0.003675
 - 	514	0.006586	0.016359	-0.003028
 - 	515	0.006560	0.014920	-0.002350
 - 	516	0.006160	0.013122	-0.001823
 - 	517	0.005809	0.011186	-0.001506
 - 	518	0.005505	0.009366	-0.001237
 - 	519	0.004999	0.007729	-0.000924
 - 	520	0.004003	0.006263	-0.000575
 - 	521	0.003018	0.004966	-0.000356
 - 	522	0.002286	0.003690	-0.000261
 - 	523	0.001402	0.002715	-0.000021
 - 	524	0.000916	0.002181	0.000241
 - 	525	0.000859	0.001748	0.000450
 - 	526	0.000603	0.001379	0.000638
 - 	527	-0.000504	0.001182	0.000859
 - 	528	-0.002507	0.001209	0.001147
 - 	529	0.000086	0.000096	-0.000019
 - 	530	0.000001	0.000158	0.000117
 - 	531	-0.000135	0.000182	0.000235
 - 	532	-0.000349	0.000163	0.000330
 - 	533	-0.000615	0.000104	0.000396
 - 	534	-0.000915	0.000012	0.000435
 - 	535	-0.001246	-0.000115	0.000441
 - 	536	-0.001569	-0.000274	0.000408
 - 	537	-0.001846	-0.000457	0.000342
 - 	538	-0.002034	-0.000660	0.000242
 - 	539	-0.002131	-0.000866	0.000122
 - 	540	-0.002122	-0.001056	-0.000004
 - 	541	-0.002007	-0.001205	-0.000113
 - 	542	-0.001805	-0.001291	-0.000185
 - 	543	-0.001547	-0.001302	-0.000206
 - 	544	-0.001267	-0.001232	-0.000166
 - 	545	-0.000995	-0.001084	-0.000060
 - 	546	-0.000752	-0.000866	0.000114
 - 	547	-0.000548	-0.000603	0.000333
 - 	548	-0.000409	-0.000320	0.000577
 - 	549	-0.000313	-0.000044	0.000814
 - 	550	-0.000262	0.000208	0.001024
 - 	551	-0.000269	0.000432	0.001208
