LKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_1.filtered_40.c3d	1			
 - 	2			
 - 	3	0.000901	0.000191	-0.000040
 - 	4	0.000901	0.000193	-0.000040
 - 	5	0.000899	0.000181	-0.000037
 - 	6	0.000891	0.000158	-0.000031
 - 	7	0.000876	0.000133	-0.000025
 - 	8	0.000869	0.000110	-0.000020
 - 	9	0.000855	0.000074	-0.000001
 - 	10	0.000863	0.000078	-0.000010
 - 	11	0.000865	0.000080	-0.000014
 - 	12	0.000863	0.000080	-0.000011
 - 	13	0.000863	0.000095	-0.000023
 - 	14	0.000855	0.000093	-0.000021
 - 	15	0.000850	0.000111	-0.000029
 - 	16	0.000872	0.000128	-0.000030
 - 	17	0.000853	0.000149	-0.000042
 - 	18	0.000849	0.000167	-0.000052
 - 	19	0.000859	0.000169	-0.000044
 - 	20	0.000861	0.000175	-0.000043
 - 	21	0.000868	0.000171	-0.000038
 - 	22	0.000867	0.000161	-0.000033
 - 	23	0.000864	0.000142	-0.000026
 - 	24	0.000853	0.000129	-0.000022
 - 	25	0.000845	0.000110	-0.000015
 - 	26	0.000845	0.000100	-0.000015
 - 	27	0.000826	0.000084	-0.000013
 - 	28	0.000815	0.000070	-0.000009
 - 	29	0.000820	0.000070	-0.000010
 - 	30	0.000834	0.000083	-0.000014
 - 	31	0.000832	0.000108	-0.000021
 - 	32	0.000846	0.000137	-0.000029
 - 	33	0.000853	0.000160	-0.000034
 - 	34	0.000856	0.000184	-0.000041
 - 	35	0.000876	0.000202	-0.000046
 - 	36	0.000875	0.000205	-0.000048
 - 	37	0.000873	0.000200	-0.000049
 - 	38	0.000872	0.000183	-0.000045
 - 	39	0.000859	0.000163	-0.000040
 - 	40	0.000861	0.000140	-0.000033
 - 	41	0.000855	0.000123	-0.000028
 - 	42	0.000855	0.000111	-0.000022
 - 	43	0.000855	0.000108	-0.000020
 - 	44	0.000857	0.000110	-0.000019
 - 	45	0.000855	0.000119	-0.000021
 - 	46	0.000863	0.000130	-0.000024
 - 	47	0.000864	0.000141	-0.000028
 - 	48	0.000857	0.000146	-0.000030
 - 	49	0.000856	0.000142	-0.000029
 - 	50	0.000852	0.000130	-0.000026
 - 	51	0.000844	0.000126	-0.000025
 - 	52	0.000840	0.000120	-0.000024
 - 	53	0.000833	0.000122	-0.000026
 - 	54	0.000831	0.000118	-0.000025
 - 	55	0.000809	0.000116	-0.000025
 - 	56	0.000806	0.000104	-0.000020
 - 	57	0.000802	0.000097	-0.000016
 - 	58	0.000799	0.000086	-0.000012
 - 	59	0.000801	0.000079	-0.000009
 - 	60	0.000814	0.000083	-0.000010
 - 	61	0.000825	0.000089	-0.000011
 - 	62	0.000833	0.000101	-0.000013
 - 	63	0.000857	0.000115	-0.000015
 - 	64	0.000854	0.000120	-0.000015
 - 	65	0.000848	0.000113	-0.000012
 - 	66	0.000844	0.000097	-0.000007
 - 	67	0.000820	0.000087	-0.000004
 - 	68	0.000820	0.000079	-0.000004
 - 	69	0.000813	0.000087	-0.000009
 - 	70	0.000836	0.000105	-0.000017
 - 	71	0.000834	0.000144	-0.000034
 - 	72	0.000878	0.000196	-0.000054
 - 	73	0.000901	0.000246	-0.000073
 - 	74	0.000919	0.000273	-0.000084
 - 	75	0.000929	0.000279	-0.000086
 - 	76	0.000925	0.000271	-0.000084
 - 	77	0.000945	0.000259	-0.000078
 - 	78	0.000929	0.000239	-0.000069
 - 	79	0.000930	0.000211	-0.000057
 - 	80	0.000927	0.000184	-0.000044
 - 	81	0.000910	0.000148	-0.000030
 - 	82	0.000913	0.000118	-0.000018
 - 	83	0.000881	0.000087	-0.000008
 - 	84	0.000868	0.000063	-0.000000
 - 	85	0.000835	0.000045	0.000005
 - 	86	0.000802	0.000030	0.000009
 - 	87	0.000763	0.000014	0.000012
 - 	88	0.000740	0.000007	0.000014
 - 	89	0.000735	0.000007	0.000015
 - 	90	0.000744	0.000019	0.000011
 - 	91	0.000763	0.000047	0.000002
 - 	92	0.000791	0.000085	-0.000011
 - 	93	0.000825	0.000132	-0.000030
 - 	94	0.000853	0.000178	-0.000048
 - 	95	0.000873	0.000206	-0.000058
 - 	96	0.000886	0.000221	-0.000065
 - 	97	0.000875	0.000235	-0.000066
 - 	98	0.000884	0.000227	-0.000068
 - 	99	0.000890	0.000205	-0.000065
 - 	100	0.000868	0.000196	-0.000058
 - 	101	0.000868	0.000167	-0.000047
 - 	102	0.000854	0.000142	-0.000037
 - 	103	0.000847	0.000121	-0.000028
 - 	104	0.000854	0.000116	-0.000023
 - 	105	0.000858	0.000118	-0.000020
 - 	106	0.000872	0.000131	-0.000021
 - 	107	0.000874	0.000147	-0.000022
 - 	108	0.000883	0.000156	-0.000023
 - 	109	0.000868	0.000164	-0.000025
 - 	110	0.000882	0.000162	-0.000024
 - 	111	0.000874	0.000154	-0.000024
 - 	112	0.000869	0.000143	-0.000023
 - 	113	0.000870	0.000135	-0.000024
 - 	114	0.000853	0.000128	-0.000024
 - 	115	0.000847	0.000118	-0.000021
 - 	116	0.000833	0.000102	-0.000017
 - 	117	0.000822	0.000084	-0.000011
 - 	118	0.000818	0.000067	-0.000006
 - 	119	0.000816	0.000055	-0.000002
 - 	120	0.000823	0.000052	-0.000001
 - 	121	0.000828	0.000066	-0.000005
