RKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_1.filtered_40.c3d	1			
 - 	2			
 - 	3	-0.002168	-0.001283	0.000038
 - 	4	-0.002157	-0.001267	0.000035
 - 	5	-0.002165	-0.001251	0.000036
 - 	6	-0.002187	-0.001230	0.000040
 - 	7	-0.002212	-0.001209	0.000047
 - 	8	-0.002236	-0.001196	0.000052
 - 	9	-0.002258	-0.001196	0.000054
 - 	10	-0.002269	-0.001208	0.000055
 - 	11	-0.002290	-0.001217	0.000056
 - 	12	-0.002308	-0.001228	0.000058
 - 	13	-0.002321	-0.001237	0.000060
 - 	14	-0.002337	-0.001249	0.000062
 - 	15	-0.002337	-0.001264	0.000062
 - 	16	-0.002340	-0.001282	0.000060
 - 	17	-0.002326	-0.001306	0.000057
 - 	18	-0.002316	-0.001312	0.000059
 - 	19	-0.002308	-0.001331	0.000052
 - 	20	-0.002306	-0.001337	0.000047
 - 	21	-0.002286	-0.001315	0.000051
 - 	22	-0.002273	-0.001296	0.000050
 - 	23	-0.002263	-0.001273	0.000050
 - 	24	-0.002248	-0.001260	0.000048
 - 	25	-0.002235	-0.001250	0.000047
 - 	26	-0.002223	-0.001245	0.000045
 - 	27	-0.002221	-0.001243	0.000042
 - 	28	-0.002204	-0.001245	0.000040
 - 	29	-0.002213	-0.001236	0.000042
 - 	30	-0.002214	-0.001231	0.000044
 - 	31	-0.002215	-0.001236	0.000046
 - 	32	-0.002228	-0.001248	0.000049
 - 	33	-0.002243	-0.001260	0.000051
 - 	34	-0.002245	-0.001273	0.000051
 - 	35	-0.002258	-0.001286	0.000049
 - 	36	-0.002275	-0.001297	0.000050
 - 	37	-0.002285	-0.001303	0.000050
 - 	38	-0.002297	-0.001297	0.000047
 - 	39	-0.002303	-0.001283	0.000046
 - 	40	-0.002289	-0.001269	0.000045
 - 	41	-0.002287	-0.001254	0.000046
 - 	42	-0.002265	-0.001243	0.000046
 - 	43	-0.002264	-0.001231	0.000047
 - 	44	-0.002266	-0.001224	0.000048
 - 	45	-0.002238	-0.001226	0.000047
 - 	46	-0.002234	-0.001227	0.000050
 - 	47	-0.002225	-0.001234	0.000049
 - 	48	-0.002226	-0.001245	0.000048
 - 	49	-0.002223	-0.001258	0.000050
 - 	50	-0.002241	-0.001268	0.000051
 - 	51	-0.002231	-0.001281	0.000050
 - 	52	-0.002229	-0.001289	0.000050
 - 	53	-0.002232	-0.001290	0.000049
 - 	54	-0.002229	-0.001287	0.000049
 - 	55	-0.002218	-0.001282	0.000045
 - 	56	-0.002223	-0.001283	0.000044
 - 	57	-0.002209	-0.001297	0.000043
 - 	58	-0.002218	-0.001311	0.000044
 - 	59	-0.002213	-0.001323	0.000045
 - 	60	-0.002224	-0.001326	0.000046
 - 	61	-0.002229	-0.001321	0.000046
 - 	62	-0.002227	-0.001301	0.000045
 - 	63	-0.002227	-0.001267	0.000043
 - 	64	-0.002224	-0.001223	0.000042
 - 	65	-0.002215	-0.001191	0.000039
 - 	66	-0.002241	-0.001170	0.000038
 - 	67	-0.002262	-0.001166	0.000038
 - 	68	-0.002306	-0.001168	0.000041
 - 	69	-0.002331	-0.001180	0.000045
 - 	70	-0.002351	-0.001201	0.000047
 - 	71	-0.002365	-0.001220	0.000049
 - 	72	-0.002362	-0.001240	0.000049
 - 	73	-0.002351	-0.001260	0.000048
 - 	74	-0.002337	-0.001282	0.000047
 - 	75	-0.002320	-0.001297	0.000045
 - 	76	-0.002297	-0.001305	0.000044
 - 	77	-0.002271	-0.001305	0.000043
 - 	78	-0.002257	-0.001297	0.000043
 - 	79	-0.002263	-0.001283	0.000043
 - 	80	-0.002257	-0.001268	0.000042
 - 	81	-0.002277	-0.001255	0.000043
 - 	82	-0.002283	-0.001246	0.000045
 - 	83	-0.002301	-0.001227	0.000051
 - 	84	-0.002328	-0.001203	0.000059
 - 	85	-0.002348	-0.001182	0.000066
 - 	86	-0.002357	-0.001172	0.000071
 - 	87	-0.002353	-0.001174	0.000071
 - 	88	-0.002336	-0.001183	0.000068
 - 	89	-0.002314	-0.001198	0.000063
 - 	90	-0.002273	-0.001222	0.000055
 - 	91	-0.002218	-0.001251	0.000044
 - 	92	-0.002162	-0.001279	0.000031
 - 	93	-0.002123	-0.001309	0.000021
 - 	94	-0.002120	-0.001330	0.000017
 - 	95	-0.002113	-0.001341	0.000016
 - 	96	-0.002126	-0.001339	0.000020
 - 	97	-0.002145	-0.001329	0.000026
 - 	98	-0.002192	-0.001309	0.000034
 - 	99	-0.002223	-0.001296	0.000041
 - 	100	-0.002233	-0.001288	0.000044
 - 	101	-0.002238	-0.001279	0.000046
 - 	102	-0.002217	-0.001278	0.000045
 - 	103	-0.002210	-0.001278	0.000044
 - 	104	-0.002196	-0.001276	0.000044
 - 	105	-0.002205	-0.001268	0.000045
 - 	106	-0.002204	-0.001261	0.000046
 - 	107	-0.002217	-0.001262	0.000047
 - 	108	-0.002233	-0.001268	0.000048
 - 	109	-0.002243	-0.001276	0.000049
 - 	110	-0.002269	-0.001281	0.000051
 - 	111	-0.002281	-0.001292	0.000052
 - 	112	-0.002288	-0.001304	0.000051
 - 	113	-0.002287	-0.001319	0.000049
 - 	114	-0.002277	-0.001327	0.000046
 - 	115	-0.002287	-0.001322	0.000045
