LKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_4.filtered_40.c3d	1			
 - 	2			
 - 	3	0.001114	0.000162	0.000014
 - 	4	0.001111	0.000169	0.000011
 - 	5	0.001092	0.000191	0.000007
 - 	6	0.001093	0.000223	0.000004
 - 	7	0.001105	0.000254	0.000002
 - 	8	0.001126	0.000271	0.000002
 - 	9	0.001155	0.000275	0.000006
 - 	10	0.001190	0.000264	0.000011
 - 	11	0.001217	0.000247	0.000017
 - 	12	0.001223	0.000230	0.000021
 - 	13	0.001205	0.000220	0.000022
 - 	14	0.001169	0.000214	0.000022
 - 	15	0.001126	0.000208	0.000021
 - 	16	0.001110	0.000211	0.000021
 - 	17	0.001109	0.000218	0.000021
 - 	18	0.001112	0.000218	0.000022
 - 	19	0.001139	0.000213	0.000024
 - 	20	0.001150	0.000199	0.000025
 - 	21	0.001170	0.000192	0.000027
 - 	22	0.001191	0.000193	0.000026
 - 	23	0.001197	0.000200	0.000024
 - 	24	0.001210	0.000215	0.000020
 - 	25	0.001207	0.000226	0.000017
 - 	26	0.001200	0.000236	0.000014
 - 	27	0.001176	0.000237	0.000012
 - 	28	0.001156	0.000235	0.000011
 - 	29	0.001119	0.000243	0.000010
 - 	30	0.001087	0.000267	0.000007
 - 	31	0.001046	0.000287	0.000005
 - 	32	0.001056	0.000299	0.000005
 - 	33	0.001055	0.000290	0.000007
 - 	34	0.001089	0.000273	0.000009
 - 	35	0.001102	0.000239	0.000013
 - 	36	0.001133	0.000206	0.000018
 - 	37	0.001161	0.000170	0.000023
 - 	38	0.001178	0.000150	0.000027
 - 	39	0.001193	0.000150	0.000028
 - 	40	0.001182	0.000163	0.000027
 - 	41	0.001182	0.000188	0.000024
 - 	42	0.001177	0.000215	0.000021
 - 	43	0.001187	0.000232	0.000020
 - 	44	0.001186	0.000233	0.000019
 - 	45	0.001201	0.000236	0.000020
 - 	46	0.001201	0.000238	0.000019
 - 	47	0.001200	0.000239	0.000019
 - 	48	0.001189	0.000235	0.000018
 - 	49	0.001199	0.000217	0.000021
 - 	50	0.001201	0.000193	0.000025
 - 	51	0.001190	0.000178	0.000025
 - 	52	0.001180	0.000177	0.000026
 - 	53	0.001154	0.000193	0.000023
 - 	54	0.001133	0.000212	0.000021
 - 	55	0.001115	0.000213	0.000020
 - 	56	0.001127	0.000199	0.000022
 - 	57	0.001132	0.000179	0.000023
 - 	58	0.001135	0.000167	0.000023
 - 	59	0.001149	0.000167	0.000023
 - 	60	0.001147	0.000167	0.000023
 - 	61	0.001173	0.000170	0.000023
 - 	62	0.001185	0.000165	0.000024
 - 	63	0.001138	0.000172	0.000018
 - 	64	0.001211	0.000164	0.000026
 - 	65	0.001278	0.000161	0.000033
 - 	66	0.001219	0.000174	0.000025
 - 	67	0.001213	0.000176	0.000024
 - 	68	0.001197	0.000180	0.000023
 - 	69	0.001182	0.000183	0.000022
 - 	70	0.001176	0.000192	0.000020
 - 	71	0.001164	0.000202	0.000018
 - 	72	0.001160	0.000222	0.000015
 - 	73	0.001168	0.000241	0.000014
 - 	74	0.001169	0.000251	0.000014
 - 	75	0.001206	0.000253	0.000017
 - 	76	0.001226	0.000246	0.000020
 - 	77	0.001250	0.000235	0.000023
 - 	78	0.001265	0.000218	0.000026
 - 	79	0.001295	0.000198	0.000028
 - 	80	0.001298	0.000177	0.000027
 - 	81	0.001285	0.000163	0.000025
 - 	82	0.001261	0.000147	0.000024
 - 	83	0.001253	0.000134	0.000024
 - 	84	0.001238	0.000120	0.000026
 - 	85	0.001219	0.000115	0.000027
 - 	86	0.001209	0.000118	0.000027
 - 	87	0.001203	0.000135	0.000025
 - 	88	0.001189	0.000153	0.000023
 - 	89	0.001178	0.000177	0.000021
 - 	90	0.001158	0.000196	0.000019
 - 	91	0.001150	0.000213	0.000017
 - 	92	0.001143	0.000222	0.000017
 - 	93	0.001149	0.000221	0.000017
 - 	94	0.001160	0.000213	0.000018
 - 	95	0.001191	0.000206	0.000019
 - 	96	0.001202	0.000197	0.000019
 - 	97	0.001243	0.000193	0.000021
 - 	98	0.001222	0.000197	0.000018
 - 	99	0.001221	0.000202	0.000015
 - 	100	0.001247	0.000203	0.000016
 - 	101	0.001246	0.000209	0.000015
 - 	102	0.001253	0.000225	0.000014
 - 	103	0.001229	0.000232	0.000015
 - 	104	0.001230	0.000236	0.000017
 - 	105	0.001205	0.000223	0.000020
 - 	106	0.001199	0.000205	0.000023
 - 	107	0.001192	0.000185	0.000026
 - 	108	0.001174	0.000164	0.000029
 - 	109	0.001169	0.000153	0.000031
 - 	110	0.001157	0.000151	0.000031
 - 	111	0.001184	0.000131	0.000031
 - 	112	0.001147	0.000181	0.000025
 - 	113	0.001128	0.000233	0.000018
 - 	114	0.001162	0.000219	0.000014
 - 	115	0.001165	0.000224	0.000010
 - 	116	0.001181	0.000222	0.000007
 - 	117	0.001191	0.000215	0.000006
 - 	118	0.001179	0.000207	0.000007
 - 	119	0.001167	0.000192	0.000011
 - 	120	0.001166	0.000176	0.000016
 - 	121	0.001164	0.000152	0.000024
 - 	122	0.001176	0.000138	0.000031
 - 	123	0.001195	0.000133	0.000035
 - 	124	0.001212	0.000129	0.000039
 - 	125	0.001196	0.000143	0.000036
 - 	126	0.001183	0.000130	0.000031
 - 	127	0.001179	0.000171	0.000030
 - 	128	0.001170	0.000219	0.000025
 - 	129	0.001180	0.000196	0.000024
 - 	130	0.001187	0.000207	0.000020
 - 	131	0.001180	0.000214	0.000017
 - 	132	0.001186	0.000224	0.000014
 - 	133	0.001179	0.000233	0.000012
 - 	134	0.001156	0.000240	0.000009
 - 	135	0.001156	0.000250	0.000008
 - 	136	0.001147	0.000247	0.000008
 - 	137	0.001150	0.000270	0.000001
 - 	138	0.001149	0.000204	0.000013
 - 	139	0.001164	0.000138	0.000026
 - 	140	0.001175	0.000150	0.000022
 - 	141	0.001184	0.000147	0.000024
 - 	142	0.001198	0.000160	0.000026
 - 	143	0.001197	0.000179	0.000027
 - 	144	0.001223	0.000198	0.000028
 - 	145	0.001229	0.000202	0.000027
 - 	146	0.001238	0.000182	0.000033
 - 	147	0.001240	0.000199	0.000027
 - 	148	0.001222	0.000214	0.000020
 - 	149	0.001214	0.000198	0.000024
 - 	150	0.001191	0.000168	0.000028
 - 	151	0.001184	0.000213	0.000019
 - 	152	0.001159	0.000231	0.000012
 - 	153	0.001166	0.000218	0.000016
 - 	154	0.001168	0.000227	0.000015
 - 	155	0.001164	0.000185	0.000018
 - 	156	0.001159	0.000163	0.000020
 - 	157	0.001179	0.000155	0.000022
 - 	158	0.001166	0.000143	0.000022
 - 	159	0.001163	0.000147	0.000020
 - 	160	0.001156	0.000158	0.000019
 - 	161	0.001143	0.000181	0.000017
 - 	162	0.001133	0.000205	0.000015
 - 	163	0.001136	0.000230	0.000013
 - 	164	0.001139	0.000242	0.000013
 - 	165	0.001161	0.000245	0.000014
 - 	166	0.001180	0.000235	0.000018
 - 	167	0.001208	0.000223	0.000024
 - 	168	0.001229	0.000212	0.000029
 - 	169	0.001245	0.000199	0.000033
 - 	170	0.001262	0.000191	0.000035
 - 	171	0.001266	0.000178	0.000034
 - 	172	0.001271	0.000172	0.000032
 - 	173	0.001243	0.000169	0.000027
 - 	174	0.001222	0.000176	0.000022
 - 	175	0.001190	0.000177	0.000013
 - 	176	0.001171	0.000193	0.000016
 - 	177	0.001154	0.000202	0.000019
 - 	178	0.001117	0.000208	0.000013
 - 	179	0.001114	0.000220	0.000015
 - 	180	0.001121	0.000204	0.000020
 - 	181	0.001136	0.000208	0.000019
 - 	182	0.001156	0.000203	0.000022
 - 	183	0.001194	0.000197	0.000025
 - 	184	0.001240	0.000201	0.000025
 - 	185	0.001272	0.000192	0.000027
 - 	186	0.001284	0.000194	0.000024
 - 	187	0.001278	0.000195	0.000025
 - 	188	0.001264	0.000203	0.000024
 - 	189	0.001235	0.000212	0.000024
 - 	190	0.001203	0.000221	0.000022
 - 	191	0.001179	0.000231	0.000020
 - 	192	0.001163	0.000239	0.000018
 - 	193	0.001150	0.000247	0.000015
 - 	194	0.001133	0.000246	0.000013
 - 	195	0.001133	0.000242	0.000013
 - 	196	0.001126	0.000226	0.000013
 - 	197	0.001115	0.000208	0.000014
 - 	198	0.001114	0.000190	0.000015
 - 	199	0.001114	0.000174	0.000017
 - 	200	0.001129	0.000159	0.000018
 - 	201	0.001153	0.000151	0.000020
 - 	202	0.001185	0.000151	0.000022
 - 	203	0.001203	0.000157	0.000024
 - 	204	0.001235	0.000168	0.000027
 - 	205	0.001258	0.000184	0.000029
 - 	206	0.001253	0.000197	0.000030
 - 	207	0.001262	0.000219	0.000029
 - 	208	0.001245	0.000231	0.000026
 - 	209	0.001235	0.000235	0.000022
 - 	210	0.001251	0.000230	0.000020
 - 	211	0.001245	0.000207	0.000019
 - 	212	0.001260	0.000183	0.000021
 - 	213	0.001262	0.000164	0.000023
 - 	214	0.001259	0.000161	0.000024
 - 	215	0.001245	0.000160	0.000026
 - 	216	0.001231	0.000165	0.000027
 - 	217	0.001213	0.000173	0.000027
 - 	218	0.001187	0.000191	0.000025
 - 	219	0.001164	0.000205	0.000021
 - 	220	0.001147	0.000217	0.000018
 - 	221	0.001146	0.000224	0.000017
 - 	222	0.001131	0.000225	0.000016
 - 	223	0.001142	0.000233	0.000014
 - 	224	0.001132	0.000234	0.000012
 - 	225	0.001130	0.000237	0.000009
 - 	226	0.001123	0.000237	0.000007
 - 	227	0.001110	0.000238	0.000005
 - 	228	0.001101	0.000233	0.000003
 - 	229	0.001108	0.000223	0.000002
 - 	230	0.001122	0.000216	0.000002
 - 	231	0.001141	0.000210	0.000002
 - 	232	0.001176	0.000207	0.000004
 - 	233	0.001197	0.000200	0.000006
 - 	234	0.001204	0.000201	0.000007
 - 	235	0.001218	0.000213	0.000008
 - 	236	0.001216	0.000224	0.000009
 - 	237	0.001214	0.000224	0.000012
 - 	238	0.001191	0.000219	0.000013
 - 	239	0.001153	0.000212	0.000014
 - 	240	0.001119	0.000216	0.000014
 - 	241	0.001078	0.000223	0.000013
 - 	242	0.001055	0.000244	0.000010
 - 	243	0.001011	0.000257	0.000006
 - 	244	0.000973	0.000259	0.000003
 - 	245	0.000942	0.000258	0.000001
 - 	246	0.000923	0.000248	0.000001
 - 	247	0.000931	0.000232	0.000002
 - 	248	0.000956	0.000211	0.000005
 - 	249	0.000990	0.000195	0.000008
 - 	250	0.001038	0.000197	0.000010
 - 	251	0.001057	0.000209	0.000011
 - 	252	0.001057	0.000223	0.000009
 - 	253	0.001030	0.000231	0.000006
 - 	254	0.000995	0.000223	0.000004
 - 	255	0.000953	0.000208	0.000001
 - 	256	0.000911	0.000190	-0.000001
 - 	257	0.000900	0.000176	-0.000001
 - 	258	0.000872	0.000163	-0.000001
 - 	259	0.000881	0.000159	0.000001
 - 	260	0.000881	0.000161	0.000003
 - 	261	0.000904	0.000174	0.000005
 - 	262	0.000904	0.000190	0.000005
 - 	263	0.000903	0.000202	0.000004
 - 	264	0.000872	0.000212	0.000001
 - 	265	0.000844	0.000222	-0.000004
 - 	266	0.000798	0.000239	-0.000010
 - 	267	0.000762	0.000256	-0.000016
 - 	268	0.000732	0.000259	-0.000019
 - 	269	0.000729	0.000250	-0.000020
 - 	270	0.000727	0.000229	-0.000018
 - 	271	0.000732	0.000214	-0.000017
 - 	272	0.000733	0.000205	-0.000015
 - 	273	0.000732	0.000205	-0.000015
 - 	274	0.000739	0.000213	-0.000016
 - 	275	0.000733	0.000225	-0.000017
 - 	276	0.000736	0.000232	-0.000017
 - 	277	0.000730	0.000227	-0.000015
 - 	278	0.000734	0.000224	-0.000013
 - 	279	0.000739	0.000218	-0.000011
 - 	280	0.000740	0.000208	-0.000008
 - 	281	0.000741	0.000189	-0.000003
 - 	282	0.000749	0.000171	0.000001
 - 	283	0.000744	0.000164	0.000003
 - 	284	0.000736	0.000168	0.000002
 - 	285	0.000702	0.000169	-0.000000
 - 	286	0.000655	0.000170	-0.000004
 - 	287	0.000618	0.000171	-0.000009
 - 	288	0.000570	0.000172	-0.000013
 - 	289	0.000545	0.000174	-0.000015
 - 	290	0.000546	0.000174	-0.000016
 - 	291	0.000535	0.000166	-0.000015
 - 	292	0.000525	0.000144	-0.000012
 - 	293	0.000520	0.000117	-0.000007
 - 	294	0.000498	0.000082	-0.000001
 - 	295	0.000495	0.000063	0.000003
 - 	296	0.000459	0.000050	0.000004
 - 	297	0.000434	0.000038	0.000004
 - 	298	0.000390	0.000023	0.000005
 - 	299	0.000366	0.000008	0.000006
 - 	300	0.000328	-0.000007	0.000006
 - 	301	0.000294	-0.000019	0.000006
 - 	302	0.000259	-0.000018	0.000003
 - 	303	0.000243	-0.000005	-0.000001
 - 	304	0.000196	0.000008	-0.000007
 - 	305	0.000186	0.000026	-0.000011
 - 	306	0.000154	0.000031	-0.000013
 - 	307	0.000134	0.000025	-0.000011
 - 	308	0.000125	0.000011	-0.000005
 - 	309	0.000112	-0.000009	0.000002
 - 	310	0.000090	-0.000037	0.000010
 - 	311	0.000076	-0.000069	0.000021
 - 	312	0.000054	-0.000096	0.000029
 - 	313	0.000011	-0.000126	0.000037
 - 	314	-0.000029	-0.000145	0.000042
 - 	315	-0.000086	-0.000160	0.000044
 - 	316	-0.000148	-0.000174	0.000044
 - 	317	-0.000217	-0.000189	0.000045
 - 	318	-0.000290	-0.000210	0.000049
 - 	319	-0.000356	-0.000230	0.000054
 - 	320	-0.000429	-0.000241	0.000055
 - 	321	-0.000517	-0.000253	0.000056
 - 	322	-0.000590	-0.000265	0.000056
 - 	323	-0.000691	-0.000288	0.000057
 - 	324	-0.000791	-0.000314	0.000058
 - 	325	-0.000901	-0.000343	0.000060
 - 	326	-0.001010	-0.000367	0.000060
 - 	327	-0.001129	-0.000386	0.000058
 - 	328	-0.001249	-0.000407	0.000056
 - 	329	-0.001382	-0.000421	0.000051
 - 	330	-0.001510	-0.000428	0.000044
 - 	331	-0.001656	-0.000433	0.000034
 - 	332	-0.001781	-0.000429	0.000022
 - 	333	-0.001904	-0.000416	0.000006
 - 	334	-0.002025	-0.000406	-0.000008
 - 	335	-0.002117	-0.000393	-0.000020
 - 	336	-0.002188	-0.000385	-0.000026
 - 	337	-0.002236	-0.000390	-0.000024
 - 	338	-0.002228	-0.000394	-0.000019
 - 	339	-0.002212	-0.000406	-0.000011
 - 	340	-0.002158	-0.000412	-0.000006
 - 	341	-0.002091	-0.000416	0.000000
 - 	342	-0.002018	-0.000418	0.000006
 - 	343	-0.001937	-0.000421	0.000013
 - 	344	-0.001876	-0.000414	0.000015
 - 	345	-0.001800	-0.000394	0.000013
 - 	346	-0.001742	-0.000382	0.000012
 - 	347	-0.001679	-0.000367	0.000009
 - 	348	-0.001612	-0.000352	0.000004
 - 	349	-0.001558	-0.000340	0.000001
 - 	350	-0.001487	-0.000326	-0.000001
 - 	351	-0.001419	-0.000328	0.000004
 - 	352	-0.001347	-0.000350	0.000017
 - 	353	-0.001262	-0.000379	0.000032
 - 	354	-0.001174	-0.000415	0.000050
 - 	355	-0.001085	-0.000465	0.000070
 - 	356	-0.000996	-0.000524	0.000090
 - 	357	-0.000931	-0.000601	0.000114
 - 	358	-0.000867	-0.000696	0.000144
 - 	359	-0.000868	-0.000824	0.000182
 - 	360	-0.000862	-0.000948	0.000220
 - 	361	-0.000837	-0.001045	0.000249
 - 	362	-0.000824	-0.001111	0.000267
 - 	363	-0.000798	-0.001126	0.000269
 - 	364	-0.000828	-0.001102	0.000258
 - 	365	-0.000886	-0.001057	0.000242
 - 	366	-0.000960	-0.001005	0.000223
 - 	367	-0.001013	-0.000966	0.000208
 - 	368	-0.001092	-0.000973	0.000202
 - 	369	-0.001198	-0.001009	0.000200
 - 	370	-0.001280	-0.001060	0.000202
 - 	371	-0.001360	-0.001117	0.000205
 - 	372	-0.001383	-0.001173	0.000210
 - 	373	-0.001398	-0.001237	0.000217
 - 	374	-0.001372	-0.001292	0.000223
 - 	375	-0.001316	-0.001329	0.000223
 - 	376	-0.001274	-0.001334	0.000214
 - 	377	-0.001250	-0.001309	0.000198
 - 	378	-0.001206	-0.001262	0.000180
 - 	379	-0.001147	-0.001194	0.000159
 - 	380	-0.001082	-0.001125	0.000142
 - 	381	-0.000989	-0.001049	0.000128
 - 	382	-0.000951	-0.000971	0.000113
 - 	383	-0.000894	-0.000878	0.000097
 - 	384	-0.000848	-0.000790	0.000079
 - 	385	-0.000795	-0.000732	0.000069
 - 	386	-0.000779	-0.000727	0.000066
 - 	387	-0.000754	-0.000751	0.000067
 - 	388	-0.000715	-0.000795	0.000072
 - 	389	-0.000692	-0.000858	0.000081
 - 	390	-0.000707	-0.000940	0.000095
 - 	391	-0.000718	-0.001023	0.000112
 - 	392	-0.000732	-0.001107	0.000130
 - 	393	-0.000732	-0.001176	0.000144
 - 	394	-0.000770	-0.001220	0.000149
 - 	395	-0.000857	-0.001239	0.000142
 - 	396	-0.000997	-0.001240	0.000124
 - 	397	-0.001147	-0.001235	0.000103
 - 	398	-0.001264	-0.001227	0.000083
 - 	399	-0.001361	-0.001221	0.000066
 - 	400	-0.001429	-0.001233	0.000053
 - 	401	-0.001514	-0.001276	0.000043
 - 	402	-0.001582	-0.001349	0.000042
 - 	403	-0.001616	-0.001445	0.000049
 - 	404	-0.001653	-0.001557	0.000060
 - 	405	-0.001676	-0.001667	0.000073
 - 	406	-0.001678	-0.001771	0.000087
 - 	407	-0.001654	-0.001867	0.000103
 - 	408	-0.001605	-0.001955	0.000120
 - 	409	-0.001532	-0.002022	0.000137
 - 	410	-0.001457	-0.002053	0.000150
 - 	411	-0.001387	-0.002036	0.000155
 - 	412	-0.001346	-0.001965	0.000151
 - 	413	-0.001339	-0.001836	0.000137
 - 	414	-0.001370	-0.001660	0.000114
 - 	415	-0.001444	-0.001442	0.000082
 - 	416	-0.001540	-0.001206	0.000044
 - 	417	-0.001615	-0.000970	0.000007
 - 	418	-0.001703	-0.000749	-0.000028
 - 	419	-0.001788	-0.000545	-0.000059
 - 	420	-0.001851	-0.000352	-0.000086
 - 	421	-0.001881	-0.000172	-0.000110
 - 	422	-0.001876	-0.000024	-0.000129
 - 	423	-0.001857	0.000072	-0.000140
 - 	424	-0.001866	0.000097	-0.000143
 - 	425	-0.001870	0.000069	-0.000138
 - 	426	-0.001875	-0.000011	-0.000127
 - 	427	-0.001898	-0.000129	-0.000110
 - 	428	-0.001923	-0.000269	-0.000088
 - 	429	-0.001951	-0.000414	-0.000066
 - 	430	-0.001970	-0.000558	-0.000045
 - 	431	-0.001973	-0.000696	-0.000027
 - 	432	-0.001967	-0.000815	-0.000016
 - 	433	-0.001940	-0.000907	-0.000008
 - 	434	-0.001927	-0.000965	-0.000004
 - 	435	-0.001892	-0.000995	-0.000003
 - 	436	-0.001891	-0.001003	-0.000004
 - 	437	-0.001896	-0.001000	-0.000007
 - 	438	-0.001897	-0.000994	-0.000007
 - 	439	-0.001900	-0.000980	-0.000008
 - 	440	-0.001881	-0.000955	-0.000009
 - 	441	-0.001882	-0.000926	-0.000011
 - 	442	-0.001862	-0.000879	-0.000014
 - 	443	-0.001871	-0.000835	-0.000018
 - 	444	-0.001895	-0.000789	-0.000024
 - 	445	-0.001911	-0.000743	-0.000030
 - 	446	-0.001934	-0.000701	-0.000037
 - 	447	-0.001938	-0.000663	-0.000043
 - 	448	-0.001964	-0.000633	-0.000051
 - 	449	-0.001976	-0.000612	-0.000056
 - 	450	-0.002031	-0.000618	-0.000060
 - 	451	-0.002096	-0.000651	-0.000060
 - 	452	-0.002154	-0.000702	-0.000057
 - 	453	-0.002215	-0.000766	-0.000051
 - 	454	-0.002284	-0.000830	-0.000044
 - 	455	-0.002352	-0.000891	-0.000036
 - 	456	-0.002437	-0.000939	-0.000030
 - 	457	-0.002513	-0.000982	-0.000026
 - 	458	-0.002584	-0.001023	-0.000022
 - 	459	-0.002635	-0.001063	-0.000019
 - 	460	-0.002635	-0.001108	-0.000014
 - 	461	-0.002648	-0.001162	-0.000008
 - 	462	-0.002624	-0.001213	-0.000001
 - 	463	-0.002627	-0.001253	0.000005
 - 	464	-0.002608	-0.001275	0.000009
 - 	465	-0.002607	-0.001281	0.000011
 - 	466	-0.002603	-0.001269	0.000012
 - 	467	-0.002597	-0.001228	0.000010
 - 	468	-0.002603	-0.001162	0.000007
 - 	469	-0.002598	-0.001059	0.000002
 - 	470	-0.002575	-0.000946	-0.000003
 - 	471	-0.002545	-0.000814	-0.000010
 - 	472	-0.002498	-0.000668	-0.000019
 - 	473	-0.002431	-0.000502	-0.000031
 - 	474	-0.002370	-0.000320	-0.000046
 - 	475	-0.002292	-0.000110	-0.000068
 - 	476	-0.002220	0.000125	-0.000098
 - 	477	-0.002143	0.000363	-0.000134
 - 	478	-0.002099	0.000606	-0.000179
 - 	479	-0.002048	0.000837	-0.000229
 - 	480	-0.002034	0.001031	-0.000281
 - 	481	-0.002063	0.001187	-0.000331
 - 	482	-0.002120	0.001294	-0.000377
 - 	483	-0.002199	0.001361	-0.000418
 - 	484	-0.002285	0.001393	-0.000456
 - 	485	-0.002395	0.001373	-0.000486
 - 	486	-0.002494	0.001307	-0.000505
 - 	487	-0.002615	0.001199	-0.000512
 - 	488	-0.002762	0.001057	-0.000508
 - 	489	-0.002897	0.000892	-0.000493
 - 	490	-0.003020	0.000703	-0.000468
 - 	491	-0.003110	0.000497	-0.000432
 - 	492	-0.003151	0.000292	-0.000390
 - 	493	-0.003156	0.000109	-0.000347
 - 	494	-0.003170	-0.000033	-0.000311
 - 	495	-0.003158	-0.000129	-0.000284
 - 	496	-0.003184	-0.000185	-0.000267
 - 	497	-0.003194	-0.000212	-0.000255
 - 	498	-0.003223	-0.000212	-0.000252
 - 	499	-0.003234	-0.000184	-0.000259
 - 	500	-0.003253	-0.000127	-0.000280
 - 	501	-0.003279	-0.000045	-0.000315
 - 	502	-0.003308	0.000036	-0.000353
 - 	503	-0.003347	0.000104	-0.000386
 - 	504	-0.003350	0.000148	-0.000407
 - 	505	-0.003344	0.000149	-0.000406
 - 	506	-0.003330	0.000099	-0.000379
 - 	507	-0.003353	-0.000005	-0.000321
 - 	508	-0.003416	-0.000156	-0.000235
 - 	509	-0.003486	-0.000331	-0.000126
 - 	510	-0.003554	-0.000502	-0.000010
 - 	511	-0.003624	-0.000660	0.000106
 - 	512	-0.003647	-0.000806	0.000229
 - 	513	-0.003671	-0.000945	0.000355
 - 	514	-0.003678	-0.001082	0.000492
 - 	515	-0.003665	-0.001216	0.000640
 - 	516	-0.003627	-0.001336	0.000792
 - 	517	-0.003548	-0.001439	0.000951
 - 	518	-0.003416	-0.001527	0.001116
 - 	519	-0.003256	-0.001582	0.001271
 - 	520	-0.003065	-0.001605	0.001413
 - 	521	-0.002868	-0.001589	0.001528
 - 	522	-0.002676	-0.001532	0.001607
 - 	523	-0.002504	-0.001443	0.001647
 - 	524	-0.002346	-0.001325	0.001646
 - 	525	-0.002206	-0.001200	0.001618
 - 	526	-0.002088	-0.001075	0.001574
 - 	527	-0.002000	-0.000966	0.001525
 - 	528	-0.001935	-0.000880	0.001482
 - 	529	-0.001892	-0.000820	0.001449
 - 	530	-0.001848	-0.000782	0.001426
 - 	531	-0.001800	-0.000764	0.001411
 - 	532	-0.001743	-0.000756	0.001391
 - 	533	-0.001670	-0.000753	0.001368
 - 	534	-0.001581	-0.000756	0.001340
 - 	535	-0.001462	-0.000758	0.001304
 - 	536	-0.001335	-0.000767	0.001264
 - 	537	-0.001207	-0.000781	0.001214
 - 	538	-0.001092	-0.000798	0.001152
 - 	539	-0.000989	-0.000818	0.001081
 - 	540	-0.000923	-0.000840	0.001003
 - 	541	-0.000863	-0.000857	0.000914
 - 	542	-0.000830	-0.000875	0.000830
 - 	543	-0.000802	-0.000884	0.000742
 - 	544	-0.000761	-0.000889	0.000664
 - 	545	-0.000721	-0.000894	0.000605
 - 	546	-0.000683	-0.000899	0.000562
 - 	547	-0.000685	-0.000905	0.000526
 - 	548	-0.000711	-0.000914	0.000508
 - 	549	-0.000757	-0.000925	0.000512
 - 	550	-0.000817	-0.000937	0.000550
 - 	551	-0.000877	-0.000941	0.000604
 - 	552	-0.000953	-0.000927	0.000659
 - 	553	-0.001033	-0.000903	0.000725
 - 	554	-0.001133	-0.000874	0.000804
 - 	555	-0.001248	-0.000846	0.000903
 - 	556	-0.001380	-0.000812	0.000997
 - 	557	-0.001533	-0.000775	0.001083
 - 	558	-0.001691	-0.000729	0.001138
 - 	559	-0.001864	-0.000676	0.001154
 - 	560	-0.002028	-0.000614	0.001126
 - 	561	-0.002180	-0.000555	0.001077
 - 	562	-0.002313	-0.000503	0.001012
 - 	563	-0.002442	-0.000465	0.000936
 - 	564	-0.002584	-0.000447	0.000859
 - 	565	-0.002739	-0.000451	0.000784
 - 	566	-0.002903	-0.000478	0.000720
 - 	567	-0.003049	-0.000527	0.000678
 - 	568	-0.003202	-0.000593	0.000645
 - 	569	-0.003347	-0.000671	0.000617
 - 	570	-0.003496	-0.000752	0.000587
 - 	571	-0.003628	-0.000832	0.000558
 - 	572	-0.003749	-0.000910	0.000534
