RKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_4.filtered_40.c3d	1			
 - 	2			
 - 	3			
 - 	4			
 - 	5			
 - 	6			
 - 	7			
 - 	8			
 - 	9			
 - 	10			
 - 	11			
 - 	12			
 - 	13			
 - 	14			
 - 	15			
 - 	16			
 - 	17			
 - 	18			
 - 	19			
 - 	20			
 - 	21			
 - 	22			
 - 	23			
 - 	24			
 - 	25			
 - 	26			
 - 	27			
 - 	28			
 - 	29			
 - 	30			
 - 	31			
 - 	32			
 - 	33			
 - 	34			
 - 	35			
 - 	36			
 - 	37			
 - 	38			
 - 	39			
 - 	40			
 - 	41			
 - 	42			
 - 	43			
 - 	44			
 - 	45			
 - 	46			
 - 	47			
 - 	48			
 - 	49			
 - 	50			
 - 	51			
 - 	52			
 - 	53			
 - 	54			
 - 	55			
 - 	56	-0.002104	-0.000783	-0.000006
 - 	57	-0.002098	-0.000783	-0.000007
 - 	58	-0.002098	-0.000788	-0.000007
 - 	59	-0.002094	-0.000791	-0.000006
 - 	60	-0.002098	-0.000799	-0.000005
 - 	61	-0.002090	-0.000805	-0.000005
 - 	62	-0.002092	-0.000814	-0.000004
 - 	63	-0.002092	-0.000821	-0.000004
 - 	64	-0.002096	-0.000832	-0.000005
 - 	65	-0.002095	-0.000841	-0.000006
 - 	66	-0.002102	-0.000847	-0.000007
 - 	67	-0.002126	-0.000856	-0.000007
 - 	68	-0.002115	-0.000853	-0.000008
 - 	69	-0.002122	-0.000853	-0.000008
 - 	70	-0.002127	-0.000848	-0.000007
 - 	71	-0.002125	-0.000875	-0.000015
 - 	72	-0.002117	-0.000833	-0.000005
 - 	73	-0.002100	-0.000793	0.000004
 - 	74	-0.002106	-0.000824	-0.000006
 - 	75	-0.002126	-0.000842	-0.000012
 - 	76	-0.002072	-0.000805	-0.000007
 - 	77	-0.002016	-0.000766	-0.000001
 - 	78	-0.002041	-0.000783	-0.000005
 - 	79	-0.002032	-0.000777	-0.000004
 - 	80	-0.002007	-0.000777	-0.000003
 - 	81	-0.001997	-0.000783	-0.000005
 - 	82	-0.001977	-0.000789	-0.000008
 - 	83	-0.002007	-0.000799	-0.000006
 - 	84	-0.002054	-0.000809	-0.000005
 - 	85	-0.002103	-0.000817	-0.000003
 - 	86	-0.002141	-0.000829	-0.000003
 - 	87	-0.002163	-0.000844	-0.000003
 - 	88	-0.002165	-0.000858	-0.000005
 - 	89	-0.002154	-0.000864	-0.000004
 - 	90	-0.002138	-0.000861	-0.000002
 - 	91	-0.002109	-0.000852	-0.000003
 - 	92	-0.002060	-0.000838	-0.000004
 - 	93	-0.002029	-0.000825	-0.000004
 - 	94	-0.002003	-0.000814	-0.000006
 - 	95	-0.001993	-0.000809	-0.000007
 - 	96	-0.002017	-0.000812	-0.000008
 - 	97	-0.002044	-0.000810	-0.000009
 - 	98	-0.002063	-0.000806	-0.000009
 - 	99	-0.002091	-0.000804	-0.000008
 - 	100	-0.002107	-0.000803	-0.000008
 - 	101	-0.002124	-0.000804	-0.000009
 - 	102	-0.002133	-0.000809	-0.000010
 - 	103	-0.002137	-0.000818	-0.000012
 - 	104	-0.002131	-0.000829	-0.000015
 - 	105	-0.002117	-0.000831	-0.000016
 - 	106	-0.002109	-0.000832	-0.000017
 - 	107	-0.002079	-0.000827	-0.000016
 - 	108	-0.002064	-0.000824	-0.000015
 - 	109	-0.002056	-0.000821	-0.000013
 - 	110	-0.002036	-0.000818	-0.000011
 - 	111	-0.002029	-0.000820	-0.000008
 - 	112	-0.002006	-0.000824	-0.000007
 - 	113	-0.001998	-0.000825	-0.000005
 - 	114	-0.002029	-0.000820	0.000000
 - 	115	-0.002076	-0.000805	0.000006
 - 	116	-0.002119	-0.000788	0.000012
 - 	117	-0.002141	-0.000772	0.000015
 - 	118	-0.002159	-0.000762	0.000015
 - 	119	-0.002164	-0.000760	0.000016
 - 	120	-0.002180	-0.000760	0.000013
 - 	121	-0.002180	-0.000765	0.000009
 - 	122	-0.002164	-0.000781	0.000006
 - 	123	-0.002140	-0.000799	0.000001
 - 	124	-0.002126	-0.000823	-0.000005
 - 	125	-0.002101	-0.000843	-0.000010
 - 	126	-0.002093	-0.000863	-0.000015
 - 	127	-0.002069	-0.000871	-0.000019
 - 	128	-0.002077	-0.000874	-0.000021
 - 	129	-0.002052	-0.000862	-0.000022
 - 	130	-0.002036	-0.000845	-0.000021
 - 	131	-0.002040	-0.000828	-0.000020
 - 	132	-0.002039	-0.000816	-0.000017
 - 	133	-0.002070	-0.000797	-0.000017
 - 	134	-0.002091	-0.000776	-0.000017
 - 	135	-0.002084	-0.000762	-0.000014
 - 	136	-0.002089	-0.000752	-0.000011
 - 	137	-0.002087	-0.000748	-0.000010
 - 	138	-0.002088	-0.000756	-0.000010
 - 	139	-0.002089	-0.000765	-0.000007
 - 	140	-0.002127	-0.000782	-0.000003
 - 	141	-0.002143	-0.000791	0.000002
 - 	142	-0.002178	-0.000806	0.000008
 - 	143	-0.002161	-0.000820	0.000009
 - 	144	-0.002116	-0.000830	0.000008
 - 	145	-0.002079	-0.000837	0.000006
 - 	146	-0.002060	-0.000844	0.000002
 - 	147	-0.002061	-0.000854	-0.000002
 - 	148	-0.002067	-0.000859	-0.000006
 - 	149	-0.002085	-0.000857	-0.000009
 - 	150	-0.002095	-0.000850	-0.000011
 - 	151	-0.002117	-0.000840	-0.000012
 - 	152	-0.002113	-0.000826	-0.000013
 - 	153	-0.002115	-0.000809	-0.000012
 - 	154	-0.002090	-0.000786	-0.000011
 - 	155	-0.002068	-0.000766	-0.000010
 - 	156	-0.002052	-0.000750	-0.000007
 - 	157	-0.002049	-0.000742	-0.000005
 - 	158	-0.002041	-0.000737	-0.000003
 - 	159	-0.002030	-0.000746	-0.000001
 - 	160	-0.002011	-0.000759	-0.000000
 - 	161	-0.002028	-0.000785	-0.000002
 - 	162	-0.002044	-0.000808	-0.000004
 - 	163	-0.002065	-0.000830	-0.000006
 - 	164	-0.002071	-0.000853	-0.000008
 - 	165	-0.002080	-0.000871	-0.000010
 - 	166	-0.002075	-0.000883	-0.000012
 - 	167	-0.002071	-0.000891	-0.000013
 - 	168	-0.002073	-0.000891	-0.000013
 - 	169	-0.002066	-0.000879	-0.000012
 - 	170	-0.002064	-0.000864	-0.000012
 - 	171	-0.002048	-0.000847	-0.000013
 - 	172	-0.002026	-0.000832	-0.000015
 - 	173	-0.001986	-0.000814	-0.000017
 - 	174	-0.001943	-0.000795	-0.000018
 - 	175	-0.001930	-0.000779	-0.000018
 - 	176	-0.001926	-0.000766	-0.000017
 - 	177	-0.001944	-0.000762	-0.000014
 - 	178	-0.001984	-0.000766	-0.000010
 - 	179	-0.002035	-0.000777	-0.000005
 - 	180	-0.002087	-0.000790	-0.000001
 - 	181	-0.002106	-0.000806	0.000000
 - 	182	-0.002117	-0.000819	-0.000000
 - 	183	-0.002122	-0.000828	-0.000001
 - 	184	-0.002137	-0.000834	-0.000002
 - 	185	-0.002147	-0.000833	-0.000001
 - 	186	-0.002158	-0.000824	0.000001
 - 	187	-0.002177	-0.000813	0.000004
 - 	188	-0.002189	-0.000802	0.000006
 - 	189	-0.002173	-0.000790	0.000005
 - 	190	-0.002152	-0.000779	0.000002
 - 	191	-0.002124	-0.000771	-0.000002
 - 	192	-0.002111	-0.000765	-0.000006
 - 	193	-0.002090	-0.000760	-0.000009
 - 	194	-0.002080	-0.000760	-0.000011
 - 	195	-0.002065	-0.000763	-0.000013
 - 	196	-0.002067	-0.000771	-0.000014
 - 	197	-0.002047	-0.000776	-0.000015
 - 	198	-0.002057	-0.000785	-0.000016
 - 	199	-0.002064	-0.000795	-0.000017
 - 	200	-0.002072	-0.000802	-0.000019
 - 	201	-0.002079	-0.000805	-0.000021
 - 	202	-0.002104	-0.000811	-0.000021
 - 	203	-0.002114	-0.000806	-0.000020
 - 	204	-0.002144	-0.000802	-0.000020
 - 	205	-0.002137	-0.000796	-0.000018
 - 	206	-0.002148	-0.000789	-0.000020
 - 	207	-0.002143	-0.000782	-0.000020
 - 	208	-0.002125	-0.000774	-0.000018
 - 	209	-0.002118	-0.000766	-0.000023
 - 	210	-0.002121	-0.000753	-0.000019
 - 	211	-0.002124	-0.000740	-0.000016
 - 	212	-0.002155	-0.000732	-0.000018
 - 	213	-0.002166	-0.000724	-0.000017
 - 	214	-0.002195	-0.000722	-0.000017
 - 	215	-0.002227	-0.000722	-0.000018
 - 	216	-0.002236	-0.000720	-0.000018
 - 	217	-0.002259	-0.000728	-0.000019
 - 	218	-0.002255	-0.000736	-0.000021
 - 	219	-0.002247	-0.000746	-0.000023
 - 	220	-0.002229	-0.000748	-0.000024
 - 	221	-0.002189	-0.000741	-0.000025
 - 	222	-0.002146	-0.000721	-0.000024
 - 	223	-0.002102	-0.000694	-0.000023
 - 	224	-0.002079	-0.000670	-0.000022
 - 	225	-0.002065	-0.000649	-0.000020
 - 	226	-0.002048	-0.000633	-0.000018
 - 	227	-0.002053	-0.000627	-0.000016
 - 	228	-0.002038	-0.000625	-0.000016
 - 	229	-0.002050	-0.000629	-0.000016
 - 	230	-0.002042	-0.000632	-0.000017
 - 	231	-0.002075	-0.000635	-0.000017
 - 	232	-0.002094	-0.000634	-0.000017
 - 	233	-0.002133	-0.000637	-0.000018
 - 	234	-0.002194	-0.000647	-0.000019
 - 	235	-0.002243	-0.000658	-0.000021
 - 	236	-0.002280	-0.000670	-0.000024
 - 	237	-0.002310	-0.000684	-0.000027
 - 	238	-0.002320	-0.000693	-0.000029
 - 	239	-0.002329	-0.000705	-0.000031
 - 	240	-0.002342	-0.000714	-0.000031
 - 	241	-0.002346	-0.000722	-0.000031
 - 	242	-0.002336	-0.000724	-0.000030
 - 	243	-0.002343	-0.000720	-0.000028
 - 	244	-0.002337	-0.000712	-0.000026
 - 	245	-0.002334	-0.000705	-0.000024
 - 	246	-0.002325	-0.000696	-0.000023
 - 	247	-0.002322	-0.000683	-0.000021
 - 	248	-0.002303	-0.000668	-0.000021
 - 	249	-0.002279	-0.000655	-0.000022
 - 	250	-0.002235	-0.000643	-0.000024
 - 	251	-0.002212	-0.000634	-0.000026
 - 	252	-0.002191	-0.000624	-0.000027
 - 	253	-0.002185	-0.000621	-0.000027
 - 	254	-0.002193	-0.000618	-0.000027
 - 	255	-0.002202	-0.000616	-0.000027
 - 	256	-0.002224	-0.000609	-0.000025
 - 	257	-0.002244	-0.000598	-0.000022
 - 	258	-0.002255	-0.000588	-0.000019
 - 	259	-0.002249	-0.000580	-0.000016
 - 	260	-0.002267	-0.000578	-0.000013
 - 	261	-0.002275	-0.000575	-0.000011
 - 	262	-0.002297	-0.000576	-0.000011
 - 	263	-0.002329	-0.000584	-0.000012
 - 	264	-0.002344	-0.000594	-0.000015
 - 	265	-0.002368	-0.000606	-0.000020
 - 	266	-0.002363	-0.000612	-0.000024
 - 	267	-0.002347	-0.000613	-0.000029
 - 	268	-0.002332	-0.000613	-0.000033
 - 	269	-0.002309	-0.000613	-0.000038
 - 	270	-0.002299	-0.000620	-0.000043
 - 	271	-0.002276	-0.000631	-0.000049
 - 	272	-0.002263	-0.000649	-0.000055
 - 	273	-0.002250	-0.000668	-0.000060
 - 	274	-0.002243	-0.000683	-0.000063
 - 	275	-0.002248	-0.000685	-0.000061
 - 	276	-0.002286	-0.000674	-0.000051
 - 	277	-0.002345	-0.000652	-0.000035
 - 	278	-0.002431	-0.000629	-0.000017
 - 	279	-0.002485	-0.000610	-0.000004
 - 	280	-0.002509	-0.000596	0.000003
 - 	281	-0.002513	-0.000584	0.000005
 - 	282	-0.002526	-0.000572	0.000007
 - 	283	-0.002541	-0.000562	0.000012
 - 	284	-0.002580	-0.000556	0.000019
 - 	285	-0.002586	-0.000557	0.000025
 - 	286	-0.002573	-0.000568	0.000028
 - 	287	-0.002520	-0.000583	0.000024
 - 	288	-0.002465	-0.000596	0.000015
 - 	289	-0.002400	-0.000604	0.000002
 - 	290	-0.002356	-0.000613	-0.000011
 - 	291	-0.002298	-0.000626	-0.000022
 - 	292	-0.002249	-0.000632	-0.000028
 - 	293	-0.002228	-0.000631	-0.000030
 - 	294	-0.002230	-0.000620	-0.000027
 - 	295	-0.002265	-0.000606	-0.000021
 - 	296	-0.002288	-0.000593	-0.000016
 - 	297	-0.002304	-0.000585	-0.000014
 - 	298	-0.002303	-0.000582	-0.000014
 - 	299	-0.002301	-0.000578	-0.000014
 - 	300	-0.002307	-0.000580	-0.000013
 - 	301	-0.002317	-0.000584	-0.000013
 - 	302	-0.002330	-0.000592	-0.000013
 - 	303	-0.002331	-0.000603	-0.000013
 - 	304	-0.002335	-0.000614	-0.000013
 - 	305	-0.002325	-0.000613	-0.000013
 - 	306	-0.002319	-0.000603	-0.000012
 - 	307	-0.002304	-0.000584	-0.000009
 - 	308	-0.002293	-0.000559	-0.000006
 - 	309	-0.002262	-0.000535	-0.000003
 - 	310	-0.002224	-0.000513	-0.000000
 - 	311	-0.002181	-0.000499	0.000002
 - 	312	-0.002153	-0.000483	0.000005
 - 	313	-0.002133	-0.000454	0.000007
 - 	314	-0.002144	-0.000412	0.000010
 - 	315	-0.002157	-0.000363	0.000014
 - 	316	-0.002173	-0.000312	0.000018
 - 	317	-0.002191	-0.000259	0.000021
 - 	318	-0.002213	-0.000209	0.000022
 - 	319	-0.002226	-0.000164	0.000021
 - 	320	-0.002218	-0.000131	0.000018
 - 	321	-0.002194	-0.000109	0.000013
 - 	322	-0.002142	-0.000098	0.000006
 - 	323	-0.002069	-0.000101	-0.000004
 - 	324	-0.001988	-0.000119	-0.000016
 - 	325	-0.001880	-0.000150	-0.000027
 - 	326	-0.001775	-0.000198	-0.000038
 - 	327	-0.001644	-0.000262	-0.000047
 - 	328	-0.001500	-0.000335	-0.000052
 - 	329	-0.001366	-0.000407	-0.000052
 - 	330	-0.001220	-0.000473	-0.000049
 - 	331	-0.001137	-0.000522	-0.000040
 - 	332	-0.001118	-0.000542	-0.000026
 - 	333	-0.001081	-0.000509	-0.000011
 - 	334	-0.000994	-0.000425	0.000002
 - 	335	-0.000839	-0.000299	0.000014
 - 	336	-0.000677	-0.000144	0.000030
 - 	337	-0.000529	0.000048	0.000057
 - 	338	-0.000404	0.000271	0.000095
 - 	339	-0.000271	0.000510	0.000142
 - 	340	-0.000201	0.000743	0.000199
 - 	341	-0.000197	0.000958	0.000264
 - 	342	-0.000309	0.001154	0.000338
 - 	343	-0.000522	0.001333	0.000420
 - 	344	-0.000829	0.001486	0.000509
 - 	345	-0.001204	0.001591	0.000594
 - 	346	-0.001596	0.001630	0.000662
 - 	347	-0.001946	0.001599	0.000702
 - 	348	-0.002199	0.001504	0.000705
 - 	349	-0.002356	0.001343	0.000668
 - 	350	-0.002488	0.001106	0.000594
 - 	351	-0.002618	0.000805	0.000492
 - 	352	-0.002763	0.000469	0.000368
 - 	353	-0.002855	0.000129	0.000227
 - 	354	-0.002894	-0.000199	0.000069
 - 	355	-0.002842	-0.000504	-0.000100
 - 	356	-0.002753	-0.000768	-0.000270
 - 	357	-0.002621	-0.000972	-0.000430
 - 	358	-0.002489	-0.001108	-0.000569
 - 	359	-0.002338	-0.001176	-0.000680
 - 	360	-0.002178	-0.001183	-0.000762
 - 	361	-0.002016	-0.001137	-0.000813
 - 	362	-0.001842	-0.001055	-0.000842
 - 	363	-0.001689	-0.000959	-0.000854
 - 	364	-0.001565	-0.000863	-0.000855
 - 	365	-0.001485	-0.000775	-0.000845
 - 	366	-0.001417	-0.000692	-0.000821
 - 	367	-0.001333	-0.000613	-0.000785
 - 	368	-0.001230	-0.000535	-0.000734
 - 	369	-0.001121	-0.000456	-0.000666
 - 	370	-0.001023	-0.000379	-0.000581
 - 	371	-0.000960	-0.000309	-0.000486
 - 	372	-0.000922	-0.000256	-0.000391
 - 	373	-0.000900	-0.000219	-0.000302
 - 	374	-0.000882	-0.000198	-0.000224
 - 	375	-0.000879	-0.000191	-0.000157
 - 	376	-0.000869	-0.000193	-0.000103
 - 	377	-0.000870	-0.000206	-0.000061
 - 	378	-0.000868	-0.000228	-0.000035
 - 	379	-0.000891	-0.000258	-0.000023
 - 	380	-0.000892	-0.000295	-0.000027
 - 	381	-0.000906	-0.000334	-0.000040
 - 	382	-0.000919	-0.000375	-0.000063
 - 	383	-0.000920	-0.000413	-0.000095
 - 	384	-0.000930	-0.000451	-0.000134
 - 	385	-0.000956	-0.000486	-0.000178
 - 	386	-0.001000	-0.000516	-0.000221
 - 	387	-0.001093	-0.000545	-0.000262
 - 	388	-0.001198	-0.000569	-0.000300
 - 	389	-0.001308	-0.000592	-0.000338
 - 	390	-0.001424	-0.000620	-0.000385
 - 	391	-0.001528	-0.000652	-0.000441
 - 	392	-0.001626	-0.000688	-0.000509
 - 	393	-0.001705	-0.000721	-0.000577
 - 	394	-0.001777	-0.000746	-0.000637
 - 	395	-0.001850	-0.000764	-0.000686
 - 	396	-0.001943	-0.000779	-0.000731
 - 	397	-0.002031	-0.000792	-0.000775
 - 	398	-0.002135	-0.000807	-0.000826
 - 	399	-0.002245	-0.000822	-0.000877
 - 	400	-0.002350	-0.000828	-0.000913
 - 	401	-0.002471	-0.000830	-0.000939
 - 	402	-0.002621	-0.000835	-0.000961
 - 	403	-0.002762	-0.000843	-0.000981
 - 	404	-0.002920	-0.000859	-0.001004
 - 	405	-0.003061	-0.000875	-0.001019
 - 	406	-0.003187	-0.000890	-0.001025
 - 	407	-0.003330	-0.000908	-0.001024
 - 	408	-0.003460	-0.000925	-0.001014
 - 	409	-0.003586	-0.000941	-0.000995
 - 	410	-0.003724	-0.000959	-0.000969
 - 	411	-0.003823	-0.000974	-0.000936
 - 	412	-0.003909	-0.000993	-0.000901
 - 	413	-0.003984	-0.001014	-0.000861
 - 	414	-0.004052	-0.001040	-0.000823
 - 	415	-0.004133	-0.001075	-0.000790
 - 	416	-0.004230	-0.001115	-0.000761
 - 	417	-0.004327	-0.001151	-0.000731
 - 	418	-0.004447	-0.001179	-0.000696
 - 	419	-0.004566	-0.001182	-0.000645
 - 	420	-0.004718	-0.001162	-0.000580
 - 	421	-0.004860	-0.001114	-0.000505
 - 	422	-0.005042	-0.001053	-0.000425
 - 	423	-0.005201	-0.000968	-0.000341
 - 	424	-0.005391	-0.000881	-0.000263
 - 	425	-0.005566	-0.000781	-0.000187
 - 	426	-0.005720	-0.000666	-0.000109
 - 	427	-0.005878	-0.000546	-0.000031
 - 	428	-0.005996	-0.000410	0.000055
 - 	429	-0.006107	-0.000271	0.000144
 - 	430	-0.006199	-0.000130	0.000238
 - 	431	-0.006267	0.000009	0.000334
 - 	432	-0.006297	0.000138	0.000425
 - 	433	-0.006306	0.000244	0.000505
 - 	434	-0.006297	0.000322	0.000572
 - 	435	-0.006257	0.000374	0.000626
 - 	436	-0.006214	0.000394	0.000664
 - 	437	-0.006161	0.000389	0.000689
 - 	438	-0.006086	0.000367	0.000701
 - 	439	-0.006001	0.000321	0.000699
 - 	440	-0.005881	0.000255	0.000682
 - 	441	-0.005777	0.000160	0.000647
 - 	442	-0.005659	0.000060	0.000606
 - 	443	-0.005571	-0.000042	0.000560
 - 	444	-0.005489	-0.000136	0.000513
 - 	445	-0.005425	-0.000223	0.000463
 - 	446	-0.005359	-0.000300	0.000410
 - 	447	-0.005282	-0.000368	0.000355
 - 	448	-0.005183	-0.000428	0.000301
 - 	449	-0.005071	-0.000475	0.000251
 - 	450	-0.004969	-0.000505	0.000210
 - 	451	-0.004870	-0.000515	0.000179
 - 	452	-0.004803	-0.000511	0.000157
 - 	453	-0.004765	-0.000495	0.000146
 - 	454	-0.004761	-0.000478	0.000143
 - 	455	-0.004754	-0.000466	0.000142
 - 	456	-0.004756	-0.000469	0.000140
 - 	457	-0.004724	-0.000481	0.000134
 - 	458	-0.004680	-0.000505	0.000122
 - 	459	-0.004621	-0.000543	0.000101
 - 	460	-0.004531	-0.000598	0.000072
 - 	461	-0.004411	-0.000661	0.000037
 - 	462	-0.004271	-0.000733	-0.000003
 - 	463	-0.004104	-0.000804	-0.000045
 - 	464	-0.003905	-0.000870	-0.000085
 - 	465	-0.003624	-0.000913	-0.000119
 - 	466	-0.003260	-0.000911	-0.000140
 - 	467	-0.002790	-0.000842	-0.000143
 - 	468	-0.002234	-0.000680	-0.000120
 - 	469	-0.001562	-0.000391	-0.000064
 - 	470	-0.000883	0.000006	0.000022
 - 	471	-0.000161	0.007841	0.002584
 - 	472	0.001941	0.006597	0.002090
 - 	473	0.004002	0.003096	0.000926
 - 	474	0.004351	0.000270	0.000078
 - 	475	0.003813	-0.000496	-0.000151
 - 	476	0.004170	0.000713	0.000043
 - 	477	0.005658	0.002958	0.000516
 - 	478	0.007094	0.005186	0.001259
 - 	479	0.008212	0.006495	0.001927
 - 	480	0.009783	0.006765	0.002193
 - 	481	0.011615	0.006932	0.002285
 - 	482	0.013197	0.007515	0.002437
 - 	483	0.014334	0.008226	0.002644
 - 	484	0.014940	0.008787	0.002903
 - 	485	0.014827	0.009308	0.003253
 - 	486	0.014475	0.009905	0.003621
 - 	487	0.014557	0.010330	0.003878
 - 	488	0.014921	0.010876	0.004060
 - 	489	0.015242	0.011442	0.004115
 - 	490	0.015306	0.011578	0.004008
 - 	491	0.015148	0.011746	0.004005
 - 	492	0.014723	0.011939	0.004049
 - 	493	0.014052	0.011941	0.004002
 - 	494	0.013821	0.011789	0.003836
 - 	495	0.013837	0.011788	0.003695
 - 	496	0.013994	0.011792	0.003579
 - 	497	0.014497	0.011675	0.003510
 - 	498	0.014959	0.011803	0.003481
 - 	499	0.014986	0.012073	0.003424
 - 	500	0.014746	0.012260	0.003417
 - 	501	0.014409	0.012531	0.003502
 - 	502	0.014319	0.013041	0.003707
 - 	503	0.014483	0.013751	0.003933
 - 	504	0.014590	0.014334	0.004058
 - 	505	0.014740	0.014951	0.004142
 - 	506	0.015117	0.015689	0.004218
 - 	507	0.015591	0.016493	0.004409
 - 	508	0.015896	0.017405	0.004657
 - 	509	0.015927	0.018033	0.004790
 - 	510	0.015956	0.018534	0.004833
 - 	511	0.016136	0.019166	0.004907
 - 	512	0.016556	0.019934	0.005041
 - 	513	0.016871	0.020624	0.005165
 - 	514	0.017263	0.021414	0.005299
 - 	515	0.017767	0.022263	0.005481
 - 	516	0.018368	0.023152	0.005730
 - 	517	0.019217	0.024102	0.005952
 - 	518	0.020105	0.024820	0.006150
 - 	519	0.020728	0.025446	0.006376
 - 	520	0.021238	0.026121	0.006561
 - 	521	0.021904	0.027023	0.006727
 - 	522	0.022651	0.027975	0.006929
 - 	523	0.023234	0.028716	0.007108
 - 	524	0.023613	0.029394	0.007320
 - 	525	0.023910	0.030152	0.007510
 - 	526	0.024138	0.030967	0.007588
 - 	527	0.024313	0.031588	0.007629
 - 	528	0.024322	0.031848	0.007639
 - 	529	0.024153	0.031960	0.007547
 - 	530	0.023789	0.032011	0.007374
 - 	531	0.023286	0.031854	0.007182
 - 	532	0.022867	0.031582	0.007032
 - 	533	0.022348	0.031356	0.006889
 - 	534	0.021682	0.031211	0.006673
 - 	535	0.020950	0.030903	0.006385
 - 	536	0.020135	0.030292	0.006071
 - 	537	0.019104	0.029561	0.005751
 - 	538	0.018034	0.028806	0.005424
 - 	539	0.016955	0.028044	0.005031
 - 	540	0.015831	0.026959	0.004635
 - 	541	0.014585	0.025793	0.004199
 - 	542	0.013398	0.024893	0.003740
 - 	543	0.012317	0.024218	0.003336
 - 	544	0.011311	0.023556	0.002964
 - 	545	0.010355	0.022702	0.002641
 - 	546	0.009288	0.022093	0.002354
 - 	547	0.008317	0.021555	0.002014
 - 	548	0.007573	0.020966	0.001674
 - 	549	0.006793	0.020522	0.001318
 - 	550	0.006162	0.020272	0.001014
 - 	551	0.005707	0.020032	0.000698
 - 	552	0.005222	0.020018	0.000384
 - 	553	0.004803	0.020108	0.000134
 - 	554	0.004443	0.020163	-0.000018
 - 	555	0.003997	0.020526	-0.000150
 - 	556	0.003534	0.021049	-0.000259
 - 	557	0.003318	0.021468	-0.000325
 - 	558	0.003091	0.021905	-0.000472
 - 	559	0.002761	0.022336	-0.000786
 - 	560	0.002445	0.022668	-0.001014
 - 	561	0.002184	0.022920	-0.001170
 - 	562	0.001951	0.023290	-0.001354
 - 	563	0.001867	0.023642	-0.001497
 - 	564	0.002138	0.023808	-0.001633
 - 	565	0.002359	0.024099	-0.001845
 - 	566	0.002388	0.024450	-0.002065
 - 	567	0.002337	0.024664	-0.002272
 - 	568	0.002108	0.024956	-0.002441
 - 	569	0.001712	0.025091	-0.002548
 - 	570	0.001344	0.024892	-0.002672
 - 	571	0.000961	0.024793	-0.002897
 - 	572	0.000392	0.024944	-0.003142
 - 	573	-0.000072	0.025001	-0.003280
 - 	574	-0.000557	0.025117	-0.003437
 - 	575	-0.001227	0.025243	-0.003596
 - 	576	-0.001964	0.025183	-0.003703
 - 	577	-0.002546	0.025055	-0.003743
 - 	578	-0.003016	0.024812	-0.003843
 - 	579	-0.003471	0.024498	-0.004068
 - 	580	-0.004063	0.024188	-0.004309
 - 	581	-0.004633	0.024023	-0.004458
 - 	582	-0.005014	0.024102	-0.004516
