RKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_5.filtered_40.c3d	1			
 - 	2			
 - 	3	-0.002854	0.001156	-0.000568
 - 	4	-0.002829	0.001155	-0.000566
 - 	5	-0.002785	0.001147	-0.000560
 - 	6	-0.002759	0.001155	-0.000556
 - 	7	-0.002765	0.001173	-0.000555
 - 	8	-0.002776	0.001176	-0.000556
 - 	9	-0.002775	0.001163	-0.000557
 - 	10	-0.002755	0.001150	-0.000554
 - 	11	-0.002731	0.001145	-0.000549
 - 	12	-0.002724	0.001153	-0.000549
 - 	13	-0.002731	0.001161	-0.000551
 - 	14	-0.002754	0.001164	-0.000554
 - 	15	-0.002794	0.001163	-0.000557
 - 	16	-0.002816	0.001163	-0.000557
 - 	17	-0.002824	0.001168	-0.000556
 - 	18	-0.002825	0.001172	-0.000556
 - 	19	-0.002823	0.001170	-0.000558
 - 	20	-0.002797	0.001158	-0.000554
 - 	21	-0.002757	0.001142	-0.000546
 - 	22	-0.002725	0.001128	-0.000537
 - 	23	-0.002718	0.001127	-0.000535
 - 	24	-0.002729	0.001140	-0.000540
 - 	25	-0.002746	0.001162	-0.000546
 - 	26	-0.002767	0.001189	-0.000551
 - 	27	-0.002784	0.001211	-0.000554
 - 	28	-0.002782	0.001216	-0.000555
 - 	29	-0.002763	0.001203	-0.000555
 - 	30	-0.002752	0.001190	-0.000556
 - 	31	-0.002752	0.001180	-0.000557
 - 	32	-0.002758	0.001170	-0.000555
 - 	33	-0.002769	0.001164	-0.000552
 - 	34	-0.002768	0.001159	-0.000548
 - 	35	-0.002752	0.001151	-0.000544
 - 	36	-0.002730	0.001149	-0.000544
 - 	37	-0.002709	0.001152	-0.000546
 - 	38	-0.002691	0.001158	-0.000547
 - 	39	-0.002683	0.001161	-0.000548
 - 	40	-0.002711	0.001162	-0.000550
 - 	41	-0.002773	0.001167	-0.000554
 - 	42	-0.002824	0.001171	-0.000555
 - 	43	-0.002826	0.001166	-0.000551
 - 	44	-0.002794	0.001149	-0.000545
 - 	45	-0.002750	0.001120	-0.000541
 - 	46	-0.002718	0.001089	-0.000539
 - 	47	-0.002710	0.001072	-0.000541
 - 	48	-0.002735	0.001082	-0.000549
 - 	49	-0.002777	0.001116	-0.000558
 - 	50	-0.002802	0.001150	-0.000562
 - 	51	-0.002794	0.001167	-0.000559
 - 	52	-0.002779	0.001167	-0.000555
 - 	53	-0.002772	0.001153	-0.000557
 - 	54	-0.002780	0.001131	-0.000561
 - 	55	-0.002799	0.001114	-0.000565
 - 	56	-0.002810	0.001109	-0.000564
 - 	57	-0.002797	0.001113	-0.000559
 - 	58	-0.002769	0.001120	-0.000553
 - 	59	-0.002734	0.001122	-0.000550
 - 	60	-0.002715	0.001124	-0.000550
 - 	61	-0.002718	0.001127	-0.000550
 - 	62	-0.002731	0.001128	-0.000548
 - 	63	-0.002751	0.001124	-0.000547
 - 	64	-0.002782	0.001120	-0.000549
 - 	65	-0.002812	0.001116	-0.000553
 - 	66	-0.002802	0.001106	-0.000554
 - 	67	-0.002767	0.001093	-0.000553
 - 	68	-0.002743	0.001082	-0.000551
 - 	69	-0.002755	0.001086	-0.000551
 - 	70	-0.002770	0.001099	-0.000550
 - 	71	-0.002770	0.001114	-0.000547
 - 	72	-0.002750	0.001119	-0.000545
 - 	73	-0.002732	0.001114	-0.000545
 - 	74	-0.002740	0.001105	-0.000551
 - 	75	-0.002774	0.001102	-0.000559
 - 	76	-0.002809	0.001108	-0.000564
 - 	77	-0.002824	0.001119	-0.000565
 - 	78	-0.002824	0.001136	-0.000563
 - 	79	-0.002828	0.001157	-0.000563
 - 	80	-0.002852	0.001173	-0.000567
 - 	81	-0.002897	0.001179	-0.000573
 - 	82	-0.002945	0.001178	-0.000579
 - 	83	-0.002971	0.001173	-0.000583
 - 	84	-0.002977	0.001170	-0.000583
 - 	85	-0.002956	0.001171	-0.000579
 - 	86	-0.002915	0.001172	-0.000570
 - 	87	-0.002862	0.001172	-0.000562
 - 	88	-0.002814	0.001166	-0.000557
 - 	89	-0.002784	0.001144	-0.000556
 - 	90	-0.002771	0.001104	-0.000554
 - 	91	-0.002767	0.001054	-0.000551
 - 	92	-0.002742	0.001002	-0.000543
 - 	93	-0.002685	0.000957	-0.000534
 - 	94	-0.002608	0.000921	-0.000524
 - 	95	-0.002538	0.000894	-0.000515
 - 	96	-0.002461	0.000871	-0.000504
 - 	97	-0.002388	0.000857	-0.000497
 - 	98	-0.002333	0.000852	-0.000495
 - 	99	-0.002303	0.000850	-0.000495
 - 	100	-0.002286	0.000848	-0.000494
 - 	101	-0.002283	0.000850	-0.000492
 - 	102	-0.002281	0.000855	-0.000489
 - 	103	-0.002255	0.000874	-0.000483
 - 	104	-0.002184	0.000925	-0.000474
 - 	105	-0.002088	0.001000	-0.000464
 - 	106	-0.002013	0.001077	-0.000457
 - 	107	-0.001997	0.001140	-0.000453
 - 	108	-0.002025	0.001188	-0.000453
 - 	109	-0.002073	0.001253	-0.000459
 - 	110	-0.002131	0.001345	-0.000468
 - 	111	-0.002165	0.001442	-0.000469
 - 	112	-0.002153	0.001529	-0.000463
 - 	113	-0.002082	0.001622	-0.000451
 - 	114	-0.001982	0.001743	-0.000438
 - 	115	-0.001872	0.001871	-0.000419
 - 	116	-0.001769	0.001964	-0.000388
 - 	117	-0.001661	0.002008	-0.000345
 - 	118	-0.001531	0.002020	-0.000293
 - 	119	-0.001364	0.002008	-0.000236
 - 	120	-0.001167	0.001961	-0.000175
 - 	121	-0.000945	0.001853	-0.000109
 - 	122	-0.000728	0.001673	-0.000047
 - 	123	-0.000560	0.001443	0.000001
 - 	124	-0.000475	0.001182	0.000023
 - 	125	-0.000487	0.000887	0.000004
 - 	126	-0.000622	0.000570	-0.000070
 - 	127	-0.000930	0.000267	-0.000207
 - 	128	-0.001423	0.000014	-0.000406
 - 	129	-0.002016	-0.000174	-0.000642
 - 	130	-0.002584	-0.000306	-0.000887
 - 	131	-0.002992	-0.000403	-0.001112
 - 	132	-0.003136	-0.000462	-0.001271
 - 	133	-0.002930	-0.000493	-0.001316
 - 	134	-0.002366	-0.000528	-0.001233
 - 	135	-0.001519	-0.000612	-0.001052
 - 	136	-0.000529	-0.000764	-0.000820
 - 	137	0.000433	-0.000961	-0.000588
 - 	138	0.001247	-0.001154	-0.000391
 - 	139	0.001821	-0.001275	-0.000233
 - 	140	0.002090	-0.001274	-0.000103
 - 	141	0.002079	-0.001187	-0.000019
 - 	142	0.001891	-0.001088	-0.000005
 - 	143	0.001636	-0.001011	-0.000055
 - 	144	0.001352	-0.000933	-0.000122
 - 	145	0.001057	-0.000810	-0.000147
 - 	146	0.000752	-0.000614	-0.000094
 - 	147	0.000434	-0.000357	0.000018
 - 	148	0.000112	-0.000072	0.000154
 - 	149	-0.000212	0.000215	0.000283
 - 	150	-0.000524	0.000484	0.000388
 - 	151	-0.000821	0.000723	0.000462
 - 	152	-0.001108	0.000932	0.000507
 - 	153	-0.001409	0.001130	0.000533
 - 	154	-0.001729	0.001324	0.000549
 - 	155	-0.002063	0.001495	0.000540
 - 	156	-0.002380	0.001611	0.000501
 - 	157	-0.002660	0.001693	0.000458
 - 	158	-0.002882	0.001792	0.000438
 - 	159	-0.003019	0.001927	0.000434
 - 	160	-0.003077	0.002088	0.000421
 - 	161	-0.003080	0.002250	0.000380
 - 	162	-0.003100	0.002381	0.000293
 - 	163	-0.003150	0.002441	0.000156
 - 	164	-0.003208	0.002400	-0.000020
 - 	165	-0.003266	0.002251	-0.000216
 - 	166	-0.003388	0.002023	-0.000421
 - 	167	-0.003604	0.001767	-0.000624
 - 	168	-0.003890	0.001538	-0.000819
 - 	169	-0.004204	0.001386	-0.001004
 - 	170	-0.004549	0.001346	-0.001186
 - 	171	-0.004921	0.001402	-0.001362
 - 	172	-0.005289	0.001503	-0.001513
 - 	173	-0.005570	0.001573	-0.001608
 - 	174	-0.005660	0.001535	-0.001617
 - 	175	-0.005480	0.001356	-0.001532
 - 	176	-0.004998	0.001095	-0.001362
 - 	177	-0.004160	0.000881	-0.001104
 - 	178	-0.002904	0.000829	-0.000750
 - 	179	-0.001246	0.000970	-0.000309
 - 	180	0.000585	0.001236	0.000167
 - 	181	0.002138	0.001517	0.000569
 - 	182	0.002951	0.001768	0.000780
 - 	183	-0.007158	-0.004636	-0.002993
 - 	184	-0.006009	-0.006040	-0.003018
 - 	185	-0.002745	-0.007606	-0.002802
 - 	186	-0.001060	-0.008564	-0.002549
 - 	187	-0.000852	-0.009214	-0.002667
 - 	188	-0.000924	-0.009100	-0.002745
 - 	189	-0.000179	-0.008270	-0.002440
 - 	190	0.001066	-0.006283	-0.002006
 - 	191	0.002477	-0.003347	-0.001039
 - 	192	0.003609	-0.000847	-0.000102
 - 	193	0.003705	0.001005	0.000405
 - 	194	0.004031	0.003020	0.001050
 - 	195	0.004457	0.004425	0.001461
 - 	196	0.004517	0.005266	0.001731
 - 	197	0.003789	0.004619	0.001457
 - 	198	0.003442	0.004203	0.001272
 - 	199	0.002853	0.004114	0.001201
 - 	200	0.002599	0.003480	0.001179
 - 	201	0.002667	0.002779	0.001127
 - 	202	0.003079	0.003153	0.001339
 - 	203	0.003920	0.003892	0.001683
 - 	204	0.004085	0.005680	0.001981
 - 	205	0.004008	0.007384	0.002155
 - 	206	0.004282	0.009644	0.002494
 - 	207	0.004704	0.011674	0.002917
 - 	208	0.005236	0.013409	0.003310
 - 	209	0.005784	0.014350	0.003493
 - 	210	0.006727	0.014951	0.003507
 - 	211	0.006855	0.014817	0.003489
 - 	212	0.006528	0.014277	0.002997
 - 	213	0.006435	0.013994	0.002585
 - 	214	0.006143	0.013819	0.002279
 - 	215	0.005681	0.013699	0.002026
 - 	216	0.005203	0.014701	0.001991
 - 	217	0.004557	0.015621	0.001607
 - 	218	0.003789	0.016158	0.001400
 - 	219	0.003299	0.016125	0.001001
 - 	220	0.002992	0.015636	0.000551
 - 	221	0.002747	0.014786	-0.000082
 - 	222	0.002005	0.014031	-0.000716
 - 	223	0.001436	0.013347	-0.001153
 - 	224	0.000798	0.012750	-0.001558
 - 	225	0.000232	0.012944	-0.002039
 - 	226	0.000039	0.013059	-0.002239
 - 	227	-0.000794	0.012553	-0.002699
 - 	228	-0.001673	0.012116	-0.003133
 - 	229	-0.002113	0.011912	-0.003556
 - 	230	-0.002352	0.011262	-0.003742
 - 	231	-0.002646	0.010677	-0.003978
 - 	232	-0.003347	0.010645	-0.004277
 - 	233	-0.002961	0.010755	-0.004331
 - 	234	-0.002866	0.010360	-0.004523
 - 	235	-0.002622	0.009960	-0.004531
 - 	236	-0.002443	0.009781	-0.004750
 - 	237	-0.002226	0.009503	-0.004760
 - 	238	-0.002243	0.008991	-0.004865
 - 	239	-0.001875	0.008448	-0.004979
 - 	240	-0.001370	0.008562	-0.005200
