LKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_6.filtered_40.c3d	1			
 - 	2			
 - 	3	0.002079	0.000192	-0.000494
 - 	4	0.002065	0.000190	-0.000490
 - 	5	0.002089	0.000173	-0.000495
 - 	6	0.002104	0.000159	-0.000498
 - 	7	0.002110	0.000157	-0.000500
 - 	8	0.002103	0.000166	-0.000500
 - 	9	0.002086	0.000187	-0.000496
 - 	10	0.002064	0.000213	-0.000492
 - 	11	0.002040	0.000235	-0.000487
 - 	12	0.002041	0.000242	-0.000486
 - 	13	0.002066	0.000230	-0.000491
 - 	14	0.002084	0.000208	-0.000494
 - 	15	0.002092	0.000183	-0.000496
 - 	16	0.002090	0.000164	-0.000497
 - 	17	0.002088	0.000152	-0.000497
 - 	18	0.002079	0.000152	-0.000495
 - 	19	0.002078	0.000161	-0.000494
 - 	20	0.002077	0.000173	-0.000492
 - 	21	0.002083	0.000182	-0.000492
 - 	22	0.002089	0.000184	-0.000493
 - 	23	0.002077	0.000193	-0.000490
 - 	24	0.002047	0.000212	-0.000485
 - 	25	0.002050	0.000228	-0.000485
 - 	26	0.002059	0.000236	-0.000487
 - 	27	0.002060	0.000233	-0.000488
 - 	28	0.002065	0.000214	-0.000490
 - 	29	0.002072	0.000188	-0.000493
 - 	30	0.002084	0.000168	-0.000496
 - 	31	0.002085	0.000160	-0.000495
 - 	32	0.002094	0.000161	-0.000496
 - 	33	0.002088	0.000170	-0.000495
 - 	34	0.002077	0.000185	-0.000493
 - 	35	0.002060	0.000200	-0.000490
 - 	36	0.002067	0.000208	-0.000490
 - 	37	0.002089	0.000211	-0.000494
 - 	38	0.002105	0.000210	-0.000498
 - 	39	0.002106	0.000207	-0.000499
 - 	40	0.002091	0.000197	-0.000496
 - 	41	0.002075	0.000183	-0.000491
 - 	42	0.002070	0.000165	-0.000489
 - 	43	0.002072	0.000153	-0.000490
 - 	44	0.002089	0.000153	-0.000494
 - 	45	0.002108	0.000158	-0.000499
 - 	46	0.002127	0.000159	-0.000503
 - 	47	0.002137	0.000152	-0.000504
 - 	48	0.002139	0.000151	-0.000504
 - 	49	0.002120	0.000170	-0.000501
 - 	50	0.002077	0.000200	-0.000493
 - 	51	0.002052	0.000226	-0.000489
 - 	52	0.002038	0.000233	-0.000485
 - 	53	0.002048	0.000220	-0.000488
 - 	54	0.002052	0.000198	-0.000488
 - 	55	0.002070	0.000174	-0.000492
 - 	56	0.002080	0.000163	-0.000494
 - 	57	0.002084	0.000159	-0.000494
 - 	58	0.002080	0.000163	-0.000494
 - 	59	0.002079	0.000176	-0.000495
 - 	60	0.002092	0.000197	-0.000498
 - 	61	0.002136	0.000216	-0.000506
 - 	62	0.002180	0.000218	-0.000514
 - 	63	0.002208	0.000199	-0.000520
 - 	64	0.002211	0.000167	-0.000523
 - 	65	0.002211	0.000135	-0.000527
 - 	66	0.002226	0.000104	-0.000535
