LKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_2.filtered_40.c3d	1			
 - 	2			
 - 	3	0.001054	-0.000692	0.000189
 - 	4	0.001071	-0.000678	0.000188
 - 	5	0.001096	-0.000666	0.000189
 - 	6	0.001139	-0.000657	0.000193
 - 	7	0.001185	-0.000647	0.000199
 - 	8	0.001223	-0.000637	0.000205
 - 	9	0.001247	-0.000630	0.000208
 - 	10	0.001255	-0.000628	0.000210
 - 	11	0.001262	-0.000629	0.000210
 - 	12	0.001264	-0.000634	0.000210
 - 	13	0.001269	-0.000645	0.000208
 - 	14	0.001262	-0.000655	0.000205
 - 	15	0.001251	-0.000661	0.000203
 - 	16	0.001234	-0.000660	0.000200
 - 	17	0.001215	-0.000657	0.000198
 - 	18	0.001208	-0.000651	0.000198
 - 	19	0.001209	-0.000644	0.000200
 - 	20	0.001204	-0.000640	0.000202
 - 	21	0.001193	-0.000629	0.000203
 - 	22	0.001174	-0.000615	0.000200
 - 	23	0.001158	-0.000607	0.000196
 - 	24	0.001157	-0.000608	0.000194
 - 	25	0.001173	-0.000615	0.000195
 - 	26	0.001189	-0.000630	0.000196
 - 	27	0.001208	-0.000646	0.000199
 - 	28	0.001216	-0.000653	0.000202
 - 	29	0.001218	-0.000650	0.000203
 - 	30	0.001219	-0.000644	0.000202
 - 	31	0.001222	-0.000639	0.000200
 - 	32	0.001224	-0.000633	0.000198
 - 	33	0.001229	-0.000620	0.000198
 - 	34	0.001227	-0.000602	0.000199
 - 	35	0.001223	-0.000589	0.000200
 - 	36	0.001224	-0.000587	0.000201
 - 	37	0.001230	-0.000597	0.000203
 - 	38	0.001236	-0.000615	0.000205
 - 	39	0.001232	-0.000632	0.000204
 - 	40	0.001211	-0.000647	0.000200
 - 	41	0.001175	-0.000653	0.000194
 - 	42	0.001154	-0.000649	0.000190
 - 	43	0.001144	-0.000638	0.000190
 - 	44	0.001145	-0.000628	0.000190
 - 	45	0.001142	-0.000618	0.000190
 - 	46	0.001137	-0.000607	0.000189
 - 	47	0.001137	-0.000598	0.000189
 - 	48	0.001137	-0.000595	0.000189
 - 	49	0.001146	-0.000592	0.000191
 - 	50	0.001153	-0.000593	0.000192
 - 	51	0.001161	-0.000601	0.000193
 - 	52	0.001168	-0.000618	0.000194
 - 	53	0.001176	-0.000630	0.000196
 - 	54	0.001174	-0.000633	0.000197
 - 	55	0.001155	-0.000622	0.000194
 - 	56	0.001134	-0.000609	0.000190
 - 	57	0.001113	-0.000605	0.000186
 - 	58	0.001107	-0.000610	0.000185
 - 	59	0.001102	-0.000622	0.000184
 - 	60	0.001112	-0.000631	0.000185
 - 	61	0.001124	-0.000640	0.000186
 - 	62	0.001139	-0.000645	0.000187
 - 	63	0.001151	-0.000641	0.000187
 - 	64	0.001153	-0.000620	0.000187
 - 	65	0.001147	-0.000589	0.000186
 - 	66	0.001137	-0.000561	0.000186
 - 	67	0.001128	-0.000535	0.000186
 - 	68	0.001124	-0.000514	0.000187
 - 	69	0.001132	-0.000509	0.000188
 - 	70	0.001152	-0.000521	0.000190
 - 	71	0.001167	-0.000547	0.000191
 - 	72	0.001166	-0.000575	0.000190
 - 	73	0.001146	-0.000597	0.000188
 - 	74	0.001130	-0.000602	0.000186
 - 	75	0.001133	-0.000593	0.000186
 - 	76	0.001141	-0.000578	0.000187
 - 	77	0.001150	-0.000562	0.000187
 - 	78	0.001150	-0.000552	0.000187
 - 	79	0.001145	-0.000549	0.000186
 - 	80	0.001138	-0.000555	0.000185
 - 	81	0.001139	-0.000563	0.000185
 - 	82	0.001138	-0.000574	0.000186
 - 	83	0.001138	-0.000588	0.000186
 - 	84	0.001132	-0.000601	0.000185
 - 	85	0.001126	-0.000604	0.000184
 - 	86	0.001121	-0.000591	0.000184
 - 	87	0.001117	-0.000563	0.000185
 - 	88	0.001108	-0.000525	0.000184
 - 	89	0.001100	-0.000491	0.000184
 - 	90	0.001095	-0.000470	0.000185
 - 	91	0.001101	-0.000470	0.000185
 - 	92	0.001112	-0.000489	0.000185
 - 	93	0.001121	-0.000518	0.000185
 - 	94	0.001117	-0.000551	0.000183
 - 	95	0.001106	-0.000580	0.000179
