RKNE_MOMENT
File	Frame	X 	Y 	Z 
Trial_7.filtered_40.c3d	1			
 - 	2			
 - 	3	0.001282	-0.000116	-0.000128
 - 	4	0.001283	-0.000135	-0.000128
 - 	5	0.001285	-0.000158	-0.000128
 - 	6	0.001299	-0.000172	-0.000130
 - 	7	0.001312	-0.000169	-0.000132
 - 	8	0.001327	-0.000154	-0.000133
 - 	9	0.001337	-0.000143	-0.000135
 - 	10	0.001332	-0.000139	-0.000135
 - 	11	0.001304	-0.000135	-0.000133
 - 	12	0.001260	-0.000132	-0.000128
 - 	13	0.001238	-0.000134	-0.000125
 - 	14	0.001245	-0.000148	-0.000124
 - 	15	0.001280	-0.000174	-0.000126
 - 	16	0.001330	-0.000201	-0.000132
 - 	17	0.001358	-0.000216	-0.000136
 - 	18	0.001367	-0.000214	-0.000139
 - 	19	0.001360	-0.000201	-0.000139
 - 	20	0.001345	-0.000185	-0.000138
 - 	21	0.001331	-0.000169	-0.000136
 - 	22	0.001321	-0.000153	-0.000135
 - 	23	0.001323	-0.000138	-0.000136
 - 	24	0.001331	-0.000132	-0.000137
 - 	25	0.001336	-0.000139	-0.000137
 - 	26	0.001347	-0.000158	-0.000136
 - 	27	0.001358	-0.000187	-0.000136
 - 	28	0.001376	-0.000218	-0.000137
 - 	29	0.001388	-0.000238	-0.000139
 - 	30	0.001392	-0.000244	-0.000140
 - 	31	0.001393	-0.000234	-0.000140
 - 	32	0.001398	-0.000217	-0.000141
 - 	33	0.001396	-0.000194	-0.000140
 - 	34	0.001392	-0.000171	-0.000139
 - 	35	0.001389	-0.000155	-0.000139
 - 	36	0.001398	-0.000149	-0.000140
 - 	37	0.001415	-0.000154	-0.000142
 - 	38	0.001433	-0.000167	-0.000144
 - 	39	0.001442	-0.000185	-0.000145
 - 	40	0.001424	-0.000201	-0.000143
 - 	41	0.001382	-0.000211	-0.000139
 - 	42	0.001342	-0.000210	-0.000134
 - 	43	0.001346	-0.000203	-0.000134
 - 	44	0.001381	-0.000199	-0.000137
 - 	45	0.001414	-0.000198	-0.000140
 - 	46	0.001425	-0.000198	-0.000142
 - 	47	0.001414	-0.000196	-0.000142
 - 	48	0.001398	-0.000193	-0.000142
 - 	49	0.001377	-0.000190	-0.000141
 - 	50	0.001340	-0.000187	-0.000138
 - 	51	0.001314	-0.000190	-0.000135
 - 	52	0.001313	-0.000209	-0.000135
 - 	53	0.001350	-0.000233	-0.000138
 - 	54	0.001393	-0.000248	-0.000141
 - 	55	0.001424	-0.000247	-0.000144
 - 	56	0.001436	-0.000236	-0.000145
 - 	57	0.001445	-0.000219	-0.000146
 - 	58	0.001455	-0.000203	-0.000147
 - 	59	0.001465	-0.000191	-0.000148
 - 	60	0.001479	-0.000187	-0.000149
 - 	61	0.001490	-0.000192	-0.000150
 - 	62	0.001489	-0.000203	-0.000148
 - 	63	0.001487	-0.000210	-0.000146
 - 	64	0.001495	-0.000208	-0.000146
 - 	65	0.001510	-0.000200	-0.000147
 - 	66	0.001528	-0.000192	-0.000149
 - 	67	0.001543	-0.000189	-0.000152
 - 	68	0.001566	-0.000189	-0.000155
 - 	69	0.001580	-0.000191	-0.000158
 - 	70	0.001569	-0.000193	-0.000158
 - 	71	0.001545	-0.000207	-0.000156
 - 	72	0.001532	-0.000241	-0.000155
 - 	73	0.001546	-0.000282	-0.000157
 - 	74	0.001572	-0.000308	-0.000161
 - 	75	0.001602	-0.000307	-0.000166
 - 	76	0.001631	-0.000288	-0.000169
 - 	77	0.001674	-0.000254	-0.000173
 - 	78	0.001728	-0.000210	-0.000178
 - 	79	0.001803	-0.000163	-0.000183
 - 	80	0.001875	-0.000127	-0.000188
 - 	81	0.001893	-0.000103	-0.000186
 - 	82	0.001817	-0.000087	-0.000175
 - 	83	0.001684	-0.000079	-0.000159
 - 	84	0.001578	-0.000082	-0.000148
 - 	85	0.001523	-0.000092	-0.000144
 - 	86	0.001479	-0.000107	-0.000143
 - 	87	0.001408	-0.000122	-0.000138
 - 	88	0.001302	-0.000130	-0.000130
 - 	89	0.001186	-0.000131	-0.000122
 - 	90	0.001085	-0.000137	-0.000118
 - 	91	0.001027	-0.000158	-0.000123
 - 	92	0.001022	-0.000197	-0.000137
 - 	93	0.001041	-0.000248	-0.000157
 - 	94	0.001029	-0.000304	-0.000173
 - 	95	0.000964	-0.000357	-0.000181
 - 	96	0.000844	-0.000405	-0.000181
 - 	97	0.000685	-0.000450	-0.000178
 - 	98	0.000528	-0.000488	-0.000176
 - 	99	0.000417	-0.000509	-0.000176
 - 	100	0.000364	-0.000502	-0.000174
 - 	101	0.000337	-0.000467	-0.000163
 - 	102	0.000299	-0.000413	-0.000145
 - 	103	0.000251	-0.000350	-0.000122
 - 	104	0.000198	-0.000286	-0.000096
 - 	105	0.000141	-0.000233	-0.000071
 - 	106	0.000080	-0.000200	-0.000051
 - 	107	0.000017	-0.000188	-0.000036
 - 	108	-0.000053	-0.000198	-0.000027
 - 	109	-0.000117	-0.000217	-0.000025
 - 	110	-0.000179	-0.000235	-0.000027
 - 	111	-0.000224	-0.000237	-0.000036
 - 	112	-0.000257	-0.000235	-0.000053
 - 	113	-0.000311	-0.000256	-0.000077
 - 	114	-0.000380	-0.000308	-0.000103
 - 	115	-0.000470	-0.000389	-0.000125
 - 	116	-0.000593	-0.000498	-0.000147
 - 	117	-0.000751	-0.000621	-0.000169
 - 	118	-0.000917	-0.000729	-0.000188
 - 	119	-0.001056	-0.000801	-0.000199
 - 	120	-0.001166	-0.000837	-0.000200
 - 	121	-0.001234	-0.000838	-0.000191
 - 	122	-0.001275	-0.000808	-0.000170
 - 	123	-0.001281	-0.000746	-0.000139
 - 	124	-0.001260	-0.000660	-0.000101
 - 	125	-0.001216	-0.000559	-0.000062
 - 	126	-0.001174	-0.000461	-0.000026
 - 	127	-0.001161	-0.000388	0.000003
 - 	128	-0.001188	-0.000347	0.000025
 - 	129	-0.001228	-0.000330	0.000041
 - 	130	-0.001245	-0.000325	0.000051
 - 	131	-0.001193	-0.000342	0.000044
 - 	132	-0.001081	-0.000397	0.000014
 - 	133	-0.000937	-0.000496	-0.000037
 - 	134	-0.000781	-0.000629	-0.000101
 - 	135	-0.000628	-0.000760	-0.000161
 - 	136	-0.000520	-0.000850	-0.000197
 - 	137	-0.000501	-0.000883	-0.000199
 - 	138	-0.000570	-0.000874	-0.000177
 - 	139	-0.000677	-0.000846	-0.000149
 - 	140	-0.000779	-0.000808	-0.000125
 - 	141	-0.000863	-0.000758	-0.000101
 - 	142	-0.000910	-0.000693	-0.000075
 - 	143	-0.000924	-0.000626	-0.000049
 - 	144	-0.000926	-0.000575	-0.000026
 - 	145	-0.000912	-0.000545	-0.000011
 - 	146	-0.000896	-0.000538	-0.000004
 - 	147	-0.000882	-0.000550	-0.000003
 - 	148	-0.000885	-0.000579	-0.000004
 - 	149	-0.000903	-0.000622	-0.000007
 - 	150	-0.000925	-0.000675	-0.000012
 - 	151	-0.000950	-0.000731	-0.000019
 - 	152	-0.000957	-0.000774	-0.000025
 - 	153	-0.000942	-0.000789	-0.000028
 - 	154	-0.000898	-0.000767	-0.000028
 - 	155	-0.000834	-0.000718	-0.000024
 - 	156	-0.000755	-0.000663	-0.000021
 - 	157	-0.000683	-0.000633	-0.000020
 - 	158	-0.000631	-0.000637	-0.000023
 - 	159	-0.000613	-0.000679	-0.000029
 - 	160	-0.000608	-0.000753	-0.000039
 - 	161	-0.000611	-0.000845	-0.000050
 - 	162	-0.000630	-0.000938	-0.000056
 - 	163	-0.000657	-0.001005	-0.000054
 - 	164	-0.000694	-0.001040	-0.000043
 - 	165	-0.000730	-0.001064	-0.000028
 - 	166	-0.000770	-0.001101	-0.000013
 - 	167	-0.000821	-0.001149	0.000001
 - 	168	-0.000879	-0.001188	0.000013
 - 	169	-0.000946	-0.001208	0.000021
 - 	170	-0.001018	-0.001211	0.000024
 - 	171	-0.001104	-0.001203	0.000024
 - 	172	-0.001210	-0.001188	0.000027
 - 	173	-0.001342	-0.001183	0.000034
 - 	174	-0.001463	-0.001211	0.000038
 - 	175	-0.001535	-0.001287	0.000035
 - 	176	-0.001566	-0.001398	0.000032
 - 	177	-0.001589	-0.001507	0.000032
 - 	178	-0.001630	-0.001579	0.000032
 - 	179	-0.001711	-0.001592	0.000028
 - 	180	-0.001856	-0.001543	0.000025
 - 	181	-0.002025	-0.001436	0.000028
 - 	182	-0.002118	-0.001293	0.000035
 - 	183	-0.002072	-0.001123	0.000043
 - 	184	-0.001906	-0.000926	0.000054
 - 	185	-0.001665	-0.000706	0.000067
 - 	186	-0.001382	-0.000488	0.000081
 - 	187	-0.001107	-0.000308	0.000093
 - 	188	-0.000859	-0.000187	0.000098
 - 	189	-0.000652	-0.000120	0.000094
 - 	190	-0.000470	-0.000082	0.000081
 - 	191	-0.000311	-0.000040	0.000067
 - 	192	-0.000195	0.000020	0.000061
 - 	193	-0.000168	0.000095	0.000072
 - 	194	-0.000238	0.000169	0.000100
 - 	195	-0.000376	0.000204	0.000132
 - 	196	-0.000569	0.000158	0.000144
 - 	197	-0.000798	0.000014	0.000108
 - 	198	-0.001021	-0.000201	-0.000002
 - 	199	-0.001207	-0.000424	-0.000182
 - 	200	-0.001332	-0.000564	-0.000389
 - 	201	-0.001303	-0.000544	-0.000559
 - 	202	-0.001018	-0.000373	-0.000645
 - 	203	-0.000492	-0.000159	-0.000660
 - 	204	0.000157	-0.000029	-0.000666
 - 	205	0.000828	-0.000057	-0.000728
 - 	206	0.001421	-0.000240	-0.000861
 - 	207	0.001863	-0.000502	-0.001007
 - 	208	0.002159	-0.000731	-0.001078
 - 	209	0.002310	-0.000866	-0.001047
 - 	210	0.002259	-0.000922	-0.000960
 - 	211	0.001967	-0.000950	-0.000876
 - 	212	0.001488	-0.000960	-0.000806
 - 	213	0.000937	-0.000931	-0.000739
 - 	214	0.000427	-0.000852	-0.000671
 - 	215	0.000017	-0.000733	-0.000610
 - 	216	-0.000312	-0.000598	-0.000563
 - 	217	-0.000620	-0.000474	-0.000538
 - 	218	-0.000960	-0.000375	-0.000527
 - 	219	-0.001343	-0.000308	-0.000511
 - 	220	-0.001734	-0.000278	-0.000478
 - 	221	-0.002101	-0.000285	-0.000426
 - 	222	-0.002430	-0.000328	-0.000360
 - 	223	-0.002732	-0.000415	-0.000301
 - 	224	-0.003020	-0.000582	-0.000282
 - 	225	-0.003323	-0.000867	-0.000329
 - 	226	-0.003654	-0.001276	-0.000432
 - 	227	-0.003977	-0.001769	-0.000552
 - 	228	-0.004239	-0.002279	-0.000652
 - 	229	-0.004456	-0.002745	-0.000709
 - 	230	-0.004679	-0.003104	-0.000707
 - 	231	-0.004908	-0.003292	-0.000637
 - 	232	-0.005101	-0.003259	-0.000503
 - 	233	-0.005230	-0.002999	-0.000329
 - 	234	-0.005293	-0.002551	-0.000150
 - 	235	-0.005318	-0.002008	-0.000000
 - 	236	-0.005377	-0.001518	0.000098
 - 	237	-0.005530	-0.001207	0.000147
 - 	238	-0.005763	-0.001104	0.000165
 - 	239	-0.006030	-0.001155	0.000172
 - 	240	-0.006316	-0.001269	0.000183
 - 	241	-0.006571	-0.001358	0.000206
 - 	242	-0.006685	-0.001385	0.000238
 - 	243	-0.006542	-0.001370	0.000274
 - 	244	-0.006062	-0.001351	0.000309
 - 	245	-0.005194	-0.001323	0.000336
 - 	246	-0.003944	-0.001227	0.000341
 - 	247	-0.002409	-0.000994	0.000320
 - 	248	-0.000782	-0.000626	0.000279
 - 	249	0.000574	-0.000225	0.000240
 - 	250	0.001225	0.000088	0.000225
 - 	251	-0.005011	-0.003792	-0.000523
 - 	252	-0.005832	-0.005809	-0.001145
 - 	253	0.001826	-0.005793	-0.001888
 - 	254	0.013387	-0.004402	-0.002631
 - 	255	0.012081	-0.003776	-0.002510
 - 	256	0.012486	-0.001267	-0.002018
 - 	257	0.018316	0.003202	-0.001047
 - 	258	0.021792	0.006394	0.000003
 - 	259	0.026224	0.009652	0.001095
 - 	260	0.029963	0.011178	0.001505
 - 	261	0.033134	0.011578	0.001754
 - 	262	0.036156	0.011063	0.001390
 - 	263	0.037397	0.011135	0.001425
 - 	264	0.037779	0.011419	0.001491
